@RELATION C0001629_C0025148

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20304765,"Programming of rat adrenal medulla by neonatal hyperleptinemia: adrenal morphology, catecholamine secretion, and leptin signaling pathway.Leptin serum concentration in early life is an important factor for adequate future development of the offspring. Previously, we demonstrated that hyperleptinemia on lactation programmed for hyperleptinemia, central leptin resistance with lower expression of the long form of leptin receptor at hypothalamus, and higher <e>medullary</e> catecholamine levels with cardiovascular consequences at adulthood. The central objective of this study was to determine the direct effect of leptin on adrenal medullary function of adult rats that were leptin treated during lactation. Adrenal morphology was also accessed. Recombinant murine leptin was injected in the pups during the first 10 days of life (group L, leptin-programmed) or at adulthood during 6 days (group LC). The controls of both experiments received saline (groups C and CC). Both treatments resulted in hyperleptinemia at 150 days old (+78% and 2-fold increase, respectively; P &lt; 0.05). Programmed animals showed hypertrophy of adrenal and higher adrenal catecholamine content at 150 days old (3-fold increase, P &lt; 0.05), and no changes were observed in the LC group. However, LC rats had lower adrenal content of tyrosine hydroxylase (-17%, P &lt; 0.05). Leptin-programmed rats had a lower response to leptin in vitro stimulation (-22%, P &lt; 0.05) and lower expression of key proteins of the leptin signaling pathway, leptin receptor and janus tyrosine kinase 2 in the medullas (-61% and -29%, respectively, P &lt; 0.05). However, they presented higher expression of phosphorylated signal transducer and activator of transcription 3 (+2-fold, P &lt; 0.05). Leptin treatment at adulthood did not affect these parameters. The higher catecholamine synthesis and secretion in the leptin-programmed rats observed in our previous study does not seem to be a consequence of the direct effect of leptin on the medullas. We suggest that the hyperleptinemia of the programmed animals increases adrenal medullary function through sympathetic nervous system activation. In conclusion, high leptin levels on lactation program the activity of the sympathoadrenal system at adulthood that may contribute to the development of adult chronic diseases such as hypertension.",M1
20121251,"Phenylpropanoyl esters from Horseweed (Conyza canadensis) and their inhibitory effects on catecholamine secretion.Three unique phenylpropanoyl 2,7-anhydro-3-deoxy-2-octulosonic acid derivatives were isolated from Conyza canadensis (horseweed). Their structures were defined as rel-(1S,2R,3R,5S,7R)-methyl 7-caffeoyloxymethyl-2-hydroxy-3-feruloyloxy-6,8-dioxabicyclo[3.2.1]octane-5-carboxylate (1), rel-(1S,2R,3R,5S,7R)-methyl 7-feruloyloxymethyl-2-hydroxy-3-feruloyloxy-6,8-dioxabicyclo[3.2.1]octane-5-carboxylate (2), and rel-(1R,2R,3R,5S,7R)-methyl 7-feruloyloxymethyl-2-feruloyloxy-3-hydroxy-6,8-dioxabicyclo[3.2.1]octane-5-carboxylate (3). Compound 1 and a 5:3 mixture of compounds 2 and 3 were demonstrated to inhibit the catecholamine secretion induced by acetylcholine with IC(50) values of 94.65 and 42.35 microM, respectively, and to inhibit the catecholamine secretion induced by veratridine and high [K(+)] at a dose of 100 microM in cultured bovine adrenal <e>medullary</e> cells.",M1
20002295,"Characterization of Ca2+ signaling pathways in mouse adrenal <e>medullary</e> chromaffin cells.In the present study, we characterized the Ca2+ responses and secretions induced by various secretagogues in mouse chromaffin cells. Activation of the acetylcholine receptor (AChR) by carbachol induced a transient intracellular Ca2+ concentration ([Ca2+](i)) increase followed by two phases of [Ca2+](i) decay and a burst of exocytic events. The contribution of the subtypes of AChRs to carbachol-induced responses was examined. Based on the results obtained by stimulating the cells with the nicotinic receptor (nAChR) agonist, 1,1-dimethyl-4-phenylpiperazinium iodide, high K(+) and the effects of thapsigargin, it appears that activation of nAChRs induces an extracellular Ca2+ influx, which in turn activate Ca(2+)-induced Ca2+ release via the ryanodine receptors. Muscarine, a muscarinic receptor (mAChRs) agonist, was found to induce [Ca2+](i) oscillation and sustained catecholamine release, possibly by activation of both the receptor- and store-operated Ca2+ entry pathways. The RT-PCR results showed that mouse chromaffin cells are equipped with messages for multiple subtypes of AChRs, ryanodine receptors and all known components of the receptor- and store-operated Ca2+ entry. Furthermore, results obtained by directly monitoring endoplasmic reticulum (ER) and mitochondrial Ca2+ concentration and by disabling mitochondrial Ca2+ uptake suggest that the ER acts as a Ca2+ source, while the mitochondria acts as a Ca2+ sink. Our results show that both nAChRs and mAChRs contribute to the initial carbachol-induced [Ca2+](i) increase which is further enhanced by the Ca2+ released from the ER mediated by Ca(2+)-induced Ca2+ release and mAChR activation. This information on the Ca2+ signaling pathways should lay a good foundation for future studies using mouse chromaffin cells as a model system.",M1
19878923,"Corticomedullary mixed tumor of the adrenal gland.A 34-year-old woman presented with weight gain, hirsutism, recent hypertension and secondary amenorrhea. Laboratory findings showed hypokalemia, elevated cortisol and androgen levels with normal urine metanephrines and normal aldosteronemia. Abdominal magnetic resonance imaging showed a right heterogeneous adrenal mass measuring 4 x 6 cm with mixed component of fat and adrenal tissue suggesting corticosurrenaloma. After right adrenalectomy, blood pressure normalized and hypokalemia resolved. In the postoperative course, the patient presented adrenal insufficiency treated with hydrocortisone hemisuccinate. Histological examination showed a single tumor mass composed of an admixed population of adrenal cortical and <e>medullary</e> cells. Immunohistochemical evaluation was positive for chromogranin A.",M1
19845618,"Intermittent hypoxia-mediated plasticity of acute O2 sensing requires altered red-ox regulation by HIF-1 and HIF-2.This article provides a brief review of recent studies addressing the effects of chronic intermittent hypoxia (IH) on acute O2 sensing in carotid bodies (CBs) and adrenal <e>medullary</e> chromaffin cells (AMCs) and the underlying mechanisms. Chronic IH upregulates hypoxic sensing ability of CBs and AMCs in adults and neonates. The effects of IH were reversible in adult rats, whereas that of neonatal IH persist into adult life. Reactive oxygen species (ROS) mediate IH-induced changes in O2 sensing. Differential regulation of hypoxia-inducible factors 1 and 2 (HIF-1 and 2) contribute to IH-evoked oxidative stress. HIF-1 activation by IH appears to be linked to increased pro-oxidant(s), whereas downregulation of HIF-2 by IH is coupled to transcriptional downregulation of antioxidant enzyme(s). Thus, the studies with chronic IH suggest novel, hitherto uncharacterized, roles for HIF-1 and HIF-2 in regulating red-ox status leading to plasticity of O2 sensing in CBs and AMCs.",M1
19549564,"Dual effects of lipophilic extract of Salvia miltiorrhiza (Danshen) on catecholamine secretion in cultured bovine adrenal <e>medullary</e> cells.ETHNOPHARMACOLOGICAL RELEVANCE: Salvia miltiorrhiza (Danshen) is a well known traditional Chinese herb, which has been used widely in China for the treatment of cardiovascular diseases in clinic. AIM OF THIS STUDY: The aim of the present study is to clarify the effects of lipophilic extract of Salvia miltiorrhiza (LESM) on catecholamine (CA) secretion, a traditional Chinese medicine used widely for the treatment of cardiovascular diseases in China. MATERIALS AND METHODS: LESM was evaluated for its effects on CA secretion using HPLC-ECD method. The effects of LESM on 22Na+ influx and intracellular calcium ([Ca2+]i) were also investigated. RESULTS: Our results showed that LEMS directly stimulated basal CA secretion in an extracellular Ca2+-dependent manner. And the stimulation was not affected by combination of hexamethonium (Hex),an inhibitor of nAChR. LESM also directly elevated [Ca2+]i. In addition, using selective blockers of voltage-dependent Ca2+ channels, such as nitrendipine (for L-type), omega-agatoxin-IVA (for P-type) and -conotoxin-GVIA (for N-type), it was found that nitrendipine suppressed the elevation of [Ca2+]i induced by LESM, but not omega-agatoxin-IVA or omega-conotoxin-GVIA. Compared with acetylcholine (ACh) only, however, combination of LESM with ACh inhibited the raise of CA secretion, 22Na+ influx and [Ca2+]i in a concentration-dependent manner. Furthermore, LESM also inhibited CA secretion induced by veratridine (Ver), and 56 mM K+ at concentrations similar to those for [Ca2+]i rise. One of the lipophilic active compounds, cryptotanshione (Cryp), also had the same effects on CA secretion with LESM. CONCLUSIONS: All these findings suggest that LESM exerts dual effects on CA secretion in cultured bovine adrenal medullary cells. LESM exerts antagonistic effects on nAChR, voltage-dependent Na+ and Ca2+ channels, whereas it is an agonist of L-type Ca2+ channel when it used alone.",M1
19508428,"PACAP regulates immediate catecholamine release from adrenal chromaffin cells in an activity-dependent manner through a protein kinase C-dependent pathway.Adrenal <e>medullary</e> chromaffin cells are a major peripheral output of the sympathetic nervous system. Catecholamine release from these cells is driven by synaptic excitation from the innervating splanchnic nerve. Acetylcholine has long been shown to be the primary transmitter at the splanchnic-chromaffin synapse, acting through ionotropic nicotinic acetylcholine receptors to elicit action potential-dependent secretion from the chromaffin cells. This cholinergic stimulation has been shown to desensitize under sustained stimulation, yet catecholamine release persists under this same condition. Recent evidence supports synaptic chromaffin cell stimulation through alternate transmitters. One candidate is pituitary adenylate cyclase activating peptide (PACAP), a peptide transmitter present in the adrenal medulla shown to have an excitatory effect on chromaffin cell secretion. In this study we utilize native neuronal stimulation of adrenal chromaffin cells in situ and amperometric catecholamine detection to demonstrate that PACAP specifically elicits catecholamine release under elevated splanchnic firing. Further data reveal that the immediate PACAP-evoked stimulation involves a phospholipase C and protein kinase C-dependent pathway to facilitate calcium influx through a Ni2+ and mibefradil-sensitive calcium conductance that results in catecholamine release. These data demonstrate that PACAP acts as a primary secretagogue at the sympatho-adrenal synapse under the stress response.",M1
19503019,"Glucocorticoid treatment--effect on adrenal <e>medullary</e> catecholamine production.Glucocorticoid and epinephrine are important stress hormones secreted from the adrenal gland during critical illness. Adrenal glucocorticoid stimulates phenylethanolamine N-methyltransferase (PNMT) to convert norepinephrine to epinephrine in the adrenal medulla. Glucocorticoid is sometimes used in catecholamine-resistant septic shock in critically ill patients. By suppressing adrenal glucocorticoid production, glucocorticoid therapy might also reduce the secretion of epinephrine during stress. To investigate this, we used a mouse model subjected to glucocorticoid therapy under basal conditions (experiment 1) and during stress (experiment 2). In experiment 1, pellets containing 0% to 8% dexamethasone were implanted subcutaneously in mice for 4 weeks. In experiment 2, animals received 14 days of intraperitoneal injections of normal saline, low- or high-dose dexamethasone, followed by 2 h of restraint. We found that in experiment 1, adrenal corticosterone did not differ with dexamethasone treatment. Phenylethanolamine N-methyltransferase messenger RNA levels and adrenal catecholamines were highest in the 8% dexamethasone group. Compared with experiment 1, restrained control mice in experiment 2 had high adrenal corticosterone, which decreased with dexamethasone. Phenylethanolamine N-methyltransferase messenger RNA content doubled with restraint but decreased with dexamethasone treatment. As in experiment 1, adrenal catecholamine content increased significantly with dexamethasone treatment. We conclude that without stress, when adrenocorticotropic hormone is low, high doses of exogenous dexamethasone stimulate PNMT and catecholamine synthesis, likely independently of adrenal corticosterone concentration. After stress, adrenocorticotropic hormone levels are elevated, and exogenous dexamethasone suppresses endogenous corticosterone and PNMT production. Nonetheless, catecholamines increase, possibly due to direct neural stimulation, which may override the hormonal regulation of epinephrine synthesis during stress.",M1
19207826,"Interferon-alpha signalling in bovine adrenal chromaffin cells: involvement of signal-transducer and activator of transcription 1 and 2, extracellular signal-regulated protein kinases 1/2 and serine 31 phosphorylation of tyrosine hydroxylase.Adrenal <e>medullary</e> chromaffin cells are an integral part of the neuroendocrine system, playing an important role in the physiological adaptation to stress. In response to a wide variety of stimuli, including acetylcholine released from the splanchnic nerve, hormones such as angiotensin II or paracrine signals such as prostaglandins, chromaffin cells synthesise and secrete catecholamines and a number of biologically active peptides. This adrenal medullary output mediates a complex and diverse stress response. We report that chromaffin cells also respond both acutely and chronically to interferon (IFN)-alpha, thus providing a mechanism of interaction between the immune system and the stress response. Incubation of isolated bovine chromaffin cells maintained in culture, with IFN-alpha resulted in a rapid, transient activation of the extracellular signal-regulated protein kinase (ERK)1/2, which was maximal after 5 min. IFN-alpha mediated activation of ERK1/2 appeared to be responsible for the increased phosphorylation of tyrosine hydroxylase, the rate-limiting enzyme in catecholamine synthesis. This tyrosine hydroxylase phosphorylation was exclusively on serine 31, with no change in the phosphorylation of serine 19 or 40. This increase in the serine 31 phosphorylation of tyrosine hydroxylase was prevented by inhibition of protein kinase C or ERK1/2 activation. Incubation with IFN-alpha also resulted in a time- and concentration-dependent phosphorylation and nuclear translocation of signal transducer and activator of transcription proteins (STAT)1 and 2. This response was maximal after approximately 60 min. Prolonged treatment with IFN-alpha (12-48 h) resulted in increased expression of STAT1 and, to a lesser extent, STAT2. Thus, these findings demonstrate that adrenal medullary chromaffin cells are responsive to IFN-alpha and provide a possible cellular mechanism by which this immune-derived signal can potentially influence and integrate with the stress response.",M1
19176761,"Ca2+ pathway involved in the refilling of store sites in rat adrenal <e>medullary</e> cells.It has been suggested that store-operated Ca(2+) entry (SOC) facilitates catecholamine secretion and synthesis in bovine adrenal medullary (AM) cells. However, there has been no experimental result clearly showing that cation channel activity is enhanced by store Ca(2+) depletion. Thus the present experiments were undertaken to address the issue of whether rat AM cells have SOC channels. Inhibition of the sarco(endo)plasmic reticulum Ca(2+) (SERCA) pump resulted in a sustained increase in intracellular Ca(2+) concentration ([Ca(2+)](i)) in rat AM cells. This increase was completely suppressed by 2 mM Ni(2+) but not by 100 muM D600. A bath application of Ni(2+), but not D600, produced an outward current at -60 mV in rat AM cells, whereas exposure to a SERCA pump inhibitor did not affect either the whole cell current level or the Ni(2+)-induced outward current. The refilling of intracellular store sites was suppressed by the addition of Ni(2+) to the perfusate. RT-PCR revealed that transcripts for transient receptor potential channels 1 (TRPC1) and 5 (TRPC5) were present in rat adrenal medullas. Immunocytochemistry showed that TRPC1 channels, which have been implicated in SOC in certain types of cells, were mainly localized in the endoplasmic reticulum (ER) and not in the plasma membrane, and that STIM1, a Ca(2+) sensor in the ER, was not expressed in rat AM cells. On the basis of these results, we conclude that rat AM cells lack the SOC mechanism.",M1
