@RELATION C0026131_C0026140

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20523064,"Basophil activation marker CD203c is useful in the diagnosis of hen's egg and cow's <e>milk</e> allergies in children.BACKGROUND: The diagnosis of food allergy (FA) is usually based on oral food challenge tests (OFC). However, OFCs occasionally induce severe adverse reactions. CD203c expression on basophils is emerging as a potential diagnostic index. We evaluated whether CD203c expression on basophils would be a useful marker of OFC-associated symptoms in hen's egg and cow's milk allergies in children. METHODS: Seventy-one patients who had been diagnosed with FA based on OFCs or a convincing history of FA symptoms in the Department of Pediatrics, Sagamihara National Hospital, were recruited. CD203c expression was assessed after stimulation with antigens (egg white, ovomucoid, milk or casein) using allergenicity kits. The CD203c stimulation index (SI = the allergen-induced CD203c expression level divided by the baseline expression level) and the threshold of CD203c expression (the minimum concentration of antigen to induce CD203c SI &gt;or=2) were analyzed in association with tolerance acquisition. RESULTS: For the CD203c SI, the areas under the receiver-operating characteristic curve were 0.72 for egg white, 0.82 for ovomucoid, 0.84 for milk and 0.67 for casein. The positive predictive value for the threshold of CD203c expression was 94.7% for egg white, 100% for ovomucoid, 85.7% for milk and 75.0% for casein. CONCLUSIONS: Assessment of food antigen-induced CD203c expression on basophils is useful to determine if children will outgrow FA as well as in decision making regarding whether or not to perform OFCs.",M1
20527578,"Salt fluoridation: a meta-analysis of its efficacy for caries prevention.The aim of this meta-analysis was to assess the caries preventive effect of Salt fluoridation (SF) in the permanent dentition in children. THE OBJECTIVES WERE TO COMPARE: (1) the caries preventive effects of SF versus no exposure in different age cohorts (6-8; 9-12; and 13-15 years old); (2) SF versus other community based interventions (<e>milk</e> or water fluoridation [WF]). METHODS: 9 English and 2 non-English databases were searched for papers that reported on the caries preventive effect of groups (with controls) that were exposed to SF in the form of mean DMFT scores with standard deviations. Differences in exposed and nonexposed groups were computed on the basis of weighted mean differences (WMDs) with 95% confidence intervals (CIs). RESULTS: For 6-8 year olds, the pooled reduction in DMFT scores was -0.98 [95% CI: -1.68 to -0.29]; for 9-12 year olds, it was -2.13 [95% CI: -2.55 to -1.70] and for the 13-15 year old groups, -4.22 [95% CI: -6.84 to -1.55]. All the analyses favoured the SF groups (p &lt;0.001). For SF versus WF, there was no difference (-0.11 reduction [95% CI: -0.29 to +0.07]). CONCLUSION: Within limitations, the pooled estimates of the WMDs for the different age cohorts favoured SF versus no exposure.",M1
20497785,"Psychosocial factors influencing calcium intake and bone quality in middle school girls.Calcium intake has been associated with promoting bone health in children and adolescents, thus preventing osteoporosis later in life. Behavior change such as increased calcium intake, as well as physiological factors such as bone quality, may be facilitated by psychosocial and environmental factors. The purpose of this study was to identify pathways by which psychosocial factors influence calcium intake and bone quality in middle school girls. The study design was cross-sectional. Baseline data from the Incorporating More Physical Activity and Calcium in Teens (IMPACT) study, collected in 2001-2003, were used. IMPACT was a 1.5-year nutrition and physical activity intervention study, designed to improve bone density in 717 middle school girls in Texas. Main outcome measures were calcium intake determined using mean milligrams of calcium consumed per day and number of glasses of <e>milk</e> consumed per day, and bone quality determined using a calcaneal stiffness index. Confirmatory factor analysis and path analysis were performed to identify the direct and indirect pathways used by various psychosocial factors such as knowledge, self-efficacy, outcome expectations, and milk availability at home, to influence calcium intake and bone quality. Results showed that knowledge of osteoporosis and calcium-rich foods had an indirect effect on calcium intake, with outcome expectations as the mediating variable (beta=.035 and beta=.03, respectively; P&lt;0.05). Calcium self-efficacy had a significant indirect effect on calcium intake, with outcome expectations as the mediator (beta=.085, P&lt;0.05). None of the variables significantly influenced bone quality. Thus, several direct and indirect pathways used to influence calcium intake among adolescent girls were identified. These findings are critical for the development of effective interventions to promote calcium intake in this population.",M1
20496828,"[New infection rate of bovine mammary glands after application of an internal teat seal at dry off]The internal teat sealant OrbeSeal (Pfizer Animal Health) should prevent new IMI throughout the dry period. The aim of our field studies was to determine the efficacy of infusion with an internal teat seal at dry off in reducing new intramammary infections during the dry period in relation to an untreated control. In experiment 1 128 cows were enrolled from 24 dairy herds in Lower Saxony. Prior to final milking, all quarters were sampled for bacteriological culture and SCC analysis in three weekly intervals. After final milking, all 4 quarters of test group animals were infused with a commercially available internal teat seal. Following calving quarter <e>milk</e> samples were collected between 1 to 3 DIM and again between 8 to 10 and 15 to 17 DIM for culture and SCC analysis. The rate of new IMI during the dry period was 7.4% of quarters in the OrbeSeal-group and 12.7% in the control group, resp. In experiment 2 the new infection rate of udder quarters treated with OrbeSeal was evaluated in a split udder design with 93 cows healthy on all four udder quarters from six dairy farms in North Germany. In this study the front right and rear left udder quarters were treated, while both other quarters served as control. Applied methods occurred like in experiment 1. Here a new infection rate of 2.8% (OrbeSeal group) and in the control group a new infection rate of 11.5% was reached (P &lt; 0.05).",M1
20484449,"Biomarkers of <e>milk</e> fat and the risk of myocardial infarction in men and women: a prospective, matched case-control study.BACKGROUND: High intakes of saturated fat have been associated with cardiovascular disease, and milk fat is rich in saturated fat. OBJECTIVE: The objective of this study was to investigate the association between the serum milk fat biomarkers pentadecanoic acid (15:0), heptadecanoic acid (17:0), and their sum (15:0+17:0) and a first myocardial infarction (MI). DESIGN: The study design was a prospective case-control study nested within a large population-based cohort in Sweden. Included in the study were 444 cases (307 men) and 556 controls (308 men) matched on sex, age, date of examination, and geographic region. Clinical, anthropometric, biomarker fatty acid, physical activity, and dietary data were collected. The odds of a first MI were investigated by using conditional logistic regression. RESULTS: In women, proportions of milk fat biomarkers in plasma phospholipids were significantly higher (P &lt; 0.05) in controls than in cases and were, in general, negatively, albeit weakly, correlated with risk factors for metabolic syndrome. The crude standardized odds ratios of becoming an MI case were 0.74 (95% CI: 0.58, 0.94) in women and 0.91 (95% CI: 0.77, 1.1) in men. After multivariable adjustment for confounders, the inverse association remained in both sexes and was significant in women. In agreement with biomarker data, quartiles of reported intake of cheese (men and women) and fermented milk products (men) were inversely related to a first MI (P for trend &lt; 0.05 for all). CONCLUSIONS: Milk fat biomarkers were associated with a lower risk of developing a first MI, especially in women. This was partly confirmed in analysis of fermented milk and cheese intake. Components of metabolic syndrome were observed as potential intermediates for the risk relations.",M1
20480913,"Determination of trans vitamin K1 in infant and medical nutritional products using AOAC Method 999.15 with modified preparation and extraction procedures and C30 bonded phase chromatography: single-laboratory validation.Modifications were made to AOAC Official Method 999.15 to extend its applicability to specialty infant formulas containing hydrolyzed proteins and free amino acids, and to medical and adult nutritional products. Minor changes to the sample preparation procedure and chromatographic separation improved vitamin K1 recoveries and reduced chromatographic interferences in these types of matrixes. Currently AOAC Method 999.15 is applicable only to the determination of total vitamin K1 (phylloquione) in infant formula and <e>milk</e> (fluid, ready-to-feed, and powdered) containing &gt; 1 microg vitamin K1/100 g solids. AOAC Method 999.15 recoveries of vitamin K1 were improved by altering sample sizes, extraction solvents and amounts, and the reagent addition order and amount of water or aqueous solutions added. The chromatographic separation of vitamin K1 in medical nutritional products containing canola and marine oils was improved, and trans vitamin K1 was separated from the biologically inactive cis isomer in all products with a C30 3 microm column and a 100% methanol mobile phase. With these modifications to the extraction procedure and chromatographic separation, AOAC Method 999.15 demonstrated acceptable precision and accuracy for the quantitation of trans vitamin K1 in specialty infant formulas containing hydrolyzed proteins and free amino acids, and medical and adult nutritional products. A single-laboratory validation of these minor modifications was completed. Fourteen different product matrixes were analyzed during validation. The intermediate precision averaged 4.15% RSD (range 2.52-5.81% RSD), and recovery data averaged 100.1% (range 92.2-109%).",M1
20480910,"Determination of immunoglobulin G in bovine colostrum and <e>milk</e> powders, and in dietary supplements of bovine origin by protein G affinity liquid chromatography: collaborative study.An AOAC collaborative study was conducted to evaluate an affinity LC procedure for measuring immunoglobulin G (IgG) in selected dairy powders. The powders were extracted with 0.15 M sodium chloride solution and the pH was adjusted to 4.6 to precipitate caseins, which would otherwise lead to an overestimation of IgG. The analyte was then bound to a commercially available Protein G affinity cartridge and selectively eluted with a glycine buffer at pH 2.5. Detection was at 280 nm and quantification was made against a calibration curve prepared from bovine serum IgG. The samples analyzed included the likely matrixes for which this assay will find commercial use, namely, high- and low-protein-content colostrum powders, tablets containing colostrum powder, and some IgG-containing dairy powders; milk protein isolate, whey protein concentrate, and skim milk powder. Eleven laboratories provided data for the study and assayed blind duplicates of six materials. The repeatability RSD values ranged from 2.1 to 4.2% and the reproducibility RSD values ranged from 6.4 to 18.5%. The Protein G method with casein removal has adequate reproducibility for measuring IgG in colostrum-derived powders that are traded on the basis of IgG content as a colostral marker.",M1
20480905,"Detection of staphylococcal enterotoxin B in <e>milk</e> and milk products using immunodiagnostic lateral flow devices.Staphylococcal enterotoxin B (SEB) is an extracellular pyrotoxin produced by Staphylococcus aureus, a known etiologic agent of food poisoning in humans. Lateral flow immunochromatographic devices (LFDs) designed for the environmental detection of SEB were adapted for use in this study to detect SEB in milk containing 2% fat, chocolate-flavored milk, and milk-derived products such as yogurt, infant formula, and ice cream. The advantage of using LFDs in these particular food products was its ease and speed of use with no additional extraction methods needed. No false positives were observed with any of the products used in this study. Dilution of the samples overcame the Hook effect and permitted capillary flow into the membrane. Thus, semisolid products such as ice cream and some yogurts, and products containing thickeners needed to be diluted using a phosphate-buffered saline-based buffer, pH 7.2. SEB was easily detected at concentrations of 5 microg/mL and 500 ng/mL when the LFDs were used. SEB was also reliably detected at concentrations below 5 and 0.25 ng/mL, which may induce serious disease.",M1
20480893,"Second-derivative spectrometric determination of urea in <e>milk</e> using the diacetyl monoxime reagent.The application of derivative spectrometry to resolve overlapping spectra and improve the sensitivity and selectivity of the colorimetric determination of urea in milk using diacetyl monoxime is presented. With first-derivative (1D) spectrometry, the lambda(max) of the colored complex was established to be 525 nm. The absorption band at lambda(max) = 525 nm in normal absorption (0D) spectrometry was resolved into three clearly distinct spectral bands with minima at 497, 530, and 566 nm with second-derivative (2D) spectrometry. With the second-derivative (2D530) technique, the depth of the trough of the strongest signal at 530 nm was used to determine urea in milk samples. Linear calibration curves for urea were obtained over a concentration range of 0.2-1.4 mg/L, with correlation coefficients greater than 0.999. The LOD and LOQ of the method were 0.01 and 0.03 mg/L, respectively. Recoveries of 99-100% of spiked urea in milk with RSD values below 2.0% were obtained. The second-derivative method is simple, affordable, sensitive, and selective for the determination of urea in milk.",M1
20480889,"Validation procedures for quantitative food allergen ELISA methods: community guidance and best practices.This document provides supplemental guidance on specifications for the development and implementation of studies to validate the performance characteristics of quantitative ELISA methods for the determination of food allergens. It is intended as a companion document to other existing publications on method validation. The guidance is divided into two sections: information to be provided by the method developer on various characteristics of the method, and implementation of a multilaboratory validation study. Certain criteria included in the guidance are allergen-specific. Two food allergens, egg and <e>milk</e>, are used to demonstrate the criteria guidance. These recommendations will be the basis of the harmonized validation protocol for any food allergen ELISA method, whether proprietary or nonproprietary, that will be submitted to AOAC and/or regulatory authorities or other bodies for status recognition. Regulatory authorities may have their own particular requirements for data packages in addition to the guidance in this document. Future work planned for the implementation and validation of this guidance will include guidance specific to other priority allergens.",M1
