@RELATION C0324740_C0027960

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20214773,"A phylogenetic estimate for golden <e>moles</e> (Mammalia, Afrotheria, Chrysochloridae).BACKGROUND: Golden moles (Chrysochloridae) are small, subterranean, afrotherian mammals from South Africa and neighboring regions. Of the 21 species now recognized, some (e.g., Chrysochloris asiatica, Amblysomus hottentotus) are relatively common, whereas others (e.g., species of Chrysospalax, Cryptochloris, Neamblysomus) are rare and endangered. Here, we use a combined analysis of partial sequences of the nuclear GHR gene and morphological characters to derive a phylogeny of species in the family Chrysochloridae. RESULTS: Although not all nodes of the combined analysis have high support values, the overall pattern of relationships obtained from different methods of phylogeny reconstruction allow us to make several recommendations regarding the current taxonomy of golden moles. We elevate Huetia to generic status to include the species leucorhinus and confirm the use of the Linnean binomial Carpitalpa arendsi, which belongs within Amblysominae along with Amblysomus and Neamblysomus. A second group, Chrysochlorinae, includes Chrysochloris, Cryptochloris, Huetia, Eremitalpa, Chrysospalax, and Calcochloris. Bayesian methods make chrysochlorines paraphyletic by placing the root within them, coinciding with root positions favored by a majority of randomly-generated outgroup taxa. Maximum Parsimony (MP) places the root either between chrysochlorines and amblysomines (with Chlorotalpa as sister taxon to amblysomines), or at Chlorotalpa, with the former two groups reconstructed as monophyletic in all optimal MP trees. CONCLUSIONS: The inclusion of additional genetic loci for this clade is important to confirm our taxonomic results and resolve the chrysochlorid root. Nevertheless, our optimal topologies support a division of chrysochlorids into amblysomines and chrysochlorines, with Chlorotalpa intermediate between the two. Furthermore, evolution of the chrysochlorid malleus exhibits homoplasy. The elongate malleus has evolved just once in the Cryptochloris-Chrysochloris group; other changes in shape have occurred at multiple nodes, regardless of how the root is resolved.",M1
20138223,"Molecular systematics and evolutionary biogeography of the genus Talpa (Soricomorpha: Talpidae).The range of the genus Talpa covers almost all Europe up to Western Asia. This genus has never been the object of comprehensive systematic studies using molecular and genetic techniques, such that the evolutionary relationships among species remain unclear. Talpa shows high levels of endemism, and the influence of past glaciation cycles on the distribution pattern of several species has been hypothesized. In this work, we assessed the molecular systematics of the genus using the mitochondrial gene cytochrome b from eight of the nine extant species of Talpa <e>moles</e>. Furthermore, molecular clock estimations were used to hypothesize a biogeographic scenario in concordance with fossil data. Results suggest a monophyletic origin of the genus and a common ancestor for the western European moles T. europaea, T. caeca, T. romana and T. occidentalis. The eastern species T. altaica and T. caucasica are basally divergent. The estimated ages of divergence among lineages are in accordance with a Miocene origin of the extant moles. The genus likely originated in Asia, spreading into Europe during the Pliocene. The evolution of moles appears to have been driven by changes in moisture levels that influenced extinction and speciation events during the Miocene and the Pliocene. Pleistocene climatic oscillations likely caused the range shrinkages and expansions that led to the current distribution pattern of most Talpa species.",M1
19582155,"Evolutionary insights from a genetically divergent hantavirus harbored by the European common mole (Talpa europaea).BACKGROUND: The discovery of genetically distinct hantaviruses in shrews (Order Soricomorpha, Family Soricidae) from widely separated geographic regions challenges the hypothesis that rodents (Order Rodentia, Family Muridae and Cricetidae) are the primordial reservoir hosts of hantaviruses and also predicts that other soricomorphs harbor hantaviruses. Recently, novel hantavirus genomes have been detected in <e>moles</e> of the Family Talpidae, including the Japanese shrew mole (Urotrichus talpoides) and American shrew mole (Neurotrichus gibbsii). We present new insights into the evolutionary history of hantaviruses gained from a highly divergent hantavirus, designated Nova virus (NVAV), identified in the European common mole (Talpa europaea) captured in Hungary. METHODOLOGY/PRINCIPAL FINDINGS: Pair-wise alignment and comparison of the full-length S- and L-genomic segments indicated moderately low sequence similarity of 54-65% and 46-63% at the nucleotide and amino acid levels, respectively, between NVAV and representative rodent- and soricid-borne hantaviruses. Despite the high degree of sequence divergence, the predicted secondary structure of the NVAV nucleocapsid protein exhibited the characteristic coiled-coil domains at the amino-terminal end, and the L-segment motifs, typically found in hantaviruses, were well conserved. Phylogenetic analyses, using maximum-likelihood and Bayesian methods, showed that NVAV formed a distinct clade that was evolutionarily distant from all other hantaviruses. CONCLUSIONS: Newly identified hantaviruses harbored by shrews and moles support long-standing virus-host relationships and suggest that ancestral soricomorphs, rather than rodents, may have been the early or original mammalian hosts.",M1
19382159,"SOX9 is not required for the cellular events of testicular organogenesis in XX mole ovotestes.Mammalian sex determination is the genetic process that commits the undifferentiated bipotential gonads to develop as either testes or ovaries. The differentiation of SOX9-expressing Sertoli cells is assumed to be necessary to initiate testis development. Insectivorous <e>moles</e> of the genus Talpa represent a unique case of generalized true hermaphroditism, as XX female moles constitutively develop two ovotestes instead of normal ovaries. In this work, we have investigated the expression patterns of a number of genes known to play key roles in gonad organogenesis, throughout the entire process of ovotestis development in female moles. Molecular and morphological evidence are provided that these ovotestes contain primary medullary testis-like cords, Leydig cells, peritubular myoid cells, and a testis-specific vasculature, but no Sertoli cells. Our results show for the first time that SOX9 is not required for the formation of the primary testis cords, but it is necessary for the maintenance and subsequent development of these cords. In addition, the expression pattern of WNT4 in male and female moles indicates that this gene inhibits Leydig cell differentiation and, contrary to the proposed scenario in the mouse, it is not required for the colonization and survival of primordial germ cells. According to our data, mole ovotestes result from a process of PDGFRalpha-mediated mesonephric cell migration, which occurs simultaneously in both sexes. The fact that FST remains inactive during the critical stages of female gonad development, explains the lack of migration inhibition, and may be a consequence of improper WNT4 signalling in the mole.",M1
19341331,"Genotoxic assessment of small mammals at an illegal dumpsite at the Aomori-Iwate prefectural boundary.In 2003, we examined the chromosomes of grass voles at an illegal dumpsite at the Aomori-lwate prefectural boundary. In subsequent years, from 2003-2006, we surveyed the chromosomes of four species of small mammals, namely, the Japanese grass vole (Microtus montebelli), the large Japanese field mouse (Apodemus speciosus), the small Japanese field mouse (A. argenteus), and the greater Japanese shrew mole (Urotrichus talpoides). Each annual survey revealed, both on a yearly basis and during the entire period in question, that the frequencies of breaks and gaps in chromosomes of M. montebelli were significantly higher at the dumpsite than on the outskirts and in controls, suggesting that grass voles at the dumpsite have been subject to continuous genotoxic effects since the establishment of the dumpsite. We also ascertained that grass voles are much more susceptible to chromosomal damage than field mice and shrew <e>moles</e>, which had very low levels of chromosomal aberrations at the dumpsite, on the outskirts of the dumpsite, and in controls. Our four-year survey revealed two variants of M. montebelli from the dumpsite with M6 fission (2n=31), two variants of A. speciosus from the outskirts with XO monosomy (2n=47, XO), and a variant of A. speciosus from the dumpsite with situs inversus. Our analysis confirms our previously proposed hypothesis that M. montebelli might be useful as an indicator species for genotoxic assessment of below-ground pollution by industrial waste at illegal dumpsites.",M1
18852902,"Worm grunting, fiddling, and charming--humans unknowingly mimic a predator to harvest bait.BACKGROUND: For generations many families in and around Florida's Apalachicola National Forest have supported themselves by collecting the large endemic earthworms (Diplocardia mississippiensis). This is accomplished by vibrating a wooden stake driven into the soil, a practice called  worm grunting . In response to the vibrations, worms emerge to the surface where thousands can be gathered in a few hours. Why do these earthworms suddenly exit their burrows in response to vibrations, exposing themselves to predation? PRINCIPAL FINDINGS: Here it is shown that a population of eastern American <e>moles</e> (Scalopus aquaticus) inhabits the area where worms are collected and that earthworms have a pronounced escape response from moles consisting of rapidly exiting their burrows to flee across the soil surface. Recordings of vibrations generated by bait collectors and moles suggest that  worm grunters  unknowingly mimic digging moles. An alternative possibility, that worms interpret vibrations as rain and surface to avoid drowning is not supported. CONCLUSIONS: Previous investigations have revealed that both wood turtles and herring gulls vibrate the ground to elicit earthworm escapes, indicating that a range of predators may exploit the predator-prey relationship between earthworms and moles. In addition to revealing a novel escape response that may be widespread among soil fauna, the results show that humans have played the role of  rare predators  in exploiting the consequences of a sensory arms race.",M1
18758166,"Comparative cytogenetics of <e>moles</e> (Eulipotyphla, Talpidae): chromosomal differences in Talpa romana and T. europaea.The genus Talpa is the most specious and widespread one in the family Talpidae. The existing karyological records are predominantly basic morphological descriptions. To further investigate the case in point, we performed a comparative cytogenetic study in the genus by comparing G- and C-chromosome banding and NOR patterns of the two European species, T. romana and T. europaea, along with available data regarding several other mole species. Chromosomal hybridization patterns for telomeric repeats and major and 5S ribosomal RNA genes were obtained in T. romana and T. europaea for the first time. The comparison of these patterns revealed differences in distribution of interstitial telomeric repeats and 5S ribosomal RNA genes in the two species with apparently identical karyotypes but different evolutionary histories.",M1
18544934,"Chromosomal evolution and distribution of telomeric repeats in golden <e>moles</e> (Chrysochloridae, Mammalia).Golden moles (Chrysochloridae) are small, subterranean mammals endemic to sub-Saharan Africa that together with tenrecs constitute one of six orders in Afrotheria. Here we present a comprehensive karyotypic comparison among six species/subspecies of golden moles based on G-banding and chromosome painting. By expanding the species representation to include a further five species recently published in a companion paper, we were able to map the distribution of telomeric repeats in ten species/subspecies that are representative of six of the nine currently recognized genera. We conclude that: (i) the monophyly of Amblysomus is supported by the amplification of heterochromatin in several pericentric regions and one intrachromosomal rearrangement; (ii) A. hottentotus meesteri groups as sister to a clade that contains A. h. hottentotus, A. h. longiceps, A. h. pondoliae and A. robustus, an association that is underpinned by a shared intrachromosomal rearrangement and the detection of telomeric sequences in the centromeres of all chromosomes of the three A. hottentotus subspecies and A. robustus but, importantly, not in those of A. h. meesteri. These findings indicate an absence of gene flow suggesting that A. h. meesteri should be elevated to specific status. We hypothesize that the lack of gene flow may, in part, reflect hybrid dysgenesis resulting from abnormal meiotic segregation as a consequence of differences in the nature of the centromeric specific satellites; (iii) chromosomes 7 and 13 of Chrysochloris asiatica are fused in both Calcochloris obtusirostris and Eremitalpa granti, but that the position of the centromere in the fused chromosome differs in each species. This suggests that rather than being indicative of common ancestry, the fusion is more likely a convergent character which has arisen independently in each lineage. Furthermore our painting data show two centromeric shifts that are probably autapomorphic for C. obtusirostris. Finally, we conclude that (iv) golden moles are characterized by strong karyotypic conservatism but in marked contrast to the constrained rates of change exhibited by most species, A. robustus is unique in that three autapomorphic fissions define its evolutionary history, and hence the more extensive reshuffling of its genome.",M1
18391517,"Meiosis onset is postponed to postnatal stages during ovotestis development in female <e>moles</e>.In mammals, germ cells are important both during development and for the function of female gonads, whereas male gonads may develop in the absence of germ cells. The gonads of female moles (genus Talpa) develop according to a testis-like pattern which results in the formation of ovotestes. In this paper, we studied the expression pattern of several pre-meiotic and meiotic germ cell markers, in order to establish the precise time of meiosis onset in the mole species T. occidentalis, and to investigate the location and possible role of germ cells in ovotestis organogenesis. Our results evidenced that: (1) the asymmetrical distribution of primordial germ cells, which concentrate in the cortex of the XX gonad, is brought about by germ cell depletion from the medulla between the s5a and s5b stages, (2) XX germ cells enter meiosis postnatally, which is quite exceptional among eutherian mammals, and (3) XX but not XY germ cells of moles express DMRT1 during premeiotic stages of development, an expression pattern not described previously in vertebrates.",M1
18085526,"The evolution of female mole ovotestes evidences high plasticity of mammalian gonad development.Previous studies of the reproductive biology and genetics of European <e>moles</e> (Talpa spp.) showed that all females of these species have ovotestes (gonads with testicular and ovarian tissue) instead of normal ovaries, a unique specialization among mammals. Females are fertile as their ovarian tissue is fully functional. Testicular tissue is abnormal and sterile, but produces high levels of testosterone. This phenomenon also characterizes other talpid species from Europe and North America. To study the origin of this singular reproductive specialization, we examined the gonads of several female specimens belonging to two critical taxa. Although large Japanese moles (Mogera wogura) posses ovotestes, greater Japanese shrew moles (Urotrichus talpoides) are characterized by normal ovaries. The results fit parsimoniously with a recent phylogenetic study that places Urotrichus relatively basal in the talpid tree and separate from the American shrew mole. Parsimony reconstruction on alternative phylogenetic hypotheses clearly indicates that reversal(s) must have occurred and suggests that a relatively simple genetic mechanism must be associated with the evolution of female hermaphroditism in moles.",M1
17978831,"Deaths caused by mole guns: three case reports.Possession of firearms is limited because of the technological requirements in production and strict laws. However, anyone can manufacture a handmade firearm by following simple instructions and has no legal liability. A mole gun is an unusual weapon used to kill <e>moles</e> in agricultural areas. It propels pellets in a similar way as a shotgun. This study presents three cases of death caused by mole guns. Two of the cases were accidental, and the other case was suicidal. The first case involved a 51-year-old man who was checking the mole gun when it fired, injuring his left eye and the left region of his face. He died in the hospital after 3 days of medical treatment. The second case was a 78-year-old man, who had been intermittently treated for depression over the last 15 years. He died instantly after placing the mole gun vertically against his head and firing it. The third case was a 43-year-old man who had been trying to set up a mole gun device in his potato field when the weapon accidentally discharged. The victim was injured seriously and died in the hospital a short time later. In conclusion, because the mole gun may cause lethal wounds in humans when fired from a short distance, the researchers believe that its production and use should be in accordance with firearms laws.",M1
17387732,"Fine structure of Eimer's organ in the coast mole (Scapanus orarius).Eimer's organ is a small, densely innervated sensory structure found on the glabrous rhinarium of most talpid <e>moles</e>. This structure consists of an epidermal papilla containing a central circular column of cells associated with intraepidermal free nerve endings, Merkel cell neurite complexes, and lamellated corpuscles. The free nerve endings within the central cell column form a ring invested in the margins of the column, surrounding 1-2 fibers that pass through the center of the column. A group of small-diameter nociceptive free nerve endings that are immunoreactive for substance P surrounds this central ring of larger-diameter free nerve endings. Transmission electron microscopy revealed a high concentration of tonofibrils in the epidermal cells of the central column, suggesting they are more rigid than the surrounding keratinocytes and may play a mechanical role in transducing stimuli to the different receptor terminals. The intraepidermal free nerve endings within the central column begin to degrade 15 microm from the base of the stratum corneum and do not appear to be active within the keratinized outer layer. The peripheral free nerve endings are structurally distinct from their counterparts in the central column and immunocytochemical double labeling with myelin basic protein and substance P indicates these afferents are unmyelinated. Merkel cell-neurite complexes and lamellated corpuscles are similar in morphology to those found in a range of other mammalian skin.",M1
17297137,"Response properties of primary afferents supplying Eimer's organ.The mole's nose is covered with mechanosensory structures called Eimer's organs. Each organ contains Merkel cell-neurite complexes, Paciniform corpuscles and intraepidermal free nerve endings. The function of Eimer's organ has been the subject of speculation since the 1800s, but responses from the afferents have never been investigated. Our goal was to explore the function of Eimer's organ by recording primary afferent responses to a range of mechanosensory stimuli. Unit activity from the trigeminal ganglion was recorded from coast (Scapanus orarius) and star-nosed (Condylura cristata) <e>moles</e>, while stimulating the nose with a Chubbuck mechanosensory stimulator, a piezo-electric sweeping stimulator, and hand-held probes. Stimuli included static indentations, sinusoidal displacements, different indentation velocities, displacement amplitudes, and directional stimuli across the skin. Receptive fields were small, sometimes restricted to single Eimer's organs. Responses were consistent with a slowly adapting Merkel cell-neurite complex-like receptor class and a dynamically sensitive Pacinian-like rapidly adapting class. A second rapidly adapting class was hypothesized to represent activity of prominent free nerve endings within a central cell column. Some receptors were most sensitive to stimuli applied in particular directions across the skin. Most receptors relayed mechanosensory input with high temporal fidelity. In addition some receptors were tuned to respond best when stimulated at a velocity matching the velocity of the nose during foraging. These results support the hypothesis that Eimer's organ functions to detect small surface features and textures by encoding and integrating deflection information for multiple Eimer's organs during brief touches.",M1
