@RELATION C0162678_C0085113

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20176786,"Bioluminescent approaches for measuring tumor growth in a mouse model of <e>neurofibromatosis</e>.Neurofibomatosis (NF1) patients are susceptible to multiple tumors of the nervous system including neurofibromas, optic glioma, malignant peripheral nerve sheath tumors (MPNSTs), and astrocytoma. The Nf1+/-;Trp53+/- (NPcis) mouse model of NF1 spontaneously develops astrocytoma and MPNSTs that are very similar to human NF1 tumors. To use this model for testing potential therapeutics, we have developed systems that take advantage of bioluminescent reporters of tumor growth. We have generated E2F1 promoter-driving luciferase (ELUX) reporter mice to detect proliferating tumors in NPcis mice in vivo using bioluminescence. The power of this system is that it enables looking at tumor evolution and detecting spontaneous tumors at early stages of development as they evolve within their natural haploinsufficient microenvironment. This system can be used to identify tumors at different stages of tumorigenesis and to examine where spontaneous NF1 tumors initiate. The ability to rapidly screen multiple animals at a time increases the potential for use of this model in preclinical trials. This model will be valuable for the characterization of spontaneous NF1 tumors and will be important for studying the treatment and prevention of NF1 tumors in vivo.",M1
20166371,"Hypophosphataemic osteomalacia in <e>neurofibromatosis</e>.Oncogenic Osteomalacia syndrome is associated with mesenchymal tumours, caused by a protein secreted from tumours which inhibits tubular renal phosphate absorption and reduces 1,25 dihydroxy vitamin-D renal conversion. It manifests as osteomalacia with hypophosphataemia and hyperphosphaturia. Association of neurofibromatosis with oncogenic osteomalacia is unusual. We report a rare case of oncogenic osteomalacia with generalized neurofibromatosis which presented to us as pathological fracture.",M1
20029240,"Genetic and pathogenetic aspects of Noonan syndrome and related disorders.Noonan syndrome (NS) and the clinically overlapping disorders cardio-facio-cutaneous syndrome, LEOPARD syndrome, Costello syndrome and <e>Neurofibromatosis</e>-Noonan syndrome share the clinical features of short stature, the same spectrum of congenital heart defects, and a similar pattern of craniofacial anomalies. It is now known that all these disorders are caused by mutations in components of the RAS-MAPK signaling pathway. This pathway was previously known for its involvement in tumorigenesis. This article reviews the current knowledge on underlying genetic alterations and possible pathogenetic mechanisms responsible for NS and related disorders. It discusses the relationship between a group of developmental disorders and oncogenes. Potential future treatment prospects are based on the possibility of inhibiting RAS-MAPK signaling by pharmaceuticals.",M1
20070995,"[Neural jaw tumors]Neural tumors occurring in the jaw are neurofibroma and schwannoma, and more rarely ganglioneuroma. Pterionic meningioma are extremely rare. Schwannoma, or neurinoma are formed along the cranial nerve pathway, exclusively from axonal sheath Schwann cells. Neurofibroma are due to the proliferation of several cell types. When identified, screening for type I <e>neurofibromatosis</e> is mandatory. Surgery is the only treatment for facial neural tumors. Functional and esthetic issues are common. Recurrence and malignant transformation are severe complications of neurofibroma.",M1
19955345,"Neurooncology of familial cancer syndromes.The majority of tumors of the nervous system are sporadic. However, a subset of patients with tumors and their families are predisposed to developing cancers of the central nervous system and other organs because of a germline mutation. In the last decade, many of the genes responsible for these typically autosomal dominant familial tumor syndromes have been identified. Additionally, our understanding of the mechanisms of carcinogenesis in these syndromes has increased, allowing for more targeted therapies for these patients as well as those with sporadic cancers. Because these patients present a unique set of issues regarding diagnosis and neurooncological management, the most common familial cancer syndromes involving the nervous system are reviewed: <e>neurofibromatosis</e> type 1 and 2; tuberous sclerosis complex; von Hippel Lindau, Li-Fraumeni, Gorlin, and Turcot syndrome.",M1
19920244,"JAMA patient page. <e>Neurofibromatosis</e>.",M1
19836738,"Multiple rectal carcinoids in a patient with <e>neurofibromatosis</e>.",M1
19826840,"Chronic renal failure and macrogenitalia associated with genitourinary <e>neurofibromatosis</e>.Neurofibromatosis (NF) is a genetic disorder of the nervous system that primarily affects the development and growth of neural cell tissues. This disorder is characterized by the development of various tumors, including neurofibromas, neuroniomas, malignant and benign peripheral nerve sheath tumors, and meningiomas. Accompanying skin changes and bone deformities are also common in NF. However, genitourinary involvement in NF is a rare condition, and penile enlargement has been reported only in a few males with plexiform NF. We report a 6-year-old boy with chronic renal failure associated with plexiform neurofibromas of the bladder and prostatic urethra which led to urinary obstruction and macrogenitalia due to genitourinary NF.",M1
19785091,"Segmental <e>neurofibromatosis</e> of the distal arm in a man who developed Hodgkin lymphoma.",M1
19735889,"Risks of radiation therapy in patients with <e>neurofibromatosis</e>.",M1
