@RELATION C0025033_C0027972

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
19605955,"Influence of cyclophosphamide and its metabolic products on the activity of peritoneal macrophages in mice.2,4,6-Trinitrophenyl (TNP) hapten-labeled peritoneal macrophages (Mf) given intravenously (iv) to recipients are poor inducers of contact sensitivity (CS) reactions unless Mf donors are pretreated with low doses of cyclophosphamide (CY). In vivo CY is converted into active alkylating metabolites, phosphoramide mustard (PM) and acrolein (ACR). Our experiments aimed to test how in vitro treatment of non-immunogenic Mf with different concentrations (10(-5) to 10(-7) M) of CY metabolites will influence their immunogenicity and other biological functions. Instead of chemically unstable PM, we used structurally and functionally similar nitrogen mustard (<e>NM</e>). Our experiments show that treatment of Mf with ACR or NM stimulates the in vitro production of pro-inflammatory IL-6 and IL-12 and down-regulates anti-inflammatory IL-10 and TGF-beta cytokines. In vivo non-immunogenic TNP-Mf become capable of inducing CS reactions in two situations: first, after treatment with NM or ACR and second, when cell recipients are received iv before Mf transfer of monoclonal antibodies against IL-10 and/or TGF-beta (500 mug per animal). Treatment with NM, but not with ACR, was also an efficient stimulus for production by Mf of significantly increased levels of reactive oxygen intermediates (ROIs). In summary, our experiments show that CY metabolites can significantly increase the specific immune response as well as nonspecific innate reaction (ROIs production) and support the notion that CY and its metabolites can be a promising accessory tool when upregulation of the immune response is desired.",M1
18269793,"Development of a liquid chromatography-multiple reaction monitoring procedure for concurrent verification of exposure to different forms of mustard agents.A novel liquid chromatography-multiple reaction monitoring (LC-MRM) procedure has been developed for retrospective diagnosis of exposure to different forms of mustard agents. This concise method is able to validate prior exposure to nitrogen mustards (HN-1, HN-2, and HN-3) or sulfur mustard (HD) in a single run, which significantly reduces analysis time compared to separate runs to screen for different mustards' biomarkers based on tandem mass spectrometry. Belonging to one of the more toxic classes of chemical warfare agents, these potent vesicants bind covalently to the cysteine-34 residue of human serum albumin. This results in the formation of stable adducts whose identities were confirmed by a de novo sequencing bioinformatics software package. Our developed technique tracks these albumin-derived adduct biomarkers in blood samples which persist in vitro following exposure, enabling a detection limit of 200 <e>nM</e> of HN-1, 100 nM of HN-2, 200 nM of HN-3, or 50 nM of HD in human blood. The CWA-adducts formed in blood samples can be conveniently and sensitively analyzed by this MRM technique to allow rapid and reliable screening.",M1
17196628,"Lung toxicity of nitrogen mustard may be mediated by nitric oxide and peroxynitrite in rats.Nitric oxide (NO) has previously been shown to be responsible for nitrogen mustard (<e>NM</e>)-induced tissue toxicity. Excessive amounts of NO are known to be able to produce peroxynitrite, an important reactive nitrogen compound, by reacting with superoxide. Previous studies reported that NO synthase inhibitors are able to prevent NM toxicity. The aim of this study was to evaluate whether peroxynitrite is also responsible for NM-induced lung tissue damage in rats. Wistar rats were divided into four groups. NM was injected intratracheally and was treated with the selective inducible nitric oxide synthase (iNOS) inhibitor aminoguanidine (AG) (intraperitoneal) or the peroxynitrite scavenger ebselen (intragastric). Control animals were exposed to saline only. NM injection caused both oxidative and nitrosative stress, reflected by dramatically increased levels of the lipid peroxidation end product malondialdehyde (MDA), iNOS activation and urine nitrite-nitrate (NOx) values. Histopathological evaluation demonstrated lung damage with NM exposure. AG blocked iNOS activation and decreased urine NOx levels, and resulted in less histopathological changes in the lung. Although the histopathological outcome was found to be similar to AG, ebselen did not change urinary NOx or lung iNOS levels. Furthermore, ebselen was more able than AG to protect against MDA accumulation. In conclusion, the ability of ebselen to prevent against lung damage without blocking NO synthesis suggests that peroxynitrites may have an important role in the pathogenesis of NM toxicity in addition to NO.",M1
16997491,"Molecular mechanism of nitrogen mustard induced leukocyte(s) chemotaxis.Nitrogen mustard(s) (<e>NM</e>) are the primary chemotherapeutic agents (Chlorambucil, BSO) that are used in treating the B-cell chronic lymphocyte leukemia (B-CLL). It is known that NM imparts oxidative stress by inducing the reactive oxygen species (ROS) and reactive nitrogen species (RNS) production in B-lymphocytes of B-CLL. It is likely that these nitrogen mustards can cause the oxidative stress in the peripheral blood leukocytes (PBL) of B-CLL patients. It is possible that chronic exposure of PBL to NM would induce drug resistance in B-CLL patients. However, the precise molecular mechanism(s) by which NM affect the PBL are not known at present. Here, an effort is made to present plausible mechanisms by which chronic NM exposure could lead to increased PBL chemotaxis and vascular tissue damage in B-CLL patients The clinical implication of this phenomenon is most likely the unwanted organ dysfunction in B-CLL patients. Identification of viable therapeutic targets to attenuate the PBL activation during the NM therapy would be beneficial for the clinical remission of B-CLL.",M1
16172698,"Design and synthesis of a DNA-crosslinking azinomycin analogue.The azinomycins are potent antitumour antibiotics that are able to crosslink DNA, but are relatively unstable and unlikely to progress as therapeutic candidates. A prototype analogue 4 with more clinical potential has been designed and synthesised and incorporates the epoxide function of the azinomycins and a nitrogen mustard. Two further analogues 5 and 6 that can alkylate DNA but cannot crosslink the duplex have also been synthesised. Compound 4 crosslinks DNA efficiently at <e>nM</e> concentrations. Compounds 4-6 were submitted to the NCI 60 cell line screen and have similar antitumour activity, although 4 is slightly less active than the non-crosslinking compounds. These observations will be important in the design of further azinomycin analogues with antitumour activity.",M1
15851563,"Treatment of ocular tissues exposed to nitrogen mustard: beneficial effect of zinc desferrioxamine combined with steroids.PURPOSE: Exposure of the ocular surface to mustard gas chemical warfare leads to a destructive inflammatory reaction. Both steroids and a novel metalocomplex free radical scavenger, zinc desferrioxamine (Zn/DFO), have been shown to be effective separately in reducing ocular damage. The purpose of the present study was to investigate whether the effectiveness of both medications applied simultaneously is superior to the effectiveness of either one applied alone. METHODS: One eye in each of 52 rabbits was exposed to 2% nitrogen mustard (<e>NM</e>). Topical treatment with eye drops of a metal complex-zinc desferrioxamine (Zn/DFO)-combined with dexamethasone phosphate (0.1%), was compared with the administration of saline or treatment with Zn/DFO or dexamethasone alone. Eight eyes (four animals) that were not exposed to NM served as the control. Examiners masked to the treatment groups assessed the extent of ocular injury and the response to treatment using clinical, histologic, and biochemical criteria. RESULTS: Treatment with the combination of Zn/DFO and dexamethasone was significantly more effective than was dexamethasone or Zn/DFO alone in reducing NM injury to ocular anterior segment structures. In combination-treated eyes, corneal re-epithelization was faster, corneal neovascularization was less severe, and intraocular pressure was not as severely elevated as in the saline or the Zn/DFO- or dexamethasone-alone groups. In addition, systemic antioxidant status was better conserved in the combination-treated animals. CONCLUSIONS: The findings suggest that the combination of topically applied Zn/DFO and dexamethasone, by virtue of their additive inhibitory effects on free radical formation and inflammation, should be considered as a basis for the treatment of ocular mustard gas injuries.",M1
15257621,"Adenine-containing DNA-DNA cross-links of antitumor nitrogen mustards.Nitrogen mustards (<e>NMs</e>) are useful chemotherapeutic agents in the treatment of lymphoma, leukemia, multiple myeloma, and ovarian carcinoma. The antitumor activity of NMs has been attributed to their ability to cross-link the twin strands of DNA. The resulting bifunctional lesions, if not repaired, can inhibit DNA replication and transcription, eventually leading to cell cycle arrest, apoptosis, and the inhibition of tumor growth. The predominant bifunctional DNA lesions of NM have been reported to involve the distal guanine bases in the opposite strands of 5'-GNC sequences. In the present work, the formation of guanine-adenine and adenine-adenine adducts of N,N-bis(2-chloroethyl)methylamine (mechlorethamine) in double-stranded DNA is demonstrated. Guanine-adenine cross-links of mechlorethamine were identified as N-(2-[N3-adenyl]ethyl)-N-(2-[N7-guanyl]ethyl)methylamine (N3A-N7G-EMA), N-(2-[N1-adenyl]ethyl)-N-(2-[N7-guanyl]ethyl)methylamine, and N-(2-[N(6)-adenyl]ethyl)-N-(2-[N7-guanyl]ethyl)methylamine. All three adducts were produced interstrand, while N3A-N7G-EMA was the dominant intrastrand G-A cross-link. The prevalent adenine-adenine mechlorethamine lesions have the structure of N,N-bis(2-[N3-adenyl]ethyl)methylamine (bis-N3A-EMA). DNA-derived lesions have the same HPLC retention times, UV spectra, and MS/MS fragmentation patterns as the authentic standards prepared independently. bis-N3A-EMA lesions were produced in a concentration-dependent manner in calf thymus DNA treated with increasing amounts of mechlorethamine. Furthermore, HPLC-ESI-MS/MS analysis was used to demonstrate the formation of analogous N3-N3 adenine lesions in DNA treated with aromatic nitrogen mustards, N,N-bis(2-chloroethyl)-p-aminophenylbutyric acid and L-phenylalanine mustard. The presence of cross-linked adenine-adenine lesions may explain the enhanced cytotoxicity and mutagenicity of NMs in cells deficient in N3-alkyladenine glycosylase.",M1
12824239,"Injury induced by chemical warfare agents: characterization and treatment of ocular tissues exposed to nitrogen mustard.PURPOSE: Mustard agents are highly toxic and abundant warfare chemicals, primarily affecting ocular tissues, with no specific treatment antidote. The purpose of the present study was to examine the efficacy of novel metallocomplexes, known to inhibit the formation of highly reactive free radicals, to reduce ocular injury induced by nitrogen mustard (<e>NM</e>). METHODS: One eye in each of 72 rabbits was exposed to 1% to 2% NM. Topical treatment with eye drops of a metallocomplex--either zinc- or gallium-desferrioxamine (Zn/DFO and Ga/DFO)--was compared with treatment with saline, zinc (chloride), or DFO alone. Examiners masked to the treatment groups assessed the extent of ocular injury and the response to treatment using clinical, histologic, and biochemical criteria. RESULTS: Exposure to NM followed by administration of carrier alone (saline) caused severe and long-lasting injury to ocular anterior segment structures. Treatment with either Zn/DFO or Ga/DFO yielded marked protection (52%-64%), including faster healing of corneal epithelial erosions, less scarring and neovascularization, decreased inflammation in the anterior chamber, better maintenance of intraocular pressure, and less severe changes in the iris and lens. These were also associated with better preservation of systemic antioxidant status. Zinc or DFO alone afforded lower levels of protection. No toxic effects of these complexes were observed. CONCLUSIONS: It is suggested that Zn/DFO or Ga/DFO, by virtue of their enhanced ability to infiltrate cells and inhibit transition metal-dependent formation of free radicals through the combined push-pull mechanism, be considered as a basis for treatment of mustard injuries.",M1
11251184,"Chlorophyllin protects cells from the cytostatic and cytotoxic effects of quinacrine mustard but not of nitrogen mustard.Chlorophyllin (CHL), the sodium and copper salt of chlorophyll, is capable of inhibiting the mutagenic activity of many chemical compounds. Several mechanisms have been advanced to explain the antimutagenic activity of CHL, including its antioxidant properties and its ability to form complexes with mutagens. The present study was designed to reveal whether the heterocyclic aromatic nature of a potential mutagen is essential to its sensitivity to CHL. Toward this end, the inhibitory effect of CHL on two compounds of similar chemical reactivity (mustards), that either embodied an aromatic structure (quinacrine mustard; QM) or did not (nitrogen mustard; <e>NM</e>), were compared. Human leukemic HL-60 and breast carcinoma MCF-7 cells were treated with QM or NM in the absence or presence of various concentrations of CHL. Both QM and NM when administered for 1-2 h at micromolar concentrations exerted similar effects; both arrested cells in G2 phase of the cell cycle, induced apoptosis and reduced the clonogenicity of MCF-7 cells. The simultaneous addition of 0.22 M CHL to cultures receiving QM virtually abolished the QM-induced inhibition of cell growth and clonogenicity. In contrast, CHL had no effect on reducing the cytostatic or cytotoxic activity of NM. CHL alone, at a concentration of 0.22 M, had minimal effect on growth of HL-60 cells slightly perturbing their progression through G2. The results are consistent with the model that explains the inhibition of the activity of mutagens or antitumor drugs with aromatic structures by CHL as mediated by its ability to sequester these molecules within heterologous mutagen:CHL complexes that are maintained by stacking interactions. Therefore, excess of chlorophyll in the diet, by sequestering aromatic mutagens (or antitumor drugs with a heterocyclic structure, if taken orally), may inhibit their accessibility to cells, thereby reducing their activity.",M1
11124644,"Comparison of the effectiveness of some pleural sclerosing agents used for control of effusions in malignant pleural mesothelioma: a review of 117 cases.BACKGROUND AND OBJECTIVES: Management of malignant pleural mesothelioma (MPM) has been an important clinical issue regardless of the treatment modality employed. We aimed to investigate the efficacy of oxytetracycline (OT), Corynebacterium parvum (CP), and nitrogen mustard (<e>NM</e>) in the management of pleural effusion associated with MPM. METHODS: One hundred and seventeen patients who had stage-2 MPM or over according to the Butchart staging system and unilateral or bilateral pleural effusion took part in the study. The patients received either OT (35 mg/kg), CP (7 mg), or NM (0.4 mg/kg) through a chest tube for pleurodesis. The association between several clinical parameters and patient survival was also investigated. RESULTS: OT was applied to 59, CP to 29 and NM to 29 cases. A statistical analysis of the results obtained by these agents have demonstrated that OT (30 days, 81%; 90 days, 76.2%) and CP (30 days, 86.2%; 90 days, 79.3%) led to a significantly higher rate of successful pleurodesis as compared to NM (30 days, 48.2%; 90 days, 41.3%; p &lt;0.05). Although the procedure was generally well tolerated by the patients, the NM-treated group experienced significantly more nausea-vomiting (46.1%) and hypotension (35.8%) compared to patients who received OT (nausea-vomiting and hypotension 4.3%; p &lt; 0.001) and CP (nausea-vomiting and hypotension 5.1%; p &lt; 0.001). Furthermore, we found that thrombocytosis, chest pain and weight loss were significantly associated with poor prognosis, whereas epithelial type had a positive effect on survival. CONCLUSION: These results suggest that OT and CP may be used as effective sclerosing agents for pleurodesis in the control of pleural effusions associated with MPM, without major side effects.",M1
10517497,"Ex vivo pharmacological purging of leukapheresis collections with nitrogen mustard: amifostine pretreatment improves both early and late peripheral blood progenitor cell recovery.Ex vivo pharmacological purging of bone marrow has been used to eliminate clonogenic tumor cells contaminating the autograft and potentially responsible of relapse. A considerable improvement of pharmacological purging would be achieved only if normal marrow progenitor cells could be selectively protected by the cytotoxicity of these agents. Amifostine (WR-2721; Ethyol), a phosphorylated aminothiol compound, has been shown to have this property both in vivo and in vitro. We describe here, an experimental model for ex vivo purging of peripheral blood progenitor cell (PBPC) collections based on the combination of 3 mg/ml of amifostine and the alkylating agent nitrogen mustard. Amifostine pretreatment resulted in a statistically significant protection of normal late and early progenitor cells. Under the same experimental conditions, we observed a 4-6 log reduction of contaminating leukemic cells (i.e., K-562 and CEM) and in contrast to the protection of normal peripheral blood progenitor cells, preincubation of contaminating K-562 or CEM with amifostine did not significantly alter the LD95 nitrogen mustard concentration. Moreover, when we tested fresh human leukemia progenitor cells, amifostine pretreatment sensitized the leukemic cells to the cytotoxic effects of <e>NM</e>.",M1
10084254,"Autologous transplantation of chemotherapy-purged PBSC collections from high-risk leukemia patients: a pilot study.We have recently demonstrated that the combination of the alkylating agent nitrogen mustard (<e>NM</e>) and etoposide (VP-16) is capable of eliminating, ex vivo, leukemic cells contaminating PBSC collections and this is associated with a significant recovery of primitive and committed hematopoietic progenitor cells. Based on these data a pilot study on autologous transplantation of NM/VP-16 purged PBSC for high-risk leukemic patients was recently initiated. Twelve patients (seven females and five males) with a median age of 46 years (range 18-57) have been treated. Two patients had acute myeloblastic leukemia (AML) resistant to conventional induction treatment, four patients had secondary AML in I complete remission (CR), one patient was in II CR after failing a previous autologous BM transplantation, while two additional AML individuals were in I CR achieved after three or more cycles of induction treatment. Two patients with high-risk acute lymphoblastic leukemia (ALL) in I CR and one patient with mantle cell lymphoma and leukemic dissemination were also included. Eight patients showed karyotypic abnormalities associated with a poor clinical outcome. The mobilizing regimens included cytosine arabinoside and mitoxantrone with (n = 6) or without fludarabine (n = 3) followed by subcutaneous administration of G-CSF (5 microg/kg/day until the completion of PBSC collection) and G-CSF alone (n = 3) (15 microg/kg/day). A median of two aphereses (range 1-3) allowed the collection of 7.2 x 10(8) TNC/kg (range 3.4-11.5), 5 x 10(6) CD34+ cells/kg (range 2.1-15.3) and 9.2 x 10(4) CFU-GM/kg (0.3-236). PBSC were treated with a constant dose of 20 microg of VP-16/ml and a median individual-adjusted dose (survival &lt; or = 5% of steady-state BM CFU-GM) of NM of 0.7 microg/ml (range 0.25-1.25). Eleven patients were reinfused after busulfan (16 mg/kg) and Cy (120 mg/kg) conditioning with a median residual dose of 0.3 x 10(4) CFU-GM/kg (0-11.5). The median time to neutrophil engraftment (&gt;0.5 x 10(9)/l) for evaluable patients was 25 days (range 12-59); the median time to platelet transfusion independence (&gt;20 and &gt;50 x 10(9)/l) was 40 days (18-95) and 69 days (29-235), respectively. Hospital discharge occurred at a median of 25 days (18-58) after stem cell reinfusion. Four individuals are alive in CR (n = 3) or with residual nodal disease (n = 1 lymphoma patient) with a follow-up of 32, 26, 3 and 14 months, respectively. Seven patients died due to disease progression or relapse (n = 5) or extrahematological transplant toxicity (n = 2). Our data suggest that pharmacological purging of leukapheresis collections of leukemic patients at high-risk of relapse is feasible and ex vivo treated cells reconstitute autologous hematopoiesis.",M1
9625245,"Early nonsurgical removal of chemically injured tissue enhances wound healing in partial thickness burns.Chemical burns are slow healing injuries and their depth is difficult to assess. Tissue destruction continues as long as active material is present in the wound site. The routine therapy for treatment of full thickness chemical burns is early excision; it shortens hospitalization and reduces morbidity. However, presently there is no specific treatment for chemical burns of partial thickness. This study examined several treatment modalities for partial thickness chemical burns: surgical excision; laser ablation and chemical debridement with Debridase or trypsin-linked to gauze. Chemical burns were inflicted with nitrogen mustard (<e>NM</e> -- a nitrogen analog to sulfur mustard -- mustard gas) in an experimental guinea pig model. Debridase was most effective and reduced significantly lesion area of burns after 'humid' exposure to 2 mg NM. The healing action of Debridase was also evident in the significantly higher histopathological score of biopsies from local tissue obtained on day 5. Laser ablation was most effective and accelerated healing of burn lesions after 'dry' exposure to 5 mg NM. The histopathology score of the laser treated burns was higher on day 4 compared to untreated controls. It is concluded that for partial thickness chemical burns early nonsurgical removal of the damaged tissues accelerates wound healing.",M1
