@RELATION C0028661_C0006147

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20527656,"Promoting motivation towards community health care: a qualitative study from <e>nurses</e> in Pakistan.Based on the extensive health care needs of Pakistani population, the idea of Community Health Nursing was introduced in 1985. The educational nursing institutes adopted nursing curriculum in order to produce competent nurses to meet the rising demands of society. However, very few numbers of nurses choose community health nursing as their career pathway in Pakistan. Based on the current observation, enhancing motivation among graduate nurses has always been viewed as a great challenge for the academic nursing institutions. This study was intended to explore motivating and de motivating factors in nurses towards community Health Nursing. By utilizing self concept based model of motivation, semi structured interviews were conducted with newly graduated nurses, nurse educators and nursing students. The findings revealed that certain traits, values and competencies are required to motivate nurses as well as to build their capacity towards working effectively in the community setting. Moreover, through this study several realistic recommendations by the participants are highlighted that could foster motivation among future nurses towards this field.",M1
20524417,"Agnes Nyamayarwo: a true fighter. A Ugandan <e>nurse</e> teaches Bono and the world where she finds her courage.",M1
20525464,"[Triage in acute medical admission units]INTRODUCTION: Many emergency departments use validated triage tools. It is currently undocumented if such a practice is common in Danish medical admission units (MAU). The current study was conducted in order to clarify this. MATERIAL AND METHODS: Questionnaire survey with data collected from the intern on call at the medical departments of all Danish hospitals listed on sundhed.dk. RESULTS: We received 87 answers from 60 individual MAUs covered by a total of 83 interns on call. The MAUs had a median of eight beds and 14 admissions a day. An intern was on call 24 hours a day at 95% of the MAUs. At 87% of the MAUs, a doctor was contacted by the admitting physician, while the contact was the responsibility of a <e>nurse</e> in 13% of MAUs. None of the contacted MAUs used a validated triage tool and 95% answered that they triaged on the basis of individual clinical assessment of patients. However, 22% answered that selected groups of patients were routinely assessed by a senior physician. CONCLUSION: None of the Danish MAUs uses a validated triage tool to prioritize acutely admitted medical patients.",M1
20520126,"Excerpt from critical care: a new <e>nurse</e> faces death, life, and everything in between.",M1
20520094,"Not 'just a <e>nurse</e>'.",M1
20505472,"<e>Nurse</e>, where's my lunch?",M1
20505462,"U.S.-based recruitment of foreign-educated <e>nurses</e>: implications of an emerging industry.OBJECTIVES: Despite an increase in the number of foreign-educated nurses (FENs) working in U.S. hospitals and nursing homes, very little is known about the industry that brought them here. Our objectives were to learn more about the size and scope of the international nurse recruitment industry, its business models, and the range of countries where companies actively recruit. Based on reports from focus groups of FENs in New York City, we also sought to identify some of the problems that have occurred in the areas of contracting and clinical orientation. METHODS: We used a combination of qualitative methods and secondary data sources, which included U.S.-based international nurse recruitment company Web sites, interviews with 20 executives from international nurse recruitment companies, two focus groups with FENs in New York City, and letters sent to the Philippine Nurses Association of America by FENs seeking legal advice. RESULTS: Through a July 2007 Internet search, we found that at least 273 U.S. companies were actively recruiting FENs. While most such companies focused on the Philippines and India, about 20 companies were active in Africa. (A second search revealed that, as of January, at least 211 U.S. companies were actively recruiting FENs abroad.) Within the industry there is growing use of the staffing-agency model, which typically requires nurses to sign 18-to-36-month contracts and imposes high breach-of-contract fees. The focus group discussions with FENs in New York City revealed inadequate orientation programs and several types of labor abuses. CONCLUSIONS: Concerns about recruitment practices, which were expressed by many industry executives and FENs, reveal the need for accountability within the industry.",M1
20491240,"Politicians spend a day with a <e>nurse</e>.The three main political parties address the workload of nurse managers and ward sisters.",M1
20486478,"The Greek <e>Nurses</e>' job satisfaction scale: development and psychometric assessment.The growing literature relating to job satisfaction among nurses concludes that more research is required to understand the organizational, professional, and personal variables that improve nurse satisfaction and retention. This study developed and psychometrically tested a nurse satisfaction questionnaire, suitable for the nurses' working conditions in Greece. A cross-sectional survey, in Greek, was conducted in three public hospitals. Two-hundred and twenty-five Greek nurses evaluated the psychometric properties of the Greek Nurses' Job Satisfaction Scale (GNJSS). The 18-item questionnaire showed a high degree of internal consistency (Cronbach's alpha = 0.907) and revealed four factors that are consistent with the predetermined subscales and the conceptual base of the GNJSS. The factors, which explain 62.420% of variance, are associated with interaction and recognition, leadership style and organizational policies, self-growth and responsibility, and remuneration and work itself. Although it would be useful to carry out further analyses to assess time-based properties of reliability, the GNJSS questionnaire is a reliable and valid instrument to assess nurses' job satisfaction.",M1
20484308,"To have and to hold: personnel shortage in a Finnish healthcare organisation.AIMS: Retirements of baby boomers will create a talent shortage in Finnish health care. Concurrently, difficulties exist in recruiting new personnel. This paper provides an overview concerning the bottlenecks in talent management in a Finnish hospital, and finds solutions for recruitment and retention problems of healthcare professionals (<e>nurses</e> and physicians). Because the healthcare staffing shortage is worldwide, the results of this paper are also useful internationally. METHODS: The research was a qualitative case study and the research method used was group interview. Background data was gathered from the public media and healthcare trade organisations. RESULTS: The bottlenecks of talent management in hospital organisation seem to relate to retaining actions of senior personnel. Concurrently, the organisation should develop new practices for attracting new personnel. Very few efforts on image marketing and recruitment have been done. The Internet has not been fully exploited and recruitment information has not been sent even to the neighbouring nursing college. Job rotation has not been used as a help in recruitment and competence development. Difficulties exist in transmitting tacit knowledge from a retiring nurse to a junior nurse. Leadership skills of the superior seem to be important when retaining and committing senior personnel. CONCLUSIONS: Recruitment and retention problems encourage organisations to develop new recruitment and commitment practices as well as management and leadership skills.",M1
