@RELATION C0028677_C0006147

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20559180,"What is it so stressful about caring for a dying patient? A qualitative study of nurses' experiences.The <e>nursing</e> shortage continues to be a problem in the United States, in part, owing to the experience of stress and burnout by practicing nurses. With an ageing population, the stress of caring for dying patients and their families is one reason for the high levels of stress and burnout. Although we know that caring for dying patients is stressful for nurses, there is little information about the specific aspects of that experience that concern them. In order to alleviate the stress and to help nurses cope more effectively with this situation, this research examined the aspects of caring for a dying patient that cause concern for nurses. This study used a grounded theory approach to examine the experiences of nurses and their particular concerns about caring for a dying patient. Nurses expressed personal concerns, concerns about the patient and their families, which include communication challenges with both patients and families.",M1
20533752,"The healthcare reform bill and its impact on the <e>nursing</e> profession.",M1
20505465,"Uniting states, sharing strategies: Hawaii's innovative ways to educate its <e>nursing</e> workforce.Editor's note: This is the sixth in a series of articles describing a public and private collaborative effort coordinated by the Center to Champion Nursing in America at AARP to redesign nursing education to prepare the future nursing workforce.",M1
20499389,"It takes a village to publish a manuscript in Research in <e>Nursing</e> &amp; Health.",M1
20450087,"<e>Nursing</e> research or research nursing? Two separate terms, two separate careers.The terms 'nursing research' and 'research nursing' are often confused, although the skill sets associated with each occupation are different. Clinical research nurses do not require academic research qualifications, although they develop considerable skills in the practice of research and their potential input into research planning should not be neglected. This paper considers the skills required in research nursing and how they develop, and highlights the importance of the research nurse to the conduct of a clinical trial.",M1
20449961,"Health reform and <e>nursing</e>.",M1
20446631,"Examining the impact of electronic care records on confidentiality and <e>nursing</e> practice.Electronic care records have significant implications both for frontline nurses and the wider profession. Two articles in last week's issue discussed how the electronic care record (ECR) can support and bring benefits to frontline nurses' role from a practical perspective. They also discussed the scope and complexity of the change management challenges underpinning implementation of ECRs in England. This final article examines the issues nurses must consider when introducing and using this system. These include access and information governance, and matters such as confidentiality.",M1
20428702,"Retraining due to illness ant its implications in <e>nursing</e> management.There is currently an increased interest in workers health. Retraining due to illness is the topic of this study. The objective of this qualitative study was to understand how individuals cope with job retraining in a public hospital, utilizing interviews to understand how nursing professionals coped with the retraining process, which were then analyzed using Content Analysis as proposed by Bardin. The responses revealed problems in several areas of nursing work: Work Organization, Teamwork, Sick leave and retraining, and Team Management, altogether generating suggestions for improving the work experience in retraining. The retraining process generated individual, professional and social feelings of incompetence and guilt for workers. Important reflection and attitude changes are urgently needed, supporting team management, which will consequently improve care provided to the public.",M1
20428689,"Strategic research, technological innovation and <e>nursing</e>.",M1
20394236,"[Dilemmas and afflictions of duty nurses evidenced in focal group]The aim of this study was to critically reflect on the experiences of duty nurses. The objectives were: to learn how duty nurses described and interpreted their knowledge and experiences about this reality; and to reflect about possible ways to overcome the identified problems. This is a qualitative study using the focal-group technique. The group consisted of thirteen duty nurses. The methodological framework was that of the Collective Subject's Discourse. Important difficulties were identified for both collective and solitary work: incomprehension among staff members; between <e>nursing</e> staff and other professionals working in the hospital; lack or inadequacy of materials for care provision; and perceived absence of support, among others. The relevance of creating opportunities for communication and reflection with the purpose of strengthening collective professional practice and reducing duty nurses' afflictions in the workplace was observed.",M1
20394235,"[Prejudice in <e>nursing</e>: perception of nurses educated in different decades]The objective of this qualitative study, of a historical-social nature, was to learn and understand the perceptions of a group of nurses, who graduated in different decades, regarding the prejudice and forms of coping involved in choosing the profession, during their university studies, or in professional practice. Oral Life History and content analysis were used. The EEUSP Research Ethics Committee approved this study. The following categories were obtained from the subjects' statements: prejudicial attitudes when choosing nursing as a career; prejudice noticed during the course of nursing education; and prejudice experienced within professional practice. Regarding the forms of coping, collaborators reported that dissemination of information about nursing is important, as is skillful practice and teamwork. This study contributed to a better understanding regarding ways of confronting situations concerning prejudice, thus making it possible to seek strategies for social recognition and appreciation of the profession.",M1
20377018,"Florida Girl Scouts  discover <e>nursing</e> .",M1
20373607,"My ambition is to harness nurses' passion and talent.Prime minister Gordon Brown established a commission on the future of <e>nursing</e> last year. As its report is published, he sets out his vision.",M1
20362773,"The Grand Challenges and <e>nursing</e>.",M1
20358716,"<e>Nursing</e> by the numbers.",M1
20337157,"A review of the American Recovery and Reinvestment Act of 2009: what is in it for <e>nursing</e>?",M1
20334005,"<e>Nursing</e> pledge to 'restore public trust in profession'.",M1
20231945,"<e>Nursing</e> workload and perception about intensive insulin therapy in critically ill adult patients.",M1
20222520,"[Personal resources and <e>nursing</e> work: a research on coping strategies and job satisfaction]INTRODUCTION: The coping (ability to face a difficult situation), is an essential resource for nurses, because it increases the effective functioning in the working environment, job satisfaction and individual level of wellness. AIM: The aim of this study is to explore the relationship between coping strategies and job satisfaction. METHODS: A self report questionnaire was administered to all the nurses working in health services and hospitals of Padua province and to free lance nurses members of the College of Nurses, to collect information on coping strategies and job satisfaction. RESULTS: 2264 questionnaires were returned (71%). Active coping strategies are adopted mainly from older nurses while avoiding strategies are prevalent among younger. An association was observed between job satisfaction and active coping strategies, aimed at problem solving: active strategies increase job satisfaction while avoiding strategies descrease it. CONCLUSIONS: Individual coping strategies implemented to face difficult situations are associated to job satisfaction.",M1
20222370,"Skill mix and workforce planning to dominate debates at <e>nursing</e> summit.",M1
20222369,"Speak up to shape <e>nursing</e>.",M1
20222230,"Workload and workforce planning: taking a national approach.In response to an Audit Scotland report, the Scottish Executive, now the Scottish Government, set up the national <e>Nursing</e> and Midwifery Workload and Workforce Planning (NMWWP) programme to define workload and workforce needs, and to analyse the use of bank and agency staff. After extensive research, a systematic, national approach to nursing and midwifery workload and workforce planning was recommended. This article, the first in a series of five on this topic, describes the legislation and policies that underpin the NMWWP programme, and highlights the demographic issues that are pertinent to the nursing and midwifery workforce in Scotland.",M1
20196761,"Choosing a career in <e>nursing</e>: development of a career search instrument.University students in this millennium will be older, culturally diverse and likely to change their career major several times during the course of their education. Methods to identify and guide appropriate students toward nursing are lacking. The purpose of this study was to develop and initially test a 48-item Likert-scaled instrument, the Career Search Questionnaire (CSQ), which assesses interest in and self-efficacy for nursing. Data were obtained from 300 volunteer students, with implied consent, enrolled in beginning-level courses at a Midwestern university. Response differences were apparent between individuals who reported nursing as a college major compared to those who sought a different major. Participants who reported nursing as their major obtained higher scores in both interest (p = 0.00) and self-efficacy (p = 0.00). The CSQ is psychometrically sound, with a reliability score of 0.87 and capable of identifying the student for whom nursing may be the suitable career.",M1
