@RELATION C0063146_C0028905

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20464967,"[Antioxidant and prooxidant properties of the ascorbic acid, dihydroquercetine and mexidol in the radical reactions induced by the ionizing radiation and chemical reagents]Antioxidant and prooxidant properties of dihydroquercetine, mexidol and an ascorbic acid in reactions with participation of radicals <e>OH</e>* and O2(-)*, induced by gamma-irradiation, iron-catalyzed decomposition of hydrogen peroxide and oxidation of reduced NADH by phenazine metosulfate are investigafed. The efficiency of scavenging of radicals OH* estimated by the results of the analysis of deoxyribose degradation, and the efficiency of scavenging of superoxide anion-radicals O2(-)* is estimated by the results of the analysis of occurrence the reduced nitrotetrazolium blue. The concentrations of analyzed compounds, scavenging on 50% (C50%) formation of radicals OH* and O2(-)* are certain. It is shown, that an ascorbic acid, dihydroquercetine and mexidol decrease the generating of superoxide anion-radicals O2(-)* in the gamma-irradiated solutions of sodium format and at oxidation of reduced NADH by phenazine metosulfate scavanged of superoxide anion-radicals O2(-)*. In the gamma-irradiated saline solutions an ascorbic acid, dihydroquercetine and mexidol protected deoxyribose from oxidizing action of hydroxyl radicals OH*. However at presence Fe(3+), EDTA and hydrogen peroxide addition of an ascorbic acid (0.1 mmol/l) increased generating of hydroxyl radicals OH* and in 2.8 times raised the maintenance of products of deoxyribose oxidation, reacting with thiobarbituric acid. Prooxidant action of an ascorbic acid is observed as well in absence of hydrogen peroxide. Obtained data testify that in various modelling systems reagents, in particular ions of iron, and the formed active intermediate products render significant influence on scavenging efficiency of investigated compounds.",M1
20457934,"Single-base resolution mapping of H1-nucleosome interactions and 3D organization of the nucleosome.Despite the key role of the linker histone H1 in chromatin structure and dynamics, its location and interactions with nucleosomal DNA have not been elucidated. In this work we have used a combination of electron cryomicroscopy, hydroxyl radical footprinting, and nanoscale modeling to analyze the structure of precisely positioned mono-, di-, and trinucleosomes containing physiologically assembled full-length histone H1 or truncated mutants of this protein. Single-base resolution *<e>OH</e> footprinting shows that the globular domain of histone H1 (GH1) interacts with the DNA minor groove located at the center of the nucleosome and contacts a 10-bp region of DNA localized symmetrically with respect to the nucleosomal dyad. In addition, GH1 interacts with and organizes about one helical turn of DNA in each linker region of the nucleosome. We also find that a seven amino acid residue region (121-127) in the COOH terminus of histone H1 was required for the formation of the stem structure of the linker DNA. A molecular model on the basis of these data and coarse-grain DNA mechanics provides novel insights on how the different domains of H1 interact with the nucleosome and predicts a specific H1-mediated stem structure within linker DNA.",M1
20420450,"Products and mechanisms of the gas-phase reactions of <e>OH</e> radicals with 1-octene and 7-tetradecene in the presence of NO.Products of the gas-phase reactions of OH radicals with 1-octene and 7-tetradecene have been investigated at 296 +/- 2 K and atmospheric pressure of air, using gas chromatography, direct air sampling atmospheric pressure ionization tandem mass spectrometry, and in situ Fourier transform infrared spectroscopy. We observe the hydroxynitrate(s) formed from reaction of the hydroxyalkylperoxy radicals with NO; heptanal and 4-hydroxyhexanal from decomposition of the 1,2-hydroxyoctoxy and 7-hydroxy-8-tetradecoxy radicals; and dihydroxynitrates and dihydroxycarbonyls formed after isomerization of the intermediate 1,2-hydroxyalkoxy radicals. Formic acid formation was also observed from the 1-octene reaction, in approximately 3% yield. In the presence of approximately 1.5 x 10(14) molecules cm(-3) of NO, the respective molar formation yields of heptanal and 4-hydroxyhexanal were 28 +/- 3% and 4% from 1-octene, and 86 +/- 11% and 6% from 7-tetradecene. The 4-hydroxyhexanal yield increased with increasing NO concentration, and we attribute 4-hydroxyhexanal + HC(O)OH formation to a minor pathway of the RC(*)HOH + O(2) reaction in the presence of NO. The reaction pathways occurring are discussed.",M1
20397700,"Stability of water-stable C60 clusters to <e>OH</e> radical oxidation and hydrated electron reduction.Reactions of water-stable C(60) clusters (nC(60)) in water with OH radicals (*OH) and hydrated electrons (e(aq)(-)), generated by steady-state gamma-radiation, were observed and characterized. Ordered C(60) clusters were relatively recalcitrant to highly reactive *OH and e(aq)(-) species, with only a fraction of carbons oxidized and reduced, respectively. Pulse radiolysis suggested that the reactions of nC(60) with OH* and e(aq)(-) were diffusion limited, with rate constants of (7.34 +/- 0.31) x 10(9) M(-1) s(-1) and (2.34 +/- 0.02) x 10(10) M(-1) s(-1), respectively. Quantum mechanical calculations of binding energy of the C(60)-OH adduct as a function of C(60) clustering degree indicate, despite an initial fast reaction, a slower overall conversion due to thermodynamic instability of C(60)-OH intermediates. The results imply that ordered clustering of C(60) in the aqueous phase significantly hinders C(60)'s fundamental reactivity with radical species.",M1
20392084,"Reaction of ozone with hydrogen peroxide (peroxone process): a revision of current mechanistic concepts based on thermokinetic and quantum-chemical considerations.The reaction of ozone with the anion of H(2)O(2) (peroxone process) gives rise to (*)<e>OH</e> radicals (Staehelin, J.; Hoigne, J. Environ. Sci. Technol. 1982, 16, 676-681). Thermokinetic considerations now suggest that the electron transfer originally assumed as the first step has to be replaced by the formation of an adduct, HO(2)(-) + O(3) --&gt; HO(5)(-) (DeltaG degrees = -39.8 kJ mol(-1)). This decomposes into HO(2)(*) and O(3)(*-) (DeltaG(0) = 13.2 kJ mol(-1)). HO(2)(*) is in equilibrium with O(2)(*-) + H(+), and O(2)(*-) undergoes electron transfer to O(3) giving rise to further O(3)(*-). The decay of O(3)(*-) into (*)OH is now discussed on the basis of the equilibria O(3)(*-) right arrow over left arrow O(2) + O(*-) and O(*-) + H(2)O right arrow over left arrow (*)OH + OH(-), excluding HO(3)(*) as the intermediate originally assumed. To account for the observation of the peroxone process being only 50% efficient, the decay of HO(5)(-) into 2 O(2) + OH(-) (DeltaG(0) = -197 kJ mol(-1)) is proposed to compete with the decay into HO(2)(*) and O(3)(*-).",M1
20381693,"Evaluation of chemiluminescence reagents for selective detection of reactive oxygen species.In order to evaluate the chemiluminescence (CL) reagents for selective detection of reactive oxygen species (ROS), we comprehensively measured the CL responses of 20 CL reagents (three luminol derivatives, two imidazopyrazinone derivatives, eight lophine derivatives, six acridinium ester derivatives and lucigenin) against six types of ROS (superoxide anion: O(2)(*-), hydroxyl radical: *<e>OH</e>, hydrogen peroxide: H(2)O(2), hypochlorite anion: ClO(-), singlet oxygen: (1)O(2), and nitric oxide: NO). As a result of the screening, it was found that nine CL reagents selectively detected O(2)(*-) while one CL reagent selectively detected *OH. However, no CL reagent had selectivity on the detection of H(2)O(2), ClO(-), (1)O(2) and NO. Our screening results could help to select the most suitable CL reagent for selective determination of different ROS. As an application study, 4-methoxyphenyl-10-methylacridinium-9-carboxylate (MMAC), one of the acridinium ester derivatives, showed high selectivity on the detection of O(2)(*-), and thus was applied to the assay of superoxide dismutase (SOD) activity. The dynamic range and detection limit of the developed CL assay were 0.1-10 and 0.06 U mL(-1), respectively. Significant correlation (r=0.997) was observed between the results by the CL assay using MMAC and the spectrophotometric assay using 2-(4-iodophenyl)-3-(4-nitrophenyl)-5-(2,4-disulfophenyl)-2H-tetrazolium monosodium salt.",M1
20369811,"Primary steps in the reaction of <e>OH</e> radicals with peptide systems: perspective from a study of model amides.This study reports on an ab initio investigation into the effects of radical attack on peptide backbones using eight model amides. The eight model amides are divided into two subcategories, formamide and acetamide. Within each subcategory, there are four unique systems which include the parent, cis and trans methyl, and the dimethyl structures. The mechanism for hydrogen abstraction shows alpha-C abstraction is kinetically and thermodynamically favorable for all formamide systems. The addition of a methyl group on the nitrogen results in a secondary competitive pathway at the gamma-C site. In the parent acetamide, beta-abstraction is preferred. The addition of a methyl group on the amino group of acetamide results in the introduction of a secondary pathway that will outcompete beta-abstraction, both thermodynamically and kinetically. For all systems, H-abstraction off the nitrogen is the least preferred path. With the addition of a methyl group on the nitrogen, H-abstraction off the nitrogen becomes more favorable. To explain site preference, geometry structures and stabilizations are examined. The results of this study have implications for future studies on radical attack of peptide and protein systems.",M1
20368458,"Atmospheric chemistry in volcanic plumes.Recent field observations have shown that the atmospheric plumes of quiescently degassing volcanoes are chemically very active, pointing to the role of chemical cycles involving halogen species and heterogeneous reactions on aerosol particles that have previously been unexplored for this type of volcanic plumes. Key features of these measurements can be reproduced by numerical models such as the one employed in this study. The model shows sustained high levels of reactive bromine in the plume, leading to extensive ozone destruction, that, depending on plume dispersal, can be maintained for several days. The very high concentrations of sulfur dioxide in the volcanic plume reduces the lifetime of the <e>OH</e> radical drastically, so that it is virtually absent in the volcanic plume. This would imply an increased lifetime of methane in volcanic plumes, unless reactive chlorine chemistry in the plume is strong enough to offset the lack of OH chemistry. A further effect of bromine chemistry in addition to ozone destruction shown by the model studies presented here, is the oxidation of mercury. This relates to mercury that has been coemitted with bromine from the volcano but also to background atmospheric mercury. The rapid oxidation of mercury implies a drastically reduced atmospheric lifetime of mercury so that the contribution of volcanic mercury to the atmospheric background might be less than previously thought. However, the implications, especially health and environmental effects due to deposition, might be substantial and warrant further studies, especially field measurements to test this hypothesis.",M1
20361769,"<e>OH</e> radical initiated oxidation of 1,3-butadiene: isomeric selective study of the dominant addition channel.We report the first isomeric selective kinetic study of the dominant isomeric pathway in the OH initiated oxidation of 1,3-butadiene in the presence of O(2) and NO using the laser photolysis-laser induced fluorescence (LP-LIF) technique. The photodissociation of the precursor 2-iodo-but-3-en-1-ol results exclusively in the dominant OH-butadiene addition product, permitting important insight into the OH initiated oxidation mechanism. On the basis of analysis of the time dependent OH/OD signals, we have determined a rate constant for O2 addition to the hydroxyalkyl radical of 7.0(-3.0)(+7.0) x 10(-13) cm(3) s(-1), and we find a value of 1.5(-0.6)(+1.0) x 10(-11) cm(3) s(-1) for the overall reaction rate constant of the hydroxy peroxy radical with NO. We also report the first clear experimental evidence of the (E) form of the delta-hydroxyalkoxy channel through isotopic labeling experiments and provide an upper bound of 13 +/- 5% to its branching ratio. This species provides a mechanistic pathway for the formation of 4-hydroxy-2-butenal, which has been identified as a first generation end product. This isomeric selective kinetic study, together with a previous study on the minor channel of the 1,3-butadiene oxidation, yields a comprehensive picture of butadiene oxidation under high NOx conditions relevant to most regions in the continental US.",M1
20355118,"Scirpusin A, a hydroxystilbene dimer from Xinjiang wine grape, acts as an effective singlet oxygen quencher and DNA damage protector.BACKGROUND: Grapes and red wines are rich sources of phenolic compounds such as anthocyanins, catechins, flavonols and stilbenes, most of which are potent antioxidants showing cardioprotective properties. We first isolated scirpusin A, a hydroxystilbene dimer, from a wine grape of Xinjiang, and studied its antioxidant activity. RESULTS: Reactive oxygen species scavenging effects and the protection against reactive singlet oxygen-induced DNA damage of scirpusin A have been investigated in our experiments. The concentration of scirpusin A required to inhibit 50% of (1)O(2) generation was 17 micromol L(-1), while addition of scirpusin A at 140 micromol L(-1) caused complete inhibition. Further kinetic study revealed that the reaction of Scirpusin A with singlet oxygen has an extremely high rate constant (k(a) = 4.68 x 10(9) L mol(-1) s(-1)). Scirpusin A (140 micromol L(-1)) exhibited significant inhibition effects on pBR322 DNA breakage. However, scavenging effects of scirpusin A on superoxide anion O(2) (*-) and hydroxyl radical .<e>OH</e> were not potent as the inhibitor rates at a concentration of 1400 micromol L(-1) were 28.83% and 19.5%, respectively. CONCLUSION: The present study shows that scirpusin A is a selective quencher of singlet oxygen and a protector against reactive singlet oxygen-induced pBR322 DNA damage at very low concentrations.",M1
