@RELATION C0242961_C0206601

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20029091,"Investigations of pi initiator protein-mediated interaction between replication origins alpha and gamma of the plasmid R6K.A typical plasmid replicon of Escherichia coli, such as <e>ori</e> gamma of R6K, contains tandem iterons (iterated initiator protein binding sites), an AT-rich region that melts upon initiator-iteron interaction, two binding sites for the bacterial initiator protein DnaA, and a binding site for the DNA-bending protein IHF. R6K also contains two structurally atypical origins called alpha and beta that are located on either side of gamma and contain a single and a half-iteron, respectively. Individually, these sites do not bind to initiator protein pi but access it by DNA looping-mediated interaction with the seven pi-bound gamma iterons. The pi protein exists in 2 interconvertible forms: inert dimers and active monomers. Initiator dimers generally function as negative regulators of replication by promoting iteron pairing ( handcuffing ) between pairs of replicons that turn off both origins. Contrary to this existing paradigm, here we show that both the dimeric and the monomeric pi are necessary for ori alpha-driven plasmid maintenance. Furthermore, efficient looping interaction between alpha and gamma or between 2 gamma iterons in vitro also required both forms of pi. Why does alpha-gamma iteron pairing promote alpha activation rather than repression? We show that a weak, transitory alpha-gamma interaction at the iteron pairs was essential for alpha-driven plasmid maintenance. Swapping the alpha iteron with one of gamma without changing the original sequence context that caused enhanced looping in vitro caused a significant inhibition of alpha-mediated plasmid maintenance. Therefore, the affinity of alpha iteron for pi-bound gamma and not the sequence context determined whether the origin was activated or repressed.",M1
20018882,"Replication initiation at a distance: determination of the cis- and trans-acting elements of replication origin alpha of plasmid R6K.Plasmid R6K, which contains 3 replication origins called alpha, gamma, and beta, is a favorable system to investigate the molecular mechanism(s) of action at a distance, i.e. replication initiation at a considerable distance from the primary initiator protein binding sites (iterons). The centrally located gamma origin contains 7 iterons that bind to the plasmid-encoded initiator protein, pi. <e>Ori</e> alpha, located at a distance of approximately 4 kb from gamma, contains a single iteron that does not directly bind to pi but is believed to access the protein by pi-mediated alpha-gamma iteron-iteron interaction that loops out the intervening approximately 3.7 kb of DNA. Although the cis-acting components and the trans-acting proteins required for ori gamma function have been analyzed in detail, such information was lacking for ori alpha. Here, we have identified both the sequence elements located at alpha and those at gamma, that together promoted alpha activity. The data support the conclusion that besides the single iteron, a neighboring DNA primase recognition element called G site is essential for alpha-directed plasmid maintenance. Sequences preceding the iteron and immediately following the G site, although not absolutely necessary, appear to play a role in efficient plasmid maintenance. In addition, while both dnaA1 and dnaA2 boxes that bind to DnaA protein and are located at gamma were essential for alpha activity, only dnaA2 was required for initiation at gamma. Mutations in the AT-rich region of gamma also abolished alpha function. These results are consistent with the interpretation that a protein-DNA complex consisting of pi and DnaA forms at gamma and activates alpha at a distance by DNA looping.",M1
19936737,"Evidence for the in vivo expression of a distant downstream gene under the control of ColE1 replication origin.ColE1-like plasmids are widely used as expression vectors and as gene delivery vehicles. We have recently described a naturally occurring plasmid deletion phenomenon in the ColE1-type plasmid, pCI-neo, which leads to the detectable expression of an apparently promotorless kanamycin resistance gene. In the current work, we found that the expression of that aminoglycoside phosphotransferase (aph) gene is regulated by an RNAII preprimer promoter located within the plasmid ColE1 replication origin, as a consequence of the extension of the RNA II species for at least 1.5 kb, up to the aph gene. This mechanism is dependent on the nonformation and/or dissociation of the hybrid between plasmid DNA and RNA II preprimer transcript. This is the first in vivo description of RNA II transcription beyond <e>ori</e> in wild-type Escherichia coli strains and nonmutated RNAII plasmid sequences resulting in productive transcription of distant downstream genes. Our results raise questions about unwanted expression of genes from expression or cloning vectors of ColE1 type and highlight the importance of a more careful design of ColE1-derived plasmid vectors.",M1
19815620,"Impaired replication dynamics at the FRA3B common fragile site.Chromosomal common fragile sites (CFSs) are genetically unstable regions of the genome that are induced by conditions that impair DNA replication. In this report, we show that treatment with the DNA polymerase inhibitor, aphidicolin (APH), slows the replication rate throughout S phase. To investigate the unusual sensitivity of CFSs to APH-induced replication stress, we examined replication dynamics within a 50 kb region of the most frequently expressed CFS, FRA3B. We mapped four origins of replication, <e>ori</e> 1-4, using two independent methods. In untreated cells, we detected significantly less newly replicated DNA at FRA3B ori 1-3, as compared with three control origins located within non-fragile regions (NCFSs). In APH-treated cells, all FRA3B and control origins tested were active; however, there was a significant increase of nascent strand DNA at the control origins and, to a lesser extent, at the FRA3B ori 1-3. On the basis of these observations and the theoretical modeling of the nascent strand abundance assay developed in this study, we hypothesize that CFS origins may be less efficient, and that APH treatment slows replication fork movement near these origins to a greater extent, resulting in impaired DNA replication and, ultimately, leading to the genetic instability characteristic of CFSs.",M1
19763421,"Cloning and molecular characterization of a novel rolling-circle replicating plasmid, pK1S-1, from Bacillus thuringiensis subsp. kurstaki K1.Bacillus thuringiensis, an entomopathogenic bacterium belonging to the B. cereus group, harbors numerous extra-chromosomal DNA molecules whose sizes range from 2 to 250 kb. In this study, we used a plasmid capture system (PCS) to clone three small plasmids from B. thuringiensis subsp. kurstaki Kl which were not found in B. thuringiensis subsp. kurstaki HD-1, and determined the complete nucleotide sequence of plasmid pKlS-1 (5.5 kb). Of the six putative open reading frames (ORF2-ORF7) in pKlS-1, ORF2 (MobKl) showed approximately 90% aa identity with the Mob-proteins of pGI2 and pTX14-2, which are rolling circle replicating group VII (RCR group VII) plasmids from B. thuringiensis. In addition, a putative origin of transfer (oriT) showed 95.8% identity with those of pGI2 and pTX14-2. ORF3 (RepK1) showed relatively low aa identity (17.8-25.2%) with the Rep protein coded by RCR plasmids, however. The putative double-strand origin of replication (dso) and single-strand origin of replication (sso) of pKlS-1 exhibited approximately 70% and 64% identities with those of pGI2 and pTX14-2. ORF6 and 7 showed greater than 50% similarities with alkaline serine protease, which belongs to the subtilase family. The other 2 ORFs were identified as hypothetical proteins. To determine the replicon of pKlS-1, seven subclones were contructed in the B. thuringiensis <e>ori</e>-negative pHTIK vector and were electroporated into a plasmid cured B. thuringiensis strain. The 1.6 kb region that included the putative ORF3 (ReplK), dso and ORF4, exhibited replication ability. These findings identified pKlS-1 as a new RCR group VII plasmid, and determined its replication region.",M1
19463783,"The impact of nucleosome positioning on the organization of replication origins in eukaryotes.The distribution of DNA replication origins (<e>ORIs</e>) on eukaryotic chromosomes is nonrandom, but the reasons behind this are not well understood. Previous studies have suggested a prominent role of transcriptional activity in determining the ORI organization. Here, we identify nucleosome occupancy as a likely candidate to set up ORI distribution. Combining genome-wide data on nucleosome positioning and ORI organization in yeast and humans, we demonstrate that open chromatin domains, characterized by nucleosome depletion, are preferentially permissive for replication. However, contrary to priori claims, the impact of transcriptional activity is considerably weaker than previously proposed and could partly be explained by our nucleosome exclusion model. We propose that the ORI organization imposed by nucleosome positioning is phylogenetically widespread in eukaryotes.",M1
19458011,"Upstream regulatory region alterations found in human papillomavirus type 16 (HPV-16) isolates from cervical carcinomas increase transcription, <e>ori</e> function, and HPV immortalization capacity in culture.Human papillomavirus (HPV) DNAs isolated from cervical and head and neck carcinomas frequently contain nucleotide sequence alterations in the viral upstream regulatory region (URR). Our study has addressed the role such sequence changes may play in the efficiency of establishing HPV persistence and altered keratinocyte growth. Genomic mapping of integrated HPV type 16 (HPV-16) genomes from 32 cervical cancers revealed that the viral E6 and E7 oncogenes, as well as the L1 region/URR, were intact in all of them. The URR sequences from integrated and unintegrated viral DNA were found to harbor distinct sets of nucleotide substitutions. A subset of the altered URRs increased the potential of HPV-16 to establish persistent, cell growth-altering viral-genome replication in the cell. This aggressive phenotype in culture was not solely due to increased viral early gene transcription, but also to augmented initial amplification of the viral genome. As revealed in a novel ori-dependent HPV-16 plasmid amplification assay, the altered motifs that led to increased viral transcription from the intact genome also greatly augmented HPV-16 ori function. The nucleotide sequence changes correlate with those previously described in the distinct geographical North American type 1 and Asian-American variants that are associated with more aggressive disease in epidemiologic studies and encompass, but are not limited to, alterations in previously characterized sites for the negative regulatory protein YY1. Our results thus provide evidence that nucleotide alterations in HPV regulatory sequences could serve as potential prognostic markers of HPV-associated carcinogenesis.",M1
19360092,"Transcription initiation activity sets replication origin efficiency in mammalian cells.Genomic mapping of DNA replication origins (<e>ORIs</e>) in mammals provides a powerful means for understanding the regulatory complexity of our genome. Here we combine a genome-wide approach to identify preferential sites of DNA replication initiation at 0.4% of the mouse genome with detailed molecular analysis at distinct classes of ORIs according to their location relative to the genes. Our study reveals that 85% of the replication initiation sites in mouse embryonic stem (ES) cells are associated with transcriptional units. Nearly half of the identified ORIs map at promoter regions and, interestingly, ORI density strongly correlates with promoter density, reflecting the coordinated organisation of replication and transcription in the mouse genome. Detailed analysis of ORI activity showed that CpG island promoter-ORIs are the most efficient ORIs in ES cells and both ORI specification and firing efficiency are maintained across cell types. Remarkably, the distribution of replication initiation sites at promoter-ORIs exactly parallels that of transcription start sites (TSS), suggesting a co-evolution of the regulatory regions driving replication and transcription. Moreover, we found that promoter-ORIs are significantly enriched in CAGE tags derived from early embryos relative to all promoters. This association implies that transcription initiation early in development sets the probability of ORI activation, unveiling a new hallmark in ORI efficiency regulation in mammalian cells.",M1
19332823,"Comparative analysis of Caulobacter chromosome replication origins.Caulobacter crescentus (CB15) initiates chromosome replication only in stalked cells and not in swarmers. To better understand this dimorphic control of chromosome replication, we isolated replication origins (<e>oris</e>) from freshwater Caulobacter (FWC) and marine Caulobacter (MCS) species. Previous studies implicated integration host factor (IHF) and CcrM DNA methylation sites in replication control. However, ori IHF and CcrM sites identified in the model FWC CB15 were only conserved among closely related FWCs. DnaA boxes and CtrA binding sites are established CB15 ori components. CtrA is a two-component regulator that blocks chromosome replication selectively in CB15 swarmers. DnaA boxes and CtrA sites were found in five FWC and three MCS oris. Usually, a DnaA box and a CtrA site were paired, suggesting that CtrA binding regulates DnaA activity. We tested this hypothesis by site-directed mutagenesis of an MCS10 ori which contains only one CtrA binding site overlapping a critical DnaA box. This overlapping site is unique in the whole MCS10 genome. Selective DnaA box mutations decreased replication, while selective CtrA binding site mutations increased replication of MCS10 ori plasmids. Therefore, both FWC and MCS oris use CtrA to repress replication. Despite this similarity, phylogenetic analysis unexpectedly shows that CtrA usage evolved separately among these Caulobacter oris. We discuss consensus oris and convergent ori evolution in differentiating bacteria.",M1
19219620,"Intrinsically bent DNA sites in the Drosophila melanogaster third chromosome amplified domain.Bent DNA sites promote the curvature of DNA in both eukaryotic and prokaryotic chromosomes. Here, we investigate the localization and structure of intrinsically bent DNA sites in the extensively characterized Drosophila melanogaster third chromosome DAFC-66D segment (Drosophila amplicon in the follicle cells). This region contains the amplification control element ACE3, which is a replication enhancer that acts in cis to activate the major replication origin <e>ori</e>-beta. Through both electrophoretic and in silico analysis, we have identified three major bent DNA sites in DAFC-66D. The bent DNA site (b1) is localized in the ACE3 element, whereas the other two bent DNA sites (b2 and b3) are localized in the ori-beta region. Four additional bent DNA sites were identified in the intron of the S18 gene and near the TATA box of the S15, S19, and S16 genes. The identification of DNA bent sites in genomic regions previously characterized as functionally relevant for DNA amplification further supports a function for DNA bent sites in DNA replication in eukaryotes.",M1
