@RELATION C0017360_C0032356

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20364666,"[Analysis of HIV-1 integrase gene polymorphism in an HIV-infected population from the nosocomial outbreak of HIV infection in the south of Russia in 1989]The paper presents the data of an investigation of the polymorphism of the <e>pol</e> gene encoding HIV-1 integrase in a HIV subtype G infected population formed during the 1989 HIV-infection outbreak. The investigators analyzed 41 samples of the viruses obtained in 2005-2007. Polymorphism at codons associated with integrase resistance to chemicals was observed in 11 virus variants. The circulation of mutation viruses that potentially promote the formation of resistance to the integrase inhibitors raltegravir and elvitegravir has been established in untreated patients.",M1
20209228,"Variability in HIV-1 partial genomic sequences in Costa Rican patients: analysis with different bioinformatics tools.OBJECTIVE: To estimate subtype and genomic variability in the HIV <e>pol</e> gene of Costa Rican patients by using different bioinformatics tools and to use this information to establish new policies to better manage these patients. METHODS: A total of 113 pol sequences available from Costa Rican patients under highly active antiretroviral therapy were analyzed by using the Genotyping, REGA, Stanford, and MEGA programs. The pol sequences came from 77 virologic failures (VF) and 36 basal samples (BS). Of the 77 VF, 22 also were sequenced in the env region. RESULTS: No major differences were found among the variables studied. However, there was a tendency for more variability in VF patients with a high baseline viral load. In the pol gene, 75%-83% of BS and 66%-75% of VF samples were pure B subtype by Genotyping and REGA, respectively. The other samples presented variations related mainly to circulating recombinant form CRF12 by genotyping or to CRF17 or -29 by phylogenetic analysis or a new possible BD recombinant with all programs. In the Stanford program, all variable samples showed a subtype B with high polymorphism. The variability in the env sequences was lower than that in the pol region. CONCLUSION: The B subtype is predominant in Costa Rican HIV-positive patients. There is high variability within sequences with potential recombination between B and F or D subtypes. The BD recombinant has not been previously reported. This high variability is likely the result of possible recombinant events, nonadherence to antiretroviral therapy, sexual intercourse without protection, and many sexual partners. Similar studies should be done in other countries in the Region, in particular in those places with extensive immigration, in order to decrease the possibility of virus variability as well as the cost of antiretroviral therapy.",M1
20116400,"Development and comparison of strain specific gag and <e>pol</e> real-time PCR assays for the detection of Visna/maedi virus.The aim of this study was the development of gag and pol dual labelled probe real-time PCR and RT PCR assays to quantify the proviral load and the transcripts of the British Visna/maedi virus EV1 strain. Primers and probes were chosen based on the consensus sequences of gag and pol clones representative of EV1 genetic variants. Both PCRs had a detection limit of 3 copies of target gene, with a linearity over 6 orders of magnitude. The performances of the two PCRs in vivo were evaluated and compared on a panel of DNAs extracted from blood of sheep infected experimentally with EV1. The pol assay detected in most cases lower numbers of viral molecules than gag assay, yielding some false negative results. The gag real-time RT PCR had a detection limit of 100 RNA molecules with a linearity over 5 orders of magnitude. This did not result in a lower performance of the RT PCR compared to the PCR in cells permissive for virus replication, which contain higher numbers of viral transcripts than proviral genomes. The real-time assays developed in this study, particularly the gag assay, provide a sensitive tool which can be used to quantify the viral load in experimental infections.",M1
20032547,"Evaluation of minority populations of HIV type-1 with K103N and M184V drug resistance mutations among children in Argentina.BACKGROUND: The aim of this study was to describe the frequency of minority populations of viruses carrying mutations K103N and M184V in drug-naive HIV type-1 (HIV-1)-infected children, and to further evaluate their effect on the selection of drug-resistant viruses within highly active antiretroviral therapy (HAART). METHODS: Newly diagnosed vertically HIV-1-infected children were evaluated. The HIV-1 <e>pol</e> gene was sequenced for subtyping and antiretroviral drug resistance analysis. Standard genotypic sequencing and sequence-selective real-time PCR (SPCR) to quantify minority viral populations were used. RESULTS: From December 2004 to July 2006, we included 35 children who were studied at baseline and during their first HAART regimen (follow-up median time 29.4 months). Of them, 82.9% were infected with intersubtype B/F recombinant variants. At baseline, all children had a drug-susceptible viral population that was studied by bulk sequencing. SPCR showed that 4 children had between 2-10% of M184V, 11 had &lt;0.7%, 18 had no detectable mutation and 2 could not be amplified. No K103N minority populations were found. Once under HAART, children who had 2-10% of M184V at baseline further selected it in percentages &gt;20% in less time than those with -0.1-0.6% or without minority populations (P=0.01). CONCLUSIONS: It was shown that having 2-10% of M184V at baseline enhanced its selection in high percentages in a short time after HAART initiation. Further research regarding the presence of minority quasispecies before initiation of HAART in large paediatric populations should be undertaken to evaluate their clinical effect during HAART.",M1
19954302,"HIV type 1 subtype diversity and drug resistance among HIV type 1-infected Kenyan patients initiating antiretroviral therapy.The treatment of HIV-1 infection with antiretroviral drugs has greatly improved the survival of those who are infected. However, HIV-1 diversity and drug resistance are major challenges in patient management, especially in resource-poor countries. To evaluate HIV-1 genetic diversity and drug resistance-associated mutations among drug-naive patients in Kenya prior to antiretroviral therapy (ART), a genetic analysis of HIV-1 <e>pol</e>-RT and env-gp41 was performed on samples collected from 53 (18 males and 35 females) consenting patients between April and June 2005. The average age, baseline CD4(+) T cell counts, and viral loads were 38 (range, 24-62) years, 475 (range, 203-799) cells/mm(3), and 4.7 (range, 3.4-5.9) log(10) copies/ml, respectively. Phylogenetic analysis revealed that 40 samples (75.5%) were concordant subtypes for the two genes and 13 (24.5%) were discordant, suggesting possible recombination and/or dual infections. Prevalent subtypes included A1/A1(pol-RT/env-gp41), 31 (58.5%); D/D, 9 (16.9%); A1/C, 2 (3.8%); A1/D, 4 (7.5%); G/A1, 2 (3.8%); A1/A2, 1 (1.9%); C/A1, 2 (3.8%); D/A1, 1(1.9%); and D/A2, 1 (1.9%). Major reverse transcriptase inhibitor (RTI) resistance-associated mutations were found in four patients (7.5%). Of these patients, three had nucleoside RTI resistance mutations, such as M184V, K65R, D67N, K70R, and K219Q. Nonnucleoside RTI resistance-associated mutations K103N and Y181C were detected in three patients and one patient, respectively. Multiple drug resistance mutations were observed in this drug-naive population. With increasing numbers of patients that require treatment and the rapid upscaling of ART in Kenya, HIV-1 drug resistance testing is recommended before starting treatment in order to achieve better clinical outcomes.",M1
19775717,"Importance of the major splice donor and redefinition of cis-acting sequences of gutless feline foamy virus vectors.Foamy virus vectors are potent alternatives to lenti- and gamma-retroviral vectors for gene therapy. To construct and optimize gutless feline foamy virus (FFV) replication-deficient (RD) vectors, viral elements essential for optimal efficient marker gene transduction were characterized and fine-mapped and packaging clones constructed. For these purposes, new Gag and <e>Pol</e> expression clones which allow efficient expression of packaging proteins and vectors carrying deletions in coding and non-coding regions of the genome were constructed and functionally evaluated. These studies demonstrate that the 5' major splice donor (5' SD) is indispensable for RD vectors while defined mutations introduced to inactivate the gag start codon improve transgene delivery efficiency. Based on these findings, new gutless FFV vectors were generated yielding un-concentrated vector titers above 10(5) transducing units (TU)/ml. By minimizing the second cis-acting sequence in the pol gene, only 3.8 kb viral sequences are maintained in the novel gutless FFV RD vectors.",M1
19770803,"Diagnosis and monitoring of HIV-1 group O-infected patients in Cameroun.OBJECTIVE: To define a routine algorithm for the specific diagnosis and complete follow-up of HIV-1 group O (HIV-O) infections in Cameroun. METHODS: During 18 months, samples referred to Centre Pasteur du Cameroun for HIV testing or viral monitoring were screened for HIV-O infection with an in-house serotyping assay. HIV-O viral load was quantified by real-time polymerase chain reaction in the LTR gene and resistance genotyping was performed on <e>pol</e> and env sequences. RESULTS: Of the 7030 samples tested, 78 HIV-O infections (1.1%) were identified, including 7 M and O dually seroreactive samples (9%). All treatment-naive patients and 59% of the patients receiving HAART had detectable viral loads. Analysis of pol sequences from 15 treatment-naive patients revealed a high number of polymorphisms in the protease region, with natural residues implicated in genotypic resistance to tipranavir and saquinavir for HIV-1 group M according to the Agence Nationale de Recherches sur le Sida et les Hépatites virales algorithm. Six patients (40%) harbored the 181C mutation conferring natural resistance to nonnucleoside reverse transcriptase inhibitors. Among antiretroviral-treated patients, major resistance mutations described for HIV-1 group M were found. CONCLUSIONS: HIV-O prevalence remains relatively low in Cameroun. The cocirculation of groups M and O in this country leads to replicative dual infections. HIV-O-infected patients in this region can now benefit from effective and specific tools for a complete monitoring of infection. However, further studies are needed to understand long-term response to antiretrovirals of these complex variants.",M1
19579699,"Prevalence of viral hepatitis and molecular analysis of HBV among voluntary blood donors in west Iran.To determine the prevalence of viral hepatitis infection and hepatitis B virus (HBV) molecular characterization, 11,200 blood donors from citizens of Shahrekord (a city located in west of Iran) were investigated. Results showed HBsAg-positive in 1.78% of persons (n=200), anti-HDV-positive in 3% of HBsAg-positive cases (n=6) and anti-HCV-positive in 0.67% of donors (n=76). HBV phylogenetic analysis disclosed HBV genotype D, sub-genotype D1, and subtype ayw2. Amino acid mapping of the HBV <e>pol</e> region revealed various HBV drug-resistance mutations though donors had no antiviral therapy. In conclusion, this study demonstrated notable viral hepatitis seroprevalence rate in blood donors in west of Iran.",M1
19559103,"Analysis of HIV-1 <e>pol</e> sequences from Panama: identification of phylogenetic clusters within subtype B and detection of antiretroviral drug resistance mutations.We report the first study to examine phylogenetic relationships and drug resistance mutations in HIV-1 pol sequences from Panama. For this study, we used plasma RNA samples from 135 HIV-1-infected subjects from Panama, of which 82 (61%) had AIDS and 53 (39%) were asymptomatic drug-naïve individuals. Phylogenetic analyses revealed that 133 (98%) subjects were infected with subtype B viruses and 2 AIDS patients harboured recombinant viruses, CRF02_AG/A3 and CRF12_BF/B, respectively. Using a Bayesian phylogeny inference method, 5 strongly supported clusters of &gt; or =5 sequences, designated B-PA1 to B-PA5, were identified within subtype B, together comprising 87 (65.4%) subtype B viruses. Cluster B-PA1 (n=42) was significantly associated with East Panama and clusters B-PA2 (n=15) and B-PA4 (n=10) were associated with West Panama. A Bayesian coalescent analysis indicated that the most recent common ancestors of the four largest clusters were dated in the 1980s and that of the fifth in the early 1990s. The analysis of antiretroviral drug resistance-associated mutations revealed that 8 (9.7%) AIDS patients, all of them antiretroviral drug-experienced, harboured mutations conferring high or intermediate resistance levels to antiretroviral drugs. No drug resistance mutations were detected among the asymptomatic drug-naïve individuals. In conclusion, the phylogenetic analysis of HIV-1 pol sequences from Panama reveals that a majority of subtype B viruses, which are predominant in Panama, branch within well supported intrasubtype phylogenetic clusters, most of them originating in the 1980s, and some with geographical associations, which may reflect either multiple HIV-1 subtype B introductions or the existence of local transmission networks originating in the early epidemic in Panama.",M1
19521252,"Molecular epidemiological study of HIV-1 CRF01_AE transmission in Hong Kong.OBJECTIVES: The objective of this study was to investigate the transmission history of the HIV-1 CRF01_AE epidemics in Hong Kong between 1994 and 2007. METHODS: A total of 465 HIV-1 CRF01_AE <e>pol</e> sequences were derived from an in-house or a commercial HIV-1 genotyping system. Phylogenies of CRF01_AE sequences were analyzed by the Bayesian coalescent method. RESULTS: CRF01_AE patient population included 363 males (78.1%) and 102 females (21.9%), whereas 65% (314 of 465) were local Chinese. Major transmission routes were heterosexual contact (63%), followed by intravenous drug use (IDU) (19%) and men having sex with men (MSM) (17%). From phylogenetic analysis, local CRF01_AE strains were from multiple origins with 3 separate transmission clusters identified. Cluster 1 consisted mainly of Chinese male IDUs and heterosexuals. Clusters 2 and 3 included mainly local Chinese MSM and non-Chinese Asian IDUs, respectively. Chinese reference isolates available from China (Fujian, Guangxi, or Liaoning) were clonally related to our transmission clusters, demonstrating the epidemiological linkage of CRF01_AE infections between Hong Kong and China. The 3 individual local transmission clusters were estimated to have initiated since late 1980s and late 1990s, causing subsequent epidemics in the early 2000s. CONCLUSIONS: This is the first comprehensive molecular epidemiological study of HIV-1 CRF01_AE in Hong Kong. It revealed that MSM contact is becoming a major route of local CRF01_AE transmission in Hong Kong. Epidemiological linkage of CRF01_AE between Hong Kong and China observed in this study indicates the importance of regular molecular epidemiological surveillance for the HIV-1 epidemic in our region.",M1
