@RELATION C0034044_C0034833

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20120977,"[The University of Puerto Rico Emergency Medicine Program: 15th anniversary, its history and contribution to health care in Puerto Rico]Emergency medicine is a newly created specialty in Puerto Rico. The first training program began in 1977. Unfortunately this program was decertified by ACGME in 30 July 30 1993. On June 1, 1994 thanks to support of UPR School of Medicine new training program began. The program began using as a main clinical training site the <e>PR</e> Medical Center Emergency Room until 1995. Since that date the Hospital UPR, Dr Federico Trilla became its main clinical training site. Since its inception the program has graduated 116 emergency physicians, with more than 60% working in PR. The department's contribution to health care in Puerto Rico has been and will be based on the achievements of its faculty, residents and alumni. Approximately 25% of emergency rooms directors in PR are graduates. About 27% of graduates have subspecialties. It is also important to note that graduates of the program have helped to improve the quality of health care offered in emergency rooms in the country.",M1
19999240,"Descriptive profile of surgically-confirmed adult central nervous system tumors in Puerto Rico.INTRODUCTION: Published studies regarding the incidence of central nervous system (CNS) tumors in Puerto Rico (<e>PR</e>) are exceedingly rare. The general understanding is that the incidence of these tumors in Puerto Rico is similar to the one found in the United States of America (USA). The objective of this study is to describe the specific profile of all the CNS tumors that are surgically intervened in Puerto Rico, through the creation of a database. METHODS: A retrospective analysis of all the surgical procedures from January 1, 2002 to May 31, 2006 for adult CNS tumors in Puerto Rico was performed. Each case was evaluated for demographic information, operative procedure, lesion description and official pathological report. Recurrent lesions were excluded. The information was organized to form a database of all the CNS neoplasms. RESULTS: A total of 1,018 procedures for CNS tumors were performed on 1,005 patients. The incidence rate of surgically intervened CNS tumors in Puerto Rico is 6 per 100,000 people. CNS tumors were more common in women than in men (58% vs. 42%), respectively. The mean age was 52.4 years. The most common histological type found was meningioma WHO I (24%), followed by pituitary adenomas (16%), and glioblastoma multiforme (14%). CONCLUSIONS: Our results reflect a unique histopathological distribution of operated CNS tumors in Puerto Rico. In this series, primary tumors are more common than metastatic tumors. Benign histological tumors were more frequent than more malignant variants. Although this study reflects only the histologically diagnosed tumors, it is headway towards diagnosing the incidence of all CNS tumors in Puerto Rico.",M1
19999237,"Outcome of liver transplantation in a Hispanic population: 100 liver transplants in Puerto Ricans.BACKGROUND: The residents of Puerto Rico (<e>PR</e>) had limited access to liver transplantation (LTx) prior to 1996. LTx remains locally unavailable and success rates for LTx for patients from PR have never been published. The outcome of the first 100 LTx recipients from PR transplanted at our center is analyzed. METHODS: 100 consecutive patients transplanted between 3/1997 and 1/2005 were evaluated. RESULTS: Hepatitis C was the indication for LTx in 44%. Overall patient survival at 1, 3 and 5 yrs was: 94.0%, 81.4% and 75.7%, respectively, while for hepatitis C, it was 90%, 73% and 73%, respectively. At mean follow up of 44 mo., 80% of patients were alive (66% HCV were alive vs 91% non HCV, p &lt; 0.01). CONCLUSIONS: Access to LTx in Puerto Rico has dramatically improved since 1996. The government-sponsored fund has provided access to indigent patients. Decreased survival in this minority population was not observed at 1, 3 and 5 years. Long-term survival was most affected by recurrence of HCV.",M1
19965886,"Epidemic dynamics revealed in dengue evolution.Dengue is an emerging tropical disease infecting tens of millions of people annually. A febrile illness with potentially severe hemorrhagic manifestations, dengue is caused by mosquito-borne viruses (DENV-1 to -4) that are maintained in endemic transmission in large urban centers of the tropics with periodic epidemic cycles at 3- to 5-year intervals. Puerto Rico (<e>PR</e>), a major population center in the Caribbean, has experienced increasingly severe epidemics since multiple dengue serotypes were introduced beginning in the late 1970s. We document the phylodynamics of DENV-4 between 1981 and 1998, a period of dramatic ecological expansion during which evolutionary change also occurs. The timescale of viral evolution is sufficiently short that viral transmission dynamics can be elucidated from genetic diversity data. Specifically, by combining virus sequence data with confirmed case counts in PR over these two decades, we show that the pattern of cyclic epidemics is strongly correlated with coalescent estimates of effective population size that have been estimated from sampled virus sequences using Bayesian Markov Chain Monte Carlo methods. Thus, we show that the observed epidemiologic dynamics are correlated with similar fluctuations in diversity, including severe interepidemic reductions in genetic diversity compatible with population bottlenecks that may greatly impact DENV evolutionary dynamics. Mean effective population sizes based on genetic data appear to increase prior to isolation counts, suggesting a potential bias in the latter and justifying more active surveillance of DENV activity. Our analysis explicitly integrates epidemiologic and sequence data in a joint model that could be used to further explore transmission models of infectious disease.",M1
19954094,"Obesity prevalence odds ratios in four Puerto Rican towns: a pilot study.PURPOSE: Obesity is a major public health problem associated with major mortality causes. It is the second leading cause of preventable diseases in the Caribbean island of Puerto Rico (<e>PR</e>). The purpose of the study is to estimate the Obesity Prevalence Odds Ratios in Four Puerto Rican Towns. Obesity prevalence in PR has been estimated by the Behavioral Risk Factor Surveillance System (BRFSS) in 2005 (23%) for both sexes. The obesity estimation of the BRFSS was used in order to relate it with our sample and compare results. METHOD: This is a descriptive-observational cross sectional study, based on a sample of 801 subjects selected from four major Puerto Rican municipalities (Loiza, Rio Grande, Luquillo and Canovanas). A valid questionnaire with main questions to obtain health/nutrition and sociodemographic information were administered. An obesity prevalence odds ratio (OPOR) was calculated. RESULTS: The obesity prevalence of the whole sample under study was higher (mean prevalence rate 42%) than the reported prevalence rate in the 2005 BRFSS. Canóvanas have the highest obesity prevalence (49%) followed by Loiza (41 %), Rio Grande (39 %) and Luquillo (37 %). Luquillo and Canovanas are the areas with higher possibility for obesity taking into consideration waist circumference as a risk factor for obesity (OPOR= 1.49 and 1.36, respectively; 95% CI). CONCLUSIONS: The sample under study has a higher OPOR as related to the BRFSS. These individuals may have a higher risk for chronic diseases associate to obesity. Future studies needs to address lifestyle prevention modifications and socioeconomic disparities in addition to evaluate intervention(s) that modify environmental factors in order to prevent obesity.",M1
19788409,"Prevalence of urinary incontinence and its association with body mass index among women in Puerto Rico.OBJECTIVE: Urinary incontinence (UI) affects the quality of life of millions of women world-wide. Prevalence estimates for UI range from 10% to 40%, but information on young and mid-life women, especially among Hispanics, is limited. This study estimated UI prevalence and its association with body mass index (BMI) in a population-based sample of 276 female residents of Bayamón, Puerto Rico (<e>PR</e>) aged 21-64 years. METHODS: A cluster sampling design was employed. Women were interviewed to gather data on sociodemographic, clinical, gynecologic, and UI characteristics. Descriptive statistics were used to characterize the study sample. Bivariate analyses of factors potentially associated with UI and BMI were conducted using generalized linear models (GLM). Multivariate GLM was used to determine the covariate adjusted association between BMI and UI. RESULTS: The prevalence of UI was 34.8% (95% confidence interval [CI]: 29.4-40.6%). Among women with UI, stress incontinence was most frequent (46.8%), followed by mixed (41.5%) and urge incontinence (11.7%). More than 45% of participants were either overweight (25 kg/m(2) &lt;or= BMI &lt;or= 29.9 kg/m(2)) or obese (BMI &gt;or= 30 kg/m(2)). The adjusted analysis revealed that women with a BMI &gt;or= 30 kg/m(2) had 1.96 (p = 0.06) times the probability of having UI compared to women with a BMI &lt; 25 kg/m(2). CONCLUSIONS: UI is a public health problem among this population, and obesity marginally increases the possibility of having this condition. Public health efforts should focus on reducing obesity in PR, in order to have an impact on UI morbidity.",M1
19672958,"Beliefs and barriers to medication use in parents of Latino children with asthma.OBJECTIVE: Disparities in asthma outcomes exist between Latino and non-Latino white (NLW) children. We examined rates of medication use, medication beliefs, and perceived barriers to obtaining medication in US and island Puerto Rican parents of children with asthma. HYPOTHESES: Island <e>PR</e> parents would report the lowest rates of controller medication use, followed by RI Latino and RI NLW parents; Latino parents would report more medication concerns than NLW parents; and Island PR parents would report the most barriers to medication use. STUDY DESIGN: Five hundred thirty families of children with persistent asthma participated, including 231 Island PR, 111 RI NLW, and 188 RI Latino. Parents completed survey measures. RESULTS: Group differences were found on reported use of ICS (X(2) = 50.96, P &lt; 0.001), any controller medication (X(2) = 56.49, P &lt; 0.001), and oral steroids (X(2) = 10.87, P &lt; 0.01). Island PR parents reported a greater frequency of barriers to medication use than the other two groups (X(2) = 61.13, P &lt; 0.001). Latino parents in both sites expressed more medication concerns than NLW parents (F = 20.18, P &lt; 0.001). Medication necessity was associated with ICS use in all three groups (all P's &lt; 0.01). Medication concerns were positively associated with ICS use in PR only (OR = 1.64, P &lt; 0.05). CONCLUSIONS: Differences in medication beliefs and the ability to obtain medications may explain the reported disparity in controller medication use. Further studies are needed to evaluate these obstacles to medication use.",M1
19530551,"Survival of hepatocellular carcinoma in Puerto Rico.BACKGROUND: Blacks and Hispanics in the United States (US) have the lowest survival rates of hepatocellular carcinoma (HCC), mainly associated to the presence of advanced disease at diagnosis when intervention is least beneficial. This study compared the survival distribution and relative survival of HCC in Puerto Rico (<e>PR</e>) during 1988-1992 and 1998-2002. METHODS: All HCC cases in the PR Central Cancer Registry database for 1988-1992 (n = 306) and 1998-2002 (n = 333) were identified. Patient characteristics and clinical variables were compared between study periods. Survival by age at diagnosis, sex, tumor stage and treatment was estimated using the Kaplan-Meier method, and survival curves were compared using the Wilcoxon test. A Cox proportional hazards model was employed to assess the effect of period of diagnosis on survival, after adjusting for confounders. One- and three-year survival rates were also calculated. RESULTS: Patients diagnosed during 1998-2002 (median: 3.08 months, 95% CI: 2.30-4.16) had a longer observed survival than those diagnosed from 1988-1992 (median: 1.80 months, 95% CI: 1.44-2.52). A significant interaction was observed between the variables age and period of diagnosis, where only among persons aged &gt; or = 60 years the risk of HCC death was lower (sex-adjusted HR = 0.72; 95% CI: 0.59-0.88) in patients diagnosed during 1998-2002 as compared to those diagnosed during 1988-1992. The overall one- and three-year relative survival during 1998-2002 was approximately 6% (22.4% vs. 16.6%) and 2% higher (9.0% vs. 6.7%) respectively, as compared to 1988-1992. CONCLUSION: We observed a temporal improvement in the survival of HCC in PR during the last decade. However, this survival is inferior to the one observed in the US population. Further studies are needed to identify factors that explain these disparities.",M1
19402167,"Incidence and mortality rates for colorectal cancer in Puerto Rico and among Hispanics, non-Hispanic whites, and non-Hispanic blacks in the United States, 1998-2002.BACKGROUND: Colorectal cancer (CRC) is the second most commonly diagnosed cancer in Puerto Rico (<e>PR</e>). In the United States, the incidence and mortality rates of CRC have great variation by sex and race/ethnicity. Age-standardized incidence and mortality rates of CRC in PR were assessed and compared with the rates among US Hispanics (USH), non-Hispanic whites (NHW), and non-Hispanic blacks (NHB) in the United States for the period from 1998 through 2002. Incidence and mortality trends and relative differences among racial/ethnic groups by sex and age were determined. METHODS: Age-standardized rates using the world standard population (ASR[World]) were based on cancer incidence and mortality data from the PR Central Cancer Registry and from the National Cancer Institute's Surveillance, Epidemiology, and End Results Program using the direct method. The annual percentage changes (APC) and relative risks (RR) were calculated using Poisson regression models. RESULTS: During 1998 through 2002, the APC of CRC incidence and mortality increased for men in PR, whereas descending trends were observed for other racial/ethnic groups. Overall period rates indicated that, in both sexes, Puerto Ricans had CRC incidence and mortality rates similar to those for USH, but their rates were lower than those for NHW and NHB. However, Puerto Rican men and women ages 40 years to 59 years had the greatest risk of incidence and mortality compared with their USH counterparts. CONCLUSIONS: Areas of concern include the increasing trends of CRC in PR and the higher burden of the disease among young Puerto Ricans compared with the USH population. The authors concluded that further research should be performed to guide the design and implementation of CRC prevention and education programs in PR.",M1
19400958,"Age-standardized incidence and mortality rates of oral and pharyngeal cancer in Puerto Rico and among Non-Hispanics Whites, Non-Hispanic Blacks, and Hispanics in the USA.BACKGROUND: In the American region, Puerto Rico (<e>PR</e>) has the highest incidence of oral and pharyngeal cancer (OPC), but racial/ethnic differences have never been assessed and compared with other groups in the United States of America (USA). We compared the age-adjusted incidence and mortality rates of OPC between PR and among USA Hispanics (USH), Non-Hispanic Whites (NHW), and Non-Hispanic Blacks (NHB) to assess the burden of this cancer in PR. METHODS: Analysis of the age-standardized rates (per 100,000) was performed using the direct method with the world standard population (ASR(World)) from 1998-2002. Annual percent change (APC) and Relative Risks (RR) were calculated using the Poisson regression model. RESULTS: The incidence ASR(World) for men in PR was constant (APC approximately 0.0%), in contrast, a decrease was observed among NHW, NHB, and USH men, although only USH showed statistical significance (APC = -4.9%, p &lt; 0.05). In women, the highest increase in incidence (APC = 5.3%) and the lowest decrease in mortality (APC = -1.4%) was observed in PR. The ratio of the ASR(World) showed that in all racial/ethnic groups, men had approximately 2-4 fold increased incidence and mortality risk of OPC than women (p &lt; 0.05). Men in PR had a higher mortality risk (p &lt; 0.05) of OPC as compared to USH, NHW, and NHB; but among women, PR showed a significant excess of mortality only as compared to USH (est. SRR = 1.82, 95% CI = 1.41, 2.33). CONCLUSION: The overall higher incidence of OPC in men in PR as compared to USH, NHB, and NHW could be explained by the effect of gene-environment interactions. Meanwhile, the higher mortality from OPC in PR suggests limitations in the health-care access within this population. Further research is warranted to elucidate these findings.",M1
