@RELATION C0026780_C0030583

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20077654,"[Analysis epidemiological and pathogen characters of mumps in China from 2004 to 2006]OBJECTIVE: The study was conducted to analyze the epidemiological characteristics of mumps in China (Hong Kong, Macau and Taiwan excluded) from 2004 to 2006 and to provide basic data for mumps control. METHODS: Descriptive epidemiological analysis was conducted based on the data of epidemic <e>parotitis</e> from National Notifiable Disease Reporting System and mumps virus surveillance database from Nation Measles Lab. RESULTS: The annual incidence rates of parotitis cases during 2004-2006 were 17.45/100, 000, 22.40 /100, 000, 20.76 /100, 000 respectively. All the provinces had parotitis cases report. In all parotitis cases during 2004-2006, the percentage of case number of children (&lt; 15 years old) were 89.77%, 87.87%, 85.15% respectively, while the children between 5-9 years old were 49. 16%, 46.90%, 43.26% respectively. The homology based on 316 nucleotides of the Chinese mumps virus isolated during 2004 - 2006 was 95.4%-100%. CONCLUSION: To prevent and control mumps, the mumps surveillance for serology, virology and eoidemiology should be strengthened in China.",M1
19830379,"Genotyping of mumps virus circulating in Turkey in the 2006-2007 winter season.In the winter of 2006-2007, several <e>parotitis</e> cases were reported in different provinces of Turkey. Serological and virological studies were undertaken to investigate these cases with the aim of determining the genotype of the mumps virus (MuV) circulating in Turkey. Samples from 23 cases-Ankara (n:5), Kirklareli (n:4), Mugla (n:10), Isparta (n:3), Trabzon (n:1)-with a diagnosis of clinical parotitis were investigated. Serum samples were tested against mumps IgM and IgG, nested PCR amplification of a 639-bp fragment encompassing the entire SH gene was performed using buccal swabs, and PCR products were sequenced. Of 18 serum samples, 16 (88.9%) were positive for mumps IgM. Seven (30.4%) of 23 buccal swab samples were positive by PCR. In five PCR-positive cases, the sample was also positive for mumps IgM, and serum samples were not available from two of the PCR-positive cases. There was 98% identity between the different sequences, and all were identified as genotype H. The sequences were most similar to sequences identified in Spain, Japan, Switzerland and the UK, and less closely related to the H strains identified in Belarus, Korea and Russia. This is the first report of the mumps virus genotypes circulating in Turkey. Turkey is, geographically, a bridge between Europe and Asia, and therefore, a better understanding of the molecular epidemiology of MuV in Turkey may led to improved tracking of the circulation of strains between the two continents. Moreover, there is a need to further investigate the existence of other genotypes in Turkey.",M1
19770567,"Facial palsy caused by mumps <e>parotitis</e>.",M1
19697404,"Investigation of a mumps outbreak among university students with two measles-mumps-rubella (MMR) vaccinations, Virginia, September-December 2006.Following the clinical diagnosis of the first case of mumps on September 22, 2006 at the University of Virginia (UVA), 52 suspected cases were identified through active surveillance for mumps by the end of December 2006. Samples were collected from 47 students who presented with <e>parotitis</e> despite a documented history of two doses of measles, mumps, and rubella (MMR) vaccine. Six of 47 serum samples (13%) were positive for mumps IgM, and 46/47 specimens were positive for mumps IgG. Endpoint titration of acute phase serum samples from laboratory-confirmed cases did not provide evidence that elevated serum IgG is a consistent marker for infection among cases due to secondary vaccine failure. Buccal swab samples from 39 of the 47 students were tested by real-time reverse transcription-polymerase chain reaction (RT-PCR) and/or viral culture. Mumps virus or mumps RNA was detected in 12 of 39 buccal samples (31%). Genetic analysis of the virus from the outbreak at UVA indicated that the outbreak was not linked to the large mumps outbreak in the Midwestern US that occurred earlier in 2006. Our findings support the use of viral detection to improve laboratory diagnosis of mumps among persons who have received two doses of MMR.",M1
19445418,"Risk factors for mumps at a university with a large mumps outbreak.OBJECTIVES: Routine measles-mumps-rubella (MMR) vaccine use has greatly decreased the incidence of mumps in the U.S. However, a resurgence of mumps occurred in 2006. We investigated the large outbreak at a university and assessed risk factors for disease. METHODS: We described the outbreak and conducted a case-control study. We interviewed case students (identified from student health service and health department records) and control students (selected from a randomly ordered administrative list) and assessed their vaccination status. We compared case students with &gt; or = 2 MMR doses and control students with &gt; or = 2 MMR doses in univariate and multivariate analyses. RESULTS: The mean age of the 174 case students was 20.9 years; 65% were women. Ninety-seven case students and 147 control students were enrolled in the study. Two-dose MMR coverage was 99% among case and control students with complete records. Only 33% of case students reported exposure to someone with mumps. Case students were more likely than control students to be aged 18 to 19 years (vs. aged 22 years, adjusted odds ratio [AOR] = 5.55; 95% confidence interval [CI] 2.09, 14.74), to report exposure to mumps (AOR=2.31, 95% CI 1.13, 4.73), and to have worked/volunteered on campus (AOR=2.91, 95% CI 1.33, 6.33). Also, women in dormitories had increased odds of mumps compared with men in dormitories. CONCLUSION: High two-dose MMR coverage was not sufficient to prevent the outbreak. Further study is needed to better understand the effects of dormitory residency and gender on mumps transmission. Clinicians should be vigilant for mumps in young adults presenting with <e>parotitis</e> regardless of immunization history.",M1
18790262,"Case of adult mumps infection after renal transplantation.Viruses are the most common cause of opportunistic infections, important complications of transplantation. Mumps infection in renal transplant recipients is uncommon. This report focused on a 23-year-old woman who received immunosuppressive therapy based on tacrolimus, prednisolone, and mycophenolate mofetil for renal transplantation. Sixteen months after transplantation, she was admitted with pain and swelling in both infra-auricular areas. Laboratory findings demonstrated positive mumps IgM and IgG antibodies and an increased serum amylase level. Computed tomography revealed both parotid glands to be diffusely enlarged. After the diagnosis of mumps <e>parotitis</e>, the patient's immunosuppression was reduced and the clinical course was satisfactory.",M1
18539365,"Mumps vaccination coverage and vaccine effectiveness in a large outbreak among college students--Iowa, 2006.Following implementation of a routine childhood two-dose measles-mumps-rubella vaccination strategy, mumps disease levels dropped dramatically in the US and an elimination goal was set for 2010. However, a 2006 epidemic involved &gt;5700 cases nationwide, with many reported among fully vaccinated college students. In an outbreak in two Iowa colleges, we investigated: (1) vaccination coverage using electronic records verified by provider records and (2) vaccine effectiveness assessed by comparison of dose-specific attack rates. Mumps was classified as typical (<e>parotitis</e>/orchitis) or atypical (parotid tenderness or submandibular/sublingual adenitis). Two-dose mumps vaccination coverage was 90% both for the student population (2128/2363) and case-students (97/108). Two-dose vaccine effectiveness was 76-88% with no significant difference for attack rates between one and two doses. Among two-dose vaccine recipients, 74% of the population (1482/2009) and 79% of the case-students (75/95) had received the second dose &gt;10 years before. A large mumps outbreak occurred despite high two-dose vaccination coverage in a population most of whom had received the second dose &gt;10 years before. Two-dose vaccine effectiveness was similar to previous one-dose estimates. Further studies are needed to examine the persistence of two-dose mumps vaccine-induced immunity and to determine whether US mumps elimination can be achieved with the current vaccination strategy.",M1
18318168,"[Lipid peroxidation in patients with epidemic <e>parotitis</e> complicated by pancreatitis]The serum concentrations of diene conjugates (DC) and malonic dialdehyde (MDA) were measured in patients with epidemic parotitis (EP) complicated or not complicated by acute pancreatitis (AP). Forty-eight patients with EP were examined. Group 1 consisted of 30 patients with EP complicated by AP; Group 2 consisted of 18 patients with non-complicated EP. The serum samples from 21 healthy donors were used as controls. DC and MDA concentrations were measured after first clinical signs of AP (days 5th to 8th) appeared and before discharge. Serum samples from patients without AP were taken also on days 5th to 8th and before discharge. Lipid peroxidation (LP) proved to be activated in patients with EP, and in patients with complicated EP the increase in the concentration of primary LP products (DC) and intermediate (MDA) LP products was greater.",M1
18184850,"Detection of RNA of mumps virus during an outbreak in a population with a high level of measles, mumps, and rubella vaccine coverage.The duration of mumps virus RNA detection was studied during a mumps outbreak in a highly vaccinated university population. Seven of the eight reverse transcription-PCR-positive specimens were collected during the first 3 days of <e>parotitis</e>, suggesting that viral shedding is minimal after the first 3 days of symptoms.",M1
18098149,"Detection of a new mumps virus genotype during <e>parotitis</e> epidemic of 2006-2007 in the state of São Paulo, Brazil.Nucleotide sequence analyses of the SH gene of 18 mumps virus isolates collected in the 2006-2007 parotitis epidemic in the state of São Paulo identified a new genotype, designated genotype M. This new designation fulfills all the parameters required to define a new mumps virus genotype. The parameters were established by an expert panel in collaboration with the World Health Organization (WHO) in 2005. This information will enhance the mumps virus surveillance program both at the national and global levels.",M1
