@RELATION C0013058_C0031336

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20480900,"Simultaneous determination of cefixime trihydrate and dicloxacillin sodium in <e>pharmaceutical</e> dosage form by reversed-phase high-performance liquid chromatography.A simple, precise, accurate, and sensitive RP-HPLC method for simultaneous determination of cefixime trihydrate and dicloxacillin sodium in combined tablet dosage form was developed and validated. Chromatographic separation of the two drugs was performed on a Purospher BDS C18 column (25 cm x 4.6 mm id, 5 microm particle size). The mobile phase methanol-0.01 M phosphate buffer (75 + 25, v/v), adjusted to pH 3 with glacial acetic acid, was delivered at a flow rate of 1.0 mL/min. Detection was performed at 227 nm. Separation was completed within 10 min. Calibration curves were linear with R2 between 0.99 to 1.0 over a concentration range of 2-10 microg/mL for cefixime trihydrate and 5-25 micromL for dicloxacillin sodium. The RSD for intraday and interday precision was &lt; 2.0%.",M1
20412630,"Lean Raman imaging for rapid assessment of homogeneity in <e>pharmaceutical</e> formulations.Solid dispersion formulations and drug in polymer matrices are increasingly being used by the pharmaceutical industry to enhance the solubility, or bio-availability, of active pharmaceutical ingredients (APIs). The degree of solubility or bio-availability enhancement, as well as properties such as chemical stability and physical characteristics, will be dependent on the homogeneity of the drug in polymer matrix. The use of Raman spectroscopy to assess homogeneity has traditionally been limited by the time required to acquire images from a statistically representative sample area. This may be overcome by employing a more rapid one-dimensional Raman line-mapping approach and using a statistical analysis to extract the critical information. This approach has been termed  lean  Raman imaging and allows a large area of sample to be probed in a relatively short space of time. This paper discusses the use of  lean  Raman imaging to assess two performance-indicating parameters of a drug in polymer formulation, sedimentation of the API within a capsule formulation and phase separation of the individual components. The development of a screening method, using Raman line mapping to allow rapid measurement of sedimentation of the API, is discussed. This method requires less than half an hour per capsule for data collection and processing. In addition, the development of a  lean  Raman mapping technique, using single line scans to assess drug and polymer domain sizes, is detailed. This technique employs a simple peak ratio approach coupled with statistical analysis to provide a measure of the degree of drug and polymer segregation without the need for acquisition of high pixel density images or multivariate analysis. The Raman mapping data is compared with both the dissolution profiles and processing parameters of the samples tested and a strong correlation is shown between formulation homogeneity and dissolution behavior.",M1
20383936,"Electrochemical study of the antiplatelet agent clopidogrel and its determination using differential pulse voltammetry in bulk form and <e>pharmaceutical</e> preparations with a glassy carbon electrode.In the present study, the electroanalytical behaviour of clopidogrel (CLP) bisulfate, an antithrombotic drug, was investigated by cyclic voltammetry (CV) and differential pulse voltammetry (DPV) techniques using a glassy carbon electrode (GCE). The anodic oxidation of clopidogrel bisulfate was investigated with a GCE to determine the oxidation conditions. The voltammograms of solutions having various concentrations of clopidogrel were recorded in order to obtain the optimum oxidation conditions of this drug on a GCE. To determine the effects of the nature of the supporting electrolyte, pH and scan rate on the anodic oxidation reactions, the experiments were performed in 0.2 M sulphuric acid, and in Britton-Robinson (BR) (pH 2-5) and acetate (pH 3.5-5.63) buffers with a 10-400 mVs(-1) scan rate interval. The oxidation of clopidogrel bisulfate was found to be diffusion-controlled over a concentration range of 0.08 mM-1.0 mM in pH 3.7 acetate buffer by an optimized DPV technique. The voltammetric method developed was applied to the tablet form of pharmaceutical preparation of this compound and the accuracy, precision, selectivity, sensitivity, repeatibility within and between days and reproducibility of the proposed method was investigated statistically. The results were compared with the spectrophotometric and HPLC methods developed in our laboratory and found to be in good agreement. No interference was observed from common pharmaceutical adjuvants.",M1
20338098,"Drug-carrying albumin film for blood-contacting biomaterials.Surface-induced thrombosis is a major complication in the development of blood-contacting medical devices. Serum albumin has the ability to bind to a wide variety of compounds, including drugs, and neither cells nor proteins adsorb to an albumin-coated surface. These properties of albumin are useful for improving the blood compatibility of biomaterial surfaces. In the present study, we prepared a water-insoluble film by cross-linking <e>pharmaceutical</e> grade recombinant human serum albumin aiming to the clinical applications, and loaded the film with a synthetic antiplatelet drug, cilostazol. The resultant film possessed native albumin characteristics such as drug binding ability and resistance to cell adhesion. Mouse fibroblast L929 cells did not adhere on the albumin film, just as they did not adhere on native albumin-coated surfaces. Furthermore, when the albumin film carrying cilostazol was placed in PBS containing Tween-80, the release of cilostazol was sustained over 144 h. The results indicate that the surface coating with thus prepared albumin film can confer the biomaterials with antithrombogenic surface by virtue of its non-adhesiveness to cells and its release of cilostazol.",M1
20188955,"Carbon paste and PVC electrodes for the flow injection potentiometric determination of dextromethorphan.The construction and performance characteristics of dextromethorphan (DXM) carbon paste (CPEs) and polyvinyl chloride (PVC) electrodes are described. Different modes for electrode modification, including incorporation of ion pairs (IPs), ion pairing agent or soaking the plain electrode in IPs suspension, have been used. Matrices compositions were optimized referring to the effect of modifier and plasticizer. The fabricated electrodes work satisfactorily in the concentration range from 10(-5) to 10(-2) mol L(-1) with fast response time (1.6s) and long operational lifetime (2 months). The developed electrodes have been successfully applied for the potentiometric determination of DXM in <e>pharmaceutical</e> formulation under batch and flow injection analysis (FIA) conditions. Under FIA conditions, the proposed electrodes allow the analysis of 90 samples h(-1) and offer the advantage of simplicity, accuracy and automation feasibility. The solubility products of various DXM-IPs were determined conductometrically.",M1
20152446,"Quantitative determination of oxybutynin hydrochloride by spectrophotometry, chemometry and HPTLC in presence of its degradation product and additives in different <e>pharmaceutical</e> dosage forms.Simple, accurate, sensitive and validated UV spectrophotometric, chemometric and HPTLC-densitometric methods were developed for determination of oxybutynin hydrochloride (OX) in presence of its degradation product and additives in its pharmaceutical formulations. Method A is the first derivative of ratio spectra (DD(1)) which allows the determination of OX in presence of its degradate in pure form and tablets by measuring the peaks amplitude at 216 nm. Method B and C are principal component regression (PCR) and partial least-squares (PLS) for determination of OX in presence of its degradate in pure form, tablets and syrup. While, the developed high performance thin layer chromatography HPTLC-densitometric method was based on the separation of OX from its degradation product, methylparaben and propylparaben followed by densitometric measurement at 220 nm which allows the determination of OX in pure form, tablets and syrup. The separation was achieved using HPTLC silica gel F(254) plates and chloroform:methanol:ammonia solution:triethylamine (100:3:0.5:0.2, v/v/v/v) as the developing system. The accuracy, precision and linearity ranges of the developed methods were determined. The results obtained were statistically compared with each other and to that of a reported HPLC method, and there was no significant difference between the proposed methods and the reported method regarding both accuracy and precision.",M1
20091828,"Microstructure and elution of tetracycline from block copolymer coatings.A critical metrology issue for <e>pharmaceutical</e> industries is the application of analytical techniques for the characterization of drug delivery systems to address interrelationships between processing, structure, and drug release. In this study, cast coatings were formed from solutions of poly(styrene-b-isobutylene-b-styrene) (SIBS) and tetracycline in tetrahydrofuran (THF). These coatings were characterized by several imaging modalities, including time-of-flight secondary ion mass spectrometry (TOF-SIMS) for chemical imaging and analysis, atomic force microscopy (AFM) for determination of surface structure and morphology, and laser scanning confocal microscopy (LSCM), which was used to characterize the three-dimensional structure beneath the surface. The results showed phase separation between the drug and copolymer regions. The size of the tetracycline phase in the polymer matrix ranged from hundreds of nanometers to tens of microns, depending on coating composition. The mass of drug released was not found to be proportional to drug loading, because the size and spatial distribution of the drug phase varied with drug loading and solvent evaporation rate, which in turn affected the amount of drug released.",M1
20091823,"Varenicline L-tartrate crystal forms: characterization through crystallography, spectroscopy, and thermodynamics.This research utilized crystallographic, spectroscopic, and thermal analysis data to assess the thermodynamic stability relationship between the three known crystal forms of Varenicline L-tartrate. Of the two anhydrous forms (Forms A and B), Form B was determined to be the stable form at 0 K based on its calculated true density, hydrogen bonding in the crystal lattice, and application of the IR rule. Form A has a higher melting point and higher solubility at room temperature as compared to Form B, indicating that these forms are enantiotropically related. Application of the eutectic-melting method enabled accurate determination of the transition temperature (63 degrees C), with Form B as the stable anhydrous form at room temperature. The stability relationships between the anhydrous polymorphs and the monohydrate (Form C) were assessed through exposure of the anhydrous forms to a range of water vapor pressures at room temperature. A phase boundary was identified, with the monohydrate being the thermodynamically stable form above critical water activity values of 0.85 and 0.94 for Forms A and B, respectively. These results provide a better understanding of the form stability as it relates to normal manufacturing and storage conditions for the active <e>pharmaceutical</e> ingredient and drug product.",M1
20056040,"Selective densitometric determination of four alpha-aminocephalosporins using ninhydrin reagent.A simple, selective, and precise densitometric method for analysis of four alpha-aminocephalosporins, namely cefaclor monohydrate, cefadroxil monohydrate, cefalexin anhydrous, and cefradine anhydrous, both in bulk drugs and in formulations was developed and validated. The method employed thin-layer chromatography (TLC) aluminium sheets precoated with silica gel G 60 F(254) as the stationary phase. The solvent system consists of ethyl acetate-methanol-water with different ratios for all studied drugs (R(f) values of 0.40-0.60). The separated spots were visualized as blue to violet color after spraying with ninhydrin reagent. The linear regression analysis data for the calibration plots of all studied drugs produced a good linear relationship with correlation coefficients ranging from 0.9990 to 0.9996 and coefficients of determination ranging from 0.9986 to 0.9992 over the concentration range 2-10 microg/spot. The limits of detection and quantitation for all studied drugs ranged from 0.09 to 0.23 and from 0.27 to 0.84 microg/spot, respectively. The developed method was applied successfully for the determination of the studied drugs in their <e>pharmaceutical</e> dosage forms with good precision and accuracy. Also, the method can be employed as a promising stability-indicating assay.",M1
20056035,"Stability-indicating HPTLC determination of ambroxol hydrochloride in bulk drug and <e>pharmaceutical</e> dosage form.A simple, selective, precise, and stability-indicating high-performance thin-layer chromatographic (HPTLC) method for the analysis of ambroxol hydrochloride both as a bulk drug and in formulations was developed and validated. The method employed HPTLC aluminium plates precoated with silica gel 60F-254 as the stationary phase. The solvent system consisted of methanol-triethylamine (4:6 v/v). The system was found to give a compact spot for ambroxol hydrochloride (R(f) value of 0.53 +/- 0.02). Densitometric analysis of ambroxol hydrochloride was carried out in the absorbance mode at 254 nm. The linear regression analysis data for the calibration plots showed good linear relationship with r(2) = 0.9966 +/- 0.0013 with respect to peak area in the concentration range 100-1000 ng/spot. The mean value +/- standard deviation of slope and intercept were 164.85 +/- 0.72 and 1168.3 +/- 8.26 with respect to peak area. The method was validated for precision, recovery, and robustness. The limits of detection and quantitation were 10 and 30 ng/spot, respectively. Ambroxol hydrochloride was subjected to oxidation and thermal degradation. The drug undergoes degradation under oxidation and heat conditions. This indicates that the drug is susceptible to oxidation and heat. Statistical analysis proves that the method is repeatable, selective, and accurate for the estimation of said drug. Stability indicating of new chemical entities is an important part for the drug development of ambroxol hydrochloride and for its estimation in plasma and other biological fluids; the novel Statistical analysis proves that the method is repeatable and selective for the analysis of ambroxol hydrochloride as bulk drug and in pharmaceutical formulations. The proposed developed HPTLC method can be applied for identification and quantitative determination of ambroxol hydrochloride in bulk drug and dosage forms. This work is to determine the purity of the drug available from the various sources by detecting the related impurities.",M1
