@RELATION C0080014_C0031705

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20185606,"Association of dietary <e>phosphorus</e> intake and phosphorus to protein ratio with mortality in hemodialysis patients.BACKGROUND AND OBJECTIVES: Epidemiologic studies show an association between higher predialysis serum phosphorus and increased death risk in maintenance hemodialysis (MHD) patients. The hypothesis that higher dietary phosphorus intake and higher phosphorus content per gram of dietary protein intake are each associated with increased mortality in MHD patients was examined. DESIGN, SETTING, PARTICIPANTS, &amp; MEASUREMENTS: Food frequency questionnaires were used to conduct a cohort study to examine the survival predictability of dietary phosphorus and the ratio of phosphorus to protein intake. At the start of the cohort, Cox proportional hazard regression was used in 224 MHD patients, who were followed for up to 5 years (2001 to 2006). RESULTS: Both higher dietary phosphorus intake and a higher dietary phosphorus to protein ratio were associated with significantly increased death hazard ratios (HR) in the unadjusted models and after incremental adjustments for case-mix, diet, serum phosphorus, malnutrition-inflammation complex syndrome, and inflammatory markers. The HR of the highest (compared with lowest) dietary phosphorus intake tertile in the fully adjusted model was 2.37. Across categories of dietary phosphorus to protein ratios of &lt;12, 12 to &lt;14, 14 to &lt;16, and &gt; or =16 mg/g, death HRs were 1.13, 1.00 (reference value), 1.80, and 1.99, respectively. Cubic spline models of the survival analyses showed similar incremental associations. CONCLUSIONS: Higher dietary phosphorus intake and higher dietary phosphorus to protein ratios are each associated with increased death risk in MHD patients, even after adjustments for serum phosphorus, phosphate binders and their types, and dietary protein, energy, and potassium intakes.",M1
20164365,"Sodium-dependent phosphate uptake in the jejunum is post-transcriptionally regulated in pigs fed a low-<e>phosphorus</e> diet and is independent of dietary calcium concentration.In rodents, severe dietary P restriction increases active phosphate absorption by the intestine. However, it remains unknown if moderate dietary P restriction has a similar effect. Weanling pigs (n = 32; body weight 7.4 +/- 0.55 kg) were used in a 2 x 2 factorial design and fed dietary available P (aP) concentrations of 0.23 or 0.40% and Ca concentrations of 0.58 or 1.00% for 14 d. Diets were formulated on an aP basis instead of a total P basis, because pigs are unable to absorb phytate-P present in corn and soybean meal. Jejunal segments were mounted in modified Ussing chambers for determination of Na(+)-dependent nutrient transport. Intestinal mucosal scrapings were taken for RNA isolation and brush border membrane (BBM) vesicle isolation. Na(+)-dependent phosphate uptake and gene expression of Na-phosphate cotransporter IIb (NaPi-IIb), SGLT-1 (sodium/glucose cotransporter-1), and calbindin D(9k) and protein expression of NaPi-IIb were evaluated. Na(+)-dependent phosphate transport increased (P &lt; 0.05) 46% as dietary aP concentration was decreased. However, increased Na(+)-dependent phosphate uptake was not accompanied by increased NaPi-IIb mRNA expression. Expression of NaPi-IIb protein in the BBM increased (P &lt; 0.01) 84% in pigs fed low-P diets compared with pigs fed adequate-P diets. No dietary Ca effects or aP x Ca interactions were detected for Na-dependent P uptake, mRNA or protein expression of NaPi-IIb, or mRNA expression of calbindin D(9k). These data suggest that restricting dietary aP concentration by only 43% stimulates Na(+)-dependent phosphate uptake and expression of the NaPi-IIb protein in the BBM of the small intestine and through a post-transcriptional mechanism.",M1
20093346,"Understanding sources of dietary <e>phosphorus</e> in the treatment of patients with chronic kidney disease.In individuals with chronic kidney disease, high dietary phosphorus (P) burden may worsen hyperparathyroidism and renal osteodystrophy, promote vascular calcification and cardiovascular events, and increase mortality. In addition to the absolute amount of dietary P, its type (organic versus inorganic), source (animal versus plant derived), and ratio to dietary protein may be important. Organic P in such plant foods as seeds and legumes is less bioavailable because of limited gastrointestinal absorption of phytate-based P. Inorganic P is more readily absorbed by intestine, and its presence in processed, preserved, or enhanced foods or soft drinks that contain additives may be underreported and not distinguished from the less readily absorbed organic P in nutrient databases. Hence, P burden from food additives is disproportionately high relative to its dietary content as compared with natural sources that are derived from organic (animal and vegetable) food proteins. Observational and metabolic studies indicate nutritional and longevity benefits of higher protein intake in dialysis patients. This presents challenges to providing appropriate nutrition because protein and P intakes are closely correlated. During dietary counseling of patients with chronic kidney disease, the absolute dietary P content as well as the P-to-protein ratio in foods should be addressed. Foods with the least amount of inorganic P, low P-to-protein ratios, and adequate protein content that are consistent with acceptable palatability and enjoyment to the individual patient should be recommended along with appropriate prescription of P binders. Provision of in-center and monitored meals during hemodialysis treatment sessions in the dialysis clinic may facilitate the achievement of these goals.",M1
20083730,"Dietary <e>phosphorus</e>, blood pressure, and incidence of hypertension in the atherosclerosis risk in communities study and the multi-ethnic study of atherosclerosis.Greater phosphorus intake has been associated with lower levels of blood pressure in cross-sectional studies. This association, however, has not been assessed prospectively. We studied 13 444 participants from the Atherosclerosis Risk in Communities cohort and the Multi-Ethnic Study of Atherosclerosis, with diet assessed at baseline using validated food frequency questionnaires. Blood pressure and use of antihypertensive medication were determined at baseline and during follow-up visits. Compared with individuals in the lowest quintile of phosphorus intake at baseline, those in the highest quintile had lower baseline systolic and diastolic blood pressures after adjustment for dietary and nondietary confounders (-2.0 mm Hg [95% CI: -3.6 to -0.5], P for trend=0.01; and -0.6 [95% CI: -1.6 to +0.3], P for trend=0.20, respectively). During an average 6.2 years of follow-up, 3345 cases of hypertension were identified. Phosphorus intake was associated with the risk of hypertension (hazard ratio: 0.80 [95% CI: 0.80 to 1.00], comparing extreme quintiles; P for trend=0.02) after adjustment for nondietary factors but not after additional adjustment for dietary variables (hazard ratio: 1.01 [95% CI: 0.82 to 1.23], P for trend=0.88). Phosphorus from dairy products but not from other sources was associated with lower baseline blood pressure and reduced risk of incident hypertension. Hazard ratios (95% CIs) comparing extreme quintiles were 0.86 (0.76 to 0.97; P for trend=0.01) for phosphorus from dairy foods and 1.04 (0.93 to 1.17; P for trend=0.48) for phosphorus from other foods. These findings could indicate an effect of phosphorus in conjunction with other dairy constituents or of dairy itself without involvement of phosphorus.",M1
20038659,"Responses of alkaline phosphatase activity to <e>phosphorus</e> stress in Daphnia magna.We examined how alkaline phosphatase (AP) activity within the bodies and in the materials released by the crustacean Daphnia magna responds to variable algal food phosphorus (P)-content. We found that Daphnia eating P-poor food (C:P approximately 700) had significantly higher AP activity in their bodies on a mass-specific basis compared with individuals eating P-rich food (C:P approximately 100). This dietary P effect on AP activity was not altered by Daphnia starvation but was partially related to differences in the P concentration of animal body homogenates. By contrast, poor P-nutrition of Daphnia lowered AP activity in released materials compared with that measured from their P-sufficient conspecifics. Moreover, AP activity in Daphnia release was lowest in animals consuming P-poor food for longer time periods. Our results support the hypothesis that AP activity increases inside P-limited Daphnia as a mechanism to increase P-acquisition and retention from ingested algae in these nutritionally stressed animals. The lower level of AP activity present in the water of P-deprived animals could reflect a change from largely free to membrane-bound AP isotypes in the digestive tracts of P-starved animals or a decrease in the shedding of membrane-anchored AP from their intestinal lining. These results supplement accumulating evidence that P-poor algal food reduces the dietary mineral P available to Daphnia. In addition, animal body AP activity measurements, with some refinement, may prove useful as an in situ indicator of P-stress in aquatic consumers.",M1
19949275,"[<e>Phosphorus</e>-rich foods and bone]Phosphorus is present in almost all food. The major sources are grain, meat, sea food and dairy product. However average absorption rate from the intestine is 60 approximately 70%, it differs according to types of food. Recently, increased phosphorus intakes from food additives are seen as a problem. But, the accurate amount is unknown in Japan. It is expected to clarify the exact phosphorus intake and proper recommended intakes considering with other nutrients especially calcium for the best condition of bone, and also show adequate food choice methods.",M1
19942351,"The interactive effect of phytase and coccidia on the gross lesions as well as the absorption capacity of intestine in broilers fed with diets low in calcium and available phosphorous.In an experiment with 2x2 factorial design, the influence of dietary phytase on the intestinal lesions as well as the absorption capacity of intestine for D-xylose in broiler chickens provided with a diet low in calcium (Ca) and available <e>phosphorus</e> (aP) and challenged with Eimeria oocysts, was evaluated. Four groups of 20 1-day-old male broiler were provided with diets low in total Ca and aP (8 and 3g/kg instead of 10 and 5g/kg of Ca and aP in the diet, respectively). On day 10, 10 chicks from each group were randomly kept in individual raised floor wire cages to adopt environmental conditions. The experimental groups were as follows, Group 1: received no Eimeria oocysts (negative control), Group 2: received oocysts of mixed Eimeria species on day 15 to create an experimental coccidiosis (positive control), Group 3: negative control received phytase enzyme in their diet, from the first day of life, and Group 4: positive control received phytase enzyme in the diet. On day 20, after 12h fasting, the D-xylose absorption test was performed and immediately after that, the intestinal lesion scoring was carried out. The results showed that coccidiosis in Groups 2 and 4 produced progressive lesions in intestinal tract and reduced the concentration of plasma D-xylose in Group 2 when compared to Groups 1 and 3. Dietary phytase had no influence on the concentration of plasma D-xylose in un-infected birds. The enzyme had no influence on the intestinal lesions caused by coccidiosis as well. However, it increased the plasma D-xylose concentration of Group 4 to the level that it was comparable with Groups 1 and 3, at 45 and 90min post-ingestion of the solution. It was concluded that the addition of phytase enzyme to the low Ca and aP diet, increased indirectly the absorption capacity of intestine for D-xylose in infected chickens most probably through the improvement of mechanisms involved in the absorption and transport of D-xylose.",M1
19929969,"Cell-surface phytase on Pichia pastoris cell wall offers great potential as a feed supplement.Cell-surface expression of phytase allows the enzyme to be expressed and anchored on the cell surface of Pichia pastoris. This avoids tedious downstream processes such as purification and separation involved with extracellular expression. In addition, yeast cells with anchored proteins can be used as a whole-cell biocatalyst with high value added. In this work, the phytase was expressed on the cell surface of P. pastoris with a glycosylphosphatidylinositol anchoring system. The recombinant phytase was shown to be located at the cell surface. The cell-surface phytase exhibited high activity with an optimal temperature at 50-55 degrees C and two optimal pH peaks of 3 and 5.5. The surface-displayed phytase also exhibited similar pH stability and pepsin resistance to the native and secreted phytase. In vitro digestibility test showed that P. pastoris containing cell-surface phytase released <e>phosphorus</e> from feedstuff at a level similar to secreted phytase. Yeast cells expressing phytase also provide additional nutrients, especially biotin and niacin. Thus, P. pastoris with phytase displayed on its surface has a great potential as a whole-cell supplement to animal feed.",M1
19904637,"Studies on the effects of microbial phytase on amino acid digestibility and energy metabolisability in caecectomised laying hens and the interaction with the dietary <e>phosphorus</e> level.1. Caecectomised laying hens were used in two assays to study the effects of a microbial 6-phytase on amino acid (AA) digestibility and energy metabolisability using (1) diets with phytate-rich protein sources and (2) with two dietary phosphorus (P) levels. The two assays followed a 2 x 2-factorial arrangement of treatments using 8 hens per treatment. The hens were housed individually in metabolism cages, and excreta were quantitatively collected for a period of 5 d. 2. In Assay 1, two dietary P levels (8.0 and 4.0 g/kg dry matter) and two levels of phytase supplementation (0 and 1000 U/kg diet) were used in diets that were mainly based on maize, sunflower meal and wheat gluten. The digestibility of AA was 001 to 002 lower in the diet with the low P than with the high P concentration. The effect of P content was significant for 12 out of the 14 AA studied. The supplementation of phytase significantly improved the degradation of myo-inositol(1,2,3,4,5,6)hexakisphosphate (IP6), but affected neither AA digestibility nor energy metabolisability. An interaction between the two factors was not detected. 3. In Assay 2, diets contained one main protein source (sunflower meal or rapeseed meal) at a concentration of 250 g/kg. The diets were either supplemented or not with phytase (1500 U/kg diet). On average, AA digestibility was 0.01 lower in the rapeseed meal-containing diet than in the sunflower meal-containing one. The maximum difference was 0.03. The effect of the protein source was significant for 9 of the 14 AA studied. The supplementation of phytase had no significant effect on AA digestibility or energy metabolisability. 4. Our studies do not substantiate the hypothesis that improved IP6 degradation due to phytase supplementation is associated with improved AA digestibility and energy metabolisability in laying hens. An interaction between phytase efficacy to improve AA digestibility or energy metabolisability and the P level in the diet does not seem to exist.",M1
19857269,"Influence of the calcium concentration in the presence of organic <e>phosphorus</e> on the physicochemical compatibility and stability of all-in-one admixtures for neonatal use.BACKGROUND: Preterm infants need high amounts of calcium and phosphorus for bone mineralization, which is difficult to obtain with parenteral feeding due to the low solubility of these salts. The objective of this study was to evaluate the physicochemical compatibility of high concentrations of calcium associated with organic phosphate and its influence on the stability of AIO admixtures for neonatal use. METHODS: Three TPN admixture formulas were prepared in multilayered bags. The calcium content of the admixtures was adjusted to 0, 46.5 or 93 mg/100 ml in the presence of a fixed organic phosphate concentration as well as lipids, amino acids, inorganic salts, glucose, vitamins and oligoelements at pH 5.5. Each admixture was stored at 4 degrees C, 25 degrees C or 37 degrees C and evaluated over a period of 7 days. The physicochemical stability parameters evaluated were visual aspect, pH, sterility, osmolality, peroxide formation, precipitation, and the size of lipid globules. RESULTS: Color alterations occurred from the first day on, and reversible lipid film formation from the third day of study for the admixtures stored at 25 degrees C and 37 degrees C. According to the parameters evaluated, the admixtures were stable at 4 degrees C; and none of them presented precipitated particles due to calcium/phosphate incompatibility or lipid globules larger than 5 mum, which is the main parameter currently used to evaluate lipid emulsion stability. The admixtures maintained low peroxide levels and osmolarity was appropriate for parenteral administration. CONCLUSION: The total calcium and calcium/phosphorus ratios studied appeared not to influence the physicochemical compatibility and stability of AIO admixtures.",M1
