@RELATION C0017916_C0917783

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20096828,"<e>Phosphorylase</e>-catalyzed N-formyl-alpha-glucosaminylation of maltooligosaccharides.This paper describes the phosphorylase-catalyzed enzymatic N-formyl-alpha-glucosaminylation of maltooligosaccharides for direct incorporation of 2-deoxy-2-formamido-alpha-D-glucopyranose units into maltooligosaccharides. When the reaction of 2-deoxy-2-formamido-alpha-D-glucopyranose-1-phosphate (GlcNF-1-P) as the glycosyl donor and maltotetraose as a glycosyl acceptor was performed in the presence of phosphorylase, the N-formyl-alpha-D-glucosaminylated pentasaccharide was produced, as confirmed by MALDI-TOF MS. Furthermore, the glucoamylase-catalyzed reaction of the crude products supported that the 2-deoxy-2-formamido-alpha-D-glucopyranoside unit was positioned at the non-reducing end of the pentasaccharide. The pentasaccharide was isolated from the crude products and its structure was further determined by the (1)H NMR analysis. On the other hand, when the phosphorylase-catalyzed reactions of maltotriose and maltopentaose using GlcNF-1-P were conducted, no N-formyl-alpha-glucosaminylation took place in the former system, whereas the latter system gave N-formyl-alpha-D-glucosaminylated oligosaccharides with various degrees of polymerization. These results could be explained by the recognition behavior of phosphorylase toward maltooligosaccharides.",M1
20045390,"Rice endosperm-specific plastidial alpha-glucan <e>phosphorylase</e> is important for synthesis of short-chain malto-oligosaccharides.Previous genetic studies have indicated that the type L alpha-glucan phosphorylase (Pho1) has an essential role during the initiation process of starch biosynthesis during rice seed development. To gain insight into its role in starch metabolism, we characterized the enzymatic properties of the Pho1 recombinant form. Pho1 has significantly higher catalytic efficiency toward both linear and branched alpha-glucans in the synthesis direction than in the degradation direction with equilibrium constants for the various substrates ranging from 13 to 45. Pho1 activity is strongly inhibited by its own reaction product (Pi) in the synthesis reaction (K(i)=0.69 mM) when amylopectin is the primer substrate, but this inhibition is less pronounced (K(i)=14.2 mM) when short alpha-glucan chains are used as primers. Interestingly, even in the presence of Pi alone, Pho1 not only degrades maltohexaose but also extends them to synthesize longer MOSs. Production of a broad spectrum of MOSs (G4-G19) was stimulated by both Pi and Glc1P in an additive fashion. Thus, even under physiological conditions of high Pi/Glc1P, Pho1 extends the chain length of short MOSs which can then be used as subsequent primer by starch synthase activities. As ADP-glucose strongly inhibits Pho1 activity, Pho1 likely operates only during the initial stage and not during maturation phase of starch synthesis.",M1
20028468,"Glucose 1-phosphate is efficiently taken up by potato (Solanum tuberosum) tuber parenchyma cells and converted to reserve starch granules.Reserve starch is an important plant product but the actual biosynthetic process is not yet fully understood. Potato (Solanum tuberosum) tuber discs from various transgenic plants were used to analyse the conversion of external sugars or sugar derivatives to starch. By using in vitro assays, a direct glucosyl transfer from glucose 1-phosphate to native starch granules as mediated by recombinant plastidial <e>phosphorylase</e> was analysed. Compared with labelled glucose, glucose 6-phosphate or sucrose, tuber discs converted externally supplied [(14)C]glucose 1-phosphate into starch at a much higher rate. Likewise, tuber discs from transgenic lines with a strongly reduced expression of cytosolic phosphoglucomutase, phosphorylase or transglucosidase converted glucose 1-phosphate to starch with the same or even an increased rate compared with the wild-type. Similar results were obtained with transgenic potato lines possessing a strongly reduced activity of both the cytosolic and the plastidial phosphoglucomutase. Starch labelling was, however, significantly diminished in transgenic lines, with a reduced concentration of the plastidial phosphorylase isozymes. Two distinct paths of reserve starch biosynthesis are proposed that explain, at a biochemical level, the phenotype of several transgenic plant lines.",M1
19850285,"One-pot enzymatic production of beta-D-galactopyranosyl-(1--&gt;3)-2-acetamido-2-deoxy-D-galactose (galacto-N-biose) from sucrose and 2-acetamido-2-deoxy-D-galactose (N-acetylgalactosamine).Beta-D-Galactopyranosyl-(1--&gt;3)-2-acetamido-2-deoxy-D-galactose (galacto-N-biose, GNB) is an important core structure in functional sugar chains such as T-antigen disaccharide and the core 1 sugar chain in mucin glycoproteins. We successfully developed a one-pot enzymatic production of GNB from sucrose and GalNAc by the concomitant action of four enzymes: sucrose <e>phosphorylase</e>, UDP-glucose-hexose 1-phosphate uridylyltransferase, UDP-glucose 4-epimerase, and galacto-N-biose/lacto-N-biose I phosphorylase in the presence of UDP-glucose and phosphate, by modifying the method of lacto-N-biose I production [Nishimoto, M.; Kitaoka, M., Biosci. Biotechnol. Biochem., 2007, 71, 2101-2104]. The reaction yield of GNB was 88% from GalNAc. GNB was isolated from the reaction mixture by crystallization after yeast treatment to obtain approximately 45 g of GNB in 95% purity from a 280-mL reaction mixture.",M1
19824696,"Kinetic studies of HPr, HPr(H15D), HPr(H15E), and HPr(His approximately P) phosphorylation by the Streptococcus salivarius HPr(Ser) kinase/<e>phosphorylase</e>.HPr is a central protein of the phosphoenolpyruvate:sugar phosphotransferase transport system (PTS). In streptococci, HPr can be phosphorylated at His(15) at the expense of PEP by enzyme I (EI) of the PTS, producing HPr(His approximately P). HPr can also be phosphorylated at Ser(46) by the ATP-dependent HPr(Ser) kinase/phosphorylase (HprK/P), producing HPr(Ser-P). Lastly, HPr can be phosphorylated on both residues, producing HPr(Ser-P)(His approximately P) (HPr-P2). We report here a study on the phosphorylation of Streptococcus salivarius HPr, HPr(H15D), HPr(H15E), and HPr(His approximately P) by HprK/P to assess the involvement of HprK/P in the synthesis of HPr-P2 in streptococcal cells. We first developed a spectrophotometric method for measuring HprK/P kinase activity. Using this assay, we found that the K(m) of HprK/P for HPr at pH 7.4 and 37 degrees C was approximately 110 muM, with a specificity constant (k(cat)/K(m)) of 1.7 x 10(4) M(-1) s(-1). The specificity constants for HPr(H15D) and HPr(H15E) were approximately 13 times lower. Kinetic studies conducted under conditions where HPr(His approximately P) was stable (i.e., pH 8.6 and 15 degrees C) showed that HPr(His approximately P) was a poorer substrate for HprK/P than HPr(H15D), the k(cat)/K(m) for HPr(H15D) and HPr(His approximately P) being approximately 9 and 26 times lower than that for HPr, respectively. Our results suggested that (i) the inefficiency of the phosphorylation of HPr(His approximately P) by HprK/P results from the presence of a negative charge at position 15 as well as from other structural elements and (ii) the contribution of streptococcal HprK/P to the synthesis of HPr-P2 in vivo is marginal.",M1
19682609," Short-chain  alpha-1,4-glucan <e>phosphorylase</e> having a truncated N-terminal domain: functional expression and characterization of the enzyme from Sulfolobus solfataricus.All known alpha-1,4-glucan phosphorylases (GPs) are active as homodimers and use their N-terminal domains for oligomerisation. Structure-based sequence comparison of a putative phosphorylase from the thermophilic crenarchaeon Sulfolobus solfataricus (SsGP) with the well characterized GP from Escherichia coli reveals that SsGP totally lacks the otherwise conserved regions for building the dimer interface. Because all efforts of producing functional SsGP in E. coli failed, we used heterologous gene expression in the hyperthermophilic archaeon Thermococcus kodakaraensis and isolated, in low amounts, SsGP harboring Strep-Tag II fused to the C-terminal Tyr-465 of the enzyme. The recombinant protein eluted in size exclusion chromatography with an apparent molecular mass of approximately 69 kDa, consistent with neither the mass expected for a monomer (55 kDa) nor that of a homodimer (110 kDa). The biochemical properties of SsGP were similar to those seen for other GPs containing the N-terminal elements for dimerisation, suggesting that the  short-chain  format of SsGP is fully appropriate for phosphorylase catalytic function and stability. However, the substrate specificity of SsGP differed from that reported for GPs from other thermophilic microorganisms.",M1
19637153,"Preparation of glycogen-based polysaccharide materials by <e>phosphorylase</e>-catalyzed chain elongation of glycogen.Facile preparation of glycogen-based polysaccharide gel materials was carried out by phosphorylase-catalyzed chain elongation of glycogen using glucose 1-phosphate (Glc-1-P). The resulting solution after the enzymatic reaction gradually turned into a hydrogel form, which was probably caused by formation of junction zones based on the double helix structure of the elongated amylose chains among the glycogen molecules. Furthermore, lyophilization of the hydrogel resulted in formation of a glycogen-based xerogel. The mechanical properties of the hydrogels and xerogels were affected by the amount of glycogen and the Glc-1-P/glycogen ratio in the feed for the enzymatic reaction. The xerogel was also subjected to film formation and re-hydrogelation with appropriate techniques.",M1
19629712,"Enzymatic production of alpha-D-galactose 1-phosphate by lactose phosphorolysis.alpha-D-Galactose 1-phosphate (alphaGal1P) is an important building block for the synthesis of nucleotide sugars that are substrates for glycosyltransferases. We have previously reported the creation of novel lactose <e>phosphorylase</e> enzymes that are useful for the synthesis of alphaGal1P from the cheap and abundant lactose. Here we describe the application of such a lactose phosphorylase in a production system using permeabilized Escherichia coli cells. After purification of the product from the reaction mixture by anion-exchange chromatography and ethanol precipitation, 9.5 grams of highly pure alphaGal1P were obtained from a 1 l reaction volume.",M1
19491100,"Characterization of three beta-galactoside <e>phosphorylases</e> from Clostridium phytofermentans: discovery of d-galactosyl-beta1-&gt;4-l-rhamnose phosphorylase.We characterized three d-galactosyl-beta1--&gt;3-N-acetyl-d-hexosamine phosphorylase (EC 2.4.1.211) homologs from Clostridium phytofermentans (Cphy0577, Cphy1920, and Cphy3030 proteins). Cphy0577 and Cphy3030 proteins exhibited similar activity on galacto-N-biose (GNB; d-Gal-beta1--&gt;3-d-GalNAc) and lacto-N-biose I (LNB; d-Gal-beta1--&gt;3-d-GlcNAc), thus indicating that they are d-galactosyl-beta1--&gt;3-N-acetyl-d-hexosamine phosphorylases, subclassified as GNB/LNB phosphorylase. In contrast, Cphy1920 protein phosphorolyzed neither GNB nor LNB. It showed the highest activity with l-rhamnose as the acceptor in the reverse reaction using alpha-d-galactose 1-phosphate as the donor. The reaction product was d-galactosyl-beta1--&gt;4-l-rhamnose. The enzyme also showed activity on l-mannose, l-lyxose, d-glucose, 2-deoxy-d-glucose, and d-galactose in this order. When d-glucose derivatives were used as acceptors, reaction products were beta-1,3-galactosides. Kinetic parameters of phosphorolytic activity on d-galactosyl-beta1--&gt;4-l-rhamnose were k(cat) = 45 s(-1) and K(m) = 7.9 mm, thus indicating that these values are common among other phosphorylases. We propose d-galactosyl-beta1--&gt;4-l-rhamnose phosphorylase as the name for Cphy1920 protein.",M1
19487233,"Creating lactose <e>phosphorylase</e> enzymes by directed evolution of cellobiose phosphorylase.Disaccharide phosphorylases are interesting enzymes for the production of sugar phosphates from cheap starting materials and for the synthesis of novel glycosides. Cellobiose phosphorylase (CP) from Cellulomonas uda was subjected to directed evolution in order to create enzyme variants with significantly increased lactose phosphorylase (LP) activity, useful for the production of alpha-D-galactose 1-phosphate. In a first round, random mutagenesis was performed on part of the CP gene and the resultant library was selected on minimal lactose medium. One clone containing six amino acid mutations was found with increased LP activity compared with the wild-type CP enzyme. The negative and neutral mutations were eliminated by site-directed mutagenesis and the resultant enzyme variant containing two amino acid substitutions (T508A/N667T) showed more LP activity than the parent mutant. Saturation mutagenesis of the beneficial sites and screening for improved mutants allowed us to identify the T508I/N667A mutant which has 7.5 times higher specific activity on lactose than the wild-type. The kinetic parameters of the mutants were determined and showed that the increased LP activity was caused by a higher k(cat) value. This is the first report of an engineered CP with modified substrate specificity.",M1
