@RELATION C0032064_C0032066

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20503689,"<e>Plague</e>, pox and the physician in Aberdeen, 1495-1516.This article discusses responses to disease in Aberdeen during a formative period in the provision of healthcare within the city. The foundation of King's College was followed, in 1497, by the establishment of the first royally endowed university Chair of Medicine in the British Isles, and its first incumbent, James Cumming, was employed by the local government as the first city doctor in 1503. His appointment had been preceded in 1497 by another legislative innovation in Aberdeen, when its council became the first civic body in the British Isles to implement regulations against the threat of the Great Pox (usually considered to be syphilis). It had subsequently to pass measures to prevent the spread of plague to the city, and these were typical of those already imposed elsewhere in Scotland and on the continent. Their apparent success in staving off plague lasted until 1514, when the city was struck by a severe outbreak which lasted two years.",M1
20468096,"[Organization of laboratory mobile complex of specialized antiepidemic team of institute for <e>plague</e> control]",M1
20439974,"Assessing human risk of exposure to <e>plague</e> bacteria in northwestern Uganda based on remotely sensed predictors.Plague, a life-threatening flea-borne zoonosis caused by Yersinia pestis, has most commonly been reported from eastern Africa and Madagascar in recent decades. In these regions and elsewhere, prevention and control efforts are typically targeted at fine spatial scales, yet risk maps for the disease are often presented at coarse spatial resolutions that are of limited value in allocating scarce prevention and control resources. In our study, we sought to identify sub-village level remotely sensed correlates of elevated risk of human exposure to plague bacteria and to project the model across the plague-endemic West Nile region of Uganda and into neighboring regions of the Democratic Republic of Congo. Our model yielded an overall accuracy of 81%, with sensitivities and specificities of 89% and 71%, respectively. Risk was higher above 1,300 meters than below, and the remotely sensed covariates that were included in the model implied that localities that are wetter, with less vegetative growth and more bare soil during the dry month of January (when agricultural plots are typically fallow) pose an increased risk of plague case occurrence. Our results suggest that environmental and landscape features play a large part in classifying an area as ecologically conducive to plague activity. However, it is clear that future studies aimed at identifying behavioral and fine-scale ecological risk factors in the West Nile region are required to fully assess the risk of human exposure to Y. pestis.",M1
20437624,"Proceedings and abstracts of the International Symposium on the Ecology of <e>Plague</e> and its Effects on Wildlife, Fort Collins, Colorado, USA, 4-6 November 2008.",M1
20432875,"[The <e>plague</e> in Sweden 1710-13 resembled th Black Death]",M1
20430985,"China. Race to contain <e>plague</e> in quake zone.",M1
20400901,"Septic shock and nonpulmonary organ dysfunction in pneumonic <e>plague</e>: the role of Yersinia pestis pCD1- vs. pgm- virulence factors.OBJECTIVE: Pneumonic plague resulting from Yersinia pestis induces swiftly lethal sepsis and is a major concern as a weapon of bioterrorism. However, the role of specific plasmid-encoded vs. chromosomal Y. pestis virulence factors in the pathogenesis of acute lung injury, shock, and nonpulmonary dysfunction is unclear. We hypothesized that the pathophysiology of pneumonic plague resulting from expression of proteins encoded by the thermally regulated pCD1 plasmid differs from cardiopulmonary and inflammatory changes attributable to the chromosomal pgm gene locus. DESIGN: Prospective, experimental study. SETTING: Research laboratory at a university medical center. SUBJECTS: Conscious, chronically catheterized male Sprague-Dawley rats (total n=104). INTERVENTIONS: Rats were intratracheally infected with 109 colony-forming units of Y. pestis attenuated strains CO99 (pCD1+/DeltaApgm) or KIM6+ (pCD1-/pgm+) and evaluated over 6 days. Serial evaluations of vital signs, cardiorespiratory parameters, blood cultures, inflammatory biomarkers, and organ function were obtained, as well as organ histopathology and cytokine production. MEASUREMENTS AND MAIN RESULTS: Despite equivalent endotoxin contents between the inocula, CO99-infected animals had a median survival of 3 days with greater nonpulmonary organ injury, microbial growth, serum alanine aminotransferase, and liver microvascular permeability vs. KIM6+-infected animals (p&lt;.05). Parallel differences occurred in serum tumor necrosis factor-alpha levels. Notably, 75% of CO99 rats developed fatal hypotension after developing nonpulmonary organ damage. CONCLUSION: These results suggest that progression to lethal sepsis with augmented liver injury during plague pneumonia requires factors encoded by the pCD1 plasmid but not chromosomal proteins present within the pgm gene locus.",M1
20385751,"Milestones in progression of primary pneumonic <e>plague</e> in cynomolgus macaques.Vaccines against primary pneumonic plague, a potential bioweapon, must be tested for efficacy in well-characterized nonhuman primate models. Telemetered cynomolgus macaques (Macaca fascicularis) were challenged by the aerosol route with doses equivalent to approximately 100 50% effective doses of Yersinia pestis strain CO92 and necropsied at 24-h intervals postexposure (p.e.). Data for telemetered heart rates, respiratory rates, and increases in the temperature greater than the diurnal baseline values identified the onset of the systemic response at 55 to 60 h p.e. in all animals observed for at least 70 h p.e. Bacteremia was detected at 72 h p.e. by a Yersinia 16S rRNA-specific quantitative reverse transcription-PCR and was detected later by the culture method at the time of moribund necropsy. By 72 h p.e. multilobar pneumonia with diffuse septal inflammation consistent with early bacteremia was established, and all lung tissues had a high bacterial burden. The levels of cytokines or chemokines in serum were not significantly elevated at any time, and only the interleukin-1beta, CCL2, and CCL3 levels were elevated in lung tissue. Inhalational plague in the cynomolgus macaque inoculated by the aerosol route produces most clinical features of the human disease, and in addition the disease progression mimics the disease progression from the anti-inflammatory phase to the proinflammatory phase described for the murine model. Defined milestones of disease progression, particularly the onset of fever, tachypnea, and bacteremia, should be useful for evaluating the efficacy of candidate vaccines.",M1
20308296,"Fine-tuning synthesis of Yersinia pestis LcrV from runaway-like replication balanced-lethal plasmid in a Salmonella enterica serovar typhimurium vaccine induces protection against a lethal Y. pestis challenge in mice.A balanced-lethal plasmid expression system that switches from low-copy-number to runaway-like high-copy-number replication (pYA4534) was constructed for the regulated delayed in vivo synthesis of heterologous antigens by vaccine strains. This is an antibiotic resistance-free maintenance system containing the asdA gene (essential for peptidoglycan synthesis) as a selectable marker to complement the lethal chromosomal DeltaasdA allele in live recombinant attenuated Salmonella vaccines (RASVs) such as Salmonella enterica serovar Typhimurium strain chi9447. pYA4534 harbors two origins of replication, pSC101 and pUC (low and high copy numbers, respectively). The pUC replication origin is controlled by a genetic switch formed by the operator/promoter of the P22 cro gene (O/P(cro)) (P(R)), which is negatively regulated by an arabinose-inducible P22 c2 gene located on both the plasmid and the chromosome (araC P(BAD) c2). The absence of arabinose, which is unavailable in vivo, triggers replication to a high-copy-number plasmid state. To validate these vector attributes, the Yersinia pestis virulence antigen LcrV was used to develop a vaccine against <e>plague</e>. An lcrV sequence encoding amino acids 131 to 326 (LcrV196) was optimized for expression in Salmonella, flanked with nucleotide sequences encoding the signal peptide (SS) and the carboxy-terminal domain (CT) of beta-lactamase, and cloned into pYA4534 under the control of the P(trc) promoter to generate plasmid pYA4535. Our results indicate that the live Salmonella vaccine strain chi9447 harboring pYA4535 efficiently stimulated a mixed Th1/Th2 immune response that protected mice against lethal challenge with Y. pestis strain CO92 introduced through either the intranasal or subcutaneous route.",M1
20230231,"How to reduce the impact of  low-risk patients  following a bioterrorist incident: lessons from SARS, anthrax, and pneumonic <e>plague</e>.A bioterrorist attack may result in a large number of people who have not been exposed coming to medical facilities in search of treatment or reassurance. In this article, we review evidence from 3 previous biological incidents that are analogous to a bioterrorist attack in order to gauge the likely incidence of such  low-risk patients  and to identify possible strategies for coping with this phenomenon. Evidence from the anthrax attacks in the United States suggested that a surge of low-risk patients is by no means inevitable. Data from the SARS outbreak illustrated that if hospitals are seen as sources of contagion, many patients with non-bioterrorism-related healthcare needs may delay seeking help. Finally, the events surrounding the pneumonic plague outbreak of 1994 in Surat, India, highlighted the need for the public to be kept adequately informed about an incident. Although it is impossible to say what the likely incidence of low-risk patients will be during a future bioterrorist incident, several strategies may help to reduce it and to safeguard the well-being of the low-risk patients themselves. These strategies include providing clear information about who should and should not attend hospital; using telephone services to provide more detailed information and initial screening; employing rapid triage at hospital entrances, based, where possible, on exposure history and objective signs of illness; and following up by telephone those judged to be at low risk.",M1
