@RELATION C0032181_C0005821

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20575028,"Polycythemia vera-associated acquired von Willebrand syndrome despite near-normal <e>platelet</e> count.",M1
20527061,"Prophylactic <e>platelet</e> transfusions.",M1
20466110,"Splenectomy leads to a persistent hypercoagulable state after trauma.BACKGROUND: It was hypothesized that splenectomy following trauma results in hypercoagulability. METHODS: A prospective, nonrandomized, single-center study was performed to evaluate coagulation parameters in trauma patients with splenic injury. RESULTS: Patients with splenectomy (n = 30) and nonoperative management (n = 50) were enrolled. Splenectomy patients were older, had higher Injury Severity Scores, and had longer intensive care unit and hospital stays (P &lt; .05). Splenectomy patients had significantly increased white blood cell counts and <e>platelet</e> counts at baseline and follow-up (P &lt; .01). Fibrinogen was initially elevated in both groups and remained elevated in the splenectomy group (P &lt; .05). Tissue plasminogen activator, plasminogen activator inhibitor-1, and activated partial thromboplastin time were higher in splenectomy patients only at baseline (P &lt; .05). Baseline thromboelastography showed faster fibrin cross-linking and enhanced fibrinolysis following splenectomy (P &lt; .05). Only clot strength was greater at follow-up in the splenectomy group (P &lt; .01). Deep venous thrombosis developed in 7% of splenectomy patients and no control patients (P = .03). CONCLUSIONS: A significant difference in deep venous thrombosis formation was noted, and coagulation assays indicated persistent hypercoagulability following splenectomy for trauma.",M1
20465840,"Prevalence and risk factors for significant liver fibrosis among HIV-monoinfected patients.BACKGROUND: HIV-monoinfected patients may be at risk for significant liver fibrosis, but its prevalence and determinants in these patients are unknown. Since HIV-monoinfected patients do not routinely undergo liver biopsy, we evaluated the prevalence and risk factors of significant hepatic fibrosis in this group using the aspartate aminotransferase (AST)-to-<e>platelet</e> ratio index (APRI). METHODS: We conducted a cross-sectional study among HIV-infected patients negative for hepatitis B surface antigen and hepatitis C antibody in the Penn Center for AIDS Research Adult/Adolescent Database. Clinical and laboratory data were collected from the database at enrollment. Hypothesized determinants of significant fibrosis were modifiable risk factors associated with liver disease progression, hepatic fibrosis, or hepatotoxicity, including immune dysfunction (i.e., CD4 T lymphocyte count &lt;200 cells/mm(3), HIV viremia), diseases associated with hepatic steatosis (e.g., obesity, diabetes mellitus), and use of antiretroviral therapy. The primary outcome was an APRI score &gt;1.5, which suggests significant hepatic fibrosis. Multivariable logistic regression identified independent risk factors for significant fibrosis by APRI. RESULTS: Among 432 HIV-monoinfected patients enrolled in the CFAR Database between November 1999 and May 2008, significant fibrosis by APRI was identified in 36 (8.3%; 95% CI, 5.9-11.4%) patients. After controlling for all other hypothesized risk factors as well as active alcohol use and site, detectable HIV viremia (adjusted OR, 2.56; 95% CI, 1.02-8.87) and diabetes mellitus (adjusted OR, 3.15; 95% CI, 1.12-10.10) remained associated with significant fibrosis by APRI. CONCLUSIONS: Significant fibrosis by APRI score was found in 8% of HIV-monoinfected patients. Detectable HIV viremia and diabetes mellitus were associated with significant fibrosis. Future studies should explore mechanisms for fibrosis in HIV-monoinfected patients.",M1
20450128,"Respiratory syncytial virus-positive bronchiolitis in hospitalized infants is associated with thrombocytosis.BACKGROUND: Secondary thrombocytosis is associated with a variety of clinical conditions, one of which is lower respiratory tract infection. However, reports on thrombocytosis induced by viral infections are scarce. OBJECTIVES: To assess the rate of thrombocytosis (<e>platelet</e> count &gt; 500 x 10(9)/L) in hospitalized infants with bronchiolitis and to investigate its potential role as an early marker of respiratory syncytial virus infection. METHODS: Clinical data on 469 infants aged &lt; or = 4 months who were hospitalized for bronchiolitis were collected prospectively and compared between RSV-positive and RSV-negative infants. RESULTS: The rate of thrombocytosis was significantly higher in RSV-positive than RSV-negative infants (41.3% vs. 29.2%, P=0.031). The odds ratio of an infant with bronchiolitis and thrombocytosis to have a positive RSV infection compared to an infant with bronchiolitis and a normal platelet count was 1.7 (P= 0.023, 95% confidence interval 1.07-2.72). There was no significant difference in mean platelet count between the two groups. CONCLUSIONS: RSV-positive bronchiolitis in hospitalized young infants is associated with thrombocytosis.",M1
20433382,"Effects of lithium carbonate on carboplatin-induced thrombocytopenia in dogs.OBJECTIVE: To describe the effects of lithium carbonate on thrombopoiesis in clinically normal dogs and in dogs treated with carboplatin. ANIMALS: 18 young adult sexually intact female Beagles. PROCEDURES: Dogs were assigned to each of 3 treatment groups (6 dogs/group). Group 1 received 150 mg of lithium carbonate (14 to 16 mg/kg), PO, every 12 hours on days 1 through 21. Group 2 received carboplatin (300 mg/m(2), IV) on day 0 and cephalexin (30 mg/kg, PO, q 12 h) on days 14 through 21. Group 3 received lithium, carboplatin, and cephalexin at the aforementioned doses and schedules. Plasma lithium and blood <e>platelet</e> concentrations were measured on days 0, 2, 4, 7, 9, 11, 14, 16, 18, and 21. Number of megakaryocytes in bone marrow specimens and the percentage of large unstained cells and CD34+ mononuclear cells in bone marrow aspirates were determined on days 0, 7, 14, and 21 by manual enumeration, automated hematologic analysis, and flow cytometric immunophenotyping, respectively. RESULTS: Plasma lithium concentrations ranged from 0.12 to 2.41 mmol/L. All dogs given lithium achieved a concentration within the target interval of 0.5 to 1.5 mmol/L by days 4 to 7. Thrombopoiesis was increased in dogs receiving lithium alone. All dogs given carboplatin developed mild thrombocytopenia. There were no differences between group 2 and group 3 throughout the study. CONCLUSIONS AND CLINICAL RELEVANCE: Lithium stimulated thrombopoiesis in clinically normal dogs. Lithium administration at the doses and schedules used, with concurrent administration of cephalexin, did not prevent thrombocytopenia induced by carboplatin.",M1
20431066,"Restoration of high-density lipoprotein levels by cholesteryl ester transfer protein expression in scavenger receptor class B type I (SR-BI) knockout mice does not normalize pathologies associated with SR-BI deficiency.OBJECTIVE: Disruption of scavenger receptor class B type I (SR-BI) in mice impairs high-density lipoprotein (HDL)-cholesterol (HDL-C) delivery to the liver and induces susceptibility to atherosclerosis. In this study, it was investigated whether introduction of cholesteryl ester transfer protein (CETP) can normalize HDL-C transport to the liver and reduce atherosclerosis in SR-BI knockout (KO) mice. METHODS AND RESULTS: Expression of human CETP in SR-BI(KO) mice resulted in decreased plasma HDL-C levels, both on chow diet (1.8-fold, P&lt;0.001) and on challenge with Western-type diet (1.6-fold, P&lt;0.01). Furthermore, the presence of CETP partially normalized the abnormally large HDL particles observed in SR-BI(KO) mice. Unexpectedly, expression of CETP in SR-BI(KO) mice did not reduce atherosclerotic lesion development, probably because of consequences of SR-BI deficiency, including the persistence of higher VLDL-cholesterol (VLDL-C) levels, unchanged elevated free cholesterol/total cholesterol ratio, and the increased oxidative status of the animals. In addition, CETP expression did not normalize other characteristics of SR-BI deficiency, including female infertility, reticulocytosis, thrombocytopenia, and impaired <e>platelet</e> aggregation. CONCLUSIONS: CETP restores HDL-C levels in SR-BI(KO) mice, but it does not change the susceptibility to atherosclerosis and other typical characteristics that are associated with SR-BI disruption. This may indicate that the pathophysiology of SR-BI deficiency is not a direct consequence of changes in the HDL pool.",M1
20404751,"The association of oxidant status and antioxidant capacity in children with acute and chronic ITP.PURPOSE: This study was undertaken to investigate oxidant and antioxidant systems in patients with immune thrombocytopenic purpura (ITP). With this purpose, we measured the levels of serum malondialdehyde (MDA), total antioxidant capacity (TAC), total oxidant status (TOS), and other oxidative stress parameters. PATIENTS AND METHODS: Fifty-two pediatric patients with ITP (25 acute, 27 chronic) and 21 healthy children were included in the study. Patients with acute ITP were studied, before and after, methylprednisolone treatment. RESULTS: Hemoglobin, hematocrit, <e>platelet</e> count, and TAC were statistically significantly lower in patients with acute ITP before treatment than those in the control group (P&lt;0.05). In addition, in this group, MDA, TOS levels, and OSI (oxidative stress index) were found to be higher than those in the control group. In chronic ITP group, although hemoglobin hematocrit, platelet counts, and TAC levels were statistically significantly lower than those in the control groups,the mean platelet volume, MDA, TOS, and OSI were found to be statistically significantly higher (P&lt;0.05). Platelet count and mean platelet volume values were statistically significantly lower in patients with acute ITP before treatment than after treatment (P&lt;0.05). We also found a positive correlation between thrombocyte count and TAC, in patients with acute ITP before treatment (r: 0.601, P&lt;0.001) and acute ITP after treatment (r: 0.601, P&lt;0.001) and chronic ITP (r: 0.601, P&lt;0.001). A negative correlation was found between thrombocyte count and serum MDA levels, in patients with acute ITP before treatment (r: -0.356, P&lt;0.001) and acute ITP after treatment (r: -0.356, P&lt;0.001) and chronic ITP (r: -0.356, P&lt;0.001). We also found a negative correlation between thrombocyte count and serum OSI, in patients with acute ITP before treatment (r: -0.494, P&lt;0.001) and acute ITP after treatment (r: -0.494, P&lt;0.001) and chronic ITP (r: -0.494, P&lt;0.001). A negative correlation was found between thrombocyte count and TOS, in patients with acute ITP before treatment (r: -0.470, P&lt;0.001) and acute ITP after treatment (r: -0.470, P&lt;0.001) and chronic ITP (r: -0.470, P&lt;0.001). In conclusion, increased MDA, TOS and OSI, and decreased TAC levels were found in patients with acute and chronic ITP. CONCLUSIONS: On the basis of these findings, we suggest that free oxygen radicals may have an effect on the structural and functional damage of platelets, and on the mechanism of thrombocytopenia in both, acute and chronic ITP.",M1
20403480,"Relation between C-reactive protein, homocysteine levels, fibrinogen, and lipoprotein levels and leukocyte and <e>platelet</e> counts, and 10-year risk for cardiovascular disease among healthy adults in the USA.The association between systemic inflammation and the estimated 10-year risk for coronary artery disease (CAD) according to the Framingham risk score is largely unknown. In this study, 6,371 participants in the Third National Health and Nutrition Examination Survey (NHANES III) aged 40 to 79 years, who had no histories of heart attack, stroke, peripheral artery disease, or diabetes mellitus, were categorized into groups at low (&lt;10%), intermediate (10% to 20%), and high (&gt;20%) risk according to 10-year risk for CAD, calculated using the Framingham risk score modified by the National Cholesterol Education Program Adult Treatment Panel III. After adjustments for age, gender, race, body mass index, and co-morbidities, participants at high risk were more likely to have elevated circulating C-reactive protein levels (&gt;/=2.2 mg/L: adjusted odds ratio [OR] 1.61, 95% confidence interval [CI] 1.30 to 2.01, p &lt;0.0001; &gt;10.0 mg/L: OR 1.41, 95% CI 1.03 to 1.93, p = 0.034). The high-risk group had circulating fibrinogen, homocysteine, leukocyte, and platelet levels that were 20.98 mg/dl (95% CI 12.53 to 29.43, p &lt;0.0001), 1.54 mumol/L (95% CI 0.76 to 2.32, p = 0.002), 0.90 mumol/L (95% CI 0.36 to 1.43, p = 0.001), 910/microl (95% CI 670 to 1,160, p &lt;0.0001), and 10,220/microl (95% CI 2,830 to 17,610, p &lt;0.0001) higher, respectively, than in those in the low-risk group. There was also a dose-dependent increase in circulating levels of inflammatory markers across the categories of CAD risk. In conclusion, these findings indicate that low-grade systemic inflammation and hyperhomocysteinemia were present in participants with high 10-year risk for CAD.",M1
20403469,"Relation of <e>platelet</e> count to bleeding and vascular complications in patients undergoing coronary angiography.Vascular and bleeding complications are associated with significant morbidity and mortality, limited data are available on the relation between these complications and the platelet count in patients undergoing coronary angiography. We, therefore, performed a retrospective cohort analysis of 3,466 consecutive adults undergoing coronary angiography at a single institution during a 2-year period. The mean + or - SD age was 60 + or - 13 years; 58% of the patients were men, 67% were white, and 27% were black. The mean platelet count was 242 + or - 86 x 10(9)/L. A total of 143 bleeding or vascular complications (4.2%), as defined using the American College of Cardiology CathPCI Registry criteria, a part of the American College of Cardiology National Cardiovascular Disease Registry, occurred. The risk of complications increased with increasing platelet counts. Compared to the quartile with the lowest platelet counts, the odds ratio (OR) for complications was 1.41 for the second quartile (95% confidence interval 0.83 to 2.37, p = 0.20), 1.74 for the third quartile (95% confidence interval 1.04 to 2.93, p = 0.04), and 2.04 for the fourth quartile (95% confidence interval 1.21 to 3.44, p = 0.008). On multivariate logistic regression analysis, age, percutaneous coronary intervention, and increasing platelet counts were independent predictors of bleeding and vascular complications. When the analysis was limited to the 2,220 patients undergoing diagnostic coronary angiography without percutaneous coronary intervention, an increasing platelet quartile was a significant predictor of vascular and/or bleeding complications (OR 1.88, p = 0.08; OR 2.48, p = 0.01; OR 2.52, p = 0.01 for the second, third, and fourth quartiles, respectively). In conclusion, the baseline platelet count was a strong and independent risk factor for bleeding and vascular complications in patients undergoing coronary angiography.",M1
