@RELATION C0032241_C0026934

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
19901289,"Isolation rates, serovars, and toxin genotypes of nicotinamide adenine dinucleotide-independent Actinobacillus pleuropneumoniae among pigs suffering from <e>pleuropneumonia</e> in Spain.Actinobacillus pleuropneumoniae is the etiologic agent of swine pleuropneumonia, a major production-limiting disease in the pig industry. In the current study, 2,171 lung specimens obtained from pigs housed in 870 Spanish pig farms in regions of substantial pig production were examined. Conventional microbiology, coupled with species-specific polymerase chain reaction, identified 127 biovar 2 isolates, accounting for 25.3% of all A. pleuropneumoniae (n = 502) detected. Most isolates (79%) were recovered as pure primary cultures or as the predominant bacteria from lungs exhibiting lesions typical of acute swine pleuropneumonia. Coagglutination testing identified the isolates as belonging to serovars 2 (4.7%), 4 (4.7%), 7 (68.5%), and 11 (1.6%); however, 26 isolates were nontypeable. All biovar 2 isolates showed genes of the apxII operon alone, which encodes the corresponding ApxII exotoxin, leading to a different gene pattern for isolates in serovars 2, 4, and 11 compared with those of biovar 1. From this survey, it can be concluded that A. pleuropneumoniae biovar 2 infections are common in pigs in Spain, and they may be a common cause of respiratory disease in swine.",M1
19836811,"Pleuritis in slaughter pigs: relations between lung lesions and bacteriology in 10 herds with high pleuritis.Pleuritis in slaughter pigs has increased in recent years in the Netherlands. The aim of the present study was to determine what respiratory pathogens were involved in pleuritis. In total, lungs of 968 slaughter pigs from 10 herds with high prevalence of pleuritis were morphologically examined for size, location, and type of lesions. Moreover, histology and bacteriology were performed. Examination of gross lung lesions showed 45% pleuritis, 14% <e>pleuropneumonia</e> and 38% catarrhal pneumonia. Peribronchiolar cuffing was found in 61 of 142 samples. Actinobacillus pleuropneumoniae was cultured from 22 lung samples from four herds. Pasteurella multocida was cultured from 55 lung samples in eight herds. No specific pattern with respect to the causal pathogens was found. In conclusion, no single infectious cause of pleuritis was found. A variety of infectious agents combined with environmental factors should be considered as a cause of pleuritis.",M1
19751522,"malT knockout mutation invokes a stringent type gene-expression profile in Actinobacillus pleuropneumoniae in bronchoalveolar fluid.BACKGROUND: Actinobacillus pleuropneumoniae causes contagious <e>pleuropneumonia</e>, an economically important disease of commercially reared pigs throughout the world. To cause this disease, A. pleuropneumoniae must rapidly overcome porcine pulmonary innate immune defenses. Since bronchoalveolar fluid (BALF) contains many of the innate immune and other components found in the lungs, we examined the gene expression of a virulent serovar 1 strain of A. pleuropneumoniae after exposure to concentrated BALF for 30 min. RESULTS: In reverse transcription PCR differential display (RT-PCR DD) experiments, A. pleuropneumoniae CM5 exposed to BALF up-regulated, among other genes, a gene predicted to encode LamB, an outer-membrane transport protein of the maltose regulon. To determine the role of the lamB and other genes of the maltose regulon in the pathogenesis of A. pleuropneumoniae, knockout mutations were created in the lamB and malT genes, the latter being the positive transcriptional regulator of the maltose regulon. Relative to the lamB mutant and the wild type, the malT mutant had a significant (P &lt; 0.05) decrease in growth rate and an increased sensitivity to fresh porcine serum and high concentrations (more than 0.5 M) of sodium chloride. In DNA microarray experiments, the BALF-exposed malT mutant exhibited a gene-expression profile resembling that of a stringent type gene-expression profile seen in bacteria facing amino acid or carbon starvation. Genes encoding proteins for protein synthesis, energy metabolism, and DNA replication were down-regulated, while genes involved in stringent response (e.g., relA), amino acid and nucleotide biosynthesis, biofilm formation, DNA transformation, and stress response were up-regulated. CONCLUSION: These results suggest that MalT may be involved in protection against some stressors and in the transport of one or more essential nutrients in BALF. Moreover, if MalT is directly or indirectly linked to the stringent response, an important global mechanism of bacterial persistence and virulence in many bacterial pathogens, it might play a role in A. pleuropneumoniae pathogenesis.",M1
19721364,"Prevalence of granulomatous <e>pleuropneumonia</e> associated with Actinobacillus pleuropneumoniae serotype 2 in slaughter pigs.A total of 14,818 slaughtered pigs were examined macroscopically. Of these, 25 pigs with porcine pleuropneumonia were collected and the relations among Actinobacillus spp. and granulomatous lesions in organs (lungs and tonsils) were evaluated. In the lungs, only Actinobacillus pleuropneumoniae serotype 2 was isolated from 20 of the pigs. Histologically, granulomatous pneumonia with A. pleuropneumoniae antigen was detected in 8 of the pigs. The antigen was visible in the centers of the lesions along with asteroid bodies, epithelioid cells and multinucleated giant cells. In the tonsils, granulomatous lesions were not detected, although A. pleuropneumoniae serotype 2 (5 pigs), serotype 7 (1 pig), Actinobacillus porcitonsillarum (1 pig) and Actinobacillus minor (1 pig) were isolated. The present survey suggests that multifocal granulomatous pneumonia in slaughter pigs could be highly associated with A. pleuropneumoniae serotype 2 infection.",M1
19411687,"Intrapleural fibrinolytic therapy in the management of septic <e>pleuropneumonia</e> in a horse.",M1
18950701,"Identification of Actinobacillus pleuropneumoniae biovars 1 and 2 in pigs using a PCR assay.Actinobacillus pleuropneumoniae causes swine <e>pleuropneumonia</e> worldwide. Previously, we described a gene sequence of approximately 800bp in A. pleuropneumoniae serotype 1 that encodes a metalloprotease of 24kDa, (Genbank accession no. AY217757). We selected primers carrying the forward and reverse 5'-terminal sequences of this region of the gene for the development of a species-specific PCR assay. The primers amplified an 800bp sequence from isolated DNA and lysed bacteria of the 13 A. pleuropneumoniae biovar 1 serotypes, with the exception of subtype 1b. The primers also amplified the sequence in nasal secretion cultures from pigs with chronic and acute experimental pleuropneumonia. No PCR products were detected when A. pleuropneumoniae serotypes of biovar 2 were used. Internal primers from this gene sequence detected biovar 2 and subtype 1b, leading to the production of a 350bp PCR product. The primers did not amplify DNA from other related species from the Pasteurellaceae family. The 800bp PCR assay was sensitive in vitro, with a detection limit of 5.5pg of extracted DNA, and an average of 120CFU. The specificity and sensitivity of this PCR assay make it a useful method for the rapid identification and diagnosis of A. pleuropneumoniae.",M1
18524457,"Diagnosis of radio-occult pulmonary conditions by real-time chest ultrasonography in patients with pleuritic pain.The evaluation of pleuritic pain in the emergency department (ED) presents a considerable challenge for the attending physician. Chest radiography (CXR) is a basic test, but its sensitivity is low, and often more sophisticated imaging techniques are needed. Our aim is to assess the diagnostic value of bedside B-mode lung ultrasound (LUS) in the visualization of radio-occult pulmonary lesions. Forty-nine patients complaining of pleuritic pain with negative CXR were prospectively studied by LUS. Detection of at least one of the following sonographic signs in the painful thoracic area was considered diagnostic: (i) the absence of pleural sliding; (ii) the focal alveolar-interstitial syndrome (AIS), defined by multiple artifacts B-line; (iii) the peripheral alveolar consolidation (PAC), defined by hypoechoic subpleural images; and (iv) the pleural disruption with thickening and irregularity of the line, with or without localized effusion. The final diagnoses were confirmed by spiral CT scanning (n = 12) and follow-up (n = 37). Final diagnoses were chest wall pain (n = 30), <e>pleuropneumonia</e> (n = 14), pulmonary embolism (n = 4), lung metastasis (n = 1). In 18 patients of the group with pulmonary conditions, LUS showed signs of pleurisy. They were PAC (n = 12), AIS (n = 17), pleural disruption (n = 17). If any sign is considered, the sensitivity of LUS in the diagnosis of radio-occult lesions was 94.7%, specificity was 96.7%, positive and negative predictive values were 94.7% and 96.7%, respectively, and accuracy was 95.9%. In patients with pleuritic pain of unknown cause, real-time LUS enables the diagnosis of radio-occult lung and pleural lesions.",M1
18257211,"Destructive staphylococcal <e>pleuropneumonia</e> in a two-year-old boy with hyperimmunoglobulin-E syndrome.Hyperimmunoglobulin-E syndrome (HIES) is a rare immunodeficiency disorder that is characterized by elevated serum concentration of IgE, eosinophilia and severe, recurrent bacterial and fungal infections. Poor regulation of immune system is evident, with decreased production of cytokines, especially interferon. Production of specific antibodies to capsular polysaccharide antigens is decreased Skeletal malformations have been reported in these patients. They can be caused by excessive production of interleukin-4, which may lead to pathologic bony tissue resorption. Due to immune system deficiency and malformations of skeletal and connective tissue, HIES is a multisystem disorder. We present a patient with recurrent bacterial infections since the early age. At the age of two years he presented with severe destructive staphylococcal pneumonia with pleural effusion, pneumatocela formation and pneumothorax. The patient also had a dysmorphic face and skeletal malformations that were most evident at the head. The diagnosis of HIES was made on the basis of elevated serum concentrations of IgE, hypereosinophily, and decreased leukocyte function in vivo and in vitro. Family history of our patient showed an autosomal-dominant inheritance pattern of HIES.",M1
18065168,"ISApl1, a novel insertion element of Actinobacillus pleuropneumoniae, prevents ApxIV-based serological detection of serotype 7 strain AP76.Actinobacillus pleuropneumoniae, a gram-negative rod of the Pasteurellaceae family, causes <e>pleuropneumonia</e> in pigs. Establishing A. pleuropneumoniae free herds is difficult due to the occurrence of persistently infected animals. The ApxIV toxin is expressed by A. pleuropneumoniae in vivo and an ELISA based on the toxin is used to detect infection and to differentiate between infected and vaccinated animals. In this study, we have identified a 1070bp insertion element of the IS30 family, designated ISApl1, in the A. pleuropneumoniae serotype 7 strain AP76. ISApl1 contains a 924bp ORF encoding a transposase, which is flanked by 27bp inverted repeats showing six mismatches. We investigated the occurrence of ISApl1 in other A. pleuropneumoniae strains, and its possible interference with virulence associated factors. Four insertion sites were identified in AP76: within the apxIVA toxin ORF, within a putative autotransporter adhesin ORF, upstream of a capsular polysaccharide biosynthesis gene cluster, and downstream of a beta-lactamase gene. ISApl1 is also present in some serotype 7 field isolates, but not in reference or field strains of other serotypes. In A. pleuropneumoniae AP76, the transposase gene is transcribed in vitro. The insertion in the apxIVA toxin gene remains stable after animal passage. Since this insertion should disrupt toxin expression, we tested 7 pigs infected with AP76 at day 21 post-infection. All were negative in the ApxIV ELISA but four out of seven were positive in an ApxII toxin ELISA. These results show that insertion elements can affect the detection of A. pleuropneumoniae infected animals.",M1
17917383,"Isolation of Actinobacillus pleuropneumoniae serovar 15-like strain from a field case of porcine <e>pleuropneumonia</e> in Japan.An Actinobacillus pleuropneumoniae strain isolated from a field case of porcine pleuropneumonia in Japan, was closely related to a reference strain of serovar 15, which is a newly proposed serovar according to an analysis of field isolates originating from Australia. The isolate had biological and biochemical properties consistent with A. pleuropneumoniae biovar 1, and reacted strongly to a rabbit antiserum raised against a reference strain of serovar 15 in an agar gel precipitation test. The nucleotide sequence of a hyper variable region in the 16S RNA gene of the isolate was identical to that of the reference strain of serovar 15. The isolate possessed A. pleuropneumoniae-RTX toxin (Apx) II, III, and IV genes, consistent with serovar 15. Its virulence in mice was lower than that of ApxI-bearing strains but higher than that of other ApxIII-bearing strains. This is the first report describing the isolation of A. pleuropneumoniae serovar 15-like strain from a country or region other than Australia.",M1
17027123,"Development of a DIVA subunit vaccine against Actinobacillus pleuropneumoniae infection.Actinobacillus pleuropneumoniae is the causative agent of porcine <e>pleuropneumonia</e> which leads to high economic losses in the swine industry worldwide. Vaccination against this pathogen is hampered by the occurrence of 15 serotypes, and commonly used whole cell bacterin vaccines are not sufficiently cross-serotype protective. In addition, for generating and maintaining specified pathogen-free herds it is desirable to use DIVA (differentiating infected from vaccinated animals) vaccines. Based on a detergent wash extraction of outer membrane associated proteins and secreted proteins we developed a DIVA vaccine using the immunogenic ApxII toxin which is present in 13 of the 15 A. pleuropneumoniae serotypes as the DIVA antigen. The apxIIA gene was deleted in one strain each of serotypes 1, 2, and 5 using a single-step transconjugation system, and equal parts of detergent washes from these strains served as the vaccine antigen. After intramuscular immunisation all pigs developed a strong humoral immune response to the vaccine antigen and showed no reactivity in an ApxIIA ELISA. Upon challenge all pigs were completely protected from clinical symptoms in trials with a homologous (serotype 2) as well as with a heterologous strain (serotype 9); in addition, colonisation of the challenge strain was clearly reduced but not abolished completely. As a result of the highly efficient protection, however, immunised pigs did not develop antibodies to the DIVA-antigen at levels detectable by ELISA but only by a more sensitive Western blotting approach, thereby demonstrating the challenge in developing appropriate marker vaccines for the livestock industry.",M1
16930871,"Characterization and immunogenicity of an apxIA mutant of Actinobacillus pleuropneumoniae.Actinobacillus pleuropneumoniae is the aetiological agent of porcine <e>pleuropneumonia</e>, a highly contagious and often fatal disease. A candidate live vaccine strain, potentially capable of cross-serovar protection, was constructed by deleting the section of the apxIA gene coding for the C-terminal segment of ApxI toxin of the A. pleuropneumoniae serovar 10 reference strain (D13039) and inserting a chloramphenicol resistance gene cassette. The mutant strain (termed D13039A(-)Chl(r)) produced an approximately 48kDa protein corresponding to the N-terminus of the ApxI toxin, and exhibited no haemolytic activity and lower virulence in mice compared with the parental strain. The mutant was evaluated in a vaccination-challenge trial in which pigs were given two intra-nasal doses of the mutant at 14 days intervals and then challenged 14 days after the last vaccination with either A. pleuropneumoniae serovar 1 (4074) or serovar 2 (S1536) or serovar 10 (D13039) reference strains. The haemolysin neutralisation titres of the pre-challenge sera were significantly higher in the vaccinated pigs than in the unvaccinated pigs. The mortalities, clinical signs and lung lesion scores in the vaccinated pigs were significantly lower than those in the unvaccinated pigs for the serovar 1 challenge. A significantly lower lung lesion score was also observed in the vaccinated pigs, compared with unvaccinated pigs, for serovar 2 challenge. Our work suggests that the mutant strain offers potential as a live attenuated pleuropneumonia vaccine that can provide cross-serovar protection.",M1
16645292,"[Complementary treatment of pneumonia with pleural effusion]A 43-year-old male patient was diagnosed with acute sinistral <e>pleuropneumonia</e> and a pronounced thoracic pain syndrome. Despite of his painful ailments the patient refused antibiotic treatment. A complementary therapy comprising physiotherapy, hydrotherapy, herbal therapy and vitamin C, cupping and QiGong was initiated. A cantharidin blister was applied topically to the left thorax in order to treat the pain syndrome. The multimodal CAM treatment resulted in a rapid clinical and x-ray resolution of pneumonia, and cantharidin treatment effectively relieved pain. The case and the potential of topical cantharidin in pain syndromes are discussed.",M1
16629195,"<e>Pleuropneumonia</e> as a sequela of myelography and general anaesthesia in a Thoroughbred colt.A 3-year-old Thoroughbred colt was presented to the University Veterinary Centre Camden for evaluation of ataxia. The horse was anaesthetised to facilitate cervical radiography and myelographic examination of the spinal cord. Recovery from anaesthesia was uneventful. Five days after general anaesthesia the horse re-presented with pleuropneumonia. It was euthanased 24 hours after presentation on humane grounds. Necropsy revealed severe tracheal erosion over the middle third of the ventral surface of the trachea, pleuropneumonia and narrowing of the cervical cord between C4 and C6. It is postulated that extension and flexion of the neck during myelography resulted in movement of the endotracheal tube cuff, causing the tracheal lesion and predisposing the colt to pleuropneumonia. Severe tracheal lesions and pleuropneumonia have not been reported as sequela of equine myelography, and should be considered as possible complications following repeated cervical manipulation during myelography in the horse.",M1
16627096,"Fever of unknown origin secondary to occult <e>pleuropneumonia</e>.",M1
16354860,"Contrast-enhanced sonography for differential diagnosis of pleurisy and focal pleural lesions of unknown cause.BACKGROUND: Ultrasound enables the visualization of pleural-based lesions with a poor correlation to specific pathology. At this time, there are no data about the diagnostic value of contrast-enhanced sonography (CES) in pleural lesions. METHODS: From August 2004 to January 2005, 25 consecutive patients with clinical symptoms of pleurisy and focal pleural lesions of unknown origin seen on B-mode ultrasonography were prospectively studied by CES. The lesions were diagnosed as <e>pleuropneumonia</e> (n = 12), pulmonary embolism/infarction (n = 7), malignant lymphoma (n = 2), pleural metastasis (n = 2), granuloma (n = 1), and unknown cause (n = 1). The diagnosis of the lesions was confirmed by contrast-enhanced CT scanning (n = 20), scintigraphy (n = 3), and follow-up (n = 2). Time to the enhancement of the contrast agent was determined. The CES patterns were evaluated during the arterial phase (ie, 2 to 30 s) and the parenchymal phase (ie, 1 to 5 min). The extent of the enhancement of pleural lesions was classified using normal liver tissue as an in vivo reference (absent, hypoechoic, isoechoic, hyperrechoic, or mixed echogenicity). RESULTS: In 20 patients, an enhancement of the pleural lesion was seen. All 12 patients with pleuropneumonia had a short time to enhancement (between 1 and 6 s), and a marked enhancement (isoechoic/hyperechoic) during the arterial and parenchymal phase. In the remaining 13 patients with other diagnoses than pleuropneumonia, 5 patients had no enhancement and 8 patients had a delayed time to enhancement (&gt; 6 s). The extent of the enhancement was reduced (hypoechoic/anechoic) in 12 of 13 patients during the arterial and parenchymal phases. CONCLUSION: In patients with pleurisy and pleural lesions of unknown cause that were found sonographically, CES enables the diagnosis or exclusion of pleuropneumonia.",M1
16337664,"Emulsifier content and side effects of oil-based adjuvant vaccine in swine.Side effects caused by the excessive emulsifier in oil-based adjuvant vaccine were examined practically in swine using one oil-in-water type adjuvant vaccine against swine <e>pleuropneumonia</e>. The vaccine was prepared from cell-free-antigen of Actinobacillus pleuropneumoniae, liquid paraffin, and several polyoxyethylenesorbitan and sorbitan oleates. Based on findings about safety in mice and emulsion stability, 2 vaccines containing either 11.25% or 6.25% emulsifier content were injected intramuscularly twice in swine, as the highest and lowest limits, respectively, within the practical range. All pigs showed temporary fever and malaise with anorexia for several days after each injection. The fever of the higher emulsifier content group took significantly longer to recover than the lower. Malaise also showed a similar tendency. On the other hand, antibody response was sufficiently induced with no significant difference between the 2 groups. Lowering the emulsifier content is a very simple but effective solution for mitigation of side effects without the reduction of adjuvanticity. For safe and high-quality oil-based adjuvant vaccines, not only antigen and base-oil, but emulsifier content must be optimized.",M1
16150097,"A renal transplant patient with intractable hiccups and review of the literature.Intractable hiccups in transplanted patients may be caused by various medical conditions including infections. We report a case of a 44-year-old man who suffered from intractable hiccups after cadaveric kidney transplantation. We identified 3 different hiccup periods with different causes: 1) steroid and anesthetics use, 2) severe ulcerose herpetic and mycotic esophagitis, and 3) <e>pleuropneumonia</e> caused by nosocomial methicillin-resistant Staphylococcus epidermidis and pulmonary abscess requiring thoracic surgery.",M1
16117432,"[Differential diagnostics in thoracoabdominal syndrome]The article discusses diagnostic difficulties in patients with acute abdominal pain. The author adduces data on the frequency of late diagnostics of <e>pleuropneumonia</e> and diaphragmatic pleuritis in patients with abdominal syndrome before admission, and in the admission department of an urgent aid hospital. The analysis of the causes of delayed diagnosis of lung and pleura diseases is exemplified with 2 clinical observations. The article also covers ways of prevention of diagnostic errors in patients with abdominal pain.",M1
16012329,"Fatal course of pulmonary Absidia sp. infection in a 4-year-old girl undergoing treatment for acute lymphoblastic leukemia.Absidia sp. is a rare etiologic agent responsible for infectious complications in immunosuppressed patients. The authors describe a 4-year-old girl with acute lymphoblastic leukemia complicated with <e>pleuropneumonia</e> caused by an Absidia infection during the induction of remission. A review of the published reports in current literature is included for comparison. To the authors' knowledge only six cases of primary pulmonary absidiomycosis have been published. Despite its uncommon pulmonary presentation, mucormycosis should be considered in patients with an immunosuppressing illness and positive risk factors and when a pulmonary lesion is not responding to appropriate antibiotic therapy.",M1
15765900,"Contagious caprine <e>pleuropneumonia</e> in the Thrace region of Turkey.",M1
15732791,"[Severe regional and distant complication of tonsillitis. Case report]The authors describe a 66-year-old male patient treated for angina that was complicated by para- and retropharyngeal phlegmon, mediastinitis and <e>pleuropneumonia</e>. The role of imaging procedures and bacteriological examination was found especially important in establishing the diagnosis and introducing the right treatment. Efficacy of external (transcutaneus) approach to the para- and retropharyngeal space and phlegmon drainage of these spaces preceded with tracheotomy and tonsillectomy was underlined. Surgical treatment was supplemented with multi-component antibiotic therapy and gammaglobulin administration.",M1
15730135,"Expression of mRNA encoding interleukin (IL)-10, IL-12p35 and IL-12p40 in lungs from pigs experimentally infected with Actinobacillus pleuropneumoniae.The expression of mRNA encoding interleukin (IL)-10, IL-12p35 and IL-12p40 was studied, by reverse transcription-polymerase chain reaction and by in situ hybridization with a non-radioactive digoxigenin-labelled cDNA probe, in formalin-fixed, paraffin-wax-embedded lung tissue from pigs experimentally infected with Actinobacillus pleuropneumoniae. Forty-eight 7-week-old colostrum-deprived pigs were randomly allocated to infected (n = 24) or control (n = 24) groups. Three pigs from each group were euthanized at 3, 6, 9, 12, 24, 36, 48 and 60 h post inoculation (hpi). IL-10 mRNA was detected in the lung at 3 hpi, numbers of cells positive for IL-10 increasing at 36 hpi. IL-12p35 mRNA was detected in the lung at 3 hpi, numbers of cells positive for IL-12p35 increasing at 36 and 48 hpi and rapidly decreasing thereafter whereas IL-12p40 mRNA was constitutively expressed at low levels during the experiment. Hybridization signals for IL-10, IL-12p35 and IL-12p40 were always associated with inflammation, in particular with macrophages and neutrophils within alveolar spaces. Expression of these cytokines was minimal in non-lesional lung of A. pleuropneumoniae-infected pigs and in normal lung from control pigs. In situ hybridization of A. pleuropneumoniae and these cytokines in serial sections of lung tissues indicated close co-localization of A. pleuropneumoniae and these cytokines in <e>pleuropneumonia</e>. The results suggest that the expression of IL-10 and IL-12 play a role in pathogenesis of A. pleuropneumoniae infection.",M1
15667996,"Construction and characterization of a live, attenuated apxIICA inactivation mutant of Actinobacillus pleuropneumoniae lacking a drug resistance marker.The apxIIC gene of Actinobacillus pleuropneumoniae serotype 7 was inactivated by homologous recombination using a sucrose counter-selectable marker system, resulting in a mutant strain that had no antibiotic resistance marker and expressed an inactivated ApxII toxin. The safety and immunogenicity of the mutant were evaluated in mice. The mutant strain caused no adverse effects in mice at doses up to 2 x 10(9) CFU via the intraperitoneal route while the parental strain induced total mortality at a dose of 2 x 10(7) CFU. Mice vaccinated intraperitoneally with the mutant strain had 100% and 70% protection against homologous (serotype 7) or heterologous (serotype 1, 3) challenge with A. pleuropneumoniae, respectively. The A. pleuropneumoniae mutant strain HB04C- and the counterselection method used in the study show promise in developing effective live vaccines for porcine <e>pleuropneumonia</e> and for other infections diseases of the respiratory system.",M1
