@RELATION C0032305_C0597258

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20509902,"Infrequent detection of <e>Pneumocystis</e> jirovecii by PCR in oral wash specimens from TB patients with or without HIV and healthy contacts in Tanzania.BACKGROUND: In tuberculosis (TB) endemic parts of the world, patients with pulmonary symptoms are managed as  smear-negative TB patients  if they do not improve on a two-week presumptive, broad-spectrum course of antibiotic treatment even if they are TB microscopy smear negative. These patients are frequently HIV positive and have a higher mortality than smear-positive TB patients. Lack of access to diagnose Pneumocystis jirovecii pneumonia might be a contributing reason. We therefore assessed the prevalence of P. jirovecii by PCR in oral wash specimens among TB patients and healthy individuals in an HIV- and TB-endemic area of sub-Saharan Africa. METHODS: A prospective study of 384 patients initiating treatment for sputum smear-positive and smear-negative TB and 100 healthy household contacts and neighbourhood controls. DNA from oral wash specimens was examined by PCR for P. jirovecii. All patients delivered sputum for TB microscopy and culture. Healthy contacts and community controls were clinically assessed and all study subjects were HIV tested and had CD4 cell counts determined. Clinical status and mortality was assessed after a follow-up period of 5 months. RESULTS: 384 patients and 100 controls were included, 53% and 8% HIV positive respectively. A total number of 65 patients and controls (13.6%) were at definitive risk for PCP based on CD4 counts &lt;200 cells per mm3 and no specific PCP prophylaxis. Only a single patient (0.3% of the patients) was PCR positive for P. jirovecii. None of the healthy household contacts or neighbourhood controls had PCR-detectable P. jirovecii DNA in their oral wash specimens regardless of HIV-status. CONCLUSIONS: The prevalence of P. jirovecii as detected by PCR on oral wash specimens was very low among TB patients with or without HIV and healthy individuals in Tanzania. Colonisation by P. jirovecii was not detected among healthy controls. The present findings may encourage diagnostic use of this non-invasive method.",M1
20414100,"Granulomatous reaction to <e>pneumocystis</e> jirovecii: clinicopathologic review of 20 cases.To better characterize the clinical and pathologic features of granulomatous reaction to Pneumocystis jirovecii, we reviewed 20 cases of this uncommon response. Patients included 15 males and 5 females (mean age 52 y). The most common symptom was dyspnea (5 of 14). Primary medical diagnoses included human immunodeficiency virus/acquired immunodeficiency syndrome (7 of 20), hematopoietic (6 of 20), and solid malignancies (4 of 20). Radiology findings included nodular (8 of 16) and diffuse (5 of 16) infiltrates and solitary nodules (3 of 16). Diagnostic procedures with the highest yield were open lung biopsy (13 of 20) and autopsy (5 of 20); false-negative results were most common on bronchial washings/brushings, bronchoalveolar lavage, fine needle aspiration, and transbronchial biopsy. Follow-up showed resolution of disease (6 of 13), death from disease (6 of 13), and death from unknown cause (1 of 13). Histologically, clusters of Gomori methenamine silver-positive (20 of 20) Pneumocystis organisms were identified in all cases. Organisms were identified within well (16 of 20) and poorly (4 of 20) formed necrotizing (16 of 20) and non-necrotizing (4 of 20) granulomas ranging in size from 0.1 to 2.5 cm (mean 0.5 cm); granulomas were multiple (18 of 20) or single (2 of 20). Giant cells (11 of 20), a fibrous rim (8 of 20), and eosinophils (6 of 20) were seen. Foamy eosinophilic exudates were present centrally within some granulomas (5 of 20). Cystic spaces (1 of 20) and calcification (1 of 20) were rare. Only one case demonstrated classic intra-alveolar foamy exudates containing Pneumocystis. Granulomatous P. jirovecii pneumonia occurs most commonly in males with human immunodeficiency virus/acquired immunodeficiency syndrome, hematopoietic, and solid malignancies. The diagnosis may be overlooked as conventional radiologic and pathologic features are absent. When suspected, open lung biopsy is most likely to yield diagnostic material. Attention to organism morphology avoids misdiagnosis as Histoplasma.",M1
20395244,"Polymerase chain reaction positivity of <e>Pneumocystis</e> jirovecii during primary lung cancer treatment.OBJECTIVE: When treating lung cancer, pneumocystic pneumonia is a life-threatening complication seen during chemotherapy. Polymerase chain reaction is used to detect its cause, Pneumocystis jirovecii, but polymerase chain reaction positives without pneumocystic pneumonia are sometimes seen. The purpose of this study was to assess the frequency of pneumocystic pneumonia during cancer treatment. METHODS: Fifty induced sputum specimens and 4 bronchoalveolar lavage specimens collected from 50 patients with acute respiratory symptoms during anticancer therapy were retrospectively studied after classifying the patients into lung cancer (n = 29) and solid tumor (n = 21) groups. All of the patients in both groups had an interstitial shadow suspected of being pneumocystic pneumonia, and all had polymerase chain reaction tests. RESULTS: Eleven of the 54 specimens were polymerase chain reaction positive, and 1 patient was clinically diagnosed with pneumocystic pneumonia. The incidence of polymerase chain reaction positivity in the lung cancer group was significantly higher than in the solid tumor group (31 vs. 5%; P = 0.03), and the incidence of subclinical pneumocystic pneumonia (29 vs. 5%; P = 0.059) also tended to be higher in that group. There were no significant biochemical differences between the two groups, irrespective of the polymerase chain reaction results. Among polymerase chain reaction-positive patients in the lung cancer group, the cumulative dose of corticosteroid administration tended to be higher than among the polymerase chain reaction-negative patients (P = 0.09). Following the polymerase chain reaction tests, nearly all polymerase chain reaction-positive patients without pneumocystic pneumonia received antipneumocystic agents, and none developed pneumocystic pneumonia. CONCLUSIONS: Our findings suggest polymerase chain reaction positivity for P. jirovecii will be detected in a fraction of lung cancer patients. Although it is difficult to predict the need for administration of pneumocystic pneumonia treatment to subclinical pneumocystic pneumonia based on polymerase chain reaction and biochemical results, polymerase chain reaction-positive patients should be followed-up with antipneumocystic agents to ensure they are not at an early stage of pneumocystic pneumonia.",M1
20378904,"Prognostic value of C-reactive protein in HIV-infected patients with <e>Pneumocystis</e> jirovecii pneumonia.C-reactive protein (CRP) is a sensitive marker of inflammation and tissue damage. We aimed to describe CRP responses in HIV-infected patients presenting with Pneumocystis pneumonia (PCP), bacterial pneumonia (BP) and pulmonary tuberculosis (TB) and, in patients with PCP, to identify if elevated CRP has prognostic significance. Data obtained by case-note review of consecutive HIV-infected adults with acute respiratory episodes included admission CRP (elevated &gt;5 mg/L), haemoglobin, white blood count, CD4 count and partial pressure of oxygen in the blood (PaO(2)), presence of pulmonary co-pathology/intercurrent infection and outcome (survival). Median (range) CRP in patients with BP = 120 mg/L (&lt;5-620 mg/L), TB = 44 mg/L (&lt;5-256.3 mg/L) and PCP = 35 mg/L (&lt;5-254 mg/L). CRP was elevated in 93/103 (90.3%) patients with PCP; six patients died; and all had an elevated CRP. PaO(2) and CRP values were associated as follows: average CRP levels declined by 10% (95% confidence interval [CI] 0.20%) per kPa increase in PaO(2) = 0.002. Factors associated with death were higher CRP, odds ratio (OR) (95% CI) = 5.30 (1.61 to 17.51) per 100 mg/L increase, P = 0.006 and haemoglobin, OR (95% CI) = 0.52 (0.29 to 0.93) per g/dL, P = 0.033. CRP is elevated in the majority of HIV-infected patients with PCP, BP and TB. Admission CRP measurement lacks specificity, but in PCP elevations of CRP are associated with disease severity (PaO(2)) and poor outcome and might be used prognostically, together with other mortality risk factors; further prospective evaluation is needed.",M1
20356991,"<e>Pneumocystis</e> pneumonia in an HIV-negative patient with no overt risk factors on presentation.",M1
20350666,"Rituximab-associated infections.After more than 10 years of use, rituximab has proven to be remarkably safe. However, accumulated evidence now suggests that under some circumstances it may significantly increase the risk of infections. This risk is difficult to quantify because of confounding factors (namely, concomitant use of immunosuppressive or chemotherapeutic agents and underlying conditions), as well as under-reporting. Increased number of infections has been documented in patients treated with maintenance rituximab for low-grade lymphoma and in patients with concomitant severe immunodeficiency, whether caused by human immunodeficiency virus (HIV) infection or immunosuppressive agents like fludarabine. From the practical standpoint, the most important infection is hepatitis B reactivation, which may be delayed and result in fulminant liver failure and death. Special care should be placed on screening for hepatitis B virus (HBV) and preemptive antiviral treatment. Some investigators have reported an increase in <e>Pneumocystis</e> pneumonia. Finally, there is increasing evidence of a possible association with progressive multifocal leukoencephalopathy (PML), a lethal encephalitis caused by the polyomavirus JC. This review enumerates the described infectious complications, summarizes the possible underlying mechanisms of the increased risk, and makes recommendations regarding prevention, diagnosis and management.",M1
20195409,"Severe pulmonary adverse effects in lymphoma patients treated with cyclophosphamide, doxorubicin, vincristine, and prednisone (CHOP) regimen plus rituximab.BACKGROUND/AIMS: The aim of our study was to determine the incidence and clinical features of severe pulmonary complications in patients receiving cyclophosphamide, doxorubicin, vincristine, and prednisone (CHOP) or rituximab plus CHOP (R-CHOP) as the initial treatment for lymphoma. METHODS: A retrospective analysis of pulmonary infection and drug-induced interstitial pneumonitis (DIIP) was performed using lymphoma registry data. R-CHOP was administered in 71 patients and CHOP in 29 patients. RESULTS: The severe pulmonary adverse events tended to occur more frequently with R-CHOP (18.3%) than CHOP alone (13.8%), although the difference was not significant (p = 0.771). DIIP occurred in five patients in the R-CHOP arm (7%) and in one in the CHOP arm (3%). The continuous use of steroids for conditions other than lymphoma significantly increased the risk of pulmonary infection including <e>Pneumocystis</e> jiroveci pneumonia (p = 0.036) in the multivariate analysis. International prognostic index, tumor stage, smoking, previous tuberculosis, chronic obstructive pulmonary disease, and lymphoma involvement of lung parenchyma were not related to pulmonary adverse events. Patients who experienced severe pulmonary events showed shorter survival when compared to those without complications (p = 0.002). CONCLUSIONS: Our experiences with serial cases with DIIP during chemotherapy and the correlation of continuous steroid use with pulmonary infection suggest that the incidence of pulmonary complications might be high during lymphoma treatment, and careful monitoring should be performed.",M1
20194450,"A survey of rheumatologists' practice for prescribing <e>pneumocystis</e> prophylaxis.OBJECTIVE: Pneumocystis pneumonia (PCP) occurs in immunocompromised hosts, in both the presence and absence of human immunodeficiency virus (HIV) infection, with substantial morbidity and a heightened mortality. We assessed practice patterns among rheumatologists for prescribing PCP prophylaxis. METHODS: Invitations to an online international survey were e-mailed to 3150 consecutive members of the American College of Rheumatology. RESULTS: Completed surveys were returned by 727 (23.1%) members. Among respondents, 505 (69.5%) reported prescribing prophylaxis. Factors associated with significantly higher frequency of prescribing PCP prophylaxis included female gender (OR 1.47, p = 0.03), US-based (OR 1.77, p = 0.004), academic-based (OR 2.75, p &lt; 0.001), in practice less than 10 years (OR 4.08, p &lt; 0.001), having previously treated PCP (OR 2.62, p &lt; 0.001), and in a practice with a higher proportion of patients maintained on chronic glucocorticoids (OR 2.04, p &lt; 0.001) or other immunosuppressant medications (OR 3.19, p = 0.003). In multivariate analysis, rheumatologists early in their careers and those with academic and US-based practices were more likely to prescribe prophylaxis. Among prescribers, the most important determinants for issuing prophylaxis were treatment regimen (68.6%), rheumatologic diagnosis (9.3%), and medication dosage (8.3%). CONCLUSION: Nearly one-third (30%) of the rheumatologists surveyed reported that they never prescribed PCP prophylaxis. While the patient characteristics for which prophylaxis was prescribed varied widely, physician demographics were strongly predictive of PCP prophylaxis use. These findings suggest that development of consensus guidelines might influence clinical decision-making regarding PCP prophylaxis in HIV-negative patients with rheumatologic diagnoses.",M1
20173272,"Racial variations in care and outcomes for inpatient HIV-related <e>pneumocystis</e> pneumonia.Racial disparities in HIV-care include the disproportionate impact of HIV/AIDS on African Americans. We conducted a retrospective review of 1,855 cases at 78 hospitals in nine cities to evaluate racial variations in inpatient care for AIDS-related Pneumocystis pneumonia (PCP) shortly after the introduction of highly active anti-retroviral therapies. While inpatient HIV-related PCP mortality was comparable between Whites and Hispanics (p=0.94), African Americans were less likely than Whites to die in-hospital (AOR 0.69, 95% CI 0.48, 0.99) and more likely to receive timely anti-PCP medications (AOR 1.67, 95% CI 1.21, 2.30) and timely corticosteroids (AOR 1.46, 95% CI 1.17, 1.82). Findings were compared with those from our study involving 1,547 patients at 82 hospitals in five cities over the first decade of the AIDS epidemic. In contrast to the first study, in the second decade African Americans were more likely to receive timely and appropriate therapy for HIV-related PCP, and resultantly were more likely to survive the hospitalization.",M1
20171548,"<e>Pneumocystis</e> jirovecii Pneumonia.Pneumocystis jirovecii has gained attention during the last decade in the context of the AIDS epidemic and the increasing use of cytotoxic and immunosuppressive therapies. This article summarizes current knowledge on biology, pathophysiology, epidemiology, diagnosis, prevention, and treatment of pulmonary P jirovecii infection, with a particular focus on the evolving pathophysiology and epidemiology. Pneumocystis pneumonia still remains a severe opportunistic infection, associated with a high mortality rate.",M1
