@RELATION C0032533_C0039483

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20412716,"A case of gastric cancer presenting as <e>polymyalgia rheumatica</e>.",M1
20482925,"[<e>Polymyalgia rheumatica</e>: new possibilities for treatment, but not diagnosis]Polymyalgia rheumatica (PMR) is a chronic inflammatory rheumatic disorder, which predominantly occurs in patients aged 50 years and older. It can be difficult to differentiate PMR from other diseases, for general practitioners as well as for rheumatologists. Arteritis temporalis should not be overlooked in these patients, since missing this diagnosis may lead to irreversible visual loss. The majority of patients in whom PMR is suspected respond well to treatment with prednisone 15 mg per day. Methotrexate is an attractive alternative in patients who do not respond to prednisone or who experience side-effects due to prednisone.",M1
20447103,"Ophthalmic presentation of Wegener's granulomatosis on a background of <e>polymyalgia rheumatica</e>.We present a case of Wegener's granulomatosis (WG) in a 79-year-old man with limbitis and granulomatous conjunctivitis, on a background of polymyalgia rheumatica (PMR). The undifferentiated nature of ocular presentations of WG can be diagnostically challenging, especially in cases, such as this, where findings are initially inconclusive and evolve with time. This case highlights the significance of a history of PMR in patients with ocular inflammation. The systemic inflammatory systems of WG, including arthralgias, may mimic other conditions such as PMR. Patients with undifferentiated ocular inflammatory syndromes should be questioned regarding arthralgias, myalgias and stiffness. Such symptoms, or a background of PMR, should raise suspicion of WG.",M1
20398023,"Changes in adiponectin and leptin concentrations during glucocorticoid treatment: a pilot study in patients with <e>polymyalgia rheumatica</e>.This study is concerned with an evaluation of the effects of glucocorticoids (GC) on adiponectin and leptin concentrations in patients with polymyalgia rheumatica (PMR). Seven patients diagnosed with PMR were studied at baseline and after one and three months of prednisone treatment. Serum leptin and adiponectin, serum glucose and insulin, erythrocyte sedimentation rate, C-reactive protein, and IL-6 were all measured by commercial assays. The treatment with GC normalized inflammation markers and significantly increased adiponectin and leptin concentrations without any impairment of insulin sensitivity measured by HOMA-IR. Adiponectin significantly increased only between baseline and 1 month (P= 0.013). A significant correlation was found between adiponectin and leptin concentrations both at baseline and after 3 months of treatment (both rho = 0.89, P= 0.03). In addition, adiponectin correlated also with serum glucose at baseline (rho = 0.81, P= 0.047). According to our results, adiponectin concentrations seem to be driven by inflammation, whereas leptin seems to be increased directly by the use of steroids.",M1
20367535,"Medical management of <e>polymyalgia rheumatica</e>.IMPORTANCE OF THE FIELD: Polymyalgia rheumatica (PMR) is a relatively frequent condition in individuals older than 50 who originate from Western countries. Corticosteroids constitute the cornerstone therapy in the management of patients with PMR. AREAS COVERED IN THIS REVIEW: This review summarizes the current literature on clinical clues for the diagnosis of PMR, conditions mimicking PMR, relapses in the setting of PMR and the main therapeutic strategies. WHAT THE READER WILL GAIN: With this information, the reader receives an overview on the current available data on clinical diagnosis and treatment options in PMR. TAKE-HOME MESSAGES: An initial dose of prednisone of 10-20 mg/day yields clinical improvement in the majority of patients with PMR. This is generally achieved within 7 days of the onset of this therapy. Conditions different from isolated PMR should be considered in atypical cases or when a good response to 20 mg/day of prednisone is not achieved. Relapses of PMR are not uncommon when the dose of prednisone is equal to or below than 5 mg/day. Methotrexate is the most commonly used corticosteroid sparing agent. Osteoporosis prophylaxis is also recommended.",M1
20198931,"Diagnosing joint pain in the older people.There are many potential causes of joint pain in older patients. The most likely aetiology is OA. However, the differential diagnosis includes conditions which should not be missed such as septic arthritis and inflammatory disease. The pattern of joint involvement points to the diagnosis. Bilateral symmetrical small joint pain, swelling and stiffness should arouse the suspicion of RA. The wrist and knee are commonly affected by pseudogout and the first metatarsophalangeal joint or knee joint involvement may represent gout. Stiffness in the shoulder and hip girdles, worse in the morning, suggests <e>polymyalgia rheumatica</e>. In straightforward cases of OA no specific investigations are required. If doubt exists, however, tests may be necessary including FBC, ESR and CRP, uric acid for suspected gout and X-rays of the affected joints especially following trauma, or pseudogout. Patients with OA should be offered education and advice as well as strengthening exercises and aerobic fitness training (if physically possible). If the patient is overweight, weight loss is critical, especially in OA of the knee. Paracetamol and topical NSAIDs are the first-line drug treatments. Elderly onset RA differs from younger onset RA in the following ways: a more balanced gender distribution; a higher frequency of acute onset; an association with systemic features; more frequent involvement of the shoulder girdle and higher disease activity. DMARD therapy should be used according to disease severity, as in younger onset RA. The current approach is for early, intensive intervention with combination therapy. Corticosteroids may be very effective in the elderly, however, prolonged use and/or high dosage may lead to marked toxicity especially osteoporosis and diabetes.",M1
20193809,"<e>Polymyalgia rheumatica</e> with bilateral subclavian artery stenosis.",M1
20133367,"Management of <e>polymyalgia rheumatica</e>.",M1
19646342,"<e>Polymyalgia rheumatica</e> can recur years after discontinuation of corticosteroid therapy.OBJECTIVE: To describe disease recurrence in polymyalgia rheumatica. METHODS: I present 12 patients with recurring PMR from a single clinical practice with long-term clinical follow-up (mean 14.3 years). RESULTS: Despite a disease-free interval off corticosteroids of 2 years or longer, these patients experienced 1 overt recurrence (or more) of PMR. CONCLUSION: The course of PMR is not uniformly monophasic, and patient and physician should remain alert to the possibility of recurring disease.",M1
19915991,"The clinical course of <e>polymyalgia rheumatica</e> in Chinese.Polymyalgia rheumatica (PMR) is diagnosed based on clinical features that may overlap with other rheumatic conditions like rheumatoid arthritis (RA). Furthermore, a proportion of PMR patients may subsequently evolve into RA. The aim of this study was to examine the clinical characteristics of PMR patients in a Chinese cohort compared to a Caucasian series. Patients diagnosed to have PMR during 1997-2008 were reviewed for clinical features and compared to a reported Caucasian series. Rheumatoid factor (RF) and anticyclic citrullinated peptide (CCP) antibodies were determined by immunonephelometry and enzyme-linked immunosorbent assay, respectively. Forty-four patients of southern Chinese origin were diagnosed to have PMR according to specialist opinion. Seventy-five percent of patients (n = 33) were &gt;65 years of age at diagnosis (mean +/- standard deviation, 75.8 +/- 9.6 years). The commonest feature at disease onset was elevated erythrocyte sedimentation rate &gt;40 mm/h (100% vs. 95.7%; p = 0.17) and bilateral shoulder pain or stiffness (95.5% vs. 90.8%; p = 0.31), comparable in frequency to the Caucasian cohort. However, Chinese patients had significantly longer duration of symptoms before diagnosis (p &lt; 0.001) but less bilateral upper arm tenderness (p &lt; 0.001) and generalized stiffness (p = 0.01). Twelve (27.3%) patients evolved into RA after a median duration of 2 months from onset of PMR. RF and anti-CCP antibodies were positive in 66.7% and 60% of these patients compared to 9.4% and 6.2%, respectively, among those who did not evolve into RA during the period observed. Chinese patients with PMR have modestly different clinical profile compared to the Caucasian counterpart. RF and anti-CCP antibodies were more likely to be present in those who subsequently developed into RA.",M1
19901135,"Treatment of <e>polymyalgia rheumatica</e>: a systematic review.BACKGROUND: Polymyalgia rheumatica (PMR) treatment is based on low-dose glucocorticoids. Glucocorticoid-sparing agents have also been tested. Our objective was to systematically examine the peer-reviewed literature on PMR therapy, particularly the optimal glucocorticoid type, starting doses, and subsequent reduction regimens as well as glucocorticoid-sparing medications. METHODS: We searched Cochrane Databases and MEDLINE (1957 through December 2008) for English-language articles on PMR treatment (randomized trials, prospective cohorts, case-control trials, and case series) that included 20 or more patients. All data on study design, PMR definition criteria, medical therapy, and disease outcomes were collected using a standardized protocol. RESULTS: Thirty studies (13 randomized trials and 17 observational studies) were analyzed. No meta-analyses or systematic reviews were found. The PMR definition criteria, treatment protocols, and outcome measures differed widely among the trials. Starting prednisone doses higher than 10 mg/d were associated with fewer relapses and shorter therapy than were lower doses; starting prednisone doses of 15 mg/d or lower were associated with lower cumulative glucocorticoid doses than were higher starting prednisone doses; and starting prednisone doses higher than 15 mg/d were associated with more glucocorticoid-related adverse effects. Slow prednisone dose tapering (&lt;1 mg/mo) was associated with fewer relapses and more frequent glucocorticoid treatment cessation than faster tapering regimens. Initial addition of oral or intramuscular methotrexate provided efficacy at doses of 10 mg/wk or higher. Infliximab was ineffective as initial cotreatment. CONCLUSIONS: The scarcity of randomized trials and the high level of heterogeneity of studies on PMR therapy do not allow firm conclusions to be drawn. However, PMR remission seems to be achieved with prednisone treatment at a dose of 15 mg/d in most patients, and reductions below 10 mg/d should preferably follow a tapering rate of less than 1 mg/mo. Methotrexate seems to exert glucocorticoid-sparing properties.",M1
19864979,"<e>Polymyalgia rheumatica</e> associated with neck surgery.",M1
19851514,"Clinical, radiological, and biochemical characteristics in patients with diseases mimicking <e>polymyalgia rheumatica</e>.To find out clues to differentiate between polymyalgia rheumatica (PMR) and other diseases that mimic PMR. We studied Japanese patients with PMR (n = 7), pseudogout (n = 1), remitting seronegative symmetrical synovitis with pitting edema (RS3PE) syndrome (n = 1), and post-infectious polyarthritis (n = 1). The distribution of inflammation in patients was evaluated using a gallium-67 scintigraphy. We measured serum C-reactive protein (CRP), matrix metalloproteinase-3 (MMP-3), and vascular endothelial growth factor (VEGF) in patients before and after treatment. Further, we compared the clinical course of PMR with that of other diseases that mimic PMR. Patients with pseudogout, RS3PE syndrome, post-infectious polyarthritis manifested similar changes in scintigraphic findings and serum CRP, MMP-3, and VEGF levels to PMR before the treatment. A significant reduction in serum CRP levels at one week after use of nonsteroidal anti-inflammatory drugs (NSAIDs) is a good clue to differentiate pseudogout and post-infectious polyarthritis from PMR. Chondrocalcinosis in the radiographs of joints is also effective to differentiate pseudogout from PMR. A small reduction of CRP levels after NSAIDs use and promptly ameliorated CRP and symptoms by a low-dose steroid therapy, which was commonly observed in patients with PMR, were also found in a patient with RS3PE syndrome. Pitting edema of the back of hands and gallium uptake in metacarpophalangeal (MCP) joints were useful to differentiate RS3PE syndrome from PMR. In conclusion, pseudogout, RS3PE syndrome, post-infectious polyarthritis should be included in the spectrum of diseases mimicking PMR. A promptly decreased serum CRP level by NSAIDs is a good clue to differentiate pseudogout and post-infectious polyarthritis from PMR. Pitting edema of the back of hands and symmetric gallium uptake in MCP joints are characteristic for RS3PE syndrome.",M1
19808693,"Longitudinal examination with shoulder ultrasound of patients with <e>polymyalgia rheumatica</e>.OBJECTIVE: To determine if ultrasonography (US) and power Doppler (PD) may be useful in identifying polymyalgia rheumatica (PMR) patients with relapsing disease. METHODS: For a mean of 41 months, 57 consecutive untreated patients with PMR were prospectively assessed for relapses/recurrences. This cohort represented all the patients diagnosed over a 18-month period in one Italian secondary referral centre. Clinical signs and symptoms as well as ESR and CRP were evaluated. US examination of the shoulders was performed in all 57 patients at diagnosis and after the onset of prednisone treatment (mean 24 +/- 3 weeks). Power Doppler ultrasonography (PDUS) was performed in 24 patients. Shoulder sonograms were obtained according to standardized techniques. RESULTS: Prednisone therapy significantly reduced the frequency and the degree of subacromial/subdeltoid bursitis, long head biceps tenosynovitis and glenohumeral synovitis. At diagnosis, a positive PD signal was observed more frequently in the subacromial/subdeltoid bursae (33%). Prednisone therapy significantly reduced the frequency of patients with positive PD signal. Of the 44 patients in remission or with low disease activity at the time of the second US, 26 (59%) still had evidence of persistent inflammatory lesions. There was no association between the persistence of inflammation at US and relapses/recurrences; in contrast, a positive PD signal at diagnosis was significantly associated with the occurrence of relapses/recurrences at follow-up. CONCLUSION: Subclinical inflammation detected by US persists in most PMR patients despite glucocorticoid treatment. PDUS may be useful to detect at diagnosis the patients with most active inflammation who have a higher risk of relapses/recurrences.",M1
19773289,"Ultrasonographic monitoring of response to therapy in <e>polymyalgia rheumatica</e>.OBJECTIVE: To assess the responsiveness of ultrasound (US) inflammatory findings in the shoulder and hip of patients with polymyalgia rheumatica (PMR) who started treatment with corticosteroids. METHODS: Fifty-three patients with active PMR who started treatment with prednisone in six Spanish centres were prospectively studied. The patients underwent clinical, laboratory and US assessment at baseline, 4 and 12 weeks. The US investigation consisted of detection and quantification of inflammatory findings in the shoulder and hip. The responsiveness of clinical, laboratory and US parameters was tested by the standardised response mean. Intraobserver and interobserver reliability between US investigators was assessed. RESULTS: At baseline, 34 patients (69%) had inflammation in at least one bilateral site. During the follow-up period, clinical, laboratory and US variables showed a parallel decrease. A significant decrease in US inflammatory parameters was found at week 4 (p&lt;0.001). After 4 and 12 weeks of treatment with corticosteroids, US inflammatory findings showed similar or better sensitivity to change than clinical and laboratory markers of PMR activity. Intraobserver and interobserver intraclass correlation coefficients were 0.96 and 0.99, respectively (p&lt;0.05). CONCLUSION: US may be a responsive additional tool in monitoring the response to corticosteroids in patients with PMR in daily practice and multicentre trials.",M1
19738533,"Fusobacterium nucleatum endocarditis mimicking <e>polymyalgia rheumatica</e>.A case of Fusobacterium nucleatum endocarditis in an 80-year-old man is reported. The patient presented with a headache and nonspecific musculoskeletal symptoms and was misdiagnosed as having polymyalgia rheumatica. The diagnosis of bacterial endocarditis was delayed because of an insidious presentation, typical in infections with low virulence micro-organisms. The musculoskeletal symptoms, unresponsive to protracted corticosteroids, completely resolved with intravenous ampicillin treatment. Rheumatologic symptoms may hinder the correct diagnosis of subacute infective endocarditis. An atypical evolution of a common rheumatic disorder such as polymyalgia rheumatica should alert physicians to the possibility of bacterial endocarditis.",M1
