@RELATION C0032821_C0162800

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20548978,"Effect of perioperative glucose-insulin-<e>potassium</e> infusions on mortality and atrial fibrillation after coronary artery bypass grafting: a systematic review and meta-analysis.BACKGROUND: Glucose-insulin infusions (with potassium [GIK] or without [GI]) have been advocated in the setting of coronary artery bypass graft (CABG) surgery to optimize myocardial glucose use and to minimize ischemic injury.OBJECTIVE: To conduct a meta-analysis assessing whether the use of GIKGI infusions perioperatively reduce in-hospital mortality or atrial fibrillation (AF) after CABG surgery.METHODS: Electronic databases (Medline, EMBASE and Cochrane Central Register of Controlled Trials [CENTRAL]) and references of retrieved articles were searched for randomized controlled trials that evaluated the effects of GIK or GI infusions, before or during CABG surgery, on in-hospital mortality andor postoperative AF. Pooled ORs and 95% CIs were calculated for each outcome.RESULTS: Twenty trials were identified and eligible for review. The summary OR for in-hospital mortality was 0.88 (95% CI 0.56 to 1.40), based on 44 deaths among 2326 patients. While postoperative AF was a more frequent outcome (occurring in 519 of 1540 patients in the 10 trials reporting this outcome), the overall pooled estimate of effect was nonsignificant (OR 0.79, 95% CI 0.54 to 1.15). This latter finding needs to be interpreted cautiously because it is accompanied by significant heterogeneity across trials.CONCLUSIONS: Perioperative use of GIKGI does not significantly reduce mortality or atrial fibrillation in patients undergoing CABG surgery. Unless future trial data in support of GIKGI infusions become available, the routine use of these treatments in patients undergoing CABG surgery should be discouraged because the safety of these infusions has not been systematically examined.",M1
20543823,"Activity-dependent relocation of the axon initial segment fine-tunes neuronal excitability.In neurons, the axon initial segment (AIS) is a specialized region near the start of the axon that is the site of action potential initiation. The precise location of the AIS varies across and within different neuronal types, and has been linked to cells' information-processing capabilities; however, the factors determining AIS position in individual neurons remain unknown. Here we show that changes in electrical activity can alter the location of the AIS. In dissociated hippocampal cultures, chronic depolarization with high extracellular <e>potassium</e> moves multiple components of the AIS, including voltage-gated sodium channels, up to 17 mum away from the soma of excitatory neurons. This movement reverses when neurons are returned to non-depolarized conditions, and depends on the activation of T- and/or L-type voltage-gated calcium channels. The AIS also moved distally when we combined long-term LED (light-emitting diode) photostimulation with sparse neuronal expression of the light-activated cation channel channelrhodopsin-2; here, burst patterning of activity was successful where regular stimulation at the same frequency failed. Furthermore, changes in AIS position correlate with alterations in current thresholds for action potential spiking. Our results show that neurons can regulate the position of an entire subcellular structure according to their ongoing levels and patterns of electrical activity. This novel form of activity-dependent plasticity may fine-tune neuronal excitability during development.",M1
20539177,"<e>Potassium</e> in hemorrhagic shock: a potential marker of tissue hypoxia.BACKGROUND: This study was designed to evaluate serum potassium level variation in a porcine model of hemorrhagic shock (HS). METHODS: Eight pigs were studied in a controlled hemorrhage model of HS. Blood withdrawal began at a 50 mL/min to 70 mL/min rate, adjusted to reach a mean arterial pressure (MAP) level of 60 mm Hg in 10 minutes. When MAP reached 60 mm Hg, the blood withdrawal rate was adjusted to maintain a MAP decrease rate of 10 mm Hg every 2 minutes to 4 minutes. Arterial and mixed venous blood samples were collected at MAP levels of 60 mm Hg, 50 mm Hg, 40 mm Hg, 30 mm Hg, 20 mm Hg, and 10 mm Hg and analyzed for oxygen saturation, Po2, Pco2, potassium, lactate, bicarbonate, hemoglobin, pH, and standard base excess. RESULTS: Significant increase in serum potassium occurred early in all animals. The rate of rise in serum potassium and its levels accompanied the hemodynamic deterioration. Hyperkalemia (K &gt;5 mmol/L) incidence was 12.5% at 60 mm Hg and 50 mm Hg, 62.5% at 40 mm Hg, 87.5% at 30 mm Hg, and 100% at 20 mm Hg. Strong correlations were found between potassium levels and lactate (R = 0.82), SvO2 (R = 0.87), DeltapH (R = 0.83), and DeltaPco2 (R = 0.82). CONCLUSIONS: Serum potassium increase accompanies the onset of HS. The rise in serum potassium was directly related to the hemodynamic deterioration of HS and strongly correlated with markers of tissue hypoxia.",M1
20494058,"Resuscitation after prolonged cardiac arrest: role of cardiopulmonary bypass and systemic hyperkalemia.BACKGROUND: The purpose of this study was to determine (1) the role of emergency cardiopulmonary bypass (CPB) after prolonged cardiac arrest and failed cardiopulmonary resuscitation, and (2) the use of systemic hyperkalemia during CPB to convert intractable ventricular fibrillation (VF). METHODS: Thirty-one pigs (34 +/- 2 kg) underwent 15 minutes of cardiac arrest after induced VF, followed by 10 minutes of cardiopulmonary resuscitation-advanced life support. Peripheral CPB was used if cardiopulmonary resuscitation failed to restore stable circulation. Damage was assessed by evaluating hemodynamics, biochemical variables (creatine kinase-MB, neuron-specific enolase), neurologic deficit score, and brain magnetic resonance imaging. RESULTS: Cardiopulmonary resuscitation alone was successful in only 19% (6 of 31 pigs). Cardiopulmonary bypass was initiated in 81% of animals (25 of 31 pigs) either for hypotension (5 of 25 pigs) or intractable VF (20 of 25 pigs). Defibrillation was successful in 7 of 20 animals during the first 10 minutes after initiating CPB. Ventricular fibrillation persisted more than 10 minutes in 13 of 20 pigs, and animals were treated either with repeated defibrillation (6 of 13 pigs) or with a <e>potassium</e> bolus (7 of 13 pigs) to induce transient cardiac arrest. Overall survival at 24 hours was 84% with cardiopulmonary resuscitation (100% of pigs with hypotension; 71% in CPB-VF &lt; 10 minutes). Despite CPB, fatal myocardial failure occurred after VF duration of more than 10 minutes in all pigs treated with electrical defibrillation, whereas hyperkalemia allowed 100% cardioversion and 86% survival. Biochemical variables remained elevated in all groups. Similarly, severe brain injury was present in all animals as confirmed by neurologic deficit score (197 +/- 10) and magnetic resonance imaging. CONCLUSIONS: Emergency CPB after prolonged cardiac arrest improves survival and allows systemic hyperkalemia to convert intractable VF, but fails to reduce neurologic damage.",M1
20483947,"Spironolactone use and renal toxicity: population based longitudinal analysis.OBJECTIVE: To determine the safety of spironolactone prescribing in the setting of the UK National Health Service. DESIGN: Population based longitudinal analysis using a record linkage database. SETTING: Tayside, Scotland. Population All patients who received one or more dispensed prescriptions for spironolactone between 1994 and 2007. MAIN OUTCOME MEASURES: Rates of prescribing for spironolactone, hospital admissions for hyperkalaemia, and hyperkalaemia and renal function without admission, before and after the publication of results from the Randomised Aldactone Evaluation Study (RALES). RESULTS: Prescriptions for spironolactone and measurements of serum creatinine and serum <e>potassium</e> all increased in parallel in Tayside after the release of the RALES results in 1999 (from 2847, 5345, and 5246 in the first half of 1999 to 6582, 10,753, and 10,534 by the second half of 2001, and to 8619, 17,844, and 17,649 by 2007). These increases occurred in patients with and without heart failure. Few hospital admissions for hyperkalaemia occurred over this time: three in the first quarter of 1995, two in the last quarter of 2001, and three in 2007. Among patients who were taking angiotensin converting enzyme inhibitors and who had recently been admitted to hospital for heart failure, the rate of spironolactone use was 19.8 per 100 patients in early 1999 rising to 70.1 per 100 patients by late 2001 (P&lt;0.01) and 61.3 by 2007. The rate of outpatient measured hyperkalaemia (serum K(+)&gt;6 mmol/l) did not increase over time (9.9 per 100 patients in early 1999, 6.9 per 100 patients in late 2001, and 2.9 per 100 patients in 2007) despite the increased use of spironolactone. CONCLUSIONS: Despite a marked increased in the use of spironolactone in patients with and without heart failure, no increase was seen in hospital admissions for hyperkalaemia and outpatient hyperkalaemia actually fell. Careful monitoring of patients prescribed spironolactone seems to have been associated with no increase in risk of hyperkalaemia.",M1
20463214,"High firing rate of neonatal hippocampal interneurons is caused by attenuation of afterhyperpolarizing <e>potassium</e> currents by tonically active kainate receptors.In the neonatal hippocampus, the activity of interneurons shapes early network bursts that are important for the establishment of neuronal connectivity. However, mechanisms controlling the firing of immature interneurons remain elusive. We now show that the spontaneous firing rate of CA3 stratum lucidum interneurons markedly decreases during early postnatal development because of changes in the properties of GluK1 (formerly known as GluR5) subunit-containing kainate receptors (KARs). In the neonate, activation of KARs by ambient glutamate exerts a tonic inhibition of the medium-duration afterhyperpolarization (mAHP) by a G-protein-dependent mechanism, permitting a high interneuronal firing rate. During development, the amplitude of the apamine-sensitive K+ currents responsible for the mAHP increases dramatically because of decoupling between KAR activation and mAHP modulation, leading to decreased interneuronal firing. The developmental shift in the KAR function and its consequences on interneuronal activity are likely to have a fundamental role in the maturation of the synchronous neuronal oscillations typical for adult hippocampal circuitry.",M1
20444939,"Adiponectin modulates excitability of rat paraventricular nucleus neurons by differential modulation of <e>potassium</e> currents.The adipocyte-derived hormone adiponectin acts at two seven-transmembrane domain receptors, adiponectin receptor 1 and adiponectin receptor 2, present in the paraventricular nucleus of the hypothalamus to regulate neuronal excitability and endocrine function. Adiponectin depolarizes rat parvocellular preautonomic neurons that secrete either thyrotropin releasing hormone or oxytocin and parvocellular neuroendocrine corticotropin releasing hormone neurons, leading to an increase in plasma adrenocorticotropin hormone concentrations while also hyperpolarizing a subgroup of neurons. In the present study, we investigate the ionic mechanisms responsible for these changes in excitability in parvocellular paraventricular nucleus neurons. Patch clamp recordings of currents elicited from slow voltage ramps and voltage steps indicate that adiponectin inhibits noninactivating delayed rectifier potassium current (I(K)) in a majority of neurons. This inhibition produced a broadening of the action potential in cells that depolarized in the presence of adiponectin. The depolarizing effects of adiponectin were abolished in cells pretreated with tetraethyl ammonium (0/15 cells depolarize). Slow voltage ramps performed during adiponectin-induced hyperpolarization indicate the activation of voltage-independent potassium current. These hyperpolarizing responses were abolished in the presence of glibenclamide [an ATP-sensitive potassium (K(ATP)) channel blocker] (0/12 cells hyperpolarize). The results presented in this study suggest that adiponectin controls neuronal excitability through the modulation of different potassium conductances, effects which contribute to changes in excitability and action potential profiles responsible for peptidergic release into the circulation.",M1
20432725,"[Effect of ascorbic acid on the intestinal transport of glycine in chick]The effect of different doses of ascorbic acid on the absorptive functions of the gut has been investigated in chicks. The study describes evidence for the existence of a H+/glycine symport system in chick intestinal brush border, because in sodium-free conditions acidification of the apical medium with ascorbic acid causes a dose-dependent stimulation of glycine absorption. Under the above circumstances, <e>potassium</e> acts as a non-essential activator of H+-dependence glycine cotransport. Our results also suggest that glycine uptake is stimulated in a lesser degree by inward sodium gradient. Ascorbic acid stimulation of glycine uptake from K+- free sodium abundant media was diminished, when the dietary level of ascorbic acid was increased to 2000 mg in 1 kg of food. This may result from conformational change in the Na(-)-dependent glycine transporter protein that lowers glycine binding site affinity induced by the over-acidification of the gut lumen. In addition, there was a possible competition between sodium-dependent glycine and ascorbic acid transporters for sodium.",M1
20427672,"Type 4 phosphodiesterase plays different integrating roles in different cellular domains in pyramidal cortical neurons.We investigated the role of phosphodiesterases (PDEs) in the integration of cAMP signals and protein kinase A (PKA) activity following beta-adrenergic stimulation, by carrying out real-time imaging of male mouse pyramidal cortical neurons expressing biosensors to monitor cAMP levels (Epac1-camps and Epac2-camps300) or PKA activity (AKAR2). In the soma, isoproterenol (ISO) increased the PKA signal to approximately half the maximal response obtained with forskolin, with a characteristic beta(1) pharmacology and an EC(50) of 4.5 nm. This response was related to free cAMP levels in the submicromolar range. The specific type 4 PDE (PDE4) inhibitor rolipram had a very small effect alone, but strongly potentiated the PKA response to ISO. Blockers of other PDEs had no effect. PDE4 thus acts as a brake in the propagation of the beta(1)-adrenergic signal from the membrane to the bulk somatic cytosol. The results for a submembrane domain were markedly different, whether recorded with a PKA-sensitive <e>potassium</e> current related to the slow AHP or by two-photon imaging of small distal dendrites. The responses to ISO were stronger than in the bulk cytosol. This is consistent with the cAMP/PKA signal being strong at the membrane, as shown by electrophysiology, and favored in cellular domains with a high surface area to volume ratio, in which this signal was detected by imaging. Rolipram alone also produced a strong cAMP/PKA signal, revealing tonic cAMP production. PDE4 thus appears as a crucial integrator with different physiological implications in different subcellular domains.",M1
20412803,"Regulation of Trk-dependent <e>potassium</e> transport by the calcineurin pathway involves the Hal5 kinase.The phosphatase calcineurin and the kinases Hal4/Hal5 regulate high-affinity potassium uptake in Saccharomyces cerevisiae through the Trk1 transporter. We demonstrate that calcineurin is necessary for high-affinity potassium uptake even in the absence of Na(+) stress. HAL5 expression is induced in response to stress in a calcineurin-dependent manner through a newly identified functional CDRE (nt -195/-189). Lack of calcineurin decreases Hal5 protein levels, although with little effect on Trk1 amounts. However, the growth defect of cnb1 cells at K(+)-limiting conditions can be rescued in part by overexpression of HAL5, and this mutation further aggravates the potassium requirements of a hal4 strain. This suggests that the control exerted by calcineurin on Hal5 expression may be biologically relevant for Trk1 regulation.",M1
