@RELATION C0016538_C0033363

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20234017,"Remembering and forecasting: The relation between autobiographical memory and episodic future thinking.Episodic future thinking is a <e>projection</e> of the self into the future to mentally preexperience an event. Previous work has shown striking similarities between autobiographical memory and episodic future thinking in response to various experimental manipulations. This has nurtured the idea of a shared neurocognitive system underlying both processes. Here, undergraduates generated autobiographical memories and future event representations in response to cue words and requests for important events and rated their characteristics. Important and word-cued events differed markedly on almost all measures. Past, as compared with future, events were rated as more sensorially vivid and less relevant to life story and identity. However, in contrast to previous work, these main effects were qualified by a number of interactions, suggesting important functional differences between the two temporal directions. For both temporal directions, sensory imagery dropped, whereas self-narrative importance and reference to normative cultural life script events increased with increasing temporal distance.",M1
20166909,"Projecting subacute inpatient activity in New South Wales.We describe the development of a method for estimating and modelling future demand for sub- and non-acute inpatient activity across New South Wales, Australia to 2016. A time series linear regression equation was used, which is consistent with <e>projection</e> models found in the literature. Results of the modelling indicated an increase in rehabilitation, palliative care and maintenance episodes and bed-days. Projections for other categories of care are problematic due to smaller levels of activity and data quality issues. This project indicated a need for ongoing monitoring of type-changing by facilities and management of data quality. Local planners will need to consider a range of factors when considering the applicability activity projections at a local level, particularly within the specific age and clinical groupings.",M1
20159675,"[<e>Projection</e> of the incidence of breast cancer in France in 2018]The objective of this work is to estimate the trends of the incidence of breast cancer until 2018, in the French context on the basis of an age cohort model. The model extrapolates the trend of incidence rate per generation and age, incorporates the effects of demographic changes in the female population in terms of size and age structure and simulates the impact of the withdrawal of the use of hormone therapy for menopause (HTM) under different assumptions. The results suggest a continuous growth in the number of incident cases that would increase from 49,814 to 64,621 between 2005 and 2018. Changes in incidence following the HTM use withdrawal, should be moderate and transient. The most important epidemiological parameters in explaining the future incidence of breast cancer remains the  cohort  effect that continues to have a significant impact until the extinction of cohorts for which the increase was more marked (birth years 1920 to 1945). This factor alone explains 18% of the growth in the number of incident cases in 2018, while the effect of population growth account for 6.6%, the cessation of HTM a 6.4% decrease and aging a 4.6% growth.",M1
19811588,"Non-invasive risk stratification of coronary artery disease: an evaluation of some commonly used statistical classifiers in terms of predictive accuracy and clinical usefulness.OBJECTIVE: To compare different prediction models for assessing outcome of patients undergoing non-invasive risk stratification of suspected or known coronary artery disease. METHODS: Six statistical classifiers and data mining models were applied to the prospective data bank of two different institutions. Of these, one represented the training (n = 2777) and the other one the test (n = 2679) set, each set consisting of usual clinical and stress echo information of patients followed-up for the combined endpoint of all-cause mortality and non-fatal acute coronary syndromes. The following models were used: Logistic regression, Generalized Additive Model, <e>Projection</e> Pursuit Regression, Linear Discriminant Analysis, Quadratic Discriminant Analysis and Artificial Neural Networks. Models were selected using the Akaike Information Criterion and compared in terms of accuracy and Negative Predictive Value, overall Misclassification Rate and ROC Area Under Curve. RESULTS: During a median follow-up of 31 months, 573 events occurred: 271 in the training and 302 in the test set respectively. All models selected the same subset of covariates as significantly associated with the outcome. The comparison of model performance showed that: (1) Quadratic Discriminant Analysis and Artificial Neural Networks provided a worse prediction of outcome than models more closely bonded to the hypothesis of linearity of the covariates effect; (2) overall predictive capability of the best performing models was excellent (&gt;90% and &gt;85% for training and test set respectively); and (3) there was a substantial lack of agreement among model indications in the individual patient. CONCLUSIONS: The selection of variables and predictive models are not independent processes and may affect the performance of risk scoring systems or algorithms designed to transfer general prognostic rules into clinical practice. Thus, caution must be used in translating model prediction into strict clinical indications.",M1
19785785,"[Diabetes mellitus in the Netherlands: estimate of the current disease burden and prognosis for 2025]OBJECTIVE: To estimate the number of people with diagnosed diabetes mellitus in the Netherlands in 2007 using a new method; to describe trends in the past; to predict the situation in 2025. DESIGN: Model calculations. METHODS: Based on five general practice records (Nijmegen Continuous Morbidity Registration [CMR], Netherlands Information Network of General Practice [LINH], Limburg Family Practice Registration Network [RNH-Limburg], Registration Network University Family Practices, Leiden and its environs [RNUH-LEO], and the transition project) the prevalence and incidence of diagnosed diabetes in the Netherlands in 2007 was estimated. Trends in the prevalence of diagnosed diabetes were estimated from the five records over the period 2000-2007. The prevalence of diagnosed diabetes in 2025 was estimated using the Dutch Chronic Diseases Model, which takes into account demographic developments and a further increase in obesity in the Netherlands in the future. RESULTS: In 2007, 740,000 persons (95% CI: 665,000-824,000) with diabetes were undergoing care. The incidence of new diabetes during 2007 was 71,000 (95% CI: 57,000-90,000). The prevalence of diagnosed diabetes increased by almost 80% in 2000-2007. The model <e>projection</e> resulted in an estimate of 1.3 million people with diagnosed diabetes in 2025, i.e. 8% of the Dutch population. There is a high level of uncertainty about these estimates. CONCLUSION: The increase in the number of diabetes patients in 2025 has consequences for care and will require measures to be taken in coming years in the areas of prevalence and care organisation.",M1
19698008,"Visions for required postgraduate year 1 residency training by 2020: a comparison of actual versus projected expansion.STUDY OBJECTIVE: To explore the feasibility of expanding postgraduate year (PGY) 1 residency training as proposed by the American College of Clinical Pharmacy and American Society of Health-System Pharmacists (ASHP). DESIGN: Prospective survey analysis. DATA SOURCE: The ASHP Online Residency Directory was used to obtain PGY1 residency program data from June 2007-June 2008. A four-item questionnaire was developed to survey future residency growth in identified PGY1 programs. MEASUREMENTS AND MAIN RESULTS: Survey data were aggregated to project future residency growth in the  next few years  (range 2-4 yrs). Estimates of Doctor of Pharmacy (Pharm.D.) graduates to 2020 were used to calculate PGY1 residency positions and average annual growth rates required if 24% (scenario 1), 75% (scenario 2), and 100% (scenario 3) of pharmacy graduates pursue PGY1 residencies. Projected growth from the survey was compared with required growth under the scenarios, as well as with actual PGY1 growth from June 2007-June 2008. A subset analysis of college-affiliated and Veterans Affairs (VA) PGY1 programs was performed. The survey response rate was 57%. The PGY1 positions were projected to increase by 8.3%/year in the next few years or 4193 positions by 2020 if 8.3% growth is sustained. Required average annual growth rates for scenarios 1-3, respectively, were 4.8%, 14.4%, and 17%. Projected growth rates were sufficient to achieve only scenario 1 in which 24% (percentage of pharmacists estimated to practice in health systems) of graduates pursue PGY1 residencies. The actual PGY1 growth rate from 2007-2008 was 9.9%. The VA positions actually grew at 12.5% and college-affiliated positions grew at 8.3% over this period, whereas VA <e>projection</e> for growth was 4.8% and college-affiliated projection was 9.6%. CONCLUSION: Having sufficient PGY1 residency positions available for all Pharm.D. graduates by 2020 would require at least a 17% average annual growth rate, whereas survey respondents predicted 8.3%. Actual residency growth in 2008 (9.9%) exceeded survey projections. Study data suggest that the ASHP aspiration to have all graduates who pursue health-system pharmacy careers complete a PGY1 residency is achievable. Higher percentages, 75% or 100%, are only partially achievable. Continued growth of college-affiliated residencies and sustained growth in the VA system are important to achieving residency growth goals.",M1
19650718,"Time trend of mesothelioma incidence in the United States and <e>projection</e> of future cases: an update based on SEER data for 1973 through 2005.The time trend of mesothelioma incidence and projections of future cases provide useful information for analyzing proposed public health interventions where asbestos exposure may be an issue, evaluating regulatory proposals, and estimating the remaining potential costs of programs to compensate individuals with asbestos-related diseases. We used the April 2008 release of Surveillance, Epidemiology, and End Results (SEER) data, which covers 1973 through 2005, to analyze the time trends in age-adjusted mesothelioma incidence and to estimate an age and birth-cohort model to project the number of future mesothelioma cases. The increase in the number of SEER cancer registries from 13 to 17 in 2000 had little effect on the time pattern of age-adjusted mesothelioma incidence, and the pattern over time of pleural mesothelioma was indistinguishable from the pattern for total mesothelioma defined as sum of pleural and peritoneal cases. Our analysis suggests that the SEER registries viewed as a sample of the U.S. population over-represents high mesothelioma incidence, a fact that we accounted for in our projections. For 2008 we estimate approximately 2,400 cases, with asbestos the likely cause in 58%. We project that asbestos will no longer be a factor in mesothelioma cases after the year 2042. For 2008 through 2042, we estimate slightly more than 68,000 total cases, with asbestos the likely cause in 34%.",M1
19372029,"Stability analysis of static recurrent neural networks using delay-partitioning and <e>projection</e>.This paper introduces an effective approach to studying the stability of recurrent neural networks with a time-invariant delay. By employing a new Lyapunov-Krasovskii functional form based on delay partitioning, novel delay-dependent stability criteria are established to guarantee the global asymptotic stability of static neural networks. These conditions are expressed in the framework of linear matrix inequalities, which can be verified easily by means of standard software. It is shown, by comparing with existing approaches, that the delay-partitioning projection approach can largely reduce the conservatism of the stability results. Finally, two examples are given to show the effectiveness of the theoretical results.",M1
19357241,"<e>Projection</e> of the number of patients with tuberculosis in the Netherlands in 2030.BACKGROUND: The incidence of tuberculosis (TB) in The Netherlands has been declining for many years. For the purpose of planning future TB-control activities we estimated the number of TB patients in The Netherlands up to 2030. METHODS: Statistical modelling for 5-year age groups up to 2030 distinguishing among Dutch TB patients infected by a Dutch source (survival model), non-Dutch patients (projection of the proportion of culture-positive patients among first generation immigrants) and Dutch patients infected by a non-Dutch source (fixed relation with the number of non-Dutch patients). RESULTS: The number of TB patients is expected to decline to 877 in 2030. After 2010 declines may slow due to an increase in non-Dutch TB patients. This increase cancels out the decrease of Dutch TB patients infected by a Dutch source. In 2030, 85% of all TB patients are expected to be non-Dutch. In the four largest counties and the rest of The Netherlands, this will be 89 and 76%, respectively. CONCLUSION: The decrease in TB incidence observed over many years may stall from 2010 onwards because of an estimated increase in non-Dutch TB patients. Given their disproportionate burden, future TB-control activities should prioritize the health of first-generation immigrants. Enhanced TB control in the countries of origin and new diagnostic tests to identify those at high risk of developing active TB could help in reducing further the TB incidence in the Netherlands. Future TB-control efforts must be organized in a flexible way to be able to incorporate changing epidemiological situations.",M1
19161472,"Inferring the past to predict the future: climate modelling predictions and phylogeography for the freshwater gastropod Radix balthica (Pulmonata, Basommatophora).Understanding the impact of past climatic events on species may facilitate predictions of how species will respond to future climate change. To this end, we sampled populations of the common pond snail Radix balthica over the entire species range (northwestern Europe). Using a recently developed analytical framework that employs ecological niche modelling to obtain hypotheses that are subsequently tested with statistical phylogeography, we inferred the range dynamics of R. balthica over time. A Maxent modelling for present-day conditions was performed to infer the climate envelope for the species, and the modelled niche was used to hindcast climatically suitable range at the last glacial maximum (LGM) c. 21,000 years ago. Ecological niche modelling predicted two suitable areas at the LGM within the present species range. Phylogeographic model selection on a COI mitochondrial DNA data set confirmed that R. balthica most likely spread from these two disjunct refuges after the LGM. The match observed between the potential range of the species at the LGM given its present climatic requirements and the phylogeographically inferred refugial areas was a clear argument in favour of niche conservatism in R. balthica, thus allowing to predict the future range. The subsequent <e>projection</e> of the potential range under a global change scenario predicts a moderate pole-ward shift of the northern range limits, but a dramatic loss of areas currently occupied in France, western Great Britain and southern Germany.",M1
