@RELATION C0014792_C0014772

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20509331,"Advanced oxidation protein products and total antioxidant activity in colorectal carcinoma.The present study was designed to assess the levels of advanced oxidation protein products (AOPP) and percent hemolysis (that indirectly indicates the degree of membrane damage secondary to lipid peroxidation) in colorectal carcinoma. Glutathione (GSH), total thiols and albumin were measured to determine the antioxidant status. Considering the dynamic interaction between various antioxidants in the body, we measured the total antioxidant activity (AOA). Globulin was measured to assess the inflammatory response secondary to oxidative stress. Investigations were conducted in 45 cases of recently diagnosed primary colorectal adenocarcinoma. As control, 45 age and sex matched healthy persons were chosen. GSH was estimated in whole blood, percent hemolysis in <e>RBC</e> suspension and other parameters in plasma. We observed a very high significant increase (P&lt;0.001) in AOPP, percent hemolysis and a highly significant increase (P&lt;0.01) in globulin in colorectal carcinoma. We observed a very high significant decrease (P&lt;0.001) in whole blood GSH, total thiols, albumin, AOA and a significant decrease (P&lt;0.05) in plasma GSH in colorectal carcinoma. A very high significant negative correlation between percent hemolysis and AOA and an apparent negative correlation between total thiols and AOPP was seen in colorectal carcinoma. This demonstrated oxidative stress, decreased antioxidant status and secondary inflammatory response in colorectal carcinoma.",M1
20499836,"Blood compatibility of polyamidoamine dendrimers and erythrocyte protection.Dendrimers are global macromolecules with promising biomedical application. In order to investigate their blood compatibility, different generations of polyamidoamine (PAMAM) dendrimers terminated with different types of surface functional groups were incubated with red blood cells (<e>RBC</e>) for time course of haemolysis assay and RBC morphology observation. Cationic PAMAM dendrimers demonstrated obvious generation, concentration and time dependent haemolysis while anionic and neutral PAMAM dendrimers were much less hemolytic. The surface amino groups and the polymeric structure of cationic PAMAM dendrimers played pivotal roles in haemolysis induction; meanwhile the basic pH of cationic PAMAM solutions was an inneglectable factor. Due to the presence of plasma proteins in abundance, whole blood was found tolerable to haemolysis induced by dendrimers, possibly through complex formation of plasma proteins with cationic PAMAM dendrimers. It was deduced that poly-carboxylic acids may have the similar effect as that of plasma proteins. So by means of pH adjustment to the physical 7.4, reduction of administration dose and the combined use of plasma protein (or other protective additives such as negatively charged molecules), the blood compatibility and even biocompatibility of cationic dendrimers may be enhanced to  safe  level.",M1
20489133,"Monitoring of biochemical status in children with Duarte galactosemia: utility of galactose, galactitol, galactonate, and galactose 1-phosphate.BACKGROUND: Duarte galactosemia (DG) is frequently detected in newborn-screening programs. DG patients do not manifest the symptoms of classic galactosemia, but whether they require dietary galactose restriction is controversial. We sought to assess the relationships of selected galactose metabolites (plasma galactose, plasma galactitol, erythrocyte (<e>RBC</e>) galactitol, RBC galactonate, and urine galactitol and galactonate) to RBC galactose 1-phosphate (Gal-1-P), dietary galactose intake, and neurodevelopmental/clinical outcomes in DG children. METHODS: We studied 30 children 1-6 years of age who had DG galactosemia and were on a regular diet. All participants underwent a physical and ophthalmologic examination and a neurodevelopmental assessment. RBC galactitol, RBC galactonate, RBC Gal-1-P, plasma galactose, plasma galactonate, and urine galactitol and galactonate concentrations were measured. RESULTS: RBC galactitol and galactonate concentrations were about 2 and 6 times higher, respectively, than control values. Plasma galactose and galactitol concentrations were also about twice the control values. The mean values for RBC Gal-1-P and urine galactitol were within the reference interval. We found a relationship between plasma and urine galactitol concentrations but no relationship between RBC galactose metabolites and urine galactitol. There was a significant relationship between galactose intake and RBC galactose metabolites, especially RBC galactitol (P &lt; 0.0005) and RBC galactonate (P &lt; 0.0005). Galactose intake was not related to the urine galactitol, plasma galactose, or plasma galactitol concentration. RBC galactitol, RBC galactonate, plasma galactose, plasma galactitol, and urine galactonate concentrations showed no relationship with clinical or developmental outcomes. CONCLUSIONS: DG children on a regular diet have RBC Gal-1-P concentrations within the reference interval but increased concentrations of other galactose metabolites, including RBC galactitol and RBC galactonate. These increased concentrations correlate with galactose intake and neither cause any developmental or clinical pathology during early childhood nor oblige a lactose-restricted diet.",M1
20462428,"Chronic and acute effects of walnuts on antioxidant capacity and nutritional status in humans: a randomized, cross-over pilot study.BACKGROUND: Compared with other common plant foods, walnuts (Juglans regia) are consistently ranked among the highest in antioxidant capacity. In vitro, walnut polyphenols inhibit plasma and LDL oxidation, while in animal models they lower biomarkers of oxidative stress and raise antioxidant capacity. A limited number of human feeding trials indicate that walnuts improve some measures of antioxidant status, but not others. METHODS: A 19 wk, randomized crossover trial was conducted in 21 generally healthy men and postmenopausal women &gt; or = 50 y to study the dose-response effects of walnut intake on biomarkers of antioxidant activity, oxidative stress, and nutrient status. Subjects were randomized to receive either 21 or 42 g raw walnuts/d during each 6 wk intervention phase with a 6 wk washout between phases. Subjects were instructed to consume their usual diet, but refrain from eating any other tree nuts, seeds, peanuts, or ellagitannin-rich foods during the entire study, and other polyphenol-rich foods for 2 d prior to each study visit. RESULTS: Compared to baseline levels, red blood cell (<e>RBC</e>) linoleic acid and plasma pyridoxal phosphate (PLP) were significantly higher after 6 wk with 42 g/d walnuts (P &lt; 0.05 for both). Overall, changes in plasma total thiols, and other antioxidant biomarkers, were not significant with either walnut dose. However, when compared to fasting levels, plasma total thiols were elevated within 1 h of walnut consumption with both doses during the baseline and end visits for each intervention phase (P &lt; 0.05 for all). Despite the observed increase in RBC linoleic and linolenic acids associated with walnut consumption, this substrate for lipid peroxidation only minimally affected malondialdehyde (MDA) and antioxidant capacity. The proportional changes in MDA and Oxygen Radical Absorbance Capacity (ORAC) were consistent with a dose-response effect, although no significant within- or between-group differences were observed for these measures. CONCLUSIONS: Walnut consumption did not significantly change the plasma antioxidant capacity of healthy, well-nourished older adults in this pilot study. However, improvements in linoleic acid and pyridoxal phosphate were observed with chronic consumption, while total plasma thiols were enhanced acutely. Future studies investigating the antioxidant effects of walnuts in humans are warranted, but should include either a larger sample size or a controlled feeding intervention. TRIAL REGISTRATION: ClinicalTrials.gov: NCT00626691.",M1
20450877,"High fat diets modulate nitric oxide biosynthesis and antioxidant defence in red blood cells from C57BL/6 mice.The consumption of a high fat (HF) diet is considered a risk factor for the development of obesity. On the other hand, a monounsaturated HF diet has beneficial cardiometabolic effects. Since nitric oxide (NO) modulates vascular homeostasis, we investigate whether HF diets that vary in fatty acid composition have a different effect on theL-arginine-NO pathway and oxidative stress in C57BL/6 mice red blood cells (<e>RBC</e>). The olive oil diet induced an activation of L-arginine transport compared to other diets. NO synthase (NOS) activity was increased in all unsaturated HF diets (olive, sunflower and canola oils). Moreover, the expression of endothelial NOS (eNOS) and inducible NOS (iNOS) was increased in the olive oil group. In contrast, NOS activity from the lard group was decreased associated with diminished l-arginine transport. Olive oil also induced superoxide dismutase activation. Inhibition of the L-arginine-NO pathway in the lard group could contribute to cardiovascular diseases, while unsaturated HF diets may have a protector effect via enhanced NO bioavailability.",M1
20435199,"Red blood cell storage duration and mortality in patients undergoing percutaneous coronary intervention.BACKGROUND: Blood transfusion has been associated with an increased mortality in patients undergoing percutaneous coronary intervention (PCI). Although the reasons for this remain unclear, it may be related to the structural and functional changes occurring within red blood cells (<e>RBCs</e>) during storage. We investigated whether RBC storage duration was associated with mortality in patients requiring transfusion after PCI. METHODS: We collected data on all RBC transfusions occurring within 10 days of PCI (excluding those related to cardiac surgery) using the British Columbia Cardiac Registry and Central Transfusion Registry. Transfusion details were analyzed according to 30-day survival. RESULTS: From a total of 32,580 patients undergoing PCI, 909 (2.8%) patients received RBCs with a mean storage duration of 25 +/- 10 days. In these 909 patients, mean transfusion volumes were lower in survivors (2.8 +/- 2.1 vs 3.8 +/- 2.9 U, P = .002) than those who died within 30 days. In a multivariate analysis to adjust for baseline risk, mean RBC storage age (HR 1.02 [95% CI 1.01-1.04], P = .002) and transfusion volume (HR 1.26 [95% CI 1.18-1.34], P &lt; .001) both predicted 30-day mortality. Transfused patients who received only older blood (RBC min age &gt;28 days) appeared to be at greater risk of death (HR 2.49 [95% CI 1.45-4.25], P = .001). CONCLUSION: Red blood cell transfusion is associated with increased 30-day mortality in patients undergoing PCI. Although current transfusion practice permits RBC storage for up to 42 days, the use of older red cells may pose an additional hazard to this patient group.",M1
20430017,"Effect of thiol drugs on tert-butyl hydroperoxide induced luminol chemiluminescence in human erythrocytes, erythrocyte lysate, and erythrocyte membranes.The paper investigates the effect of thiol drugs (RSH) under oxidative stress condition using luminol-enhanced chemiluminescence technique. The examinations included N-acetylcysteine (NAC), N-acetylpenicillamine (NAP), penicillamine (PEN), mesna (MES), and tiopronin (TPR). The model systems contained isolated human erythrocytes (<e>RBC</e>), erythrocyte lysates (LYS) or erythrocyte membranes (MEM) exposed to tert-butyl hydroperoxide (t-BuOOH). Under the influence of RSH, a bimodal character of some experimental chemiluminescence curves was observed and the kinetic solution was considered as the sum of two logistic-exponential processes. These chemiluminescence changes probably reflected two connected processes--scavenging by RSH of the t-BuOOH-induced free radicals and simultaneous generation of thiol-derived secondary free radicals. Individual differences in thiols interaction showed a multivariate set of the kinetic curve descriptors. The Principal Component Analysis (PCA) well distinguished subsets of RSH influence in systems with RBC or LYS. Generally, the action of NAC was exclusively pro-oxidant in both systems, with RBC and LYS. The behaviour of MES or NAP in these systems was also pro-oxidant but many times less prominent than NAC. Under the influence of TPR a dramatic switch in the anti-oxidant effect was observed in system with RBC to very pro-oxidant effect in LYS. The influence of PEN was analogical to TPR but very weak. This experimental model together with kinetic solution of the unique bimodal chemiluminescence curves, and PCA, supply new insights to the dual (anti- and pro-oxidant) effects of thiol drugs under oxidative stress condition.",M1
20415140,"Biochemical changes of hemoglobin and osmotic fragility of red blood cells in high fat diet rabbits.The aim of this study was to assess the effects of hyperlipidemia on auto-oxidation rate of hemoglobin (Hb; absorbance at 630 nm versus time), Hb derivatives and osmotic fragility of Red Blood Cells (<e>RBCs</e>). These parameters were measured in twenty five 12-week-old male New Zealand white rabbits fed on a High Fat Diet (HFD) for a feeding period of 10 weeks. We found that Hb concentration and RBC count were significantly decreased while white blood cell and platelet counts were significantly increased in HFD rabbits compared with control rabbits. The Total Cholesterol (TC) was significantly increased (p &lt; 0.01) in HFD rabbits compared with control rabbits with percentage normalized change of 1198% and Low Density Lipoprotein Cholesterol (LDLC) significantly increased (p &lt; 0.01) in HFD rabbits compared with control rabbits with percentage normalized change of 1591%. In HFD rabbits, oxyhemoglobin (HbO2) percentage was significantly decreased while met-hemoglobin (Met-Hb) percentage was significantly increased compared with control rabbits. The auto-oxidation rate was significantly higher in HFD rabbits compared with controls. Hyperlipidemia induced an increase in the osmotic fragility of RBCs and a decrease in their membrane elasticity compared with controls. This study suggests that hyperlipidemia may produce reactive oxygen species and other free radicals which increase the auto-oxidation rate of Hb and promote the conversion of HbO2 and the fractions of unstable Hb molecules to Met-Hb and carboxyhemoglobin. Increased platelet activation in hyperlipidemic rabbits may be of pathophysiological importance for the progression of atherosclerosis and thromboembolic complications. The increase in osmotic fragility of RBCs may be attributed to the disturbance of ionic motion through the membrane and the change in molecular properties of the membrane macromolecules.",M1
20411955,"Conserved high activity binding peptides are involved in adhesion of two detergent-resistant membrane-associated merozoite proteins to red blood cells during invasion.Detergent resistant membranes (DRMs) of Plasmodium falciparum merozoites contain a large number of glycosylphosphatidylinositol (GPI)-anchored proteins that have been implicated in interactions between merozoites and red blood cells (<e>RBCs</e>). In this study, two cysteine-rich proteins anchored by GPI to merozoite DRMs (Pf92 and Pf113) were studied with the aim of identifying regions actively involved in RBC invasion. By means of binding assays, high-activity binding peptides (HABPs) with a large number of binding sites per RBC were identified in Pf92 and Pf113. The nature of the RBC surface receptors for these HABPs was explored using enzyme-treated RBCs and cross-linking assays. Invasion inhibition and immunofluorescence localization studies suggest that Pf92 and Pf113 are involved in RBC invasion and that their adhesion to RBCs is mediated by such HABPs. Additionally, polymorphism and circular dichroism studies support their inclusion in further studies to design components of an antimalarial vaccine.",M1
20410503,"Sustained thromboprophylaxis mediated by an <e>RBC</e>-targeted pro-urokinase zymogen activated at the site of clot formation.Plasminogen activators (PAs) are used to treat life-threatening thrombosis, but not for thromboprophylaxis because of rapid clearance, risk of bleeding, and central nervous system (CNS) toxicity. We describe a novel strategy that may help to overcome these limitations by targeting a thrombin-activated PA pro-drug to circulating red blood cells (RBCs). We fused a single chain antibody (scFv Ter-119) that binds to mouse glycophorin A (GPA) with a variant human single-chain low molecular weight urokinase construct that can be activated selectively by thrombin (scFv/uPA-T). scFv/uPA-T bound specifically to mouse RBCs without altering their biocompatibility and retained its zymogenic properties until converted by thrombin into an active 2-chain molecule. As a result, RBC-bound scFv/uPA-T caused thrombin-induced fibrinolysis. One hour and 48 hours after intravenous (IV) injection in mice, approximately 70% and approximately 35% of scFv/uPA-T was retained in the blood, respectively, and approximately 95% of the circulating scFv/uPA-T remained bound to RBCs. A single IV injection of scFv/uPA-T provided effective prophylaxis against arterial and venous thrombosis for up to 24 hours. Thus, prophylactic delivery of RBC-targeted PA pro-drugs activated selectively at the site of clot formation represents a new approach to prevent thrombosis in clinical settings where the risk of clotting is high.",M1
20402221,"[Clinical and hematologic abnormalities in children health, caused by exposure to lead]The article deals with clinical results of medical examination and treatment of children residents of industrial districts in Sverdlovsk area, with various methods of analysis determining relationships between heavy metals, metalloids and marker anamnestic data and hematologic abnormalities (changes in <e>RBC</e>, platelets and reticulocytes counts).",M1
20400635,"Use it or lose it? Sablefish, Anoplopoma fimbria, a species representing a fifth teleostean group where the betaNHE associated with the red blood cell adrenergic stress response has been secondarily lost.Like most teleosts, sablefish (Anoplopoma fimbria Pallas 1814) blood exhibits a moderate Root effect (~35% maximal desaturation), where a reduction in blood pH dramatically reduces O(2) carrying capacity, a mechanism important for oxygenating the eye and filling the swim bladder (SB) in teleosts. Although sablefish lack a SB, we observed a well-defined choroid rete at the eye. The adrenergically mediated cell swelling typically associated with a functional red blood cell (<e>RBC</e>) beta-adrenergic Na(+)/H(+) exchanger (betaNHE), which would normally protect RBC pH, and thus O(2) transport, during a generalized acidosis, was not observed in sablefish blood. Neither isoproterenol (a beta-agonist) nor 8-bromo cAMP could elicit this response. Furthermore, RBC osmotic shrinkage, known to stimulate NHEs in general and betaNHE in other teleosts such as trout and flounder, resulted in no significant regulatory volume increase (RVI), further supporting the absence of a functional RBC betaNHE. The onset of the Root effect occurs at a much lower RBC pH (6.83-6.92) than in other teleosts, and thus RBC betaNHE may not be required to protect O(2) transport during a generalized acidosis in vivo. Phylogenetically, sablefish may represent a fifth group of teleosts exhibiting a secondary reduction or loss of betaNHE activity. However, sablefish have not lost the choroid rete at the eye (unlike in the other four groups), which may still function with the Root effect to oxygenate the retina, but the low pH onset of the Root effect may ensure haemoglobin (Hb)-O(2) binding is not compromised at the respiratory surface during a general acidosis in the absence of RBC betaNHE. The sablefish may represent an anomaly within the framework of Root effect evolution, in that they possess a moderate Root effect and a choroid rete at the eye, but lack the RBC betaNHE and the SB system.",M1
20389584,"Comparison of the discrete dipole approximation and the discrete source method for simulation of light scattering by red blood cells.The discrete sources method (DSM) and the discrete dipole approximation (DDA) were compared for simulation of light scattering by a red blood cell (<e>RBC</e>) model. We considered RBCs with diameters up to 8 mum (size parameter up to 38), relative refractive indices 1.03 and 1.06, and two different orientations. The agreement in the angle-resolved S(11) element of the Mueller matrix obtained by these methods is generally good, but it deteriorates with increasing scattering angle, diameter and refractive index of a RBC. Based on the DDA simulations with very fine discretization (up to 93 dipoles per wavelength) for a single RBC, we attributed most of the disagreement to the DSM, which results contain high-frequency ripples. For a single orientation of a RBC the DDA is comparable to or faster than the DSM. However, the relation is reversed when a set of particle orientations need to be simulated at once. Moreover, the DSM requires about an order of magnitude less computer memory. At present, application of the DSM for massive calculation of light scattering patterns of RBCs is hampered by its limitations in size parameter of a RBC due to the high number of harmonics used for calculations.",M1
20365616,"Polarizability of red blood cells with an anisotropic membrane.We predict the complex polarizability of a realistic model of a red blood cell (<e>RBC</e>), with an inhomogeneous dispersive and anisotropic membrane. In this model, the frequency-dependent complex electrical parameters of the individual cell layers are described by the Debye equation while the dielectric anisotropy of the cell membrane is taken into account by the different permittivities along directions normal and tangential to the membrane surface. The realistic shape of the RBC is described in terms of the Jacobi elliptic functions. To calculate the polarizability, we evoke the effective dipole moment method to determine the cell internal electric field distribution, employing an adaptive finite-element numerical approach. We have furthermore investigated the influence of the anisotropic membrane and dispersive electrical parameters of each individual cell layer on the total complex polarizability. Our findings suggest that the individual layer contribution depends on two factors: the volume of the layer and the associated induced electric field, which in turn is influenced by other layers of the cell. These results further show that the average polarizability spectra of the cell are significantly impacted by the anisotropy and associated dispersion of the cellular compartments.",M1
20365402,"Effect of the natural state of an elastic cellular membrane on tank-treading and tumbling motions of a single red blood cell.A two-dimensional computer simulation model was proposed for tank-treading and tumbling motions of an elastic biconcave red blood cell (<e>RBC</e>) under steady shear flow. The RBC model consisted of an outer cellular membrane and an inner fluid; the membrane's elastic properties were modeled by springs for stretch/compression and bending to consider the membrane's natural state in a practical manner. Membrane deformation was coupled with incompressible viscous flow of the inner and outer fluids of the RBC using a particle method. The proposed simulation model was capable of reproducing tank-treading and tumbling motions of an RBC along with rotational oscillation, which is the transition between the two motions. In simulations using the same initial RBC shape with different natural states of the RBC membrane, only tank-treading motion was exhibited in the case of a uniform natural state of the membrane, and a nonuniform natural state was necessary to generate the rotational oscillation and tumbling motion. Simulation results corresponded to published data from experimental and computational studies. In the range of simulation parameters considered, the relative membrane elastic force versus fluid viscous force was approximately 1 at the transition when the natural state nonuniformity was taken into account in estimating the membrane elastic force. A combination of natural state nonuniformity and elastic spring constant determined that change in the RBC deformation at the transition is that from a large compressive deformation to no deformation, such as rigid body.",M1
20357243,"The IgG-specific endoglycosidase EndoS inhibits both cellular and complement-mediated autoimmune hemolysis.EndoS from Streptococcus pyogenes is an immunomodulating enzyme that specifically hydrolyzes glycans from human immunoglobulin G and thereby affects antibody effector functions. Autoimmune hemolytic anemia is caused by antibody-mediated red blood cell (<e>RBC</e>) destruction and often resists treatment with corticosteroids that also cause frequent adverse effects. We show here that anti-RhD (anti-D) and rabbit anti-human-RBC antibodies (anti-RBC) mediated destruction of RBC, ie, phagocytosis, complement activation, and hemolysis in vitro and in vivo was inhibited by EndoS. Phagocytosis by monocytes in vitro was inhibited by pretreatment of anti-D with EndoS before sensitization of RBCs and abrogated by direct addition of EndoS to blood containing sensitized RBCs. The toxic effects of monocytes stimulated with anti-D-sensitized RBCs, as measured by interleukin-8 secretion and oxygen metabolite production, was restrained by EndoS. Agglutination of RBCs and complement-mediated hemolysis in vitro in whole human blood caused by rabbit anti-RBCs was inhibited by EndoS. Development of anemia in mice caused by a murine anti-RBC immunoglobulin G2a monoclonal autoantibody and complement activation and erythrophagocytosis by Kupffer cells in the liver were reduced by EndoS. Our data indicate that EndoS is a potential therapeutic agent that might be evaluated as an alternative to current treatment regimens against antibody-mediated destruction of RBCs.",M1
20357184,"Dysregulation of L-arginine metabolism and bioavailability associated to free plasma heme.Severe Plasmodium falciparum malaria is associated with hypoargininemia, which contributes to impaired systemic and pulmonary nitric oxide (NO) production and endothelial dysfunction. Since intravascular hemolysis is an intrinsic feature of severe malaria, we investigated whether and by which mechanisms free heme [Fe(III)-protoporphyrin IX (FP)] might contribute to the dysregulation of L-arginine (L-Arg) metabolism and bioavailability. Carrier systems  y+  [or cationic amino acid transporter (CAT)] and  y+L  transport L-Arg into red blood cells (<e>RBC</e>), where it is hydrolyzed to ornithine and urea by arginase (isoform I) or converted to NO* and citrulline by endothelial nitric oxide synthase (eNOS). Our results show a significant and dose-dependent impairment of L-Arg transport into RBC pretreated with FP, with a strong inhibition of the system carrier y+L. Despite the impaired L-Arg influx, higher amounts of L-Arg-derived urea are produced by RBC preexposed to FP caused by activation of RBC arginase I. This activation appeared not to be mediated by oxidative modifications of the enzyme. We conclude that L-Arg transport across RBC membrane is impaired and arginase-mediated L-Arg consumption enhanced by free heme. This could contribute to reduced NO production in severe malaria.",M1
20351261,"Measurement of red blood cell mechanics during morphological changes.The human red blood cell (<e>RBC</e>) membrane, a fluid lipid bilayer tethered to an elastic 2D spectrin network, provides the principal control of the cell's morphology and mechanics. These properties, in turn, influence the ability of RBCs to transport oxygen in circulation. Current mechanical measurements of RBCs rely on external loads. Here we apply a noncontact optical interferometric technique to quantify the thermal fluctuations of RBC membranes with 3 nm accuracy over a broad range of spatial and temporal frequencies. Combining this technique with a new mathematical model describing RBC membrane undulations, we measure the mechanical changes of RBCs as they undergo a transition from the normal discoid shape to the abnormal echinocyte and spherical shapes. These measurements indicate that, coincident with this morphological transition, there is a significant increase in the membrane's shear, area, and bending moduli. This mechanical transition can alter cell circulation and impede oxygen delivery.",M1
20338501,"Red blood cell contamination of the final cell product impairs the efficacy of autologous bone marrow mononuclear cell therapy.OBJECTIVES: The aim of this study was to identify an association between the quality and functional activity of bone marrow-derived progenitor cells (BMCs) used for cardiovascular regenerative therapies and contractile recovery in patients with acute myocardial infarction included in the placebo-controlled REPAIR-AMI (Reinfusion of Enriched Progenitor cells And Infarct Remodeling in Acute Myocardial Infarction) trial. BACKGROUND: Isolation procedures of autologous BMCs might affect cell functionality and therapeutic efficacy. METHODS: Quality of cell isolation was assessed by measuring the total number of isolated BMCs, CD34+ and CD133+ cells, their colony-forming unit (CFU) and invasion capacity, cell viability, and contamination of the final BMC preparation with thrombocytes and red blood cells (<e>RBCs</e>). RESULTS: The number of RBCs contaminating the final cell product significantly correlated with reduced recovery of left ventricular ejection fraction 4 months after BMC therapy (p = 0.007). Higher numbers of RBCs in the BMC preparation were associated with reduced BMC viability (r = -0.23, p = 0.001), CFU capacity (r = -0.16, p = 0.03), and invasion capacity (r = -0.27, p &lt; 0.001). To assess a causal role for RBC contamination, we coincubated isolated BMCs with RBCs for 24 h in vitro. The addition of RBCs dose-dependently abrogated migratory capacity (p = 0.003) and reduced CFU capacity (p &lt; 0.05) of isolated BMCs. Neovascularization capacity was significantly impaired after infusion of BMCs contaminated with RBCs, compared with BMCs alone (p &lt; 0.05). Mechanistically, the addition of RBCs was associated with a profound reduction in mitochondrial membrane potential of BMCs. CONCLUSIONS: Contaminating RBCs affects the functionality of isolated BMCs and determines the extent of left ventricular ejection fraction recovery after intracoronary BMC infusion in patients with acute myocardial infarction. These results suggest a bioactivity response relationship very much like a dose-response relationship in drug trials. (Reinfusion of Enriched Progenitor cells and Infarct Remodeling in Acute Myocardial Infarction [REPAIR-AMI]; NCT00279175).",M1
20336519,"Directed differentiation of red blood cells from human embryonic stem cells.Human embryonic stem cells (hESC) represent a new source of stem cells that can be propagated and expanded in vitro indefinitely, providing a potentially inexhaustible and donorless source of cells for human therapy. The ability to create banks of hESC lines with matched or reduced incompatibility could potentially reduce or eliminate the need for immunosuppressive drugs and/or immunomodulatory protocols altogether, for example, O-type RhD(-) lines for generation of universal red blood cells (<e>RBC</e>). Hematopoietic differentiation of hESCs has been extensively investigated in vitro, and hematopoietic precursors as well as differentiated progeny representing erythroid, myeloid, macrophage, megakaryocytic, and lymphoid lineages have been identified in differentiating hESC cultures. Previous studies also generated primitive erythroid cells from hESCs by embryoid body (EB) formation and coculturing with stromal cells. However, the efficient and controlled differentiation of hESCs into homogeneous RBC populations with oxygen-carrying capacity has not been previously achieved. In this chapter, we describe a robust system that can efficiently generate large numbers of hemangioblasts from multiple hESC lines using well-defined conditions and produce functional homogeneous RBCs with oxygen-carrying capacity in large scale. The homogeneous erythroid cells can be used for further mechanism studies.",M1
20227767,"Hostility of drug-free patients with schizophrenia and n-3 polyunsaturated fatty acid levels in red blood cells.Many reports suggest that n-3 polyunsaturated fatty acids (PUFAs) influence the symptoms of psychiatric disorders. Moreover, it has also been reported that n-3 PUFAs control aggression and hostility. Acute symptoms of schizophrenia such as aggression can be a formidable clinical problem resulting in hospitalization. However, few investigations have determined the relationships between acute symptoms of drug-free schizophrenia and n-3 PUFAs. We recruited 75 inpatients with acute drug-free schizophrenia admitted to Chiba Psychiatric Medical Center, an emergency psychiatric hospital. Blood was sampled immediately after admission. The red blood cell (<e>RBC</e>) fatty acid composition and hostility score of Positive and Negative Syndrome Scale (PANSS) scores were measured. Multiple regression analysis showed that the concentrations of eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA), and the ratio of EPA/arachidonic acid (AA) in RBC showed significant negative correlations with the hostility score of PANSS scores after adjustment for age and sex. AA, on the other hand, showed significant positive correlations. The tissue n-3 PUFA and n-6 PUFA levels were negatively and positively associated with the hostility score of PANSS scores, respectively, suggesting possible effects of PUFA levels on hostile behavior in patients with schizophrenia.",M1
20207810,"Defects in oxygen supply to skeletal muscle of prediabetic ZDF rats.In humans, prediabetes is characterized by marked increases in plasma insulin and near normal blood glucose levels as well as microvascular dysfunction of unknown origin. Using the extensor digitorum longus muscle of 7-wk inbred male Zucker diabetic fatty rats fed a high-fat diet as a model of prediabetes, we tested the hypothesis that hyperinsulinemia contributes to impaired O(2) delivery in skeletal muscle. Using in vivo video microscopy, we determined that the total O(2) supply to capillaries in the extensor digitorum longus muscle of prediabetic rats was reduced to 64% of controls with a lower O(2) supply rate per capillary and higher O(2) extraction resulting in a decreased O(2) saturation at the venous end of the capillary network. These findings suggest a lower average tissue Po(2) in prediabetic animals. In addition, we determined that insulin, at concentrations measured in humans and Zucker diabetic fatty rats with prediabetes, inhibited the O(2)-dependent release of ATP from rat red blood cells (<e>RBCs</e>). This inability to release ATP could contribute to the impaired O(2) delivery observed in rats with prediabetes, especially in light of the finding that the endothelium-dependent relaxation of resistance arteries from these animals is not different from controls and is not altered by insulin. Computational modeling confirmed a significant 8.3-mmHg decrease in average tissue Po(2) as well as an increase in the heterogeneity of tissue Po(2), implicating a failure of a regulatory system for O(2) supply. The finding that insulin attenuates the O(2)-dependent release of ATP from RBCs suggests that this defect in RBC physiology could contribute to a failure in the regulation of O(2) supply to meet the demand in skeletal muscle in prediabetes.",M1
