@RELATION C0851346_C1522449

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20445395,"<e>Radiation</e> combined injury: overview of NIAID research.The term  radiation combined injury  (RCI) is used to describe conditions where radiation injury is coupled with other insults such as burns, wounds, infection, or blunt trauma. A retrospective account of injuries sustained following the atomic bombing of Hiroshima estimates that RCI comprised approximately 65% of all injuries observed. Much of the research that has been performed on RCI was carried out during the Cold War and our understanding of the clinical problem RCI presents does not reflect the latest advances in medicine or science. Because concerns have increased that terrorists might employ radiological or nuclear weapons, and because of the likelihood that victims of such terrorism would experience RCI, the National Institute of Allergy and Infectious Diseases (NIAID), National Institutes of Health sponsored a meeting in 2007 to explore the state of the research in this area, identify programmatic gaps, and establish priorities for future research. As a follow-up to that meeting, in 2008 NIAID sponsored an initiative on RCI, leading to the award of several exploratory/developmental grants, the goals of which are to better understand biological synergy involved in RCI-induced damage, develop improved animal models for various type of RCI, and advance identification and testing of potential countermeasures to treat injuries that would be expected following a radiological or nuclear event. This program has already yielded new insight into the nature of combined injuries and has identified a number of novel and existing compounds that may be effective treatments for this condition.",M1
20445382,"Some considerations for mass casualty management in <e>radiation</e> emergencies.Radiation emergencies are rather new to humankind, as compared to other types of emergencies such as earthquakes, floods, or hurricanes. Fortunately, they are rare, but because of that, planning for response to large-scale radiation emergencies is least understood. Along with the specific technical aspects of response to radiation emergencies, there are some general guiding principles of responding to mass casualty events of any nature, as identified by the World Health Organization in its 2007 manual for mass casualty management systems. The paper brings forward such general considerations as applicable to radiation mass casualty events, including (1) clear lines of communication; (2) scalability of approach; (3) whole-of-health approach; (4) knowledge based approach; and (5) multisectoral approach. Additionally, some key considerations of planning for mass casualty management systems are discussed, namely, health systems surge capacity and networking, risk and resources mapping, and others.",M1
20445380,"Medical preparedness for <e>Radiation</e> Emergency for the Olympic Games, Beijing 2008.Facing the challenge from terrorism, separatism, and extremism, China spared no effort to be prepared for every possible threat in order to host a safe Olympic Games. According to its statutory role, the Ministry of Health (MOH) is in charge of medical preparedness and response for radiological and nuclear emergencies. Chinese Center for Medical Response to Radiation Emergency (CCMRRE), led by Office of Health Emergency, MOH, is responsible for organizing and conducting national medical assistance and response to radiation accidents and providing technical instruction and support for seven Olympic cities. To fulfill its responsibilities, CCMRRE has carried out a series of preparedness trainings and exercises. The aim of this report is to introduce the work of strengthening radiation emergency preparedness and share the experience obtained while preparing and organizing the 2008 Olympic Games in China.",M1
20445378,"WHO-REMPAN for global health security and strengthening preparedness and response to <e>radiation</e> emergencies.In response to the changing global environment and emerging new issues related to health security, the World Health Organization (WHO) is putting in place new tools for collective defense, such as the revised International Health Regulations (IHR) (2005). The new framework puts additional responsibilities on both Member States and WHO itself in order to effectively implement the IHR (2005) and react effectively in case of public health emergency events of any nature. Since its establishment in 1987, the Radiation Emergency Medical Preparedness and Assistance Network of WHO (WHO-REMPAN) has become an important asset for the organization's capacity to respond to radiation emergencies and to assist its Member States to strengthen their own response capacities. The paper describes in detail the framework for the WHO's role in preparedness and response to radiation emergencies, including Emergency Conventions and IHR (2005), and how the WHO-REMPAN, through its activities (i.e., technical guidelines development, training, education, research, and information sharing), provides a significant contribution to the organization's program of work towards achievement of the global health security goal.",M1
20445373,"12th Coordination and Planning Meeting of the WHO-REMPAN (<e>Radiation</e> Emergency Medical Preparedness and Assistance Network), Buenos Aires, 15-17 October 2008.",M1
20439762,"Design strategies to minimize the radiative efficiency of global warming molecules.A strategy is devised to screen molecules based on their radiative efficiency. The methodology should be useful as one additional constraint when determining the best molecule to use for an industrial application. The strategy is based on the results of a recent study where we examined molecular properties of global warming molecules using ab initio electronic structure methods to determine which fundamental molecular properties are important in assessing the radiative efficiency of a molecule. Six classes of perfluorinated compounds are investigated. For similar numbers of fluorine atoms, their absorption of <e>radiation</e> in the IR window decreases according to perfluoroethers &gt; perfluorothioethers approximately sulfur/carbon compounds &gt; perfluorocarbons &gt; perfluoroolefins &gt; carbon/nitrogen compounds. Perfluoroethers and hydrofluorethers are shown to possess a large absorption in the IR window due to (i) the C horizontal line O bonds are very polar, (ii) the C-O stretches fall within the IR window and have large IR intensity due to their polarity, and (iii) the IR intensity for C-F stretches in which the fluorine atom is bonded to the carbon that is bonded to the oxygen atom is enhanced due to a larger C horizontal line F bond polarity. Lengthening the carbon chain leads to a larger overall absorption in the IR window, though the IR intensity per bond is smaller. Finally, for a class of partially fluorinated compounds with a set number of electronegative atoms, the overall absorption in the IR window can vary significantly, as much as a factor of 2, depending on how the fluorine atoms are distributed within the molecule.",M1
20371905,"Evaluation of a <e>radiation</e> transport modeling method for radioactive bone cement.Spinal metastases are a common and serious manifestation of cancer, and are often treated with vertebroplasty/kyphoplasty followed by external beam radiation therapy (EBRT). As an alternative, we have introduced radioactive bone cement, i.e. bone cement incorporated with a radionuclide. In this study, we present a Monte Carlo radiation transport modeling method to calculate dose distributions within vertebrae containing radioactive cement. Model accuracy was evaluated by comparing model-predicted depth-dose curves to those measured experimentally in eight cadaveric vertebrae using radiochromic film. The high-gradient regions of the depth-dose curves differed by radial distances of 0.3-0.9 mm, an improvement over EBRT dosimetry accuracy. The low-gradient regions differed by 0.033-0.055 Gy/h/mCi, which may be important in situations involving prior spinal cord irradiation. Using a more rigorous evaluation of model accuracy, four models predicted the measured dose distribution within the experimental uncertainty, as represented by the 95% confidence interval of the measured log-linear depth-dose curve. The remaining four models required modification to account for marrow lost from the vertebrae during specimen preparation. However, the accuracy of the modified model results indicated that, when this source of uncertainty is accounted for, this modeling method can be used to predict dose distributions in vertebrae containing radioactive cement.",M1
20368255,"A new one-dimensional radiative equilibrium model for investigating atmospheric <e>radiation</e> entropy flux.A new one-dimensional radiative equilibrium model is built to analytically evaluate the vertical profile of the Earth's atmospheric radiation entropy flux under the assumption that atmospheric longwave radiation emission behaves as a greybody and shortwave radiation as a diluted blackbody. Results show that both the atmospheric shortwave and net longwave radiation entropy fluxes increase with altitude, and the latter is about one order in magnitude greater than the former. The vertical profile of the atmospheric net radiation entropy flux follows approximately that of the atmospheric net longwave radiation entropy flux. Sensitivity study further reveals that a 'darker' atmosphere with a larger overall atmospheric longwave optical depth exhibits a smaller net radiation entropy flux at all altitudes, suggesting an intrinsic connection between the atmospheric net radiation entropy flux and the overall atmospheric longwave optical depth. These results indicate that the overall strength of the atmospheric irreversible processes at all altitudes as determined by the corresponding atmospheric net entropy flux is closely related to the amount of greenhouse gases in the atmosphere.",M1
20308083,"Response to  <e>Radiation</e> therapeutic gain and Asian botanicals,  by Stephen Sagar.Numerous botanical agents, many of which are used in whole medical system practices (i.e. traditional Chinese medicine, Ayurvedic medicine, etc.), have been shown to exhibit radiomodifying effects on tumors and normal tissues in-vitro and in-vivo studies. Some of these agents can enhance the therapeutic gain of radiation therapy by either acting as a radiosensitizer to tumor cells and/or as a radioprotector to normal cells. Botanical agents are comprised of multiple phytochemical compounds that may work individually or synergistically to not only improve radiation therapy outcomes, but may also exhibit a variety of anti-cancer effects as well. It will be important to evaluate these botanicals for efficacy, tumor specificity, and safety profiles before they can be recommended during radiation therapy.",M1
20307182,"Geophysical and atmospheric evolution of habitable planets.The evolution of Earth-like habitable planets is a complex process that depends on the geodynamical and geophysical environments. In particular, it is necessary that plate tectonics remain active over billions of years. These geophysically active environments are strongly coupled to a planet's host star parameters, such as mass, luminosity and activity, orbit location of the habitable zone, and the planet's initial water inventory. Depending on the host star's <e>radiation</e> and particle flux evolution, the composition in the thermosphere, and the availability of an active magnetic dynamo, the atmospheres of Earth-like planets within their habitable zones are differently affected due to thermal and nonthermal escape processes. For some planets, strong atmospheric escape could even effect the stability of the atmosphere.",M1
