@RELATION C0035203_C0282636

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20496784,"[Gender characteristics of the external <e>respiration</e> violations in patients inflammatory bowel disease]Article presents results of the study pulmonary function tests in 88 patients (mean age 40.6 yr) with inflammatory bowel disease (IBD): 19 with Crohn's disease and 69 with ulcerative colitis, 44 women and 44 men, 40 smokers and 48 nonsmokers. A pulmonary function abnormality was present in 43 (48.9%) of the 88 patients. Pulmonary function abnormalities was present of small airway disease. The prevalence of pulmonary function abnormalities was significantly higher among womens than among mens: prevalence ratio was 1.5 (p &lt; 0.05). Smoking is increased risk of pulmonary function abnormalities in patients with UC.",M1
20474091,"[Estimation of the main indices of external <e>respiration</e> in patients with mediastinal compression syndrome, caused by mediastinal tumors]The results of estimation of the external respiration function (ERF) in 334 patients, treated in 1992-2007 in the clinic for mediastinal compression syndrome, caused by mediastinal tumors (MT), are adduced. There were delineated the main trends of investigation of the pulmonary ventilation capacity in patients with tracheobronchial obstruction, caused by MT. The concept of optimal estimation of ERF in such patients was formulated. The ERF indices estimation permits to determine the ways of operation security enhancement as well as prognosis conduction and prophylaxis of intra- and postoperative complications occurrence.",M1
20412482,"A new multiparameter approach to computational simulation for Fontan assessment and redesign.INTRODUCTION: Despite an abundance of prior Fontan simulation articles, there have been relatively few clinical advances that are a direct result of computational methods. We address a few key limitations of previous Fontan simulations as a step towards increasing clinical relevance. Previous simulations have been limited in scope because they have primarily focused on a single energy loss parameter. We present a multi-parameter approach to Fontan modeling that establishes a platform for clinical decision making and comprehensive evaluation of proposed interventions. METHODS: Time-dependent, 3-D blood flow simulations were performed on six patient-specific Fontan models. Key modeling advances include detailed pulmonary anatomy, catheterization-derived pressures, and MRI-derived flow with <e>respiration</e>. The following performance parameters were used to rank patients at rest and simulated exercise from best to worst performing: energy efficiency, inferior and superior vena cava (IVC, SVC) pressures, wall shear stress, and IVC flow distribution. RESULTS: Simulated pressures were well matched to catheterization data, but low Fontan pressure did not correlate with high efficiency. Efficiency varied from 74% to 96% at rest, and from 63% to 91% with exercise. Distribution of IVC flow ranged from 88%/12% (LPA/RPA) to 53%/47%. A  transcatheter  virtual intervention demonstrates the utility of computation in evaluating interventional strategies, and is shown to result in increased energy efficiency. CONCLUSIONS: A multiparameter approach demonstrates that each parameter results in a different ranking of Fontan performance. Ranking patients using energy efficiency does not correlate with the ranking using other parameters of presumed clinical importance. As such, current simulation methods that evaluate energy dissipation alone are not sufficient for a comprehensive evaluation of new Fontan designs.",M1
20400631,"Effect of acute exposure to low environmental calcium on <e>respiration</e> and locomotion in Lymnaea stagnalis (L.).Environmental calcium is a major factor affecting the distribution of freshwater gastropods. Whilst the effects on growth and morphology are fairly well understood, little is known about how calcium availability affects other aspects of gastropod biology. Lymnaea stagnalis (L.) is considered a calciphile and exhibits reduced growth and survival in environments containing less than 20 mg l(-1) Ca(2+). Many freshwater systems exhibit fluctuations in calcium concentration over time: where calcium levels are normally high there may be periods of low [Ca(2+)], for example following periods of flooding. Here we examined the effects of acute periods of low (20 mg l(-1)) environmental calcium on the physiology and behaviour of L. stagnalis, specifically measuring how locomotion and respiration differ between high calcium (80 mg l(-1)) and low calcium (20 mg l(-1)) environments. We found that in a low calcium environment crawling speed is reduced, and that this coincides with an increase in cutaneous respiration, indicating that the increased metabolic demands of calcium acquisition at low [Ca(2+)] reduce the energy available for locomotion. Conversely we found a decrease in aerial respiration in hypoxic conditions in the low calcium relative to the high calcium environment. In conclusion, we found that acute exposure to low environmental calcium has a highly significant effect on locomotion and respiration, which may have consequences for snail fitness when no morphological effects are apparent.",M1
20360132,"Genesis of multipeaked waves of the esophagus: repetitive contractions or motion artifact?Multipeaked waves (MPW) in the distal esophagus occur frequently in patients with esophageal spastic motor disorders and diabetes mellitus and are thought to represent repetitive esophageal contractions. We aimed to investigate whether the relative motion between a stationary pressure sensor and contracted peristaltic esophageal segment that moves with <e>respiration</e> leads to the formation of MPW. We mathematically modeled the effect of relative movement between a moving pressure segment and a fixed pressure sensor on the pressure waveform morphology. We conducted retrospective analysis of 100 swallow-induced esophageal contractions in 10 patients, who demonstrated &gt;30% MPW on high-resolution manometry (HRM) during standardized swallows. Finally, using HRM, we determined the effects of suspended breathing and hyperventilation on the waveform morphology in 10 patients prospectively. Modeling revealed that relative movement between a stationary pressure sensor and a moving contracted segment, contraction duration, contraction amplitude, respiratory frequency, and depth of respiration affects the waveform morphology. Retrospective analysis demonstrated a close temporal association with the onset of second and subsequent contractions in MPW with respiratory phase reversals. Numbers of peaks in MPW and respiratory phase reversals were closely related to the duration of contraction. In the prospective study, suspended breathing and hyperventilation resulted in a significant decrease and increase in the MPW frequency as well as the number of peaks within MPW respectively. We conclude that MPW observed during clinical motility studies are not indicative of repetitive esophageal contraction; rather they represent respiration-related movement of the contracted esophageal segment in relation to the stationary pressure sensor.",M1
20355325,"Difference of physiological characters in dark green islands and yellow leaf tissue of Cucumber mosaic virus (CMV)-infected Nicotiana tabacum leaves.Dark green islands (DGIs) are a common symptom of plants systemically infected with the mosaic virus. DGIs are clusters of green leaf cells that are free of virus but surrounded by yellow leaf tissue that is full of virus particles. In Cucumber mosaic virus (CMV)-infected Nicotiana tabacum leaves, the <e>respiration</e> and photosynthesis capabilities of DGIs and yellow leaf tissues were measured. The results showed that the cyanide-resistant respiration was enhanced in yellow leaf tissue and the photosynthesis was declined, while in DGIs they were less affected. The activities of the oxygen-scavenging enzymes catalase (CAT), peroxidase (POD), and superoxide dismutase (SOD) in infected leaves were significantly higher than those in the healthy leaves, and the enzyme activities in DGIs were always lower than in the yellow leaf tissues. Reactive oxygen species (ROS) staining showed that the hydrogen peroxide content in yellow leaf tissues was apparently higher than that in DGIs, while the superoxide content was on the contrary. Formation of DGIs may be a strategy of the host plants resistance to the CMV infection.",M1
20348606,"Investigation into the feasibility of using PRESAGE/optical-CT dosimetry for the verification of gating treatments.This work presents an investigation into the use of PRESAGE dosimeters with an optical-CT scanner as a 3D dosimetry system for quantitative verification of respiratory-gated treatments. The CIRS dynamic thorax phantom was modified to incorporate a moving PRESAGE dosimeter-simulating <e>respiration</e> motion in the lungs. A simple AP/PA lung treatment plan was delivered three times to the phantom containing a different but geometrically identical PRESAGE insert each time. Each delivery represented a treatment scenario: static, motion (free-breathing) and gated. The dose distributions, in the three dosimeters, were digitized by the optical-CT scanner. Improved optical-CT readout yielded an increased signal-to-noise ratio by a factor of 3 and decreased reconstruction artifacts compared with prior work. Independent measurements of dose distributions were obtained in the central plane using EBT film. Dose distributions were normalized to a point corresponding to the 100% isodose region prior to the measurement of dose profiles and gamma maps. These measurements were used to quantify the agreement between measured and ECLIPSE(R) dose distributions. Average gamma pass rates between PRESAGE and EBT were &gt;99% (criteria 3% dose difference and 1.2 mm distance-to-agreement) for all three treatments. Gamma pass rates between PRESAGE and ECLIPSE(R) 3D dose distributions showed excellent agreement for the gated treatment (100% pass rate), but poor for the motion scenario (85% pass rate). This work demonstrates the feasibility of using PRESAGE/optical-CT 3D dosimetry to verify gating-enabled radiation treatments. The capability of the Varian gating system to compensate for motion in this treatment scenario was demonstrated.",M1
20304781,"Ectomycorrhizal identity determines <e>respiration</e> and concentrations of nitrogen and non-structural carbohydrates in root tips: a test using Pinus sylvestris and Quercus robur saplings.Fine roots play a significant role in plant and ecosystem respiration (RS); therefore, understanding factors controlling that process is important both to advancing understanding and potentially in modelling carbon (C) budgets. However, very little is known about the extent to which ectomycorrhizal (ECM) identity may influence RS or the underlying chemistry that may determine those rates. In order to test these relationships, we examined RS, measured as O(2) consumption, of first-order ECM root tips of Pinus sylvestris L. and Quercus robur L. saplings in relation to their ECM fungal symbionts and associated nitrogen (N), C and non-structural carbohydrate concentrations. Roots of P. sylvestris were colonized by Rhizopogon roseolus, Tuber sp. 1 and an unknown species of Pezizales. Fungal species colonizing Q. robur roots were Hebeloma sp., Tuber sp. 2 and one unidentified ECM fungus described as Tuber-like based on ECM morphology. ECM RS rates for different host species were significantly different and more than 97% of the variation in RS within a host species was explained by ECM root tip N concentrations. This may indicate that some of the variability in fine root RS-N relationships observed between and within different host species or their functional groups may be related to intraspecific host species differences in root tip N concentration among ECM fungal associates.",M1
20235431,"[Starvation and chemoreception in Antarctic benthic invertebrates]Sensitivity (chemoreception) to different amino acids was studied in six invertebrate species: Serolis polita, Glyptonotus antarcticus, Abyssochromene plebs, Waldeckia obesa, Odontaster validus, and Sterechinus neumayeri. The sensitivity was estimated by the changes in basic metabolism (<e>respiration</e> rate). Starvation increased the sensitivity in all the species. The metabolism rates increased in the presence of L-glutamic acid in G. antarcticus, A. plebs, O. validus, and S. neumayeri. The serine and arginine amino acids had a significant impact on the metabolism of the necrophagous species S. polita and W. obesa. The chemical information may be mediated by means of L-glutamic acid via glutamate receptors, which can be blocked by kynurenic acid, as occurs in the experiments with G. antarcticus and A. plebs.",M1
20232477,"Prolonged stimulus exposure reveals prolonged neurobehavioral response patterns.Although it has been shown repeatedly that minimum response times in sensory systems can be quite short, organisms more often continue to respond to sensory stimuli over considerably longer periods of time. The continuing response to sensory stimulation may be a more realistic assessment of natural sensory responses, so we determined for how long a stimulus would evoke a response in naïve, freely moving animals. Specifically, we determined for how long such rats responded to odorants during continuous passive exposures by monitoring their sniffing with whole-body plethysmography. We found that naïve rats continue to sniff odorants vigorously for up to 3 minutes, much longer than what has been reported for highly trained, highly motivated rats. Patterns of 2-deoxyglucose (2-DG) uptake in the glomerular layer of the rat olfactory bulb also were seen after only 1-5 minutes of odorant exposure, overlapping with the period of increased <e>respiration</e> to odorants. Moreover, these 2-DG uptake patterns closely resembled the patterns that emerge from prolonged odorant exposures, suggesting that activity mapping over prolonged periods can identify areas of activity that are present when rats are still attending and responding to odorant stimuli. Given these findings, it seems important to consider the possibility that prolonged exposure to other sensory stimuli will reveal more realistic neural response patterns.",M1
20217380,"Respiratory response toward olfactory stimuli might be an index for odor-induced emotion and recognition.Olfaction is a unique sensory modality. Odor molecules reach olfactory receptors by inspiration, and odor information projects directly to limbic structures not through the thalamus. Odor stimuli thus induce respiratory changes, and simultaneously induce emotion and memory recognition via stimulation of olfactory-related limbic structures. We review the relations between <e>respiration</e> and olfaction, and between brain rhythm and respiration from our studies in normal subjects and in patients with Parkinson's disease who had been reported to have olfactory impairment.",M1
20217323,"A simplified model for explaining negative feedback to beginners in life sciences.It may not be easy to present to beginners CO(2) and O(2) having the opposite effect on <e>respiration</e>, using the conventional diagram explaining negative feedback. In the new diagram we developed, the  cause , its facilitating effect on the  result , the facilitating and inhibiting noises on the  result , the current magnitude of the  result , the set-point, their comparison, and feedback effect on the  cause  are all clearly illustrated. For example, the engine RPM is the  cause , increase in speed is the  result , a downhill slope is the facilitating noise, and an uphill slope is the inhibiting noise. By having direction in the  result , such as INCREASE in speed, INCREASE in O(2), and DECREASE in CO(2), the same diagram could be used to present CO(2) and O(2) having the opposite effect on respiration.",M1
20217320,"Biologically variable <e>respiration</e> as a stochastic process in ventilation - a stochastic model study.Based on the fractal bronchial tree, we introduced a function of  asynchronous phasic contractions of lobular bronchiole , which would generate fluctuations in tidal volumes. Stochastic control theory was able to describe a genesis of biological variability in spontaneous respirations using a Schroedinger wave function.",M1
20207656,"Environmental toxins and Parkinson's disease: putative roles of impaired electron transport chain and oxidative stress.Despite recent advancements in the biomedical fields, the etiology and pathogenesis of Parkinson's disease (PD) is still poorly understood, though the crucial roles of oxidative stress and impaired mitochondrial <e>respiration</e> have been suggested in the development of PD. The oxidative modification of the proteins of mitochondrial electron transport chain alters their normal function leading to the state of energy crisis in neurons. Exposure of environmental chemicals such as 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP) and rotenone in mouse produces the symptoms akin to PD and therefore these neurotoxins are commonly used in experimental studies on PD. Another environmental toxin, paraquat (a commonly used herbicide) has also been implicated with the onset of PD. The neurotoxicity of these chemicals is accompanied by the blockade of electron flow from NADH dehydrogenase to coenzyme Q. The agents with the ability to improve mitochondrial respiration and ATP production have been shown to exert beneficial effects in PD patients as well as in the animal models of PD. This review summarizes the current research implicating the impairment of mitochondrial respiratory chain and the role of environmental toxins in the pathogenesis of PD.",M1
