@RELATION C0242726_C0040452

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20576883,"Plants integrate information about nutrients and neighbors.Animals regularly integrate information about the location of resources and the presence of competitors, altering their foraging behavior accordingly. We studied the annual plant Abutilon theophrasti to determine whether a plant can demonstrate a similarly complex response to two conditions: presence of a competitor and heterogeneous resource distributions. Individually grown plants fully explored the pot by using a broad and uniform rooting distribution regardless of soil resource distributions. Plants with competitors and uniform soil nutrient distributions exhibited pronounced reductions in rooting breadth and spatial soil segregation among the competing individuals. In contrast, plants with competitors and heterogeneous soil nutrient distributions reduced their <e>root</e> growth only modestly, indicating that plants integrate information about both neighbor and resource distributions in determining their root behavior.",M1
20533628,"In vitro assessment of chemical activation efficiency during in-office dental bleaching.PURPOSE: This study compared five types of chemical catalyzing agents added to 35% hydrogen peroxide gel, with regard to their capacity of intensifying in-office dental bleaching results. METHODS: One-hundred and twenty bovine incisors were used, of which the crowns and <e>roots</e> were cut in the incisor-apical direction, to acquire the dimensions of a human central incisor. The specimens were sectioned in the mesiodistal direction by means of two longitudinal cuts, the lingual halves being discarded. The vestibular halves received prophylaxis with a bicarbonate jet, ultrasound cleaning and acid etching on the dentinal portion. Next, the specimens were stored in receptacles containing a 25% instant coffee solution for two weeks. After the darkening period, initial measurement of the shade obtained was taken with the Easy Shade appliance, which allowed it to be quantified by the CIELab method. The samples were divided into six groups, corresponding to the chemical activator used: a) none (CON); b) ferric chloride (CF); c) ferrous sulphate (SF); d) manganese gluconate (GM); e) manganese chloride (CM); f) mulberry root extract (RA). Each group received three 10-minute applications of the gels containing the respective activating agents. Next, a new shade measurement was made. RESULTS: The Analysis of Variance and Tukey tests (alpha = 5%) showed statistically significant differences for the shade perception values (p = 0.002). Groups GM, CM and RA showed significantly higher means than the control group. CONCLUSION: The presence of some chemical activators is capable of resulting in a significant increase in tooth shade variation.",M1
20524585,"Mycorrhizal symbionts of Pisonia grandis and P. sechellarum in Seychelles: identification of mycorrhizal fungi and description of new Tomentella species.Nyctaginaceae includes species that are predominantly non-mycorrhizal or form arbuscular or ectomycorrhiza. <e>Root</e>-associated fungi were studied from P. grandis and P. sechellarum roots collected respectively on the islands of Cousin and Silhouette in Seychelles. In addition fungal sporocarps were collected from the sampling area. Fungal symbionts were identified from the roots by anatomotyping and rDNA sequencing; sporocarps collected were examined microscopically and sequenced. Three distantly related ectomycorrhizal fungal species belonging to Thelephoraceae were identified from the roots of P. grandis. Sporocarps also were found for two symbionts and described as new Tomentella species. In addition Tomentella species collected from other Seychelles islands were studied and described as new species if there was no close resemblance to previously established species. P. sechellarum was determined to be an arbuscular mycorrhizal plant; three arbuscular mycorrhizal fungal species were detected from the roots. P. grandis is probably associated only with species of Thelephoraceae throughout its area. Only five Tomentella species are known to form ectomycorrhiza with P. grandis and they never have been found to be associated with another host, suggesting adaptation of these fungi to extreme environmental conditions in host's habitat.",M1
20506689,"Protective effect of Withania somnifera <e>root</e> powder on lipid peroxidation and antioxidant status in gentamicin-induced nephrotoxic rats.We investigated the protective effect of Withania somnifera root powder (used in ayurvedic medicine in India) on gentamicin (GEN) induced nephrotoxicity in male Wistar rats. The root powder was administered orally to rats for 14 days before GEN treatment and thereafter with GEN for 8 days. Nephrotoxicity was manifested in GEN-treated rats as significant increases in urea, creatinine, uric acid, non protein nitrogen, urinary protein, N-acetyl-beta-D-glucosaminidase, thiobarbituric acid reactive substances, hydroperoxides, followed by a significant reduction in glutathione peroxidase, superoxide dismutase, catalase, and reduced glutathione in liver and kidney tissues, histopathologically confirmed by tubular necrosis. W. somnifera treatment altered the antioxidant status and significantly reversed the levels as seen microscopically. The results show that the root powder of W. somnifera with the presence of natural antioxidants, bioflavanoids, and other bioactive compounds scavenged the free radicals generated by GEN and ameliorated the severity of GEN-induced nephrotoxicity by enhancing the antioxidant system and protecting the cellular integrity of kidney and liver tissues.",M1
20499639,"[Identification, colonization and disease prevention capacity of an antagonistic bacterium against Ralstonia Solanacearum]OBJECTIVE: To isolate a bacterial strain YPP-9, dominantly colonizing the rhizosphere of tomato using <e>root</e> exudate medium. In this study, we investigated the antagnism and disease-controling effect against Ralstonia solanacearum, evaluated the ability to colonize the rhizosphere of tomato, and further analyzed the phylogeny of YPP-9. METHODS: To evaluate the antagnism against R. solanacearum and the biocontrol on tomato bacterial wilt by YPP-9 respectively employing plate culture method and pot experiment in green house. We analyzed the rhizosphere colonization of YPP-9 by PCR-denaturing gradient gel electrophoresis, and also identified the taxonomic position of YPP-9 using morphological and chemotaxonomic characteristics together with 16S rRNA gene phylogenetic analysis. RESULTS: YPP-9 suppressed the growth of R. solanacearum (strains SSF-4) in vitro with the inhibition zone of 5 mm. The disease-control efficiency against tomato bacterial wilt in pot was 63.4%. YPP-9 also colonized the rhizosphere of tomato well. The colonies were cream in colour after 24 h culture. Cells were gram-positive, rods (1.8 -4.1 microm x 0.9 - 1.1 microm) and formed endospores. Endospores were mainly ellipsoidal to cylindrical and lied in subterminal, and occasionally paracentral, positions in no swollen sporangia. No crystal protein. The pH range for YPP-9 growth was 5.5 - 8.5 with the optimum at pH 6.0, and the temperature for YPP-9 growth was 20 to 45 degrees with the optimum at 30 degrees. The results of BIOLOG GP2 showed that YPP-9 was Bacillus. Phylogenetic analysis of the 16S rRNA gene sequence revealed that YPP-9 was the most closely related to Bacillus fumarioli, with the sequence similarity of 97.7%. The sequence number was FJ231500. The DNA G + C content was 41.9%. The major menaquinone was MK-7. The dominant fatty acids in cell wall were C14 : 0 iso, C15 : 0 iso, C16 : 0 iso and C16 : 1omega 7c alcohol, with the contents of 28.27%, 19.59%, 12.93% and 10.88%, respectively. CONCLUSION: Bacterium YPP-9 strongly inhibited R. Solanacearum in vitro and efficiently suppressed the disease development in pot experiment. YPP-9 also colonized the tomato rhizosphere well. Taxonomically, YPP-9 is affiliated to Bacillus, and probably a novel species.",M1
20498067,"Arabidopsis PIS1 encodes the ABCG37 transporter of auxinic compounds including the auxin precursor indole-3-butyric acid.Differential distribution of the plant hormone auxin within tissues mediates a variety of developmental processes. Cellular auxin levels are determined by metabolic processes including synthesis, degradation, and (de)conjugation, as well as by auxin transport across the plasma membrane. Whereas transport of free auxins such as naturally occurring indole-3-acetic acid (IAA) is well characterized, little is known about the transport of auxin precursors and metabolites. Here, we identify a mutation in the ABCG37 gene of Arabidopsis that causes the polar auxin transport inhibitor sensitive1 (pis1) phenotype manifested by hypersensitivity to auxinic compounds. ABCG37 encodes the pleiotropic drug resistance transporter that transports a range of synthetic auxinic compounds as well as the endogenous auxin precursor indole-3-butyric acid (IBA), but not free IAA. ABCG37 and its homolog ABCG36 act redundantly at outermost <e>root</e> plasma membranes and, unlike established IAA transporters from the PIN and ABCB families, transport IBA out of the cells. Our findings explore possible novel modes of regulating auxin homeostasis and plant development by means of directional transport of the auxin precursor IBA and presumably also other auxin metabolites.",M1
20469644,"Progesterone and beta-estradiol stimulate seed germination in chickpea by causing important changes in biochemical parameters.Effects of progesterone and beta-estradiol on morphologic (germination velocity, <e>root</e> and shoot length) and biochemical (activities of alpha-amylase, superoxide dismutase, peroxidase and catalase, H2O2 content, lipid peroxidation) parameters during germination and post-germination stages of chickpea seeds were studied. The seeds germinated at various hormone concentrations (10(-4), 10(-9), 10(-9), 10(-12), 10(-15) M) were harvested at the end of the 1st, 3rd, and 5th day. With comparison to the control, these hormones caused an increment in the number of germinating seeds at the end of days 1 and 3 by accelerating the seed germination. Root and shoot lengths were augmented by both hormones at all hormone concentrations tested. The highest elongation was recorded in 10(-6) M progesterone and 10(-9)-10(-12) M beta-estradiol. Similarly, activities of a-amylase and superoxide dismutase were increased by all concentrations of both hormones, and maximum increases were obtained with 10(-6) M progesterone and 10(-1)-10(-12) M beta-estradiol. In the case of superoxide dismutase activity, not only the H2O2 content but also the peroxidase and catalase activities increased. Lipid peroxidation decreased depending on an increase in the antioxidant enzyme activities. In the present study, it was demonstrated that progesterone and beta-estradiol even at low concentrations increase the germination velocity and resistance to stress conditions by changing the activities of some biochemical pathways.",M1
20469634,"n-Alkylresorcinol occurrence in Mercurialis perennis L. (Euphorbiaceae).Investigation of the dichloromethane extracts from herbal and <e>root</e> parts of Mercurialis perennis L. afforded a mixture of 11 homologous n-alkylresorcinols (ARs) with saturated odd-numbered alkyl side chains (C15:0-C27:0). In addition to three predominant ARs (C19:0, C21:0 and C23:0), a number of minor ARs were identified by use of LC-MS/MS and GC-MS techniques. Among the compounds detected, four uncommon ARs with even-numbered alkyl side chain lengths were also determined. The overall AR concentration in herbal parts was 7 to 9 times higher compared to that of the roots. The results presented may open a new view on the phytochemistry and pharmacognosy of M. perennis and other members of the Euphorbiaceae family.",M1
20459320,"Host selection of symbiotic cyanobacteria in 31 species of the Australian cycad genus: Macrozamia (Zamiaceae).The nitrogen-fixing cyanobacterium Nostoc is a commonly occurring terrestrial and aquatic cyanobacterium often found in symbiosis with a wide range of plant, algal, and fungal species. We investigated the diversity of cyanobacterial species occurring within the coralloid <e>roots</e> of different Macrozamia cycad species at diverse locations throughout Australia. In all, 74 coralloid root samples were processed and 56 endosymbiotic cyanobacteria were cultured. DNA was isolated from unialgal cultures and a segment of the 16S rRNA gene was amplified and sequenced. Microscopic analysis was performed on representative isolates. Twenty-two cyanobacterial species were identified, comprising mostly Nostoc spp. and a Calothrix sp. No correlation was observed between a cycad species and its resident cyanobiont species. The predominant cyanobacterium isolated from 18 root samples occurred over a diverse range of environmental conditions and within 14 different Macrozamia spp. Phylogenetic analysis indicated that endosymbionts were not restricted to previously described terrestrial species. An isolate clustering with Nostoc PCC7120, an aquatic strain, was identified. This is the first comprehensive study to identify the endosymbionts within a cycad genus using samples obtained from their natural habitats. These results indicate that there is negligible host specialization of cyanobacterial endosymbionts within the cycad genus Macrozamia in the wild.",M1
20459313,"Infection-specific activation of the Medicago truncatula Enod11 early nodulin gene promoter during actinorhizal <e>root</e> nodulation.The MtEnod11 gene from Medicago truncatula is widely used as an early infection-related molecular marker for endosymbiotic associations involving both rhizobia and arbuscular mycorrhizal fungi. In this article, heterologous expression of the MtEnod11 promoter has been studied in two actinorhizal trees, Casuarina glauca and Allocasuarina verticillata. Transgenic C. glauca and A. verticillata expressing a ProMtEnod11::beta-glucuronidase (gus) fusion were generated and the activation of the transgene investigated in the context of the symbiotic associations with the N-fixing actinomycete Frankia and both endo- and ectomycorrhizal fungi (Glomus intraradices and Pisolithus albus, respectively). ProMtEnod11::gus expression was observed in root hairs, prenodules, and nodules and could be correlated with the infection of plant cells by Frankia spp. However, no activation of the gus reporter gene was detected prior to infection or in response to either rhizobial Nod factors or the wasp venom peptide MAS-7. Equally, ProMtEnod11::gus expression was not elicited during the symbiotic associations with either ecto- or endomycorrhizal fungi. These observations suggest that, although there is a conservation of gene regulatory pathways between legumes and actinorhizal plants in cells accommodating endosymbiotic N-fixing bacteria, the events preceding bacterial infection or related to mycorrhization appear to be less conserved.",M1
