@RELATION C1175175_C1175743

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
16830001,"Radiographic features of SARS in paediatric patients: a review of cases in Singapore.INTRODUCTION: Severe acute respiratory syndrome (SARS) is a newly emerged atypical pneumonia caused by the <e>SARS-associated coronavirus</e> (SARS-CoV). Chest radiographic appearances have been reported as non-specific, ranging from normal to peribronchial thickening and ill-defined airspace shadowing. This study is a retrospective review of chest radiographic findings in children with suspected and probable SARS during the 2003 outbreak in Singapore. MATERIALS AND METHODS: We focused on children admitted to the SARS treatment ward from March 2003 to May 2003. Chest radiographs of children admitted with suspected or probable SARS as well as other febrile illness during this period were retrospectively and independently reviewed by 3 radiologists. The radiographs were randomised and anonymised before interpretation. Subsequently, we identified the radiographs of patients who were categorised as suspected or probable SARS. We present our findings in these patients' radiographs. RESULTS: A total of 67 patients' serial chest radiographs were interpreted. Of these, we subsequently selected those patients with suspected or probable SARS for analysis. The radiographic abnormalities in suspected or probable SARS patients consisted of patchy ground glass opacities or patchy airspace consolidation. The abnormalities had a predominantly lower zone distribution on chest radiographs, followed by mid-zone involvement. There was a slight preponderance of peripheral zone involvement. There was equal distribution of abnormalities in both lungs. All the children with radiographic abnormalities made uneventful recoveries and had normal radiographs on follow-up review. CONCLUSIONS: In children, SARS appears to have a relatively mild and nonspecific pattern of respiratory illness. The radiographic features in children with suspected or probable SARS in our study were comparable to other clusters of paediatric patients during initial presentation. It is difficult to distinguish SARS in children from other viral pneumonias on radiographic features alone. Positive travel history to endemic regions or positive contact history, and laboratory findings of lymphopaenia, leukopaenia and thrombocytopaenia are important clues.",M1
16824203,"Association of SARS susceptibility with single nucleic acid polymorphisms of OAS1 and MxA genes: a case-control study.BACKGROUND: Host genetic factors may play a role in susceptibility and resistance to <e>SARS associated coronavirus</e> (SARS-CoV) infection. The study was carried out to investigate the association between the genetic polymorphisms of 2',5'-oligoadenylate synthetase 1 (OAS1) gene as well as myxovirus resistance 1 (MxA) gene and susceptibility to SARS in Chinese Han population. METHODS: A hospital-based case-control study was conducted. A collective of 66 SARS cases and 64 close contact uninfected controls were enrolled in this study. End point real time polymerase chain reaction (PCR) and PCR-based Restriction Fragment Length Polymorphism (RFLP) analysis were used to detect the single nucleic polymorphisms (SNPs) in OAS1 and MxA genes. Information on other factors associated with SARS infection was collected using a pre-tested questionnaire. Univariate and multivariate logistic analyses were conducted. RESULTS: One polymorphism in the 3'-untranslated region (3'-UTR) of the OAS1 gene was associated with SARS infection. Compared to AA genotype, AG and GG genotypes were found associated with a protective effect on SARS infection with ORs (95% CI) of 0.42 (0.20-0.89) and 0.30 (0.09-0.97), respectively. Also, a GT genotype at position 88 in the MxA gene promoter was associated with increased susceptibility to SARS infection compared to a GG genotype (OR = 3.06, 95% CI: 1.25-7.50). The associations of AG genotype in OAS1 and GT genotype in MxA remained significant in multivariate analyses after adjusting for SARS protective measures (OR = 0.38, 95% CI: 0.14-0.98 and OR = 3.22, 95% CI: 1.13-9.18, respectively). CONCLUSION: SNPs in the OAS1 3'-UTR and MxA promoter region appear associated with host susceptibility to SARS in Chinese Han population.",M1
16682481,"Production of an anti-severe acute respiratory syndrome (SARS) coronavirus human monoclonal antibody Fab fragment by using a combinatorial immunoglobulin gene library derived from patients who recovered from SARS.A combinatorial human immunoglobulin gene library was constructed from the peripheral lymphocytes of two patients who recovered from severe acute respiratory syndrome (SARS). The library was screened for the production of Fab antibody fragments to a recombinant spike protein of <e>SARS-associated coronavirus</e> (SARS-CoV). One Fab clone, AS3-3, reacted with the spike protein in an enzyme-linked immunosorbent assay. The dissociation constant of AS3-3 was 1.98 x 10(-8) M. Immunofluorescent microscopy revealed that it reacted with SARS-CoV-infected cells. The library seems to be a potent tool for the production of human antibodies to SARS-CoV.",M1
16470161,"The widening scope of coronaviruses.PURPOSE OF REVIEW: In the past 2 years, at least three distinct human coronaviruses have been discovered, including the etiological agent associated with severe acquired respiratory syndrome (SARS). These recently discovered viruses, with the exception of the <e>SARS associated coronavirus</e> (SARS-CoV), are likely to be common respiratory viruses and may be responsible for a substantial proportion of respiratory tract disease. RECENT FINDINGS: The SARS-CoV first appeared in 2002 and spread rapidly around the globe. Although the worldwide spread of SARS-CoV may have been halted, the emergence of this new virus demonstrates the potential threat represented by species-to-species transmission of coronaviruses. NL63, initially isolated from a young child with lower respiratory tract disease, represents a group of newly described group I coronaviruses that have been identified worldwide, which are associated with both upper and lower respiratory tract disease, particularly in young children. The distribution of HKU1, a newly identified group II coronavirus, is not yet established. NL63 and HKU1 are related to the common human coronaviruses 229E and OC43, respectively. SUMMARY: The discovery of at least three new human coronaviruses represents significant advances in the investigation of human respiratory tract disease. Further studies are required to fully define the impact of these new pathogens.",M1
16060914,"Hypocortisolism in survivors of severe acute respiratory syndrome (SARS).OBJECTIVE: Following the severe acute respiratory syndrome (SARS) outbreak, many survivors were observed to suffer from psychosomatic symptoms reminiscent of various endocrine disorders. Hence, we sought to determine the existence of any chronic endocrine sequelae in SARS survivors. DESIGN, PATIENTS, MEASUREMENTS: Sixty-one survivors of SARS prospectively recruited were analysed for hormonal derangements 3 months following recovery. Patients with pre-existing endocrine disorders were excluded. Any endocrine abnormalities diagnosed were investigated and treated where indicated up to a year. Serial evaluation facilitated characterization of trends and prognostication of any endocrinological aberrations. RESULTS: Twenty-four (39.3%) patients had evidence of hypocortisolism. The hypothalamic-pituitary-adrenal (HPA) axis dysfunction of the majority resolved within a year. Two (3.3%) of the hypocortisolic cohort had transient subclinical thyrotoxicosis. Four (6.7%) were biochemically hypothyroid, being comprised of three with central hypothyroidism and one with primary hypothyroidism. Two of the three with central hypothyroidism had concomitant central hypocortisolism. Eight had subnormal DHEAS levels. CONCLUSIONS: These preliminary findings highlight a possible aetiologic role of <e>SARS-associated coronavirus</e> in causing a reversible hypophysitis or direct hypothalamic effect, with the HPA axis affected more frequently than the HPT axis.",M1
16025480,"Novel rapid immunochromatographic test based on an enzyme immunoassay for detecting nucleocapsid antigen in <e>SARS-associated coronavirus</e>.A novel severe acute respiratory syndrome-associated coronavirus (SARS-CoV) has been discovered. The detection of both antigens and antibodies in SARS-CoV from human specimens with suspected SARS plays an important role in preventing infection. We developed a novel rapid immunochromatographic test (RICT) based on the sandwich format enzyme immunoassay (EIA) with an all-in-one device for detecting the native nucleocapsid antigen (N-Ag) of SARS-CoV using monoclonal antibodies (MoAbs), which we produced by immunizing recombinant N-Ag to mice. RICT is a qualitative assay for respiratory aspirates and serum specimens. With this assay, a positive result can be judged subjectively by the appearance of a blue line on the device 15 min after the sample is applied. RICT with several pairs of MoAbs showed a high sensitivity for the detection of recombinant N-Ag as well as viral N-Ag of SARS-CoV. rSN122 and rSN21-2 were the best MoAbs for immobilized antibody and enzyme labeling, respectively. With regard to analytical sensitivity, RICT detected N-Ag at 31 pg/mL for recombinant N-Ag, and at 1.99 x 10(2) TCID(50)/mL for SARS-CoV. The specificity of RICT was 100% when 150 human sera and 50 nasopharyngeal aspirates (NSPs) were used. RICT based on an EIA using the rSN122/rSN21-2 pair is a sensitive, specific, and reliable rapid assay for detecting N-Ag in SARS-CoV treated with either heat or Triton X-100.",M1
16012012,"Low prevalence of subclinical severe acute respiratory syndrome-associated coronavirus infection among hospital healthcare workers in Hong Kong.We recruited 688 hospital healthcare workers who cared for patients with severe acute respiratory syndrome (SARS) and did not develop the disease in the Hong Kong outbreak in 2003. A questionnaire survey was conducted and serum samples were collected for <e>SARS-associated coronavirus</e> (SARS-CoV) antibody. The high-risk procedures performed and the types of unprotected exposures were recorded for analysis. Only 1 asymptomatic nurse had positive serological test. The result demonstrates the low rate of subclinical SARS-CoV infection in hospital healthcare workers and that the infection control practice against SARS in Hong Kong's hospitals during the outbreak was highly effective.",M1
15947329,"Follow-up study on pulmonary function and lung radiographic changes in rehabilitating severe acute respiratory syndrome patients after discharge.OBJECTIVES: To follow-up on the changes in lung function and lung radiographic pictures of severe acute respiratory syndrome (SARS) patients discharged from Xiaotangshan Hospital in Beijing (by regularly receiving examination), and to analyze retrospectively the treatment strategy in these patients. METHODS: Surviving SARS patients were seen at least twice within 3 months after discharge and underwent <e>SARS-associated coronavirus</e> (SARS-CoV) IgG antibody testing, pulmonary function testing, and chest radiography and/or high-resolution CT (HRCT) examinations at Chinese PLA General Hospital. The treatments received at Xiaotangshan Hospital were analyzed retrospectively and were correlated to later status. RESULTS: Positive SARS-Co virus IgG antibody results were seen in 208 of 258 patients, with 21.3% (55 of 258 patients) still having a pulmonary diffusion abnormality (D(LCO) &lt; 80% of predicted). By comparing the 155 survivors with positive SARS-CoV IgG antibody results and D(LCO) &gt; or = 80% predicted with the 50 patients with negative SARS-CoV IgG results, we found that 53 patients with positive SARS-CoV IgG results and a lung diffusion abnormality had endured a much longer course of fever and received larger doses of glucocorticoid, as well as higher ratios of oxygen inhalation and noninvasive ventilation treatment. For these patients, 51 of 53 patients with positive SARS-CoV IgG results and a lung diffusion abnormality underwent pulmonary function testing after approximately 1 month. D(LCO) improved in 80.4% of patients (41 of 51 patients). Of the patients with a lung diffusion abnormality, 40 of 51 patients showed lung fibrotic changes in the lung image examination and 22 patients (55%) showed improvement in lung fibrotic changes 1 month later. CONCLUSION: These findings suggest that lung fibrotic changes caused by SARS disease occurred mostly in severely sick patients and may be self-rehabilitated. D(LCO) scores might be more sensitive than HRCT when evaluating lung fibrotic changes.",M1
15813661,"Severe acute respiratory syndrome: pertinent clinical characteristics and therapy.Severe acute respiratory syndrome (SARS) is a newly emerged infection that is caused by a previously unrecognized virus - a novel coronavirus designated as <e>SARS-associated coronavirus</e> (SARS-CoV). From November 2002 to July 2003 the cumulative number of worldwide cases was &gt;8000, with a mortality rate of close to 10%. The mortality has been higher in older patients and those with co-morbidities. SARS has been defined using clinical and epidemiological criteria and cases are considered laboratory-confirmed if SARS coronavirus is isolated, if antibody to SARS coronavirus is detected, or a polymerase chain reaction test by appropriate criteria is positive. At the time of writing (24 May 2004), no specific therapy has been recommended. A variety of treatments have been attempted, but there are no controlled data. Most patients have been treated throughout the illness with broad-spectrum antimicrobials, supplemental oxygen, intravenous fluids, and other supportive measures. Transmission of SARS is facilitated by close contact with patients with symptomatic infection. The majority of cases have been reported among healthcare providers and family members of SARS patients. Since SARS-CoV is contagious, measures for prevention center on avoidance of exposure, and infection control strategies for suspected cases and contacts. This includes standard precautions (hand hygiene), contact precautions (gowns, goggles, gloves) and airborne precautions (negative pressure rooms and high efficiency masks). In light of reports of new cases identified during the winter of 2003-4 in China, it seems possible that SARS will be an important cause of pneumonia in the future, and the screening of outpatients at risk for SARS may become part of the pneumonia evaluation.",M1
15784184,"Th2 predominance and CD8+ memory T cell depletion in patients with severe acute respiratory syndrome.The immune spectrum of severe acute respiratory syndrome (SARS) is poorly understood. To define the dynamics of the immune spectrum in SARS, serum levels of cytokines, chemokines, immunoglobulins, complement and specific antibodies against <e>SARS-associated coronavirus</e> (SARS-CoV) were assayed by enzyme-linked immunosorbent assay (ELISA), and phenotypes of peripheral lymphocytes were analyzed by flow cytometry in 95 SARS-infected patients. Results showed that interleukin (IL)-10 and transforming growth factor beta (TGF-beta) were continuously up-regulated during the entirety of SARS. Regulated on activation normally T cell-expressed and secreted (RANTES) levels were decreased, while monocyte chemoattractant protein-1 (MCP-1) was elevated in acute patients. Immunoglobulins and complement were elevated during the first month of SARS. Both serum-positive rates and titers of specific IgM and IgG antibodies responding to SARS-CoV peaked at days 41-60 from the onset of SARS. CD4+ and CD8+ T lymphocytes decreased significantly in acute-phase. CD3+CD8+CD45RO+ T lymphocytes were decreased by 36.78% in the convalescent patients. Conclusion: SARS-CoV seemed to elicit effective humoral immunity but inhibited cellular immunity, especially CD8+ memory T lymphocytes over time. Prolonged overproduction of IL-10 and TGF-beta may play an important role in the disease.",M1
