@RELATION C1175175_C1175743

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20436959,"China's engagement with global health diplomacy: was <e>SARS</e> a watershed?",M1
20393211,"A comparative study of the stigma associated with infectious diseases (<e>SARS</e>, AIDS, TB).",M1
20393210,"Super-spreading events of <e>SARS</e> in a hospital setting: who, when, and why?",M1
20393208,"Long-term sequelae of <e>SARS</e>: physical, neuropsychiatric, and quality-of-life assessment.",M1
20393206,"Proteomic profiling in <e>SARS</e>: diagnostic and prognostic applications.",M1
20408308,"The lessons of <e>SARS</e> in Hong Kong.Severe acute respiratory syndrome (SARS) is a novel coronavirus infection which broke out in Hong Kong in March 2003. Princess Margaret Hospital was designated to manage this new, mysterious and serious disease. Healthcare workers had to work under extremely stressful and often risky conditions to care for patients. Despite manpower and equipment reinforcements, staff infection occurred as a result of bodily exhaustion, working in an unfamiliar environment and lapses in infection control. Patients suffered even more, not only due to physical discomfort, but also because of the fear of isolation and death away from family and friends. Health authorities learnt their lessons in the outbreak and formulated emergency plans for future infectious disease epidemics. The healthcare infrastructure has been examined and upgraded with regard to intensive care capacity, infection control measures, professional training, manpower deployment, staff facilities, and stockpiling of drugs and personal protective equipment.",M1
20388333,"[Perceived stress in general public during prevalence of severe acute respiratory syndrome and its impact on health behavior]OBJECTIVE: To find out the perceived stress in general public during prevalence of severe acute respiratory syndrome (<e>SARS</e>) and its impact on health behavior. METHODS: A retrospective survey was conducted in Guangzhou, Hangzhou, and Taiyuan according to the epidemic situations of SARS, and 2532 subjects were randomly selected from constructive industry, school, and commercial business and residents in urban and rural areas. The perceive stress was measured by Chinese perceived stress scale (CPSS), and health related behavior during SARS was tested by uniform and self-made questionnaire. EpiData 2.0 was used for data management and CPSS value was calculated according to answer to 14 questions contained in the scale. Health risk stress among different population group and health related behavior among low, medium and high stress state were analyzed by SPSS 11.5. RESULTS: 2424 subjects were involved in the survey. The CPSS value was measured from 0 - 49 (22.7 +/- 6.8), M = 24.0. 39.3% (953/2379) subjects were under the health risk stress. The health related behaviors such as washing hands, opening the window for air, keeping away from others when cough and sneeze, doing exercises etc were reduced with the stress increased. Logistic regression indicated that compared with the persons with the thoughts of nothing serious of SARS, without any dread of SARS, and knowing nothing about prevention of SARS, the perceived stress was significantly related with perceiving of the thread to certain extent (beta = 0.41, Wald chi(2) = 4.84, P = 0.03), worrying little about the epidemic (beta = 0.50, Wald chi(2) = 6.69, P = 0.01), worrying about it to certain extent (beta = 1.39, Wald chi(2) = 48.59, P = 0.00) and scared so much (beta = 1.77, Wald chi(2) = 53.59, P = 0.00), and knowing little about the prevention (beta = 0.74, Wald chi(2) = 4.48, P = 0.03), knowing something about prevention (beta = -0.98, Wald chi(2) = 8.29, P = 0.00) and knowing the prevention very well (beta = -1.18, Wald chi(2) = 10.66, P = 0.00). CONCLUSION: The adoption of health related behaviors declined with increase of perceived stress. Opening connection to authority and government, enhancing the awareness of outburst affairs among general public and providing positive social support may be effective ways to reduce the population perceived stress.",M1
20230231,"How to reduce the impact of  low-risk patients  following a bioterrorist incident: lessons from <e>SARS</e>, anthrax, and pneumonic plague.A bioterrorist attack may result in a large number of people who have not been exposed coming to medical facilities in search of treatment or reassurance. In this article, we review evidence from 3 previous biological incidents that are analogous to a bioterrorist attack in order to gauge the likely incidence of such  low-risk patients  and to identify possible strategies for coping with this phenomenon. Evidence from the anthrax attacks in the United States suggested that a surge of low-risk patients is by no means inevitable. Data from the SARS outbreak illustrated that if hospitals are seen as sources of contagion, many patients with non-bioterrorism-related healthcare needs may delay seeking help. Finally, the events surrounding the pneumonic plague outbreak of 1994 in Surat, India, highlighted the need for the public to be kept adequately informed about an incident. Although it is impossible to say what the likely incidence of low-risk patients will be during a future bioterrorist incident, several strategies may help to reduce it and to safeguard the well-being of the low-risk patients themselves. These strategies include providing clear information about who should and should not attend hospital; using telephone services to provide more detailed information and initial screening; employing rapid triage at hospital entrances, based, where possible, on exposure history and objective signs of illness; and following up by telephone those judged to be at low risk.",M1
20216125,"Osteonecrosis in patients after severe acute respiratory syndrome (<e>SARS</e>): possible role of anticardiolipin antibodies.OBJECTIVES: This study examined the anticardiolipin antibodies in post-SARS (severe acute respiratory syndrome) osteonecrosis patients to investigate the etiology of post-SARS osteonecrosis, and to eventually provide valuable information for the early diagnosis of nontraumatic osteonecrosis and for the susceptible population screening. METHODS: This study recruited 62 post-SARS osteonecrosis patients and 52 age- and gender-matched healthy controls. Fasting blood samples were collected from all the subjects through cubital veins. Immunoglobulins A, G and M (IgA, G and M) types of anticardiolipin antibodies were examined by enzyme-linked immunosorbent assay. The routine examinations of prothrombin time, thrombin time, prothrombin activity, and international normalized ratio were also performed. RESULTS: There were 21 of 62 post-SARS osteonecrosis patients (33.9%) who showed at least one type of anticardiolipin antibodies. The titers of specific IgA, IgG, and IgM were 11.33 +/- 11.209 APL, 5.127 +/- 5.927 GPL, and 17.821 +/- 10.606 MPL, respectively. There were only 4 of 52 subjects in the control group (7.7%) who showed positive anticardiolipin antibody with titers of IgA at 10.702 +/- 3.126 APL, IgG at 5.184 +/- 4.780 GPL, and IgM at 14.684 +/- 5.516 MPL. There were significant differences between the 2 groups confirmed by t-Test and chi(2) test (P &lt; 0.05), while no significant differences were observed in prothrombin time, thrombin time, prothrombin activity, and international normalized ratio results between the 2 groups. CONCLUSIONS: The incidences of anticardiolipin antibodies were increased in the post-SARS osteonecrosis patients and anticardiolipin antibodies may play a role in the pathogenesis of post-SARS osteonecrosis.",M1
20205928,"A comparative epidemiologic analysis of <e>SARS</e> in Hong Kong, Beijing and Taiwan.BACKGROUND: The 2002-2003 Severe Acute Respiratory Syndrome (SARS) outbreak infected 8,422 individuals leading to 916 deaths around the world. However, there have been few epidemiological studies of SARS comparing epidemiologic features across regions. The aim of this study is to identify similarities and differences in SARS epidemiology in three populations with similar host and viral genotype. METHODS: We present a comparative epidemiologic analysis of SARS, based on an integrated dataset with 3,336 SARS patients from Hong Kong, Beijing and Taiwan, epidemiological and clinical characteristics such as incubation, onset-to-admission, onset-to-discharge and onset-to-death periods, case fatality ratios (CFRs) and presenting symptoms are described and compared between regions. We further explored the influence of demographic and clinical variables on the apparently large differences in CFRs between the three regions. RESULTS: All three regions showed similar incubation periods and progressive shortening of the onset-to-admission interval through the epidemic. Adjusted for sex, health care worker status and nosocomial setting, older age was associated with a higher fatality, with adjusted odds ratio (AOR): 2.10 (95% confidence interval: 1.45, 3.04) for those aged 51-60; AOR: 4.57 (95% confidence interval: 3.32, 7.30) for those aged above 60 compared to those aged 41-50 years. Presence of pre-existing comorbid conditions was also associated with greater mortality (AOR: 1.74; 95% confidence interval: 1.36, 2.21). CONCLUSION: The large discrepancy in crude fatality ratios across the three regions can only be partly explained by epidemiological and clinical heterogeneities. Our findings underline the importance of a common data collection platform, especially in an emerging epidemic, in order to identify and explain consistencies and differences in the eventual clinical and public health outcomes of infectious disease outbreaks, which is becoming increasingly important in our highly interconnected world.",M1
20186649,"Social support and psychological adjustment to <e>SARS</e>: the mediating role of self-care self-efficacy.The study tested the model of perceived support from medical staff and family/friends on severe acute respiratory syndrome (SARS) survivors' mental health as mediated by self-care self-efficacy. One hundred and forty-three SARS survivors recruited from the Hong Kong Hospital Authority following 18 months recovery were surveyed by trained interviewers using structured questionnaires. Based on structural equation modeling, findings showed that self-care self-efficacy completely mediated the effects of perceived medical staff support and perceived family/friends support on mental health status. The model achieved a satisfactory fit, CFI = 0.98, NNFI = 0.98, RMSEA = 0.06, and explained 75.2% of the variance in mental health status. The study is the first attempt in understanding long-term psychological adjustment of SARS survivors. Findings may be applicable to other infectious disease outbreaks in informing psychosocial factors that are important to long-term recovery.",M1
