@RELATION C0242767_C0162731

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20493817,"Transcriptional control of a plant <e>stem</e> cell niche.Despite the independent evolution of multicellularity in plants and animals, the basic organization of their stem cell niches is remarkably similar. Here, we report the genome-wide regulatory potential of WUSCHEL, the key transcription factor for stem cell maintenance in the shoot apical meristem of the reference plant Arabidopsis thaliana. WUSCHEL acts by directly binding to at least two distinct DNA motifs in more than 100 target promoters and preferentially affects the expression of genes with roles in hormone signaling, metabolism, and development. Striking examples are the direct transcriptional repression of CLAVATA1, which is part of a negative feedback regulation of WUSCHEL, and the immediate regulation of transcriptional repressors of the TOPLESS family, which are involved in auxin signaling. Our results shed light on the complex transcriptional programs required for the maintenance of a dynamic and essential stem cell niche.",M1
20429469,"Photosynthesis and yield reductions from wheat <e>stem</e> sawfly (Hymenoptera: Cephidae): interactions with wheat solidness, water stress, and phosphorus deficiency.The impact of herbivory on plants is variable and influenced by several factors. The current study examined causes of variation in the impact of larval stem mining by the wheat stem sawfly, Cephus cinctus Norton (Hymenoptera: Cephidae), on spring wheat, Triticum aestivum L. We performed greenhouse experiments over 2 yr to (1) study whether biotic (hollow versus solid stemmed host wheat) and abiotic (water, phosphorus stress) factors interact with C. cinctus stem mining to influence degree of mined stem physiological (photosynthesis) and yield (grain weight) reductions; and (2) determine whether whole plant yield compensatory responses occur to offset stem-mining reductions. Flag leaf photosynthetic reduction was not detected 16-20 d after infestation, but were detected at 40-42 d and doubled from water or phosphorus stresses. Main stem grain weight decreased from 10 to 25% from stem mining, largely due to reductions in grain size, with greater reductions under low phosphorus and/or water levels. Phosphorus-deficient plants without water stress were most susceptible to C. cinctus, more than doubling the grain weight reduction due to larval feeding relative to other water and phosphorus treatments. Two solid stemmed varieties with stem mining had less grain weight loss than a hollow stemmed variety, so greater internal mechanical resistance may reduce larval stem mining and plant yield reductions. Our results emphasize the importance of sufficient water and macronutrients for plants grown in regions impacted by C. cinctus. Also, solid stemmed varieties not only reduce wheat lodging from C. cinctus, they may reduce harvested grain losses from infested stems.",M1
20420316,"A phenethyl bromo ester from Citharexylum fruticosum.A new compound, (2S)-p-hydroxyphenethyl 2-bromo-2-methyldodeconate (1) and 7,3'-dimethoxy-5,4'-dihydroxy flavone, together with lupeol and stigmasterol were isolated from the <e>stem</e> bark of Citharexylum fruticosum (Verbenaceae). The structures of the compounds were established on the basis of the interpretation of NMR (1H, 13C, COSY and HMBC) spectra, as well as low and high-resolution mass spectrometric data. In this paper, we report on the structure elucidation of 1.",M1
20419545,"A new alkaloid from the <e>stem</e> of Sparganium stoloniferum Buch.-Ham.A new alkaloid (1), together with five known compounds (2-6), has been isolated from the stem of Sparganium stoloniferum Buch.-Ham. The structure of the new compound was elucidated as 3-isobutyl-tetrahydro-imidazo[1,2-a]pyridine-2,5-dione on the basis of physical and chemical evidence and spectral analysis. Compound 6 was obtained for the first time from the Sparganium genus.",M1
20411974,"Neolignans and glycosides from the <e>stem</e> bark of Illicium difengpi.Five new neolignans (1-4 and 9), two pairs of neolignan epimers (5-8), and two new aromatic glycosides (10 and 11) have been isolated from the stem bark of Illicium difengpi. Their structures were determined by spectroscopic methods, including 1D and 2D NMR, HRESIMS, CD experiments, and chemical methods. The absolute configurations of the 3,4-diol moiety in 1 and 1,3-diol moiety in 2 were confirmed by Snatzke's method, observing the induced circular dichroism after addition of dimolybdenum tetraacetate in DMSO. Compounds 3, 4, and 11 exhibited moderate anti-inflammatory activities with IC(50) values ranging from 1.62 to 24.4 microM, while compound 3 displayed antioxidant activity with an IC(50) value of 42.3 microM.",M1
20405929,"Chuktabularins E-T, 16-Norphragmalin Limonoids from Chukrasia tabularis var. velutina.Chuktabularins E-T (1-16), 16 new 16-norphragmalin limonoids, together with four known compounds, chuktabularins A-D, were isolated from the <e>stem</e> bark of Chukrasia tabularis var. velutina. These compounds possess a biosynthetically extended propionyl or acetyl group at C-15 and a characteristic ketal moiety between the limonoid skeleton and the acyl substituent at C-15. The structures of these compounds were established on the basis of detailed spectroscopic analysis, and that of 1 was confirmed by a single-crystal X-ray diffraction experiment, representing the first verification of the skeleton of 16-norphragmalin limonoids. Chuktabularins K-O (7-11) were found to be the first 19-acetoxylated 16-norphragmalin limonoids. Variable-temperature (1)H NMR experiments suggested that 7 exists as an equilibrium mixture of conformational isomers in solution. The absolute configuration of 5 was determined by the CD exciton chirality method on its 11,12-di-p-chlorobenzoate (5a), and those of 1-4 and 6-16 were proposed by correlating with 5 spectroscopically and biogenetically.",M1
20403175,"Cell-specific expression of tryptophan decarboxylase and 10-hydroxygeraniol oxidoreductase, key genes involved in camptothecin biosynthesis in Camptotheca acuminata Decne (Nyssaceae).BACKGROUND: Camptotheca acuminata is a major natural source of the terpenoid indole alkaloid camptothecin (CPT). At present, little is known about the cellular distribution of the biosynthesis of CPT, which would be useful knowledge for developing new strategies and technologies for improving alkaloid production. RESULTS: The pattern of CPT accumulation was compared with the expression pattern of some genes involved in CPT biosynthesis in C. acuminata [i.e., Ca-TDC1 and Ca-TDC2 (encoding for tryptophan decarboxylase) and Ca-HGO (encoding for 10-hydroxygeraniol oxidoreductase)]. Both CPT accumulation and gene expression were investigated in plants at different degrees of development and in plantlets subjected to drought-stress. In all organs, CPT accumulation was detected in epidermal idioblasts, in some glandular trichomes, and in groups of idioblast cells localized in parenchyma tissues. Drought-stress caused an increase in CPT accumulation and in the number of glandular trichomes containing CPT, whereas no increase in epidermal or parenchymatous idioblasts was observed. In the leaf, Ca-TDC1 expression was detected in some epidermal cells and in groups of mesophyll cells but not in glandular trichomes; in the <e>stem</e>, it was observed in parenchyma cells of the vascular tissue; in the root, no expression was detected. Ca-TDC2 expression was observed exclusively in leaves of plantlets subjected to drought-stress, in the same sites described for Ca-TDC1. In the leaf, Ca-HGO was detected in all chlorenchyma cells; in the stem, it was observed in the same sites described for Ca-TDC1; in the root, no expression was detected. CONCLUSIONS: The finding that the sites of CPT accumulation are not consistently the same as those in which the studied genes are expressed demonstrates an organ-to-organ and cell-to-cell translocation of CPT or its precursors.",M1
20387902,"Oploxynes A and B, polyacetylenes from the <e>stems</e> of Oplopanax elatus.Two new polyacetylenes, oploxynes A (1) and B (2), and the known oplopandiol (3) and falcarindiol (4) were isolated from the stem of Oplopanax elatus. The structures of compounds 1 and 2 were determined to be 9,10-epoxyheptadeca-4,6-diyne-3,8-diol and 10-methoxyheptadeca-4,6-diyne-3,8,9-triol, respectively, on the basis of their UV, MS, and NMR data. The absolute configurations of these compounds were determined using the modified Mosher's method and acetonide formation. Oploxyne A (1), oplopandiol (3), and falcarindiol (4) inhibited the formation of nitric oxide (NO) and prostaglandin E(2) (PGE(2)) in lipopolysaccharide (LPS)-induced murine macrophage RAW 267.7 cells.",M1
20387750,"In vitro antimicrobial activities of different fractions of Swertia chirata ethanolic extract.The aim of the present study was to evaluate the in vitro antimicrobial activity of pet-ether, dichloromethane and methanol fractions of Swertia chirata (Family: Gentianaceae) ethanolic extract. Disc diffusion technique and food poison method were used for antibacterial and antifungal activity, respectively. Dichloromethane fraction from both leaf and <e>stem</e> showed significant antimicrobial activities against some Gram-positive and Gram-negative bacteria and mild to moderate activity against some fungi. A large zone of inhibition was observed (19 mm) against Staphylococcus aureus. Test materials at a concentration of 400 microg disc(-1) were used to evaluate the antimicrobial activity while Kanamycin at a concentration of 30 microg disc(-1) was used as positive control in this study. Among different fractions, dichloromethane fraction showed significant antimicrobial activity against Gram-positive, Gram-negative and fungi. The most significant antimicrobial activity was seen against Staphylococcus aureus which reflects it potentiality to be used in skin infections.",M1
20384855,"Autohydrolysis of plant xylans by apoplastic expression of thermophilic bacterial endo-xylanases.The genes encoding the two endo-xylanases XynA and XynB from the thermophilic bacterium Dictyoglomus thermophilum were codon optimized for expression in plants. Both xylanases were designed to be constitutively expressed under the control of the CaMV 35S promoter and targeted to the apoplast. Transient expression in tobacco and stable expression in transgenic Arabidopsis showed that both enzymes were expressed in an active form with temperature optima at 85 degrees C. Transgenic Arabidopsis accumulating heterologous endo-xylanases appeared phenotypically normal and were fully fertile. The highest xylanase activity in Arabidopsis was found in dry <e>stems</e> indicating that the enzymes were not degraded during stem senescence. High levels of enzyme activity were maintained in cell-free extracts from dry transgenic stems during incubation at 85 degrees C for 24 h. Analysis of cell wall polysaccharides after heat treatment of wildtype and transgenic extracts from dry stems showed a decrease in the molecular weight of xylans from transgenic stems.",M1
20353009,"[Changes of lignans' content in <e>stems</e> of Schisandra chinensis]OBJECTIVE: To determine lignan content in the vine stem of Schisandra chinensis during 12 months and provide the scientific basis for the development and utilization of the resources. METHOD: Analysis was carried out on an Eclipse XDB C18 column eluted with a mixture of methanol-acetonitrile-water (43: 28: 29) as the mobile phase. The flowrate was 1.0 mL x min(-1), and the detection wavelength was set at 250 nm. Schisandrin, deoxyschizandrin and schisandrin B were used as reference substance, and the external standard method was used. RESULT: The content of three constituents in the vine stem varied under different months. Schisandrin's maximum is 2.3 mg x g(-1) in December, minimum is 1.4 mg x g(-1) in April. A Deoxyschizandrin's maximum is 0.8 mg x g(-1) in November, minimum is 0.4 mg x g(-1) in March; Schisandrin B's maximum is 3.0 mg x g(-1) in January, minimum is 1.1 mg x g(-1) in April. CONCLUSION: The collection seasons for the vine stem of S. chinensis are autumn and winter.",M1
20352262,"Sugarcane DIRIGENT and O-methyltransferase promoters confer <e>stem</e>-regulated gene expression in diverse monocots.Transcription profiling analysis identified Saccharum hybrid DIRIGENT (SHDIR16) and Omicron-Methyltransferase (SHOMT), putative defense and fiber biosynthesis-related genes that are highly expressed in the stem of sugarcane, a major sucrose accumulator and biomass producer. Promoters (Pro) of these genes were isolated and fused to the beta-glucuronidase (GUS) reporter gene. Transient and stable transgene expression analyses showed that both Pro( DIR16 ):GUS and Pro( OMT ):GUS retain the expression characteristics of their respective endogenous genes in sugarcane and function in orthologous monocot species, including rice, maize and sorghum. Furthermore, both promoters conferred stem-regulated expression, which was further enhanced in the stem and induced in the leaf and root by salicylic acid, jasmonic acid and methyl jasmonate, key regulators of biotic and abiotic stresses. Pro( DIR16 ) and Pro( OMT ) will enable functional gene analysis in monocots, and will facilitate engineering monocots for improved carbon metabolism, enhanced stress tolerance and bioenergy production.",M1
20339142,"Changes of xylem sap ionic content and <e>stem</e> hydraulics in response to irradiance in Laurus nobilis.This study reports experimental evidence for light-mediated changes of stem hydraulic conductance (K(stem)) in field-grown laurel plants. Field measurements based on the evaporative flux method revealed that sun-exposed branches had 60% higher K(stem) with respect to shade-exposed branches. Xylem sap potassium concentration was approximately 3 mM as recorded in shaded branches and up to 12 mM in illuminated ones. Such a difference in [K(+)] proved to induce significant increase in xylem hydraulic conductance of excised twigs when artificially perfused with various solutions, as a likely consequence of the interaction of cations with the pectic matrix of pit membranes (the so-called 'ionic effect'). We propose that this mechanism provides plants with a large potential for fine regulation of water flow towards different parts of the canopy exposed to different environmental conditions with the result of optimizing light and water utilization.",M1
20337487,"Limonoids and triterpenoids from the <e>stem</e> bark of Melia toosendan.Four new limonoids (1, 3, 4, 6), named meliatoosenins A-D, eight new euphane- and tirucallane-type triterpenoids (8-15), named meliasenins A-H, and 13 known compounds have been isolated from the stem bark of Melia toosendan. The structures of new compounds were established on the basis of 1D and 2D NMR experiments ((1)H-(1)H COSY, HSQC, HMBC, and ROESY).",M1
20334125,"A new triterpenoid saponin from the <e>stem</e> bark of Pometia pinnata.Phytochemical investigation of the stem bark of Pometia pinnata resulted in the isolation of a new triterpenoidal saponin. The structure of the new compound, pometin (1), was established as 3-O-[beta-D-glucopyranosyl-(1 --&gt; 2)-beta-D-glucopyranosyl-(1 --&gt; 3)-beta-D-glucopyranosyl]-oleanolic acid based on 1D and 2D-NMR analysis including COSY, 2D J-resolved, HMQC, HMBC correlations and chemical transformations.",M1
20334123,"Two new terpenoids from Trichilia quadrijuga (Meliaceae).Two new terpenoids, ambrosanoli-10(14)-en-11,12-diol (1), a sesquiterpene named quadrijugol, and a pregnane steroid, 3beta,4beta-dihydroxypregnan-16-one (2), were isolated from the <e>stem</e> and leaves of Trichilia quadrijuga, along with eleven known compounds, spathulenol, kudtdiol, 2beta,3beta,4beta-trihydroxypregnan-16-one, bourjotinolone B, piscidinol, niloticin, dihydroniloticin, beta-sitosterol, 3-O-beta-D-glucopyranosyl-sitosterol, itesmol and stigmasterol. Structures were elucidated by spectral data analysis, mainly afforded by 1H and 3C NMR (1D and 2D NMR HMQC, HMBC, NOESY and COSY) and mass spectra.",M1
