@RELATION C0036319_C0036330

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20503597,"Effect of plant molluscicides on selected enzymes related to energy metabolism in Biomphalaria arabica snails molluscan hosts to <e>Schistosoma mansoni</e> in Saudi Arabia.Schistosomiasis is one of the most important human parasitic diseases. One of the possible methods for the control is through the molluscan intermediate host of the parasite. Biomphalaria arabica, molluscan hosts to Schistosoma mansoni in Saudi Arabia were treated with sublethal concentrations (LC25) of dry powdered leaves Solanum nigrum. Effect of plant on ectonucleotidases (NTPdases) (ADPase &amp; ATPase), sodium/potassium adenosine triphosphatase (Na+/K+ ATPase) and creatine kinase (CK) was traced. The plant molluscicide was potent in inhibiting the four investigated enzymes giving a percentage inhibition range between 45-55%. The effect of the inhibited enzymes on the compatibility of the snail hosts to schistosome parasite was discussed. In conclusion, the use of sublethal concentration of S. nigrum to disturb the biochemical profile of the snail hosts could be a promising and safe strategy to control the disease.",M1
20464131,"The effects of the experimental infection from a focus of transmission of <e>Schistosoma mansoni</e> in a population of Biomphalaria tenagophila (D'Orbigny, 1835) in the region of  Vale do Ribeira de Iguape , Brazil.To observe the effects of the parasitic infection on the biology of B. tenagophila, field and laboratory populations of this mollusk from Itariri, in Vale do Ribeira, Brazil, were experimentally infected. Each mollusk received 10 miracidia of Schistosoma mansoni (SJ lineage) and was observed throughout the parasite's development. The biological variables were compared according to the criteria  group  and  infectious phase . The main damage caused by the parasitic infection manifested itself in reproduction, longevity and lesions on the shell of the mollusks in the patent phase. An infection rate of 58.8% was observed. Microanatomical study of the mollusk's digestive gland and ovotestis revealed the presence of evolving larval forms and cercariae. It was concluded that the effects of the parasitic infection on both populations were moderate, despite the low survival rate of the infected mollusks, the damage did not prevent either reproduction or the elimination of cercariae, which continued for a long time.",M1
20440060,"<e>Schistosoma mansoni</e> soluble egg antigens enhance HCV replication in mammalian cells.BACKGROUND: This work demonstrates successful propagation of HCV in HepG2 and human blood cells as well as viral shedding into their culture media. The influence of Schistosoma mansoni crude soluble egg antigens (SEA) on the rate of viral propagation in both mammalian cells was also monitored. METHODOLOGY: HepG2 cells were inoculated with HCV viremic human sera and some wells were exposed to HCV infection in presence of SEA. Cells were harvested for RT-PCR and Western blotting analysis. HepG2 media was collected for HCV ELISA. Blood samples from HCV-infected humans were cultured in the presence and absence of SEA. Media were collected at different time points post culturing and subjected to HCV ELISA. RESULTS: The ELISA concentration of HCV antigens were generally higher in media of infected HepG2 cells compared to media of control cells at all time intervals post infection. Western blots showed reactivity to immunogenic peptides of different molecular weights in lysate of infected HepG2 cells that were not evidenced in uninfected cells. In presence of SEA, RT-PCR results revealed earlier detection of viral RNA in infected HepG2 cells compared to in absence of such bilharzial antigen. Also, ELISA results revealed higher levels of detected HCV antigens in media of both infected HepG2 and blood cells cocultured with S. mansoni SEA compared to that of cultured infected cells in absence of the parasite antigens. CONCLUSION: HepG2 cells as well as whole blood cultures maintain HCV replication. Furthermore, SEA has the potential to enhance HCV propagation.",M1
20170964,"<e>Schistosoma mansoni</e> worm glycolipids induce an inflammatory phenotype in human dendritic cells by cooperation of TLR4 and DC-SIGN.In schistosomiasis, a major human parasitic disease caused by helminths, different life-stages of the parasite contribute to the developing host immune response. To increase our understanding of the mechanisms that play a role in shaping the host immune responses, we have investigated the effects of schistosome glycoconjugates on the phenotype of dendritic cells (DCs), which form a crucial link between the innate and the adaptive immunity. We show here that Schistosoma mansoni worm glycolipids induce DC activation as indicated by upregulation of the maturation markers CD80, CD86 and MHC-II, as well as the production of the cytokines interleukin-12 p40 (IL-12 p40), IL-10, IL-1beta, IL-6, IL-8 and tumor necrosis factor-alpha (TNF-alpha). Co-culture of glycolipid-primed DCs with naïve T cells results in skewing of the T cell response towards a Th1 profile. Remarkably, the DC activation is dependent on fucosylated glycan moieties of the glycolipids. On the DCs, the C-type lectin DC-SIGN and TLR4 are both critically involved in the induced activation, as was demonstrated by using monoclonal antibodies that block interaction of these receptors with the glycolipids. Furthermore, whereas the worm glycolipids were not able to activate HEK 293 cells expressing TLR4, they did show TLR4 activation after introduction of DC-SIGN in the HEK 293-TLR4 cells. Our data provide evidence for a novel function of DC-SIGN as an essential co-receptor for TLR4-induced activation of human DCs. This mechanism of TLR4 activation by worm glycolipids may contribute to eliciting Th1 immune responses in schistosome infection.",M1
20169182,"The Syk kinase SmTK4 of <e>Schistosoma mansoni</e> is involved in the regulation of spermatogenesis and oogenesis.The signal transduction protein SmTK4 from Schistosoma mansoni belongs to the family of Syk kinases. In vertebrates, Syk kinases are known to play specialized roles in signaling pathways in cells of the hematopoietic system. Although Syk kinases were identified in some invertebrates, their role in this group of animals has not yet been elucidated. Since SmTK4 is the first Syk kinase from a parasitic helminth, shown to be predominantly expressed in the testes and ovary of adult worms, we investigated its function. To unravel signaling cascades in which SmTK4 is involved, yeast two-/three-hybrid library screenings were performed with either the tandem SH2-domain, or with the linker region including the tyrosine kinase domain of SmTK4. Besides the Src kinase SmTK3 we identified a new Src kinase (SmTK6) acting upstream of SmTK4 and a MAPK-activating protein, as well as mapmodulin acting downstream. Their identities and colocalization studies pointed to a role of SmTK4 in a signaling cascade regulating the proliferation and/or differentiation of cells in the gonads of schistosomes. To confirm this decisive role we performed biochemical and molecular approaches to knock down SmTK4 combined with a novel protocol for confocal laser scanning microscopy for morphological analyses. Using the Syk kinase-specific inhibitor Piceatannol or by RNAi treatment of adult schistosomes in vitro, corresponding phenotypes were detected in the testes and ovary. In the Xenopus oocyte system it was finally confirmed that Piceatannol suppressed the activity of the catalytic kinase domain of SmTK4. Our findings demonstrate a pivotal role of SmTK4 in gametogenesis, a new function for Syk kinases in eukaryotes.",M1
20163751,"<e>Schistosoma mansoni</e>: signal transduction processes during the development of the reproductive organs.Among the topics of considerable interest concerning our understanding of the unusual biology of schistosomes is the sexual maturation of the female. The identification of genes coding for signal transduction proteins controlling essential steps of the pairing-dependent differentiation of the reproductive organs, vitellarium and ovary will help to substantiate our knowledge about this unique parasite. Furthermore, such signalling proteins could be potential targets to interfere with the development of this parasite to combat schistosomiasis since its pathology is caused by the eggs. This review summarises first post-genomic steps to elucidate the function of gonad-specific signalling molecules which were identified by homology-based cloning strategies, by in silico identification or by yeast two-hybrid interaction analyses, using a combination of novel techniques. These include the in vitro culture of adult schistosomes, their treatment with chemical inhibitors to block enzyme activity, the use of RNAi to silence gene function post-transcriptionally, and confocal laser scanning microscopy to study the morphological consequences of these experimental approaches. Finally, we propose a first model of protein networks that are active in the ovary regulating mitogenic activity and differentiation. Some of these molecules are also active in the testes of males, probably fulfilling similar roles as in the ovary.",M1
20161728,"Transcriptional changes in <e>Schistosoma mansoni</e> during early schistosomula development and in the presence of erythrocytes.BACKGROUND: Schistosomes cause more mortality and morbidity than any other human helminth, but control primarily relies on a single drug that kills adult worms. The newly transformed schistosomulum stage is susceptible to the immune response and is a target for vaccine development and rational drug design. METHODOLOGY/PRINCIPAL FINDINGS: To identify genes which are up-regulated during the maturation of Schistosoma mansoni schistosomula in vitro, we cultured newly transformed parasites for 3 h or 5 days with and without erythrocytes and compared their transcriptional profiles using cDNA microarrays. The most apparent changes were in the up-regulation of genes between 3 h and 5 day schistosomula involved in blood feeding, tegument and cytoskeletal development, cell adhesion, and stress responses. The most highly up-regulated genes included a tegument tetraspanin Sm-tsp-3 (1,600-fold up-regulation), a protein kinase, a novel serine protease and serine protease inhibitor, and intestinal proteases belonging to distinct mechanistic classes. The inclusion of erythrocytes in the culture medium resulted in a general but less pronounced increase in transcriptional activity, with the highest up-regulation of genes involved in iron metabolism, proteolysis, and transport of fatty acids and sugars. CONCLUSIONS: We have identified the genes that are up-regulated during the first 5 days of schistosomula development in vitro. Using a combination of gene silencing techniques and murine protection studies, some of these highly up-regulated transcripts can be targeted for future development of new vaccines and drugs.",M1
20158148,"Schistosomicidal evaluation of Zanthoxylum naranjillo and its isolated compounds against <e>Schistosoma mansoni</e> adult worms.Chemical investigation of the EtOAc fraction (EF) obtained from the ethanolic extract of Zanthoxylum naranjillo (Rutaceae) leaves (EE) by preparative HPLC resulted in the isolation of protocatechuic acid (1), gallic acid (2), p-hydroxybenzoic acid (3), and 5-O-caffeoylshikimic acid (4). This is the first time that the presence of compounds 1-4 in Z. naranjillo has been reported. Compounds 1-4, the EE, and EF were tested in vitro against Schistosoma mansoni adult worms. The results showed that the S. mansoni daily egg production decreased by 29.8%, 13.5%, 28.4%, 17.7%, 16.3%, and 6.4%, respectively. Compounds 1 and 3 were also able to separate adult worm pairs into male and female. This activity may be correlated with the reduction in egg production, since 1 and 3 showed better inhibitory properties compared with 2 and 4.",M1
20149792,"Imatinib has a fatal impact on morphology, pairing stability and survival of adult <e>Schistosoma mansoni</e> in vitro.Schistosomes cause bilharzia (schistosomiasis), one of the most prevalent parasitic diseases for human and animals worldwide. Praziquantel (PZQ) is the only widely used drug for treatment and control of this parasitemia. Since a vaccine is not yet available, and in light of emerging resistance against PZQ, the search for alternatives has high priority. Here we present that Imatinib, a compound used in human cancer therapy (Gleevec; STI-571), significantly affected schistosome morphology and physiology in vitro. Besides its negative effect on gonad development and pairing stability, Imatinib led to pathological alterations of the gastrodermis, which finally caused the death of the parasite.",M1
20135718,"<e>Schistosoma mansoni</e> proteins attenuate gastrointestinal motility disturbances during experimental colitis in mice.AIM: To investigate the therapeutic effect of Schistosoma mansoni (S. mansoni) soluble worm proteins on gastrointestinal motility disturbances during experimental colitis in mice. METHODS: Colitis was induced by intrarectal injection of trinitrobenzene sulphate (TNBS) and 6 h later, mice were treated ip with S. mansoni proteins. Experiments were performed 5 d after TNBS injection. Inflammation was quantified using validated inflammation parameters. Gastric emptying and geometric center were measured to assess in vivo gastrointestinal motility. Peristaltic activity of distal colonic segments was studied in vitro using a modified Trendelenburg set-up. Cytokine profiles of T-lymphocytes isolated from the colon were determined by real time reverse transcriptase-polymerase chain reaction. RESULTS: Intracolonic injection of TNBS caused severe colitis. Treatment with S. mansoni proteins significantly ameliorated colonic inflammation after 5 d. TNBS did not affect gastric emptying but significantly decreased the geometric center and impaired colonic peristaltic activity 5 d after the induction of colitis. Treatment with S. mansoni proteins ameliorated these in vivo and in vitro motility disturbances. In addition, TNBS injection caused a downregulation of effector T cell cytokines after 5 d, whereas a S. mansoni protein effect was no longer observed at this time point. CONCLUSION: Treatment with S. mansoni proteins attenuated intestinal inflammation and ameliorated motility disturbances during murine experimental colitis.",M1
