@RELATION C0036563_C0036614

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20191348,"Improvement of the extraction efficiency of D-amygdalin from Armeniacae <e>Semen</e> powder through inactivating emulsin and suppressing the epimerization of D-amygdalin.Armeniacae Semen contains not only amygdalin but also emulsin, which is an enzyme that hydrolyzes amygdalin. This hydrolysis reaction has been a major problem associated with the water extraction of Armeniacae Semen powder. In this study, the emulsin was inactivated by extracting Armeniacae Semen powder at a constant temperature of 90 degrees C. In addition, in order to suppress the epimerization of D-amygdalin, the extraction time was kept to less than 8 min. The use of a 10 mM sodium phosphate buffer (pH 2.3) containing 13.5% acetonitrile as a mobile phase in reversed-phase HPLC was effective in separating and analyzing the D-amygdalin and neoamygdalin. The linearity between the concentrations and detector responses was obtained in the range of 0.05 to 0.5 mM. The detection limits for D-amygdalin and neoamygdalin were approximately 5 microM per amount injected.",M1
20191290,"In vivo anthelmintic activity of crude extracts of Radix angelicae pubescentis, Fructus bruceae, Caulis spatholobi, <e>Semen</e> aesculi, and Semen pharbitidis against Dactylogyrus intermedius (Monogenea) in goldfish (Carassius auratus).In search of a natural antiparasitic, in vivo anthelmintic activity of petroleum ether, chloroform, ethyl acetate, methanol, and aqueous extracts of Angelica pubescens roots (Radix angelicae pubescentis), Brucea javanica fruits (Fructus bruceae), Spatholobus suberectus stems (Caulis spatholobi), Aesculus chinensis Bge. seeds (Semen aesculi), and Pharbitis purpurea (L.) Voigt seeds (Semen pharbitidis) were tested against Dactylogyrus intermedius (Monogenea) in goldfish (Carassius auratus). Among the extracts tested, the methanolic and aqueous extracts of S. aesculi were observed to be more efficient than the other plant extracts with EC(50) and EC(90) values of 5.23 and 7.33 mg/L and 6.48 and 12.29 mg/L after 48 h, respectively, followed by methanolic extracts of Fructus bruceae, Radix angelicae pubescentis, Caulis spatholobi, and Semen pharbitidis with EC(50) 49.96, 57.45, 64.92, and 309.47 mg/L. The methanolic and aqueous extracts of S. aesculi exhibited potential results and can be exploited as a preferred natural antiparasitic for the control of D. intermedius.",M1
19912670,"Mutagenicity of Chinese traditional medicine <e>Semen</e> Armeniacae amarum by two modified Ames tests.BACKGROUND: Semen armeniacae amarum (SAA) is a Chinese traditional medicine and has long been used to control acute lower respiratory tract infection and asthma, as a result of its expectorant and antiasthmatic activities. However, its mutagenicity in vitro and in vivo has not yet been reported. The Ames test for mutagenicity is used worldwide. The histidine contained in biological samples can induce histidine-deficient cells to replicate, which results in more his+ colonies than in negative control cells, therefore false-positive results may be obtained. So, it becomes a prerequisite to exclude the effects of any residual histidine from samples when they are assayed for their mutagenicity. Chinese traditional herbs, such as SAA, are histidine-containing biological sample, need modified Ames tests to assay their in vitro mutagenicity. METHODS: The mutagenicity of SAA was evaluated by the standard and two modified Ames tests. The first modification used the plate incorporation test same as standard Ames teat, but with new negative control systems, in which different amounts of histidine corresponding to different concentrations of SAA was incorporated. When the number of his+ revertants in SAA experiments was compared with that in new negative control, the effect of histidine contained in SAA could be eliminated. The second modification used a liquid suspension test similar to the standard Ames test, except with histidine-rich instead of histidine-limited medium. The aim of this change was to conceal the effect of histidine contained in SAA on the final counting of his+ revertants, and therefore to exclude false-positive results of SAA in the Ames test. Furthermore, the effect of SAA on chromosomal aberration in mammalian bone marrow cells was tested. RESULTS: The standard Ames test showed a positive result for mutagenicity of SAA. In contrast, a negative response was obtained with the modified plate incorporation and modified suspension Ames tests. Moreover, no apparent chromosomal aberrations were observed in mammalian bone marrow cells treated with SAA. CONCLUSION: The standard Ames test was not suitable for evaluating the mutagenicity of SAA, because false-positive result could be resulted by the histidine content in SAA. However, the two modified Ames tests were suitable, because the experimental results proved that the effect of histidine in SAA and therefore the false-positive result were effectively excluded in these two modified Ames tests. This conclusion needs more experimental data to support in the future. Moreover, the experimental results illustrated that SAA had no mutagenicity in vitro and in vivo. This was in agreement with the clinical safety of SAA long-term used in China.",M1
19682877,"Pharmacological studies on the sedative-hypnotic effect of <e>Semen</e> Ziziphi spinosae (Suanzaoren) and Radix et Rhizoma Salviae miltiorrhizae (Danshen) extracts and the synergistic effect of their combinations.Semen Ziziphi spinosae (Suanzaoren in China) and Radix et Rhizoma Salviae miltiorrhizae (Danshen in China) are conventional herbal drugs in traditional Chinese medicine and have been used widely for the treatment of insomnia. In the present study, the sedative-hypnotic activity of the active fractions extracted from Suanzaoren and Danshen were studied using the method of pentobarbital-induced sleep in the mouse model. Qualitative analysis of the standardized extracts was carried out by HPLC-DAD. The results showed that the water extract of Suanzaoren (SWE) (400 and 800 mg/kg body wt.) and the ether extract of Danshen (DTT) (300 and 600 mg/kg body wt.) can shorten sleep latency significantly, increase sleeping time and prolong movement convalescence time induced by sodium pentobarbital (55 mg/kg body wt.) administration in mice. Furthermore, the combination of SWE and DTT showed significant synergistic effect (p&lt;0.05) in decreasing sleep latency and increasing sleeping time, but not in prolonging the movement convalescence time, which might be helpful for energy recovery in the treatment of insomnia. The results suggest that SWE, DTT, and the combination of SWE and DTT possess significant sedative-hypnotic activity, which supports the popular use of Suanzaoren and Danshen for treatment of insomnia and provide the basis for new drug discovery. Furthermore, the results demonstrate that the combination of SWE and DTT may be preferable for the treatment of insomnia.",M1
19260283,"[<e>Semen</e> descurainiae inhibits CYP11B1, CYP11B2 and TGF-beta1 mRNA expression in left ventricular]OBJECTIVE: To investigate the effects of Semen descurainiae and Captopril on CYP11B1, CYP11B2 and TGF-beta1 mRNA expression of heart tissue in rats treated with Abdominal Aortic Banding. METHODS: Ventricular remodeling was induced by abdominal aortic banding (AAB) in rats. After 30 days' treatment, the ratios of LVW/BW (left ventricle weight/body weight), HW/BW (heart weight/body weight) were calculated; Then the CYP11B, CYP11B2 and TGF-beta1 mRNA expression of left ventricle were detected by Real-time PCR, respectively. RESULTS: The experimental data demonstrated that Semen descurainiae decreased the indexes of LVW/BW and HW/BW, down-regulated CYP11B, CYP11B2 and TGF-beta1 mRNA expression in left ventricle (P&lt;0.05). CONCLUSION: Semen desceurainiae can significantly inhibit the experimental ventricular remodeling; the mechanism is related to its ability to attenuate the mRNA expression of CYP11B1, CYP11B2 and TGF-beta1 in left ventricle. The inhibition of aldosterone key gene expression by Semen descurainiae may contribute to its effect on restraint cardiac remodeling.",M1
19246083,"Improvement of liquid and frozen-thawed <e>semen</e> quality of Nili-Ravi buffalo bulls (Bubalus bubalis) through supplementation of fat.The aim of the study was to investigate the effects of dietary fat on quality of liquid and frozen-thawed semen of Nili-Ravi buffalo bulls. Adult bulls (n=21) were fed a balanced ration (Con; n=7) or the same ration either containing sunflower oil (SF-O; n=7) or whole sunflower seeds (SF-S; n=7) for 63 days. Body weight and body condition score of each bull was recorded on days 0, 30 and 60 of the experiment. Semen was collected on days 39, 46, 53 and 60, frozen by a fast method and stored at -196 degrees C for 24h. Sperm motility was assessed using a bright field microscope. Plasma membrane integrity of fresh and frozen-thawed spermatozoa was assessed using a hypo-osmotic swelling (HOS) assay. The concentration of spermatozoa and volume of semen was not different among groups on various days of collection. Sunflower-enriched diets did not affect the motility and number of HOS-positive spermatozoa in the fresh semen. Motility and HOS of post-thawed spermatozoa were higher (p&lt;0.05) in bulls fed the sunflower-enriched diets. Similarly, diets did not affect the body condition score and body weight of bulls. In conclusion, feeding of sunflower oil or sunflower seed as fat sources can improve the quality of buffalo bull spermatozoa.",M1
19230414,"[Prevention and treatment of experimental liver fibrosis in rats by <e>Semen</e> Hoveniae extracts]OBJECTIVE: To investigate the prevention and treatment of experimental liver fibrosis in rats by Semen Hoveniae extracts (SHE). METHODS: Rats liver fiborsis model was induced by carbon tetrachloride (CCl4). SD rats were randomly divided into six groups: the normal control group, the model control group, the positive control group and the SHE groups. The level of serum procollgan type-III (PC-III), hyaluronic acid (HA), laminin (LN) and liver function were measured, respectively. Liver histological examination was made. RESULTS: SHE could ameliorate CCl4-induced liver fibrosis significantly. The lever of serum PC-III, HA, LN decreased and liver function was improved. The histological examination also demonstrated its anti-fibrotic effect. CONCLUSION: SHE have anti-fibrotic effect on liver in vivo, and may have potential value for clinical use.",M1
19230413,"[Effects of <e>Semen</e> Ziziphi Spinosae extracts on body temperature and weight gain of chickens in hot environment]OBJECTIVE: To validate the decreasing body temperature effect of Semen Ziziphi Spinosae extracts (SZSE) on chickens in hot environment and study its functions of sunstroke and hot-stress prevention. METHODS: Ninety 1-day-old San-huang chickens were randomly divided into air-conditioning group, hot-treatment group,and SZSE group. The feed for SZSE group was added SZSE as 1 g/kg. The recta temperatures were recorded when chickens were 1, 14, 35 and 42 days old, and chickens were weighed when they were 35 and 56 days old. RESULTS: The body temperatures of SZSE group were remarkably lower than the hot-treatment group at 14th, 35th, 42th day (P&lt;0.05), but the average daily weight gain was higher at 35th and 56th day. CONCLUSION: SZSE can decrease body temperature and increase weight gain of chickens in hot environment.",M1
19230409,"[Effect of <e>Semen</e> Litchi containing serum on proliferation and apoptosis of HepG2 cells]OBJECTIVE: To observe the effect of Semen Litchi containing serum on proliferation and apoptosis of HepG2 cells. METHODS: The Semen litchi or CTX containing serum and control serum were prepared by serologic pharmacology method. MTT assay was used to observe the proliferation inhibition rate of HepG2 cells after incubated with different kinds of drug's containing serum. Nuclear morphological features of HepG2 cells were detected by fluorescencemicroscopy after staining with Hochest33258. The apoptosis rate of HepG2 cells in each group was detected by flow cytometry. RESULTS: The cell viability and the apoptosis rate of HepG2 cells in Semen Litchi containing serum groups were higher than that of control group, and the results of fluorescencemicroscopy observation showed the nuclear morphological change of apoptosis. CONCLUSION: Semen Litchi can inhibit the proliferation of HepG2 cells, the acting mechanism may be concerned with cell apoptosis.",M1
19182403,"Characterization of flavonoid metabolites in rat plasma, urine, and feces after oral administration of <e>Semen</e> Ziziphi Spinosae extract by HPLC-diode-array detection (DAD) and ion-trap mass spectrometry (MS(n)).A highly specific and sensitive method using high performance liquid chromatography coupled with diode-array detection and ion-trap mass spectrometry (HPLC-DAD-MS(n)) was developed for study of the constituents of flavonoid extract of jujube seeds and the metabolites in rat plasma, urine, and feces samples after oral administration of flavonoid extract of jujube seeds. Two major flavonoids (spinosin and 6'''-feruloylspinosin) with content &gt;60% in the flavonoid extract of jujube seeds were detected and confirmed by comparison with the reference standards. Furthermore, five metabolic components in plasma, seven in urine, and four in feces were detected and elucidated. The scientific and plausible biotransformation pathways of the main components in flavonoid extract of jujube seeds were also proposed, together with presentation of clues for potential bioactive mechanisms. This convenient HPLC-DAD-MS(n) method could be used to identify the chemical components of flavonoid extract of jujube seeds as well as their metabolites, and to reveal their possible metabolic mechanism of action in vivo.",M1
19151733,"Sperm quality improvement after date seed oil in vitro supplementation in spontaneous and induced oxidative stress.In vitro supplementation with date seed oil (DSO) can protect spermatozoa against hydrogen peroxide (H2O2)-mediated damage and can improve sperm function, possibly owing to antioxidant properties. We tested the antioxidant effects of DSO on human sperm motility, sperm viability, reacted acrosome and lipid peroxidation assessed in vitro after H2O2-mediated oxidative damage in spermatozoa. Sixteen patients (mean age: 35 years; range: 25-45 years) referred to the Histology-Embryology Laboratory of the Medicine Faculty of Sfax for <e>semen</e> analysis after 12-24 months of sexual intercourse without conception were selected. After spermiogram, sperm selection by two-interface discontinuous Sill Select gradient was performed, and selected spermatozoa were used in four experimental assays: control; incubation with 100 microm H2O2; incubation with 0.1% DSO; and co-incubation with 0.1% DSO and 100 microm H2O2. Motility and viability were determined using World Health Organization criteria. Acrosome reaction and lipid peroxidation were assessed by staining with fluorescein isothiocyanate-Pisum sativum and spectrophotometric measurement of malondialdehyde, respectively. Results showed that incubation with H2O2 alone led to a significant increase in lipid peroxidation (57.83%, P&lt;0.05) associated with a significant decrease in sperm motility, sperm viability (after 30 min and 24 h) and percentage of reacted acrosome (P&lt;0.05). Date seed oil improved sperm motility after 24 h of incubation (P&lt;0.05) and protected spermatozoa against the deleterious effects of H2O2 on motility, viability, acrosome reaction and lipid peroxidation. We conclude that supplementation with DSO may have a function in antioxidant protection against male infertility.",M1
18640256,"The total flavones from <e>Semen</e> cuscutae reverse the reduction of testosterone level and the expression of androgen receptor gene in kidney-yang deficient mice.OBJECTIVE: To discover the effect of the total flavones from Semen cuscutae (TFSC) on the kidney-yang deficiency male mouse, especially on hormone levels and the androgen receptor (AR) mRNA and protein level in the kidney and testicle. METHODS: ICR male mouse were separated into six groups, and, except for the normal group, hydrocortisone was injected intraperitoneally to make the kidney-yang deficiency. The groups were then treated with TFSC, methyltestosterone and Jinkui Shenqi Wan, except for the normal group and control group. 14 days after administering, testosterone levels in the total serum were analysed by radioimmunoassay, AR mRNA levels measured by real time RT-PCR and protein levels by immunohistochemistry. RESULTS: The control group had the lowest testosterone level, AR mRNA level and protein level, and the TFSC can reverse the reduction of testosterone level, AR mRNA level and protein level induced by the hydrocortisone. CONCLUSIONS: This is the first study to demonstrate that TFSC treatment may reverse kidney-yang deficiency symptoms by restoring the levels of testosterone and AR mRNA and protein expression in the kidney and testicle.",M1
18598173,"The pericarp extract of Prunus persica attenuates chemotherapy-induced acute nephrotoxicity and hepatotoxicity in mice.The fruit of Prunus persica L. (peach) is one of the common fruits. Its seed is well known as a traditional medicine (Persicae <e>Semen</e>) in Japan, China, and other Asian countries. However, the biological activities of P. persica fruit except its seed are poorly understood. This study was aimed at evaluating the protective effect of the pericarp extract of P. persica (PPE) against cisplatin-induced acute toxicity in mice. PPE (500 mg/kg, p.o.) showed a significant protection against the acute nephrotoxicity and hepatotoxicity induced by a single administration of cisplatin (45 mg/kg, i.p.) over a 16-hour period in mice. Its protective effect was evaluated by serum and tissue biochemical parameters. The pretreatment with PPE for 7 days prevented the cisplatin-induced decrease in the kidney and liver weights as a percentage of the total body weight. PPE significantly inhibited both the cisplatin-induced elevation in serum blood urea nitrogen and creatinine levels caused by kidney damage and the cisplatin-induced increase in serum alanine aminotransferase and aspartate aminotransferase levels by the liver damage. In addition, the administration of PPE caused recovery of the cisplatin-mediated changes in levels of serum nitric oxide and tissue lipid peroxidation, and reduced glutathione content returned to control levels. These results suggest that PPE protects against cisplatin-induced nephrotoxicity and hepatotoxicity by reducing cisplatin-induced oxidative stress in mice.",M1
18559247,"[Research on pharmacology, toxicology and safety of <e>Semen</e> Strychni: review and prospect]",M1
18346626,"Longitudinal changes in the disability level of the elders with low back pain after auriculotherapy.OBJECTIVE: To evaluate the longitudinal changes in the disability level of elders with LBP after receiving auriculotherapy. DESIGN: Randomized controlled trial. SETTINGS: Sixty participants who were 60 years old or above and who were suffering from LBP were recruited from five hostels for the elders in Hong Kong. INTERVENTIONS: The participants were randomly allocated to receive a 3-week session of auriculotherapy using either <e>semen</e> vaccariae (control group=30) or magnetic pellets (experimental group=30). Seven auricular acupoints that are expected to have an effect on LBP were selected. MAIN OUTCOME MEASURES: Assessment data were collected at five points of time: (i) baseline, (ii) about 1.5 weeks of treatment, (iii) 3 weeks of treatment, (iv) 2 weeks post-treatment, and (v) 4 weeks post-treatment using the modified Aberdeen low back pain disability scale (Chinese). RESULTS: When the rate of change was compared between the two groups at each point of time starting from the baseline, those in the experimental group demonstrated significant improvement in the overall disability level, pain/sensation, and physical and functional abilities at 1.5 weeks of treatment (p&lt;0.001), 3 weeks of treatment (p&lt;0.001), 2 weeks post-treatment (p&lt;0.001), and 4 weeks post-treatment (p&lt;0.001). CONCLUSION: Longitudinal changes in the improvement of disability level were found among the elders with low back pain after receiving auriculotherapy using magnetic pellets.",M1
18338620,"[HPLC fingerprints in seed of Celosia argentea]For preferable authentication and regulation of material quality of Celosia argentea, HPLC fingerprints of different habitats were studied. Analysis was carried out on a Hypersil ODS2 column (4.6 mm x 250 mm, 5 microm) with acetonitrile-0.1% glacial acetic acid as the mobile phase, and eluates were detected by an evaporative light scattering detector (ELSD). The similarity evaluation system for chromatographic fingerprint of traditional Chinese medicine ( Version 2004 A) was applied to analyses the similarity of the fingerprint of diverse habitats. The similarity results were verified by SPSS. The chromatographic profiles of the samples from different regions were very similar. HPLC fingerprints of <e>Semen</e> C. argentea 12 common peaks and each peak in the fingerprint was well separated under the chromatographic condition above. The different habitats of C. argentea can be grouped to two types: the middle region and the south region. The chemical constituents of C. argentea vary with different habitats so selection of material habitat is very important for quality control of C. argentea. The fingerprint with high individuality and specificity could be applied in the identification and quality control of the material of C. argentea.",M1
18219667,"Authentication of the 31 species of Toxic and Potent Chinese Materia Medica (T/PCMM) by microscopic technique, part 2: Three species of seed T/PCMM.Toxic and Potent Chinese Materia Medica (T/PCMM) are being used more and more in the treatment of various diseases. In view of their toxic side effects and to ensure their safe use, accurate and reliable authentication is indispensable. However, identifying characteristics of T/PCMM are seldom reported, even though modern microscopy can provide ample, unique identifying characteristics from cells found in transverse sections and powders. In particular, no systematic authentication studies on seed T/PCMM have been conducted. In the course of our study on 31 T/PCMM originating from plants, animals, minerals, and secreta, an accurate and convenient method, based on microscopic techniques, has been developed and reported for the authentication of animal T/PCMM. The present study deals with detailed investigations on three species of seed T/PCMM, namely <e>Semen</e> Hyoscyami (Hyoscyamus niger L.), Semen Euphorbiae (Euphorbia lathyris L.), and Semen Strychni (Strychnos nux-vomica L.). The macroscopic characters are here described in detail, and the microscopic characters were conclusively determined by common and polarized light microscopy. Results showed that these three T/PCMM can be easily identified by the present method even when powdered and combined. Thus, the microscopic method is applicable for authentication of the earlier three T/PCMM, and the morphological and microscopic characteristics described here are proposed as parameters to establish the authenticity of these three T/PCMM.",M1
18175965,"An improved method for basic hydrolysis of isoflavone malonylglucosides and quality evaluation of Chinese soy materials.Basic hydrolysis procedure is often included in the sample preparation in order to quantify malonylglucosides or acetylglucosides of soy materials. However, it is preferable not to use NaOH as a hydrolytic reagent considering the effect of its alkalinity on the successive injection to HPLC and low acidity of soy isoflavones. This paper presents an improved method for basic hydrolysis using ammonia as a hydrolytic reagent without the additional neutralization step. Moreover, by means of HPLC and LC-MS methods, a systematic quality evaluation of natural soy materials from Chinese markets were established and discussed, inclusive of soybeans, black soybeans, defatted soy flours, as well as the distribution of isoflavones in the seed coat, hypocotyl and cotyledon. The results indicate that HPLC profiling patterns of originating various isoflavone constituents of Chinese soybeans was similar to those of Japanese ones, and those of Chinese black soybeans was similar to those of American ones. The average content level of total soy isoflavones of Chinese soybeans and black soybeans were a little lower than that of American and Japanese ones. Additionally, the thorough analysis for <e>Semen</e> Sojae Praeparatum, a Chinese herbal medicine made from fermented black soybeans or soybeans was done for the first time and the characteristic of its HPLC profiling patterns shows the higher content of isoflavone glucosides and aglycones than those of natural soy materials.",M1
18097528,"Sperm motility inhibitory effect of the benzene chromatographic fraction of the chloroform extract of the seeds of Carica papaya in langur monkey, Presbytis entellus entellus.AIM: To assess the contraceptive efficacy of the benzene chromatographic fraction of the chloroform extract of the seeds of Carica papaya in langur monkeys. METHODS: The test substance was given p.o. to five monkeys at 50 mg/kg body weight/day for 360 days. Control animals (n=3) received olive oil as vehicle. Sperm parameters as per World Health Organization standards, sperm functional tests, morphology of testis and epididymis, haematology, clinical biochemistry, serum testosterone and libido were evaluated. Following completion of 360 days treatment the animals were withdrawn from the treatment and the recovery pattern was assessed by <e>semen</e> analysis and sperm functional tests. RESULTS: Total inhibition of sperm motility was observed following 60 days of treatment that continued until 360 days study period. Sperm count, percent viability and percent normal spermatozoa showed a drastic decline following 30 days of treatment. Sperm morphology showed predominant mid piece abnormalities. Sperm functional tests scored in sterile range. Histology and ultrastructure of testis revealed vacuolization in the Sertoli cells and germ cells. Loss of cytoplasmic organelles was evident in spermatocytes and round spermatids. Histology and ultrastructure of epididymis of treated animals were comparable to those of control animals. Hematological and serum clinical parameters and testosterone levels fluctuated within the control range throughout the study period. Recovery was evident following 60-120 days of treatment withdrawal. CONCLUSION: The results suggest that the benzene chromatographic fraction of the chloroform extract of the seeds of Carica papaya shows contraceptive efficacy without adverse toxicity, mediated through inhibition of sperm motility.",M1
18051907,"[Effects of ethyl acetate extract of <e>Semen</e> Hoveniae on liver microsomal cytochrome P450 isoenzyme in rat]OBJECTIVE: To investigate the effects of the ethyl acetate extract of Semen Hoveniae (ESH) on liver microsomal cytochrome P450 isoenzyme in rats. METHOD: The rats were given orally the ESH in the doses of 0.14, 0.17, 0.2 g x kg (equivalent to the crude herb) for 10 days respectively. Rat liver microsomal cytochrome P450, NADPH-Cyt C reductase, erythromycin N-demethylase (ERD), Aniline hydroxylase (ANH), aminopyrine N-demethylase (ADM) activities were quantitated by UV chromatography. The levels of mRNA expression of CYP1A1, CYP2C11, CYP2E1 and CYP3A1 were detected by semi-quantitative reverse transcripatase-polymerase chain reaction (RT-PCR). RESULT: The cytochrome P450 content, NADPH-Cyt C reductase activities and erythromycin N-demethylase (ERD) activities were not affected. Aniline hydroxylase (ANH) activities in liver were decreased by up to35.1%; aminopyrine N-demethylase (ADM) activitiesin liver were increased by up to 42.4%. The mRNA expression of CYP1A1, CYP2C11 and CYP3A1 were found to be increased markedly. CONCLUSION: A specific effect of ESH on liver microsomal cytochrome P450 isoenzyme in rats was observed in this investigation. ESH had various effects on liver microsomal cytochrome P450 isoenzyme.",M1
17727066,"[Study on lipid-regulating function for the extracts and their prescriptions from <e>Semen</e> Cassiae and fructus crataegi]OBJECTIVE: To study the effect of lipid-regulating function for extracts and their prescriptions from Semen Cassiae and Crataegus pinnatifida Bge. var. major N. E. Br. on serum lipid of hyperlipidema mice. METHODS: 1 week after being administered with extract of Semen Cassiae, extract of Crataegus pinatifida Bge. var. major N. E. Br. and different proportion mixture of them (180 mg/ kg), mice were treated with ip 75% fresh yelkfluid. The contents of TC, TG, HDL-C, LDL-C, apo AI and apo B were observed after 24 h. RESULTS: The levels of TC, TG, LDL-C and apoB in therapeutic group were lower than those in hyperlipidemic model group (P &lt; 0.05, P &lt; 0.01), especially in different proportion mixture groups. CONCLUSION: Lipid-regulating active part of Semen Cassiae and Crataegus pinatifida Bge. var. major N. E. Br. might inhibit hyperlipidemic formation, and mixture groups were more effective than those of its single extract.",M1
17631106,"Determination of four major saponins in the seeds of Aesculus chinensis Bunge using accelerated solvent extraction followed by high-performance liquid chromatography and electrospray-time of flight mass spectrometry.A new method based on accelerated solvent extraction (ASE) followed by a reliable high-performance liquid chromatography-diode array detector (HPLC-DAD) and positive ion electrospray-time of flight mass spectrometry (ESI-TOF/MS) analysis has been developed for the characterization and quantification of four major saponins in extracts of the seeds of Aesculus chinensis Bunge (<e>semen</e> aesculi). The saponins escin Ia, escin Ib, isoescin Ia and isoescin Ib were extracted from seeds of A. chinesis Bunge via ASE, and the operational parameters of ASE were optimized, such as extraction solvent, extraction temperature, static extraction time and extraction cycles. The optimized procedure employed 70% MeOH as extraction solvent, 120 degrees C of extraction temperature, 7 min of static extraction time, 60% flush volume and the extraction recoveries of the four compounds were nearly to 100% for two cycles. The HPLC conditions are as follows: SinoChrom ODS BP C18 (4.6 mm x 200 mm, 5 microm) column, acetonitrile and 0.10% phosphoric acid solution as mobile phase, flow rate is 1.0 mL min(-1), detection length of UV is 203 nm, injection volume is 10 microL. The results indicated that the developed HPLC method is simple, sensitive and reliable for the determination of four major saponins in seeds of A. chinesis Bunge with a good linearity (r2 &gt; 0.9994), precision (relative standard deviation (R.S.D.) &lt; 1.5%) and the recovery ranges of 95.2-97.3%. The limits of detection (LOD) of the four compounds were in the range of 0.40-0.75 microg mL(-1). This assay can be readily utilized as a quality control method for semen aesculi and other related medicinal plants.",M1
17595883,"[Anti-leishmaniasis activity of some extracts isolated from Nigella damascena (Ranunculaceae)]Nigella damascena L. (Ranunculaceae) originates from Magreb's countries (Morocco, Algeria, Tunisia, Egypt) and from the Middle Orient (Syria). In these countries the seeds are venerated by all the Muslim people and thus they are quoted in the Koran for their therapeutic effects. MATERIALS AND METHODS: We evaluated the effects of different extracts isolated from Nigellae damascenae <e>semen</e> and Nigellae damascenae herba on three types of cells: THP1 cells (human monocytes which were used for evaluating the toxicity of the extracts) and two different forms of Leishmania infatum: promastigote cells and amastigote cells. RESULTS: Dichlormethanic extracts isolated from Nigellae damascenae semen and Nigellae damascenae herba were active on Leishmania promastigotes. CONCLUSIONS: Dichlormethanic extracts could be an alternative to the therapy based on pentamidine and amphotericin B.",M1
17552159,"[Effect of protein and anthraquinone glucosides from <e>Semen</e> Cassia on learning and memory capacity and related substances of senile mice induced by D-galactose]OBJIECTIVE: To investigate actions of protein and anthraquinone glucosides from Semen Cassia on learning and memory capacity and related substances of senile mice induced by D-galactose. METHOD: The subacute senile mouse models induced by injection of D-galactose subcutaneously were used. RESULT: Protein and anthraquinone glucosides from Semen Cassia could improve the learning and memory capacity of senile mice. Protein and anthraquinone glucosides from Semen Cassia not only inhibited the increase of malondialdehyde (MDA) in cerebrum of senile mice, but also enhanced the level of superoxide dismutase (SOD) in cerebrum and lessened the lipofuscin (LF) in liver tissue of senile mice. Protein from Semen Cassia could reduce the content of monoamine oxidase (MAO) in cerebrum of senile mice. CONCLUSION: Protein and anthraquinone glucosides from Semen Cassia could improve the learning and memory capacity of senile mice and delay aging.",M1
17225457,"Prevention of epimerization and quantitative determination of amygdalin in Armeniacae <e>Semen</e> with Schizandrae Fructus solution.Armeniacae Semen not only contains amygdalin, but emulsin also, which is an enzyme that hydrolyzes amygdalin. The extraction yield of amygdalin from Armeniacae Semen was low, due to the presence of emulsin, when extracted with water. When Schizandrae Fructus solution was used as the extractant; however, amygdalin was almost completely extracted, regardless of the cutting size, due to the absence of the influence of emulsin. In addition, when the crude powder or small piece forms were used with Schizandrae Fructus solution, on epimerization of the D-amygdalin into neoamygdalin occurred. D-amygdalin and its conversion product, neoamygdalin, were quantitatively analyzed by reverse-phase, high-performance liquid chromatography (HPLC), with an optimized eluent of 10 mM sodium phosphate buffer (pH 2.3), containing 11.5% acetonitrile. The concentration and detector response were linearly correlated over the range 0.05 to 2 mM. The detection limits for both D-amygdalin and neoamygdalin were approximately 5 microM for the amount injected.",M1
