@RELATION C0037473_C0037570

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20589962,"By the way, doctor.  Do you know anything about the various fancy salts?  I've heard that they deliver salt flavor but have a smaller dose of harmful <e>sodium</e>.",M1
20538133,"Serum parameters and echocardiographic predictors of death or need for transplant in newborns, children, and young adults with heart failure.For children admitted with symptomatic heart failure (HF), the risk of death/need for transplantation (D/Tx) is high. Data from adult studies suggest serum measurements, such as percent lymphocytes, are valuable predictors of outcomes. The aim of this study was to identify risk factors for D/Tx in hospitalized pediatric patients with symptomatic HF. Retrospective analysis of children admitted to an academic center from January 1994 to June 2008 with clinical HF was undertaken. The most common cause of HF was dilated cardiomyopathy (58 of 99, 59%). Echocardiographic and serum measurements were collected from admission. Factors independently associated with risk of D/Tx were evaluated by a stepwise multivariate Cox regression model. There were 99 children with 139 hospitalizations. Median age at admission was 3 years (range 0 to 22). Mean systemic ventricular ejection fraction was 23% +/- 11. Risk of D/Tx per hospitalization was 60 of 139 (43%). In multivariate analysis, lymphocytopenia, lower ejection fraction, low serum <e>sodium</e>, and higher serum creatinine were independent predictors of D/Tx. These variables correctly predicted those subjects at risk of D/Tx in 82.1% of cases. Subgroup analysis found that brain natruretic peptide did not improve the model's accuracy markedly. In conclusion, serum measurements (percent lymphocytes, sodium, and creatinine) and echocardiographic assessment routinely obtained at admission are predictive of D/Tx in children hospitalized for HF. Significant lymphocytopenia was predictive of adverse outcomes.",M1
20535994,"[The effect of the environment ion composition upon the blockade of the AMPA receptor channels]It is well known that ion composition significantly affects action of various pharmacological agents. In the present work we studied influence of external <e>sodium</e> on the block of Ca2+ -permeable AMPA receptor channels by dicationic derivative of phenylcyclohexyl IEM-1925. Experiments were performed on native receptors of giant striatal interneurones isolated from the rat brain slices. Registrations were done with the aid of whole-cell patch clamp technique. We found that partial substitution of external sodium by sucrose potentiated the blocking action of IEM-1925. The effect was voltage-dependent, being more pronounced at hyperpolarized voltages. The analysis of kinetics of the IEM-1925 action demonstrated that lowering of external sodium facilitated blocking action, whereas stability of the drug-channel complex remained unaffected. We conclude that the current carrying sodium ions compete with blocking cation IEM-1925 for an intrapore binding site.",M1
20519529,"The RCK2 domain uses a coordination site present in Kir channels to confer <e>sodium</e> sensitivity to Slo2.2 channels.Slo2 Na(+)-activated potassium channels are widely expressed in neurons and other cells, such as kidney, heart, and skeletal muscle. Although their important physiological roles continue to be appreciated, molecular determinants responsible for sensing intracellular Na(+) remain unknown. Here we report identification of an Na(+) regulatory site, similar to an Na(+) coordination motif described in Kir channels, localized in the RCK2 domain of Slo2.2 channels. Molecular simulations of the homology-modeled Slo2.2 RCK2 domain provided structural insights into the organization of this Na(+) coordination site. Furthermore, free energy calculations reproduced the experimentally derived monovalent cation selectivity. Our results suggest that Slo2.2 and Kir channels share a similar mechanism to coordinate Na(+). The localization of an Na(+) sensor within the RCK2 domain of Slo2.2 further supports the role of RCK (regulators of conductance of K(+)) domains of Slo channels in coupling ion sensing to channel gating.",M1
20519416,"Alveolar but not intravenous S-ketamine inhibits alveolar <e>sodium</e> transport and lung fluid clearance in rats.BACKGROUND: S-ketamine is frequently used for analgosedation, especially during sepsis and cardiovascular instability. Because S-ketamine blocks voltage-gated sodium (Na+) channels in neurons and skeletal muscle, it is conceivable that S-ketamine also blocks alveolar epithelial Na+ channels that are crucial for alveolar fluid clearance (AFC). We studied the effects of alveolar and IV S-ketamine on transalveolar Na+ transport and AFC, and investigated whether IV S-ketamine enters the alveolar space in response to endotoxemia-induced pulmonary inflammation. METHODS: Cultured rat alveolar type II (ATII) cells were exposed to S-ketamine and/or the Na+ channel blocker amiloride (100 microM) and transepithelial transport indicated by short circuit current (ISC) was measured in Ussing chambers. AFC was measured in fluid-instilled lungs of anesthetized rats with or without amiloride added to the instillate. S-ketamine was either added to the instillate or injected IV. To induce mild lung injury that might favor the appearance of IV S-ketamine at the alveolar surface, endotoxemia was induced by IV lipopolysaccharide (7.5 mg/kg). RESULTS: In ATII cells, S-ketamine (25 microg/mL) caused a decrease of ISC regardless of apical (-18.9%+/- 1.4%; P &lt; 0.001) or basolateral (-20.4% +/- 3.7%; P &lt; 0.001) application. In ATII cells pretreated with amiloride, addition of apical or basolateral S-ketamine did not decrease ISC. AFC was approximately 8% per 30 minutes in control rats. S-ketamine (5 microg/mL) in the instillate reduced AFC to 1.1% +/- 1.5% (P = 0.04) by decreasing amiloride-sensitive transepithelial Na+ transport. Intravenous S-ketamine (20 mg/kg) did not affect AFC (P = 0.31). In the presence of lipopolysaccharide-induced inflammation, the concentration of IV-injected S-ketamine in bronchoalveolar lavage fluid remained below the concentration that inhibited AFC. CONCLUSIONS: Although exposure of the rat alveolar epithelium to S-ketamine decreases amiloride-sensitive transalveolar Na+ transport and AFC, IV S-ketamine at clinically relevant bolus concentrations does not affect AFC, even in the presence of mild lung injury.",M1
20517944,"<e>Sodium</e> intake and intraventricular hemorrhage in the preterm infant.OBJECTIVE: Hypernatremia is associated with intracranial hemorrhage in term infants. The etiology of intraventricular hemorrhage in preterm infants is multifactorial. We aimed to characterize the associations between sodium intake, hypernatremia, and intraventricular hemorrhage in preterm infants. METHODS: The charts of 722 preterm infants with a birth weight &lt;or=1.5kg admitted to a tertiary care neonatal intensive care unit from 2002 to 2006 were retrospectively reviewed for daily sodium and fluid intake, weight loss, serum sodium concentrations, gender, gestational age, pneumothorax, hyper- or hypocarbia, severity of illness, and cranial imaging. A multivariate logistic model was used to adjust for risk factors and determine associations between sodium intake, hypernatremia, and intraventricular hemorrhage. RESULTS: Grade II to IV intraventricular hemorrhage was associated with increased sodium intake on each of the first 3 days following birth. The association remained after controlling for gestational age, severity of illness, respiratory factors, and gender. The association of high sodium intake with intraventricular hemorrhage was of similar magnitude to traditionally recognized risk factors such as pneumothorax. INTERPRETATION: Increasing intake of sodium appears to be a modifiable risk factor for intraventricular hemorrhage in very low birth weight infants.",M1
20489711,"Ion-triggered spring-like motion of a double helicate accompanied by anisotropic twisting.Molecules that extend and contract under external stimuli are used to build molecular machines with nanomechanical functions. But although common in biological systems, such extension and contraction motions with helical molecules have rarely been accompanied by unidirectional twisting in synthetic systems. Here we show that <e>sodium</e> ions can trigger the reversible anisotropic twisting of an enantiomeric double-stranded helicate, without racemization. An optically active helicate consisting of two tetraphenol strands bridged by two spiroborate groups sandwiches a sodium ion. On removal of the central sodium-through addition of a cryptand [2.2.1] in solution-the double helicate extends. Crystallographic and nuclear magnetic resonance studies reveal that the extended helicate is over twice as long as the initial molecule, and is twisted in the right-handed direction. Circular dichroism analysis suggests that the twisting doesn't affect the helicate's handedness. This anisotropic extension-contraction process is reversibly triggered by the successive addition and removal of sodium ions in solution.",M1
20453900,"Improving the culturability of freshwater bacteria using FW70, a low-nutrient solid medium amended with <e>sodium</e> pyruvate.Bacterial culture based on the use of plate media is an effective method for investigating bacterial populations in the environment. To improve the culturability of bacteria from freshwater lakes, we developed a new medium, FW70, which contains sodium pyruvate, casamino acids, and lake water and is solidified using gellan gum. To test the importance of these components, we prepared a series of media in which one or more of the components was absent. Water was sampled 31 times from 3 Japanese lakes and was passed through a membrane filter (pore size = 0.45 microm) to remove fast-growing microbes before the water was spread onto the plates. In most cases, significantly larger numbers of bacterial colonies were detected on FW70 than on other media. Furthermore, to test the practicality of FW70, we compared it with standard nutrient agar and R2A agar. In all cases, the culturability was significantly greater on FW70 than on standard nutrient agar or R2A agar. Some isolates recovered by means of FW70 belonged to bacteria that had not previously been classified. These results suggest that FW70 improves the culturability of freshwater bacteria and can be used for the isolation of novel bacteria as a result of the filtration step.",M1
20453771,"Clinical experience using 5% hypertonic saline as a safe alternative fluid for use in trauma.BACKGROUND: Published experience of hypertonic saline (HTS) use in resuscitation has described the use of commercially unavailable 7.5% solutions. The purpose of this study was to compare our experience with the administration of commercially available 5% HTS solution with that of well-matched controls who did not receive HTS. METHODS: Prospective observational study of 51 trauma patients receiving 500 mL of 5% HTS during initial resuscitation. Patients who received HTS were 1:2 matched using age, gender, Injury Severity Score, Coma Score, Head Abbreviated Injury Scale, and injury mechanism to trauma patients who did not receive HTS. The laboratory values and outcomes of the two groups were compared. RESULTS: Patients receiving HTS demonstrated no difference from the matched cohort in mean pH, international normalized ratio, or p/f ratios at 8 hours or 24 hours. The mean serum <e>sodium</e> of the HTS group was higher than controls at 8 hours (143.1 vs. 150.1 mg/dL, p &lt; 0.001) and remained significantly more increased for 3 days without any adverse sequelae related to hypernatremia. No difference in mortality was noted between the two groups. A trend in decreased mortality was observed in patients with Coma Score &lt;or=8 and Head Abbreviated Injury Scale score &gt;or=3 (25.0% vs. 42.5%). The mean ventilator days were 7.3 for HTS group and 9.2 for the non-HTS group. CONCLUSION: Although serum sodium remained increased for several days after HTS administration, no adverse sequelae as a result of hypernatremia resulted. Commercially available 5% HTS solution is safe for use in the resuscitation of trauma patients and may improve outcomes in a selected subset of patients with head injury.",M1
20448142,"Luminal leptin inhibits L-glutamine transport in rat small intestine: involvement of ASCT2 and B0AT1.L-glutamine is the primary metabolic fuel for enterocytes. Glutamine from the diet is transported into the absorptive cells by two <e>sodium</e>-dependent neutral amino acid transporters present at the apical membrane: ASCT2/SLC1A5 and B(0)AT1/SLC6A19. We have demonstrated that leptin is secreted into the stomach lumen after a meal and modulates the transport of sugars after binding to its receptors located at the brush border of the enterocytes. The present study was designed to address the effect of luminal leptin on Na(+)-dependent glutamine (Gln) transport in rat intestine and identify the transporters involved. We found that 0.2 nM leptin inhibited uptake of Gln and phenylalanine (Phe) (substrate of B(0)AT1) using everted intestinal rings. In Ussing chambers, 10 mM Gln absorption followed as Na(+)-induced short-circuit current was inhibited by leptin in a dose-dependent manner (maximum inhibition at 10 nM; I(C50) = approximately 0.1 nM). Phe absorption was also decreased by leptin. Western blot analysis after 3-min incubation of the intestinal loops with 10 mM Gln, showed marked increase of ASCT2 and B(0)AT1 protein in the brush-border membrane that was reduced by rapid preincubation of the intestinal lumen with 1 nM leptin. Similarly, the increase in ASCT2 and B(0)AT1 gene expression induced by 60-min incubation of the intestine with 10 mM Gln was strongly reduced after a short preincubation period with leptin. Altogether these data demonstrate that, in rat, leptin controls the active Gln entry through reduction of both B(0)AT1 and ASCT2 proteins traffic to the apical plasma membrane and modulation of their gene expression.",M1
