@RELATION C0038160_C0038170

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20500885,"Molecular characterization of Staphylococcus aureus isolates causing skin and soft tissue infections (SSTIs).BACKGROUND: Staphylococcus aureus, particularly methicillin-resistant S. aureus (MRSA), is an important cause of pyogenic skin and soft tissue infections (SSTIs). The aim of present study is to investigate the molecular characteristic of Staphylococcus aureus isolates isolated from the pus samples from the patients with purulent skin and soft tissue infections in Wenzhou, China. METHODS: Between December 2002 and June 2008, a total of 111 nonduplicate S. aureus isolates were collected from the pus samples of the patients with SSTIs in a teaching hospital in Wenzhou, China. All the tested isolates were confirmed as S. aureus using a <e>Staph</e> SPA agglutination kit, Gram's stain and a Vitek-60 microbiology analyzer. The homology among the tested isolates was determined by pulsed-field gel electrophoresis (PFGE). Multilocus sequence typing (MLST) was used to determine the sequence types (STs) of the selected isolates. The genotypes of SCCmec were determined by a multiplex PCR in the MRSA isolates. Panton-Valentine leukocidin (PVL) genes and mecA were also determined by another multiplex PCR. RESULTS: Among the 111 S. aureus isolates, 48 and 63 isolates were community-acquired and hospital-acquired respectively. Sixty isolates were confirmed as MRSA harboring mecA detected by PCR. A total of 32 PFGE clonal types were obtained by PFGE, with 10 predominant patterns (types A to J). Twenty-five different STs including ST398 and three novel STs were found among 51 selected isolates. The main STs were ST239, ST1018, ST59, ST7 and ST88. Of 60 MRSA isolates, SCCmec II, III, IV and SCCmec V were found in three, 50, three and two isolates, respectively. The positive rates of PVL genes in overall isolates, HA-isolates, CA-isolates, MRSA isolates and MSSA isolates were 23.4% (26/111), 20.6% (13/63), 27.1% (13/48), 21.7% (13/60) and 25.5% (13/51), respectively. Eight (33.3%, 8/24) of 24 CA-MRSA isolates and 5 (13.9%, 5/36) of 36 HA-MRSA isolates were positive for PVL genes. ST239-MRSA-SCCmecIII and ST1018-MRSA-SCCmecIII clones were found to be main clones and spread between community and hospital. CONCLUSION: S. aureus isolates causing SSTIs showed considerable molecular heterogeneity and harbored high prevalence of PVL genes. Clonal spread was responsible for the dissemination of the isolates of S. aureus associated with SSTIs.",M1
20338430,"An improved method to culture Staphylococcus aureus from bovine milk.Staphylococcus aureus is an important udder pathogen often associated with subclinical mastitis in dairy cows. Identification of <e>Staph</e>. aureus-positive udder quarters and cows is an important part of control programs to reduce spread of Staph. aureus within and between dairy herds. Therefore, accurate and easy-to-perform culturing methods of Staph. aureus in milk are needed. In the present study, 8 methods for isolation of Staph. aureus in bovine milk samples were investigated. The methods involved different culturing volumes, enrichment, incubation, and freezing processes as well as sedimentation and use of the Mastistrip cassette (SVA, Uppsala, Sweden). Three different sets of milk samples were collected, and 6, 5, and 4 methods were used in each subset of samples. Our results indicate an increased probability of detecting Staph. aureus in milk samples when a simple incubation step (37 degrees C for 18 h) without additives was included before culturing. Using this incubation method, the number of Staph. aureus-positive udder quarters and cows increased by 50 and 29%, respectively, compared with using the standard method of direct culturing of 10 microL of milk. The improved method may be especially useful for detection of low concentrations of Staph. aureus in milk; for example, when screening herds for Staph. aureus.",M1
20130329,"The prophylactic effects of platelet-leucocyte gel in osteomyelitis: an experimental study in a rabbit model.Platelet-leucocyte gel (PLG), a new biotechnological blood product, has hitherto been used primarily to treat chronic ulcers and to promote soft-tissue and bone regeneration in a wide range of medical fields. In this study, the antimicrobial efficacy of PLG against Staphylococcus aureus (ATCC 25923) was investigated in a rabbit model of osteomyelitis. Autologous PLG was injected into the tibial canal after inoculation with <e>Staph</e>. aureus. The prophylactic efficacy of PLG was evaluated by microbiological, radiological and histological examination. Animal groups included a treatment group that received systemic cefazolin and a control group that received no treatment. Treatment with PLG or cefazolin significantly reduced radiological and histological severity scores compared to the control group. This result was confirmed by a significant reduction in the infection rate and the number of viable bacteria. Although not comparable to cefazolin, PLG exhibited antimicrobial efficacy in vivo and therefore represents a novel strategy to prevent bone infection in humans.",M1
20059917,"Identification of potential sources of Staphylococcus aureus in herds with mastitis problems.Staphylococcus aureus is a common udder pathogen of dairy cows that often causes herd problems. Various mastitis control programs have been used to combat the problem but have not always been efficient in preventing new <e>Staph</e>. aureus infections, indicating the presence of possible sources of infection other than those traditionally considered. Therefore, the aim of the study was to identify potential sources of infection relevant for Staph. aureus mastitis within 5 dairy herds with udder health problems caused by Staph. aureus. Samples were collected from milk of lactating cows, from body sites, and from the environment of lactating cows, dry cows, late pregnant heifers, young heifers 4 to 12 mo old, and heifer calves 0 to 3 mo old. Isolates of Staph. aureus were identified and compared using pulsed-field gel electrophoresis. Four to 7 unique Staph. aureus pulsotypes were found within each herd, with one strain predominating in milk in each herd. The milk pulsotypes were also frequently isolated in body samples, especially on hock skin, and in the immediate environment of lactating cows, and were sometimes found in other animal groups, especially in dry cows and heifer calves 0 to 3 mo old. The prevalence of Staph. aureus in milk and other types of samples varied markedly between herds. Staphylococcus aureus isolates with genotypes indistinguishable from those found in milk also dominated in extra-mammary sites within the dairy herds studied, and hock skin was identified as an important reservoir of Staph. aureus. The results contribute new knowledge necessary to improve strategies for udder health control in herds.",M1
20030902,"Relationship between virulence factor genes in bovine Staphylococcus aureus subclinical mastitis isolates and binding to anti-adhesin antibodies.Staphylococcus aureus is the most common aetiologic agent of contagious bovine mastitis. It is characterized by a wide array of virulence factors. The differences among strains jeopardize the development of effective vaccines against <e>Staph</e>. aureus mastitis. We tested the immunogenicity of a peptide subunit vaccine coding for three different adhesion factors, fibrinogen-binding protein (Efb), fibronectin-binding protein A (FnbpA) and clumping factor A (ClfA). Then we evaluated the influence of some virulence factors on the ability of specific anti-adhesin antibodies to react with sixteen Staph. aureus strains isolated from bovine subclinical mastitis. Immunization with the recombinant adhesins stimulated a strong humoural (IgG and IgA) and mucosal IgA immune response in all animals tested. Hyperimmune serum recognized with diverse efficiency the sixteen Staph. aureus strains and this circumstance correlated well with the level of expression of adhesins. Among the different virulence factors considered to classify strains, spa gene polymorphisms showed the strongest influence on isolate reactions to hyperimmune serum. Our results indicate the importance of a disease- and environment-specific analysis of isolates. Thus, as opposed to other pathogens to obtain an effective vaccine we should characterize multiple strains and identify the prevalent virulence factors expressed.",M1
20002576,"Human cathelicidin peptide LL37 inhibits both attachment capability and biofilm formation of Staphylococcus epidermidis.AIMS: The aim of this work was to investigate the possible effect of human cathelicidin antimicrobial peptide LL37 on biofilm formation of Staphylococcus epidermidis, a major causative agent of indwelling device-related infections. METHODS AND RESULTS: We performed initial attachment assay and biofilm formation solid surface assay in microtitre plates, as well as growth experiment in liquid medium using laboratory strain <e>Staph</e>. epidermidis ATCC35984. We found that already a low concentration of the peptide LL37 (1 mg l(-1)) significantly decreased both the attachment of bacteria to the surface and also the biofilm mass. No growth inhibition was observed even at 16 mg l(-1) concentration of LL37, indicating a direct effect of the peptide on biofilm production. CONCLUSIONS: As biofilm protects bacteria during infections in humans and allows their survival in a hostile environment, inhibition of biofilm formation by LL37 may have a key role to prevent bacterial colonization on indwelling devices. SIGNIFICANCE AND IMPACT OF THE STUDY: Our findings suggest that this host defence factor can be a potential candidate in prevention and treatment strategies of Staph. epidermidis infections in humans.",M1
19951328,"Low-level glycopeptide resistance in methicillin-resistant Staphylococcus aureus and how to test it.Vancomycin resistance in Staphylococcus aureus has emerged over the last ten years due to varying mechanisms and giving variable levels of resistance to vancomycin. The most resistant strains (fortunately rare) bear the vanA gene cluster and these are generally recognisable as MICs of vancomycin are usually found to be in the range 32-64mg/L. It should be noted that some automated systems have failed to detect these isolates. The much more commonly encountered GISA and hGISA vancomycin resistant strains of MRSA and methicillin sensitive <e>Staph</e>. aureus (MSSA) exhibit lower levels of resistance and difficulty is encountered in reliably defining and identifying these strains in clinical laboratories. No single completely reliable, convenient test either phonotypical genetic currently exists which can be readily applied in the clinical laboratory for the detection of hGISA/GISA. The population analysis profile (PAP) method is currently regarded as the reference method but is slow and tedious to perform on a large number of isolates. This enables the differentiation of hGISA and GISA from fully vancomycin sensitive strains. In the clinical laboratory the use of Meuller-Hinton agar with 5mg/L teicoplanin and a 10microL innoculum of MacFarland 0.5 incubated for 48h represents the most reliable and economical screening test. Further confirmation would be required using either macrodilution Etest methodology using an MIC &gt;or= 8mg/L of vancomycin and/or teicoplanin as the cut off for hGISA or the newer GRD (glycopeptide resistance detection) strip.",M1
19828918,"Free corticoperiosteal flap in the treatment of an infected bone defect of the tibia. A case report.The treatment of septic bone defects represents a significant challenge in orthopaedic surgery. Non-vascularised cancellous bone grafts are very commonly used. In contrast, thin and malleable periosteal grafts have generally only been investigated in animal models. The free corticoperiosteal flap is used only in exceptional cases in traumatology. This case report describes the treatment of an infected and non-reactive bone defect in the shaft of the tibia. This case involves a septic non-union over two years old with evidence of methicillin-resistant <e>Staph</e>. aureus. A vascularised corticoperiosteal flap was used to bridge this defect. The procedure was supplemented by rigid internal fixation. There were no postoperative complications. Bone healing was documented eleven months after the described treatment. No further invasive procedures were required. The patient was able to return to his original occupation as a store manager. Stable internal fixation is an important precondition for successful treatment. The method described in this article can be considered for short defects when a conventional cancellous bone graft appears to be contraindicated.",M1
19818007,"Bacterial contamination on touch surfaces in the public transport system and in public areas of a hospital in London.AIMS: To investigate bacterial contamination on hand-touch surfaces in the public transport system and in public areas of a hospital in central London. METHODS AND RESULTS: Dipslides were used to sample 118 hand-touch surfaces in buses, trains, stations, hotels and public areas of a hospital in central London. Total aerobic counts were determined, and Staphylococcus aureus isolates were identified and characterized. Bacteria were cultured from 112 (95%) of sites at a median concentration of 12 CFU cm(-2). Methicillin-susceptible <e>Staph</e>. aureus (MSSA) was cultured from nine (8%) of sites; no sites grew methicillin-resistant Staph. aureus (MRSA). CONCLUSIONS: Hand-touch sites in London are frequently contaminated with bacteria and can harbour MSSA, but none of the sites tested were contaminated with MRSA. SIGNIFICANCE AND IMPACT OF THE STUDY: Hand-touch sites can become contaminated with staphylococci and may be fomites for the transmission of bacteria between humans. Such sites could provide a reservoir for community-associated MRSA (CA-MRSA) in high prevalence areas but were not present in London, a geographical area with a low incidence of CA-MRSA.",M1
19709343,"Surface disinfection properties of the combination of an antimicrobial peptide, ranalexin, with an endopeptidase, lysostaphin, against methicillin-resistant Staphylococcus aureus (MRSA).AIMS: To characterize the antibacterial synergy of the antimicrobial peptide, ranalexin, used in combination with the anti-staphylococcal endopeptidase, lysostaphin, against methicillin-resistant Staphylococcus aureus (MRSA), and to assess the combination's potential as a topical disinfectant or decolonizing agent for MRSA. MRSA causes potentially lethal infections, and pre-operative patients colonized with MRSA are often treated with chlorhexidine digluconate and mupirocin cream to eradicate carriage. However, chlorhexidine is unsuitable for some patients, and mupirocin resistance is increasingly encountered, indicating new agents are required. METHODS AND RESULTS: Using an ex vivo assay, ranalexin and lysostaphin tested in combination reduced viable MRSA on human skin to a greater extent than either compound individually. The combination killed bacteria within 5 min and remained effective and synergistic even in high salt and low pH conditions. CONCLUSIONS: The combination is active against MRSA on human skin and under conditions that may be encountered in sweat. SIGNIFICANCE AND IMPACT OF THE STUDY: Although the exact mechanism of activity remains unresolved, considering its specific spectrum of activity, fast killing kinetics and low likelihood of resistance arising, the combination of ranalexin with lysostaphin warrants consideration as a new agent to eradicate nasal and skin carriage of <e>Staph</e>. aureus, including MRSA.",M1
