@RELATION C0038288_C0038280

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20183484,"<e>Sterilization</e> of companion animals: exploring the attitudes and behaviors of Latino students in south Texas.A sample of 131 Latino students attending a university in south Texas near the United States-Mexico border completed a self-administered questionnaire regarding their companion animals (pets). Compared with dog caregivers (owners) (n = 106), cat caregivers (n = 25) were significantly more likely to favor early spay/neuter of pets and to report that the primary benefit received from their own pet was relational (for example, companionship) rather than functional (for example, sense of safety). The rate of sterilization was significantly higher for cats (60%) than for dogs (26.4%). Sterilization rates were significantly higher for cats whose owners favored early spay/neuter and had accurate knowledge about sterilization of female cats and dogs. Sterilization rates were significantly higher for dogs whose owners had a veterinarian, favored early spay/neuter, and valued relational benefits of guardianship more than functional benefits. Approximately 41% of owners whose pets were not sterilized reported that they wanted puppies or kittens, and 25% reported that the cost of the procedure was the primary barrier. Sterilization programs must include both education about the benefits of sterilization and low-cost spay/neuter services.",M1
20160560,"Quinacrine <e>sterilization</e> and gynecologic cancers: a case-control study in northern Vietnam.BACKGROUND: Over 100,000 women worldwide have been sterilized by insertion of quinacrine into the uterus to induce tubal scarring. Concern has been expressed about possible carcinogenicity, and specifically the risk of uterine cancer. METHODS: From 2001 through 2006, we conducted a population-based, case-control study of gynecologic cancers in 12 provinces in northern Vietnam, where relatively large numbers of women had received quinacrine. Cases of incident cervical, ovarian, and uterine cancer were identified at provincial hospitals or at referral hospitals in Hanoi. For each case, 3 age- and residence-matched controls were randomly selected from the population registries of the case's home community. RESULTS: The prevalence of quinacrine exposure was 1.2% among cases and 1.1% among controls. For cervical cancer, analysis of 606 cases (9 exposed) and their 1774 matched controls (18 exposed) produced an odds ratio of 1.44 (95% confidence interval = 0.59-3.48) (adjusted for several covariates including human papillomavirus risk score). For ovarian cancer, based on 262 cases (3 exposed) and 755 controls (8 exposed) and adjusted for age and number of years of ovulation, the odds ratio was 1.26 (0.21-5.45). For uterine cancer, none of the cases-including 23 cases of leiomyosarcoma-was exposed to quinacrine. The 95% confidence interval, based on 161 cases (none exposed) and 470 controls (7 exposed) and adjusted only for age, was 0-1.85. CONCLUSION: We found no evidence of a relationship between quinacrine sterilization and gynecologic cancer.",M1
20027030,"Paracervical block efficacy in office hysteroscopic <e>sterilization</e>: a randomized controlled trial.OBJECTIVE: To estimate the efficacy of paracervical block compared with saline for pain relief during office hysteroscopic sterilization. METHODS: This study was a randomized, placebo-controlled study of women desiring hysteroscopic sterilization. A paracervical block of 1% lidocaine or normal saline was administered before office hysteroscopic sterilization. Patients and investigators were blinded to assignments. A pre hoc power analysis determined that 40 women would be required per arm to detect a difference of 0.9 cm on a visual analog scale. Pain was recorded on a visual analog scale at multiple procedure time points. Individualized standardized pain scores were constructed by weighted reporting of objective and subjective sensation. RESULTS: A total of 103 consecutive women were eligible, and 80 women were randomized, with 40 per group. Thirty-seven (93%) in each group had successful placement. The lidocaine group showed significantly lower pain scores for tenaculum placement (mean+/-standard deviation: 0.97+/-1.28 compared with 3.00+/-2.41, P&lt;.001) traversing the external cervical os (1.46+/-1.71 compared with 3.77+/-2.68, P&lt;.001) and internal os (1.79+/-2.11 compared with 4.10+/-2.77, P&lt;.001). There was no significant observed difference with device placement in tubal ostium (3.15+/-2.69 compared with 3.74+/-2.73, P=.33). Multivariable linear regression analysis demonstrated a relationship of pain to procedural time (P=.047) and to group assignment (P&lt;.01). CONCLUSION: Paracervical block with 1% lidocaine provides effective pain relief for cervical manipulations during office hysteroscopic sterilization, but does not reduce the pain associated with upper uterine/tubal manipulation when placing the devices. CLINICAL TRIAL REGISTRATION: ClinicalTrials.gov, www.clinicaltrials.gov, NCT00811187. LEVEL OF EVIDENCE: I.",M1
20025632,"Transcervical hysteroscopic <e>sterilization</e> using cyanoacrylate: a long-term experimental study on sheep.AIM: We investigated the transcervical hysteroscopy application of n-butyl-2-cyanoacrylate in the uterine tube lumen of a non-rodent animals (sheep) with fallopian tube dimensions similar those in humans. METHODS: Standard hysteroscopic procedures were performed on female Texel sheep (n = 26). The right and left ostia were identified. For each ewe, a urethral catheter (5Fr) was used for the delivery of 0.5 mL of saline or an equal volume of n-butyl-2-cyanoacrylate into the uterine tube. Following the procedure, ewes were housed with males of proven fertility for 90 days (equivalent to 5.5 estrous cycles). Postmortem (dye and burst pressure) and in vivo (hysterosalpingogram) testing for tube patency were both performed 90 days and 180 days following the procedure. RESULTS: All animals receiving the saline treatment became pregnant. Gross inspection of uterine tubes following n-butyl-2-cyanoacrylate treatment revealed no visceral adhesions or fibrosis. However, postmortem testing revealed total obstruction within the fallopian tubes. This was confirmed by hysterosalpingogram, in that iodine contrast did not escape into the abdominal cavity. CONCLUSION: The cyanoacrylate promoted a reliable fallopian tube obstruction without fibrosis in an animal model exhibiting a similar tube diameter to that found in women. The technique can be evaluated for efficacy in vivo using hysterosalpingography.",M1
20004277,"Cancer risk after <e>sterilization</e> with transcervical quinacrine: updated findings from a Chilean cohort.BACKGROUND: Dating back to the 1970s, thousands of women worldwide have voluntarily been sterilized with transcervical insertion of quinacrine pellets. The safety and efficacy of the technology are still being assessed today; in particular, better estimates on the incidence of human cancers are now feasible. METHODS: We conducted a cohort study of 1492 women in Santiago and Valdivia, Chile, who received transcervical quinacrine pellets for contraceptive sterilization between 1977 and 1989. We periodically interviewed women with the last interviews in 2006-2007 and reviewed their medical records. We calculated age and site-specific incidence of invasive cancers and compared the observed cases to the number of expected cases based on data from the Cali, Colombia, cancer registry, gathered by the International Agency for Research on Cancer. RESULTS: During 23,894 person-years of follow-up, 41 invasive cancers were identified, including 16 new cases that had occurred since the previous analysis. Ten cases of cervical cancer were observed, compared with 12.1 expected. Since the initial study's confirmation of a single case of leiomyosarcoma, no other uterine cancers have been diagnosed. We would expect 2.0 uterine cancers during this number of observed women-years. One case of ovarian cancer was diagnosed, compared with 3.1 expected. CONCLUSION: Rates of cancer among women exposed to intrauterine quinacrine are similar to population-based rates.",M1
19947030,"Failed female <e>sterilization</e>: a review of pathogenesis and subsequent contraceptive options.OBJECTIVE: To review the published literature, outline the pathogenesis of failed sterilization and discuss the currently available contraceptive options once sterilization fails. STUDY DESIGN: Publications from January 1966 to October 2008 and indexed in the MEDLINE/PubMed database were reviewed. Medical search heading words sterilization, sterilization failure, sterilization methods and contraception were used to identify relevant articles. In addition, references were obtained through cross-referencing the bibliography cited in each work. RESULTS: Available evidence suggests that sterilization fails in 0.13-1.3% of sterilization procedures and of these, 15-33% will be ectopic pregnancies. Tubal recanalization and cornual and tuboperitoneal fistula formation are the main causes; their occurrence can be reduced by proper training and use of appropriate sterilization techniques. Following sterilization failure, hysterosalpingography can provide valuable information about the patency of the fallopian tubes. CONCLUSION: Tubal sterilization is highly effective but can fail. There is a paucity of information in the literature as to what is best or most appropriate for patients when sterilization fails. Patients should be counseled at the outset about the contraceptive options that are available should sterilization fail.",M1
19819445,"Subserosal misplacement of Essure device manifested by late-onset acute pelvic pain.OBJECTIVE: To increase awareness of the potential to present with late-onset acute pelvic pain secondary to subserosal misplacement of an Essure device (Conceptus Inc., Mountain View, CA). DESIGN: Case report. SETTING: University-affiliated teaching hospital. PATIENT(S): A 30-year-old woman who was seen with severe left lower quadrant pain 4 months after elective <e>sterilization</e> with an Essure device placed under local anesthesia. Mild to moderate resistance was encountered in the placement of the device in the left fallopian tube. INTERVENTION(S): Hysterosalpingogram showing patency of the left fallopian tube and operative laparoscopy. MAIN OUTCOME MEASURE(S): Laparoscopic removal of the Essure device with left salpingectomy. RESULT(S): The patient was free of pain and was discharged home the same day of the laparoscopic procedure. CONCLUSION(S): This report reinforces the need to consider a misplaced Essure device in the differential diagnosis of late-onset acute pelvic pain in women who had difficult placement of the device.",M1
19805018,"Male perceptions on female <e>sterilization</e>: a community-based study in rural Central India.CONTEXT: Use of modern contraceptive methods has increased fourfold in India since the 1970s, characterized by a predominance of female sterilization. There has been considerable investigation about women's choice of female sterilization, but little from the male perspective. METHODS: Seven focus group discussions were conducted among 58 men currently married to women aged 15-45, followed by a cross-sectional survey among 793 men currently married to same-aged women. Bivariate analysis was used for the survey data, and content analysis was used for the qualitative data. RESULTS: Men's primary source of reproductive health information was mass media, although they expressed interest in getting information through discussion with knowledgeable sources. Men understood family planning and contraception to be two separate issues: Men viewed  family planning  as synonymous with female sterilization, whereas they saw  contraception  as referring to spacing methods, knowledge of which was limited. Thirty-four percent of men reported that their wives had been sterilized; 79% of men who did not rely on any permanent method said they wanted their wives to be sterilized. In focus group discussions, most men reported themselves as their family's sole decision maker about reproductive health; however, only one-third of survey respondents did so. CONCLUSION: Men are interested in acquiring family planning information, but lack knowledge about available information sources, which hampers their ability to make informed family planning choices. Family planning service providers and program planners need to be aware of males' knowledge and perceptions pertaining to family planning, and make appropriate modifications to communication strategies.",M1
19579351,"<e>Sterilization</e> in Alberta, 1928 to 1972: gender matters.Alberta, Canada, passed a Sexual Sterilization Act in 1928 and up until its repeal in 1972, over 2,800 people were sterilized. Women were overrepresented in the number of sterilizations performed. This paper explores how changing understandings of eugenics led to a subtle transformation which resulted in a  two-pronged  system that targeted mentally defective men, often a danger to society, and mentally normal but morally abnormal women who consented to sterilization. The end result was success for the movement in terms of the types and numbers of people sterilized, and in the longevity of the program.",M1
19531317,"[Canine population dynamics: the potential effect of <e>sterilization</e> campaigns]OBJECTIVE: To analyze, through mathematical modeling, the potential ability of sterilization campaigns to reduce the population density of pet dogs. METHODS: Mathematical models were constructed to simulate the canine population dynamics and project the results of control strategies based on several sterilization rates. RESULTS: Even at high sterilization rates (for example, 0.80 year(-1)), it would take approximately 5 years to reduce density by 20%. Even so, other sources of population growth, such as the importing of dogs from other geographic areas, could outweigh the effects of a sterilization program. CONCLUSIONS: A program's effectiveness is contingent upon not only on the sterilization rate, but also the rate of population growth. Sterilization campaigns may potentially reduce population density, but this reduction may not be immediately evident.",M1
