@RELATION C0038402_C0038395

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
19902838,"Streptococcosis in farmed Litopenaeus vannamei: a new emerging bacterial disease of penaeid shrimp.Presumptive systemic streptococcal infections were detected histologically in farmed Litopenaeus vannamei juveniles submitted from a Latin American country and the bacteria isolated. Characterization work demonstrated that the Gram-positive cocci form chains, grow aerobically and anaerobically, are oxidase- and catalase-negative, non-hemolytic, non-motile, Lancefield Group B positive and PCR positive when amplified with a universal streptococcal primer set. Differing Streptococcus identifications were obtained using API 20 <e>Strep</e> and Biolog systems, the former identifying the isolate as S. uberis and the latter as S. parauberis. Injection of specific pathogen-free (SPF) L. vannamei with the bacteria resulted in 100% mortality by 3 d post-injection with successful recovery of the agent from moribund test shrimp hemolymph samples. The recovered isolate was used in per os and waterborne exposure studies of SPF L. vannamei with mortalities ranging from 40 to 100% and 80 to 100%, respectively. Histologic analysis of 5 to 8 moribund shrimp from each exposure method demonstrated that all contained a severe bacteremia characterized by numerous free cocci within the hemolymph and aggregates of vacuolated hemocytes with notable intravacuolar cocci. This unique lesion type was most pronounced within the lymphoid organ and considered pathodiagnostic for this disease. Experimentally induced lesions were identical to those in naturally infected farmed shrimp and the Streptococcus sp. responsible was re-isolated, fulfilling Koch's postulates. Five freeze/thaw cycles of 10 experimentally infected shrimp were performed over a 2 mo period and the bacteria successfully cultured from all shrimp at each interval. These collective findings describe the first reported case of streptococcosis in marine penaeid shrimp in the Western Hemisphere and indicate that the agent may be disseminated via live or frozen infected shrimp.",M1
19521461,"Vaccines against bovine mastitis in the New Zealand context: what is the best way forward?Mastitis is an important animal health disease which constitutes a serious problem for the dairy industry in New Zealand. Mastitis reduces milk yield and quality, necessitates the use of antibiotic therapy, with associated risks of contaminating the raw milk supply, and imposes a serious economic burden, currently estimated at NZ$300 million per year. Mastitis is caused by a variety of infectious agents. In the New Zealand context, with cattle grazing on pasture, Streptococcus uberis is a major bacterial pathogen, responsible for a significant proportion of clinical cases, especially during early lactation and the dry period. Other pathogens of significance include Staphylococcus aureus, Streptococcus dysgalactiae and Escherichia coli, as well as so-called 'minor pathogens', namely coagulase-negative staphylococci(CNS). Current strategies aimed at reducing cases of mastitis include improved hygiene in the farm environment, particularly with regards to the health and cleanliness of teats. Once mastitis occurs, antibiotic therapy is a favoured option, and as a prophylactic tool, in the form of dry-cow therapy, has also shown value. Prevention of mastitis using immunological tools such as vaccines lags behind the major vaccine breakthroughs that have been achieved in preventing and/or reducing the severity of numerous infectious diseases in animals. In this review, the current state of research in the area of development of vaccines against mastitis is summarised, with particular emphasis on bacteria important to the dairy farming industry in New Zealand. Few, if any, effective vaccines have been designed to prevent or mitigate intramammary infections. It is argued that novel approaches must be considered to search for vaccine candidates, and vaccines need to be designed and constructed within the special framework of their uses, in the mammary gland which offers a unique immunological environment. In addition, effective vaccines against mastitis due to <e>Strep</e>. uberis may be more likely to emerge from strategies that target the cell-mediated arm of the immune response rather than strategies that target specific antibody responses.",M1
18487673,"Pathogen-specific effects of quantitative trait loci affecting clinical mastitis and somatic cell count in Danish Holstein cattle.The aim of this study was to investigate whether quantitative trait loci (QTL) affecting the risk of clinical mastitis (CM) and QTL affecting somatic cell score (SCS) exhibit pathogen-specific effects on the incidence of mastitis. Bacteriological data on mastitis pathogens were used to investigate pathogen specificity of QTL affecting treatments of mastitis in first parity (CM1), second parity (CM2), and third parity (CM3), and QTL affecting SCS. The 5 most common mastitis pathogens in the Danish dairy population were analyzed: Streptococcus dysgalactiae, Escherichia coli, coagulase-negative staphylococci, Staphylococcus aureus, and Streptococcus uberis. Data were analyzed using 2 approaches: an independence test and a generalized linear mixed model. Three different data sets were used to investigate the effect of data sampling: all samples, only samples that were followed by antibiotic treatment, and samples from first-crop daughters only. The results showed with high certainty that 2 QTL affecting SCS exhibited pathogen specificity against Staph. aureus and E. coli, respectively. The latter result might be explained by a pleiotropic QTL that also affects CM2 and CM3. Less certain results were found for QTL affecting CM. A QTL affecting CM1 was found to be specific against <e>Strep</e>. dysgalactiae and Staph. aureus, a QTL affecting CM2 was found to be specific against E. coli, and finally a QTL affecting CM3 was found to be specific against Staph. aureus. None of the QTL analyzed was found to be specific against coagulase-negative staphylococci and Strep. uberis. Our results show that particular mastitis QTL are highly likely to exhibit pathogen-specificity. However, the results should be interpreted carefully because the results are sensitive to the sampling method and method of analysis. Field data were used in this study. These kind of data may be heavily biased because there is no standard procedure for collecting milk samples for bacteriological analysis in Denmark. Furthermore, using only the mean SCS from d 10 to 180 after parturition may lead to truncated effects of SCS-QTL when samples collected after d 180 are used. Additionally, repeated samples were used, which could boost the difference in incidence of pathogens between daughters of sires inheriting the positive and negative QTL allele, respectively. However, the magnitude of these effects in this study is unclear.",M1
18349371,"Periodontitis is associated with a loss of colonization by Streptococcus sanguinis.The aim of this study was to estimate differences in the prevalence of oral streptococcal species in the subgingival biofilm of patients with aggressive periodontitis and of healthy controls. Thirty-three patients with clinical and radiological proof of aggressive periodontitis and 20 healthy subjects were enrolled in this study. Clinical indices were recorded in a six-point measurement per tooth. Samples of the subgingival biofilm were taken with paper points from four teeth of each individual. Alpha- and non-haemolytic, small and catalase-negative colonies were biochemically identified using a rapid ID 32 <e>STREP</e> system and matrix-assisted laser desorption/ionization time-of-flight mass spectrometry. A total of 118 strains of oral streptococci (11 species) were identified and Streptococcus sanguinis was found significantly more often in healthy subjects (P=0.001). Conversely, the absence of S. sanguinis was associated with high values of clinical indices (P=0.001-0.002). Aggressive periodontitis seems to be associated with a loss of colonization of S. sanguinis. Whether or not S. sanguinis offers protection against aggressive periodontitis needs to be determined. Otherwise, there were no significant differences in the distribution of oral streptococcal species in patients and healthy subjects.",M1
18175702,"Streptococcus dentirousetti sp. nov., isolated from the oral cavities of bats.Seventy-three strains of streptococci were isolated from the bat oral cavity. The colonies of strains grown on mitis salivarius agar were similar in morphology to those of mutans-like streptococci. The novel strains were analysed biochemically using the Rapid ID32 <e>Strep</e> microsystem and were subjected to DNA-DNA hybridization with other oral streptococci and to 16S rRNA gene sequence analysis. Based on phylogenetic and phenotypic evidence, it is proposed that these isolates be classified as Streptococcus dentirousetti sp. nov. The type strain of Streptococcus dentirousetti sp. nov. is NUM 1303(T) (=JCM 14596(T)=DSM 18963(T)).",M1
18095606,"[Identifying group G beta-hemolytic Streptococci strains by 16S rDNA sequencing]OBJECTIVE: To identify the DNA sequences of 26 beta-hemolytic group G streptococci strains isolated from the swabs of patients in a glomerulonephritis outbreak event. METHODS: API20 <e>Strep</e> system and 16S rDNA sequencing were performed on all of the 26 isolated strains respectively. The dendrogram based on the analysis of the 16S rDNA sequences of four groups of G streptococci strains was constructed by the neighbor-joining method and boot-strap test. RESULTS: The API20 Strep system failed to identify the strains with less than 62% of success rates. All of the 26 group G beta-hemolytic streptococci isolates were identified as Streptococcus anginosus by the 16S rDNA sequencing, with more than 97% of success rates. The dendrogram illustrated that the four groups of G streptococci strains were clustered at the same branch with Streptococcus anginosus. CONCLUSION: The 16S rDNA sequencing has unique advantages over the phenotypic methods. It can provide detailed information of nucleotides and identify species of beta-hemolytic G group streptococci.",M1
17954749,"Genotypic and phenotypic detection of macrolide and lincosamide resistance in Streptococcus uberis.Streptococcus uberis isolates (n = 55) were obtained from milk samples of cases of mild clinical mastitis in 55 dairy cows from 35 herds serviced by one veterinary practice in Mayenne, France. Isolates were tested for macrolide and lincosamide resistance by using phenotypic and genotypic methods. Erythromycin resistance was detected in 12 of the 55 (22%) isolates based on agar disc diffusion testing and MIC measurements, and was encoded by ermB. This gene also conferred phenotypic resistance to pirlimycin based on MIC measurements, but the D-test was needed for detection of the resistance phenotype in the agar disc diffusion test. Isolates with ermB were also highly resistant to the macrolide antibiotic spiramycin. Seventeen of the 55 isolates (31%) were classified as resistant to spiramcyin only and as having intermediate susceptibility to spiramycin based on agar disc diffusion testing and MIC measurements, respectively. The genetic mechanism behind this phenotype and its clinical relevance are unknown. The efflux pump gene mefA was not detected in any of the 55 isolates in this study. Pirlimycin resistance without macrolide resistance was encoded by the lincosamide resistance gene linB in 4 isolates. Based on current guidelines, some linB-positive isolates would be classified as susceptible by using phenotypic tests, and alternative values for the interpretation of the agar disc diffusion test are suggested. We conclude that the agar disc diffusion test is a useful indicator for macrolide and lincosamide resistance of <e>Strep</e>. uberis in veterinary practice, provided that the D-test is used for detection of pirlimycin resistance.",M1
17699021,"Galactose metabolism and capsule formation in a recombinant strain of Streptococcus thermophilus with a galactose-fermenting phenotype.The capsule-producing, galactose-negative Streptococcus thermophilus MR-1C strain was first transformed with a low-copy plasmid containing a functional galK gene from Streptococcus salivarius to generate a recombinant galactose-fermenting <e>Strep</e>. thermophilus strain named MR-AAC. Then, we compared the functional properties of Strep. thermophilus MR-AAC with those of the parent MR-1C strain when used as starter for fermented products and cheese. In lactose-supplemented laboratory medium, MR-AAC metabolized galactose, but only when the amount of lactose was less than 0.1% (wt/vol). After 7 h of fermentation, the medium was almost depleted of galactose. The parent strain, MR-1C, showed the same pattern, except that the concentration of galactose decreased by only 25% during the same period. It was found that, during milk fermentation and Mozzarella cheese production, the galactose-fermenting phenotype was not expressed by MR-AAC and this strain expelled galactose into the medium at a level similar to the parent MR-1C strain. In milk and in lactose-supplemented medium, capsular exopolysaccharide production occurred mainly during the late exponential phase and the stationary growth phase with similar kinetics between MR-1C and MR-AAC.",M1
17551042,"Streptococcus orisuis sp. nov., isolated from the pig oral cavity.Five bacterial strains, designated as NUM 1001(T), NUM 1002, NUM 1003, NUM 1004 and NUM 1005, were isolated from the oral cavities of pigs. Colonies grown on mitis salivarius agar were similar in morphology to those of mutans streptococci. The novel isolates were analysed biochemically using the Rapid ID 32 <e>Strep</e> microsystem, subjected to DNA-DNA hybridization with oral streptococci and had their 16S rRNA genes sequenced. On the basis of the phylogenetic and phenotypic evidence obtained, the strains represent a novel species of the genus Streptococcus, for which the name Streptococcus orisuis sp. nov. is proposed. The type strain is NUM 1001(T) (=JCM 14035(T)=DSM 18307(T)).",M1
17235154,"Streptococcus dysgalactiae isolates at calving and lactation performance within the same lactation.The objective of the study was to investigate the association between early lactation Streptococcus dysgalactiae isolates and milk yield, somatic cell count (SCC), clinical mastitis, and culling in the same lactation. The 178 commercial dairy herds were randomly placed into 3 penicillin- or penicillin-dihydrostreptomycin-based dry-cow treatments and 3 different postmilking teat disinfection groups-negative control, iodine, or external teat sealant. All cows were sampled in early lactation, and <e>Strep</e>. dysgalactiae-positive and culture-negative cows were followed throughout the remainder of the lactation. Mixed models, including repeated measurements, with test-day observation as dependent variable, were used to compare milk yield, SCC, and available milk quality variables throughout the remaining lactation. Survival analyses, using a positive frailty model to account for any herd random effects, were used to estimate the hazard ratio for clinical mastitis and culling. Streptococcus dysgalactiae-positive cows had a significantly higher SCC throughout the lactation compared to culture-negative cows. For primiparous or multiparous cows, respectively, the differences in the geometric mean SCC between Strep. dysgalactiae-positive and culture-negative cows was 197,000 or 280,000 cells/mL at the beginning of the lactation, 24,000 or 46,000 cells/mL in mid lactation, and 39,000 or 111,000 cells/mL at the end of the lactation. Streptococcus dysgalactiae-positive primiparous or multiparous cows produced 334 or 246 kg less milk, respectively, during a 305-d lactation compared with culture-negative cows. Compared with culture-negative cows, the hazard ratios for clinical mastitis in Strep. dysgalactiae-positive cows were 2.3 (1.9 to 2.9) and 1.6 (1.3 to 2.0) for culling. For cows with both Strep. dysgalactiae and Staphylococcus aureus isolates, the hazard ratio for culling significantly increased to 2.5 (1.9 to 3.2).",M1
