@RELATION C0039062_C0598501

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
16380426,"Enhancer-independent Mu transposition from two topologically distinct synapses.Transposition of Mu is strictly dependent on a specific orientation of the left (L) and right (R) ends of Mu and a distant enhancer site (E) located on supercoiled DNA. Five DNA crossings are trapped in the three-site synapse, two of which are contributed by the interwrapping of L and R. To determine the contribution of E to the interwrapping of Mu ends, we examined the topology of the LR synapse under two different enhancer-independent reaction conditions. One of these conditions, which also alleviates the requirement for a specific orientation of Mu ends, revealed two topologically distinct arrangements of the ends. In their normal relative orientation, L and R were either plectonemically interwrapped or aligned by random collision. Addition of the enhancer to this system channeled <e>synapsis</e> toward the interwrapped pathway. When the ends were in the wrong relative orientation, synapsis occurred exclusively by random collision. In the second enhancer-independent condition, which retains the requirement for a specific orientation of Mu ends, synapsis of L and R was entirely by interwrapping. The two distinct kinds of synapses also were identified by gel electrophoresis. We discuss these results in the context of the  topological filter  model and consider the many contributions the enhancer makes to the biologically relevant interwrapped synapse.",M1
16045469,"The Arabidopsis ROCK-N-ROLLERS gene encodes a homolog of the yeast ATP-dependent DNA helicase MER3 and is required for normal meiotic crossover formation.Recent studies in Saccharomyces cerevisiae have unveiled that meiotic recombination crossovers are formed by two genetically distinct pathways: a major interference-sensitive pathway and a minor interference-insensitive pathway. Several proteins, including the MSH4/MSH5 heterodimer and the MER3 DNA helicase, are indispensable for the interference-sensitive pathway. MSH4 homologs have been identified in mice and Arabidopsis and shown to be required for normal levels of crossovers, suggesting that the function of MSH4 may be conserved among major eukaryotic kingdoms. However, it is not known whether an MER3-like function is also required for meiosis in animals and plants. We have identified an Arabidopsis gene that encodes a putative MER3 homolog and is preferentially expressed in meiocytes. T-DNA insertional mutants of this gene exhibit defects in fertility and meiosis. Detailed cytological studies indicate that the mutants are defective in homolog <e>synapsis</e> and crossover formation, resulting in a reduction of bivalents and in the formation of univalents at late prophase I. We have named this gene ROCK-N-ROLLERS (RCK) to reflect the mutant phenotype of chromosomes undergoing the meiotic 'dance' either in pairs or individually. Our results demonstrate that an MER3-like function is required for meiotic crossover in plants and provide further support for the idea that Arabidopsis, like the budding yeast, possesses both interference-sensitive and insensitive pathways for crossover formation.",M1
15207421,"alpha-1-Antichymotrypsin polymorphism in the gene promoter region affects survival and <e>synapsis</e> loss in Alzheimer's disease.One-hundred-thirty-tree patients with neuropathologically confirmed Alzheimer's disease (AD) were genotyped for the polymorphic regions in the apolipoprotein Eepsilon (APOE)and a new polymorphism in the promoter region of the alpha-1-antichymotrypsin (ACT) gene. The ACT TT genotype was associated with a longer survival of AD patients, and among patients with the APOE epsilon4 allele, this genotype increased the duration of the disease. The ACT TT genotype was also associated with a late age at onset of the disease and a delayed age at death in patients without the APOE epsilon4 allele. This latter group of patients also showed increased levels of synaptophysin from the mid-frontal (MF) cortex area. ACT appears to play complex, multiple roles on AD and to affect synaptic plasticity in the AD brain of patients without the allele APOE epsilon4 allele.",M1
11550884,"The synaptic behaviour of the wild forms of Triticum turgidum and T. timopheevii.Different wild allopolyploid species of Triticeae show extensive bivalent formation at zygotene while a considerable number of multivalents is present in cultivated polyploid wheats. To study the chromosome behaviour at early meiotic stages in wild forms of tetraploid wheats Triticum turgidum and T timopheevii (2n = 4x = 28) we have analysed the synaptic pattern in fully traced spread nuclei at mid- and late zygotene and at pachytene of wild accessions of these species. The mean number of synaptonemal complex (SC) bivalents at mid-zygotene ranged from 12.22 to 13.14 among the accessions studied indicating a strong restriction of <e>synapsis</e> initiation to homologous chromosomes. The mean of bivalents increased at pachytene because of the transformation of multivalents into bivalents. Ring bivalents observed at metaphase I support that SC bivalents were formed by homologous chromosomes. The average values of SC bivalents at mid-zygotene in the wild forms are much higher than the average values observed in the cultivated tetraploid wheats but similar to that of a mutant line of T turgidum with a duplication that includes Ph1, the major homoeologous pairing suppressor locus. These results suggest that the efficiency of the mechanism operating in the homologous recognition for synapsis is higher in wild wheat populations than in cultivated varieties. Apparently, a relatively detrimental modification of the pairing regulating genetic system accompanied the domestication of the wild wheat forms.",M1
11463847,"A meiotic chromosomal core consisting of cohesin complex proteins recruits DNA recombination proteins and promotes <e>synapsis</e> in the absence of an axial element in mammalian meiotic cells.The behavior of meiotic chromosomes differs in several respects from that of their mitotic counterparts, resulting in the generation of genetically distinct haploid cells. This has been attributed in part to a meiosis-specific chromatin-associated protein structure, the synaptonemal complex. This complex consist of two parallel axial elements, each one associated with a pair of sister chromatids, and a transverse filament located between the synapsed homologous chromosomes. Recently, a different protein structure, the cohesin complex, was shown to be associated with meiotic chromosomes and to be required for chromosome segregation. To explore the functions of the two different protein structures, the synaptonemal complex and the cohesin complex, in mammalian male meiotic cells, we have analyzed how absence of the axial element affects early meiotic chromosome behavior. We find that the synaptonemal complex protein 3 (SCP3) is a main determinant of axial-element assembly and is required for attachment of this structure to meiotic chromosomes, whereas SCP2 helps shape the in vivo structure of the axial element. We also show that formation of a cohesin-containing chromosomal core in meiotic nuclei does not require SCP3 or SCP2. Our results also suggest that the cohesin core recruits recombination proteins and promotes synapsis between homologous chromosomes in the absence of an axial element. A model for early meiotic chromosome pairing and synapsis is proposed.",M1
9810487,"The synaptic process in Locusta migratoria spermatocytes by synaptonemal complex analysis.We describe the synaptic process during meiotic prophase in spermatocytes from Locusta migratoria, using synaptonemal complex (SC) spreads analyzed by light (LM) and electron (EM) microscopy. At leptotene, a stage of short duration, unpaired axial elements begin to be assembled. <e>Synapsis</e> starts at zygotene, beginning usually at the terminal regions of the bivalents, either at the proximal, centromeric end or at the distal, non-centromeric end; interstitial initiation of synapsis was only occasionally observed in the longer chromosomes. Pairing is asynchronous, and shorter chromosomes are the first to complete synapsis. At pachytene all bivalents are fully synapsed. Diplotene is characterized by the progressive fragmentation of SCs; fragmentation is asynchronous, and affects mainly the longer chromosomes, while the shorter ones maintain their morphology up to late diplotene.",M1
9364610,"The brain as a symbol-processing machine.The knowledge accumulated about the biochemistry of the <e>synapsis</e> in the last decades completely changes the notion of brain processing founded exclusively over an electrical mechanism, toward that supported by a complex chemical message exchange occurring both locally, at the synaptic site, as well as at other localities, depending on the solubility of the involved chemical substances in the extracellular compartment. These biochemical transactions support a rich symbolic processing of the information both encoded by the genes and provided by actual data collected from the surrounding environment, by means of either special molecular or cellular receptor systems. In this processing, molecules play the role of symbols and chemical affinity shared by them specifies the syntax for symbol manipulation in order to process and to produce chemical messages. In this context, neurons are conceived as message-exchanging agents. Chemical strings are produced and stored at defined places, and ionic currents are used to speed up message delivery. Synaptic transactions can no longer be assumed to correspond to a simple process of propagating numbers powered by a factor measuring the presynaptic capacity to influence the postsynaptic electrical activity, but they must be modeled by more powerful formal tools supporting both numerical and symbolic calculations. It is proposed here that formal language theory is the adequate mathematical tool to handle such symbolic processing. The purpose of the present review is therefore: (a) to discuss the relevant and recent literature about trophic factors, signal transduction mechanisms, neuromodulators and neurotransmitters in order (b) to point out the common features of these correlated processes; and (c) to show how they may be organized into a formal model supported by the theory of fuzzy formal languages (d) to model the brain as a distributed intelligent problem solver.",M1
7557357,"On the mechanism of homologous <e>synapsis</e> in lycosid spiders.Lycosid spiders have 13 pairs of telocentric chromosomes and 2 nonhomologous sex chromosomes in males. At leptotene, the kinetochore ends are attached to the nuclear envelope via thickened attachment plaques. Homologous synapsis begins at the attachment plaques and proceeds zipper-like through the length of the synaptonemal complex. We have tested whether or not this simple form of homologous synapsis is obligatory by inducing reciprocal translocations. Since we find many irradiated cells with quadrivalents at diakinesis-prometaphase and metaphase I, clearly a backup system exists that can bring together homologous segments disparate from each other in the nucleus. This mechanism apparently does not depend on end-initiated synapsis. Furthermore, we have found in previous studies that wolf spider bivalents are always unichiasmate, with either proximally or distally placed chiasmata. Since many chain quadrivalents, but no ring quadrivalents, were seen in this study, crossing over and chiasma placement obey a different set of rules when homologous segments are switched between chromosomes.",M1
7981283,"[Dependence of the efficacy of slowing on the localization of inhibitory synapses on neuronal dendrites. Mathematical modeling]In the case of somatic inhibition the maximum efficiency of inhibition is observed when exciting inputs are situated distal of the long dendrite. For fibres of a medium length simultaneous inhibition in the soma and the distal end is more efficient. Excitant <e>synapsis</e> near the soma produce the best inhibition only at some fixed distance. This effect can explain the morphological fact of rarefaction of synaptic contacts near soma.",M1
7884642," In vitro  effects of methyl-mercury on the nervous system: a neurotoxicologic study.Many of the currently prevailing toxicologic problems are due to the use of organic mercurial compounds in pesticides and fungicides. During recent years, environmental pollution has originated from the incorrect use of these organometals. Methyl-mercury (Me-Hg) is absorbed quickly from the gastrointestinal tract and is distributed to most tissues. The most important effect of Me-Hg is on the nervous tissue and is more relevant in the fetal brain. We were interested in assessing the neurotoxic effects of Me-Hg on the central and peripheral nervous system. Neuronal cells cultures from 14-day-old fetal Wistar rats and ciliary ganglion cells cultures from 8-day-old chick embryos were used. Various Me-Hg concentrations (10(-3) M to 10(-8) M) were added to these cultures after 36 hr to study the morphologic changes. At 10(-3) M and 10(-4) M concentrations, cellular degeneration and death in the central nervous system (CNS) were noted. At 10(-5) M concentrations, axonal and nerve fibers degeneration, loss of <e>synapsis</e>, and inhibition in the cellular development in CNS were seen; regroupment and destruction in the peripheral nervous system (PNS) was noted. Finally, at 10(-6) M and 10(-7) M concentrations, there were hardly any modifications in the CNS, whereas only the nervous processes were affected in the PNS.",M1
