@RELATION C0040112_C0040113_C1015036

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2, M3}

@DATA
19555688,"Trichinella spiralis: Effect of <e>thymus</e> factor X on apoptosis and necrosis in mice.The aim of the study was to determine the effect of thymus factor X (TFX-Jelfa) on the percentage of apoptotic and necrotic lymphocytes in the spleen, mesenteric lymph nodes, and muscle tissue of mice infected with 200 larvae of Trichinella spiralis. TFX was administered subcutaneously at a dose of 15mg/kg. On days 7, 14, 21, 28, 35, 42, and 60 after infection, apoptotic and necrotic cells were detected by flow cytometry after staining with the Annexin V-Fluos Staining Kit. TFX increased the percentage of apoptotic lymphocytes in the spleen, mesenteric lymph nodes, and muscle tissue of mice infected with T. spiralis. The effect of TFX on the percentage of necrotic lymphocytes was weaker and less clear. Parasite load was lower in infected mice treated with TFX than in the untreated control mice. The effect of TFX on the host immune response and the survival of parasite larvae was therefore probably affected by the extent of inflammatory infiltrates, and not by the percentage of lymphocytes undergoing apoptosis.",M1
17186670,"Reevaluation of antimicrobial and antioxidant activity of <e>Thymus</e> spp. extracts before and after encapsulation in liposomes.The antioxidant and antimicrobial activity of four Thymus species (boissieri, longicaulis, leucospermus, and ocheus) extracts were determined. Two methods (Rancimat and malondialdehyde by high-performance liquid chromatography) were used to measure the antioxidant action in comparison with common commercial antioxidants, including butylated hydroxytoluene and alpha-tocopherol. The extracts that presented high antioxidant activity were encapsulated in liposomes and their antioxidant action was again estimated. Thermal-oxidative decomposition of the samples (pure liposomes and encapsulating extracts) was studied using the differential scanning calorimetry method. The modification of the main transition temperature for the lipid mixture and the splitting of the calorimetric peak in the presence of the antioxidants were also demonstrated by differential scanning calorimetry. All extracts showed antioxidant and antimicrobial activities. Some extracts showed superior or equal antioxidant activity to alpha-tocopherol. When the extracts were encapsulated in liposomes, their antioxidant as well as antimicrobial activities proved to be superior from the same extracts in pure form.",M1
16965687,"[Preliminary assessment of immune reconstitution after autologous peripheral hematopoietic stem cell transplantation (AHSCT)]BACKGROUND &amp; OBJECTIVES: Though high dose chemo-therapy combined with autologous hematopoietic stem cell transplantation (AHSCT) has made great progress on the treatment of chemo-sensitive malignant tumors, the relapse rate remains high. Successful immune reconstitution after AHSCT may reduce recurrence; therefore this study was to explore the characteristics of immune reconstitution after AHSCT and assess its feasibility in clinical use. METHODS: Twenty four cases after AHSCT were enrolled in our study. There were 19 Non-hodgkin Lymphoma (NHL), 3 Hodgkin Lymphoma (HD) and 2 rhabdomyosarcoma. Nineteen cases had achieved complete remission (CR) while 5 partial remission (PR) before AHSCT. All cases were administered Interleukin (IL)-2 and Interferon (IFN)-alpha after AHSCT. Some patients were given <e>thymus</e> factor and/or CIK infusion. Phenotypes of peripheral blood T, B, NK subsets and immunological profile of TH1/TH2 by intracellular staining of cytokines after PMA/ionomycin stimulation were evaluated. RESULTS: 75% of the cases achieved CR while 4.17% were progression of disease (PD) and 16.67% were relapsed during the median follow-up time of 12 (2-60) months. The changes of immune parameters after AHSCT were as followed: (1) CD4+T cells (normal control 33.5+/-6.9%) started to decrease dramatically one month after AHSCT, which was 2.5-13% (median rate 5.6%)in the 2nd month; and then slowly increased to 10-20% in the 7th month, but did not return back to normal even after one year in all patients. In addition, reversed ratio of CD4/CD8 lasted for a long period of time. B cells also began to decrease 1 month after AHSCT, and recovered to normal in the 4th month. But B cells remained 0% in the 6th month and 1% in 12th month in patients treated by rituximab before receiving AHSCT. The ratio of NK cells was 10-20% (higher than normal controls) in the 2nd month, then returned to normal thereafter. (2) The cytokine secretion by T cell: there were 48.79% patients whose TH1 was lower than normal controls or at the lower limit of normal range. All the patients with normal TH1 were treated by IFN-alpha or CIK cell infusion. TH2 was much higher than normal level among 68.29% cases and this abnormality lasted at least for 1 year in some cases. TH2 at normal range was only observed in cases receiving IFN-alpha treatment. Furthermore, IFN-alpha could significantly decrease TH2 level. (3) Increasing tendency of CD4+CD25+/CD4+, CD4+CD69+/CD4+ ratio was observed in patients received additional thymus factor treatment compared to those did not. CONCLUSIONS: Administration of CIK cells, thymus factor, IL-2 and IFN-alpha after AHSCT could improve the immunologic function of patients, and TH1/TH2 ratio may virtually reflect the immune status of patients. However more information is required to make prognostic assessments of immune reconstruction and the long-term survival rate.",M1
16407785,"Reactive oxygen intermediates and serum antioxidative system in patients with chronic C hepatitis treated with IFN-alpha and <e>thymus</e> factor X.INTRODUCTION: In this study, the chemiluminescence (CL) of peripheral blood polymorphonuclear leukocytes (PMNLs) and the serum total antioxidative system (TAS) were assessed in patients with chronic C hepatitis (CCH) before and after 3 and 6 months of treatment with interferon (IFN)-alpha and thymus factor X (TFX). MATERIAL/METHODS: The study included 26 patients with CCH aged between 25-63 years (mean: 42.67). Combined therapy with IFN-alpha 2a and a TFX preparation was applied. PMNL metabolic activity was assessed applying the whole-blood CL method. We measured CL response of neutrophils unstimulated and stimulated by opsonized zymosan, N-formyl-methionylleucyl-phenylalanine (N-fMLP), and phorbol-myristate-acetate (PMA) without and after priming with tumor necrosis factor alpha (10 ng/ml). The assessment of serum TAS was performed directly before the beginning of therapy with IFN-alpha and TFX and after 3 and 6 months of the treatment. A colorimetric method based on the reduction of the cationic radical ABTS*(+) (cation 2, 2'-azido-bis-[3-ethylobenzothiazolino-6-sulfonate]) in the presence of serum antioxidants was used. RESULTS: As a result of the treatment with IFN-alpha and TFX, the formation of free oxygen radicals by resting (unprimed) neutrophils increased statistically significantly both without stimulation and following stimulation by fMLP and PMA. A statistically significant increase in the serum antioxidant capacity was observed, which suggests the induction of compensatory processes. CONCLUSIONS: Increased in vitro reactive oxygen species production by both stimulated and unstimulated peripheral blood neutrophils of patients with CCH was observed. Treatment with IFN-alpha and TFX resulted in a compensatory increase in serum antioxidative capacity.",M1
15169653,"[The relationship between abnormal apoptosis and Fas expression of thymocytes from patients with myasthenia gravis]AIM: To explore the roles of abnormalities of thymocytic abnormal apoptosis and its Fas expression in patients with myasthenia gravis (MG) in generation of autoimmune response. METHODS: The thymocytes were isolated and <e>thymus</e> extractive was prepared from fresh thymic tissue excised from MG patients. The proliferation of thymocyes was evaluated by MTT colorimetry. The apoptosis of thymocytes were examined by DNA electrophoresis. Expression of Fas was analyzed by a FACScan flow cytometry. Transcription and mutation of Fas gene were detected by RT-PCR and single-stranded conformation polymorphism ( SSCP) analysis. RESULTS: Thymus extractive could inhibit proliferation of normal thymocytes, while had no influence on the thymocytic proliferation of MG patients. The proliferation of thymocytes of both normal persons and MG patients could be inhibited by thymus extractive in the presence of dexamethasone. The inhibition rates were 58. 33% and 54. 26% respectively. The cocultured thymocytes with dexamethasone showed characteristic apoptosis pattern and the DNA electrophoresis exhibited 'ladder' appearance. The abnormal bands in Fas mRNA of partial MG patients' thymocytes were found by RT-PCR-SSCP analysis. CONCLUSION: Abnormalities of apoptosis and Fas gene expression of MG patients' thymocytes, and Fas gene mutation may be related to the pathogenesis and progression of MG.",M1
12512558,"Modulatory effects of calf <e>thymus</e> extract on the subset of T lymphocytes in Trichinella spiralis-infected mice.The immunotropic properties of calf thymus extract (TFX-Jelfa) is connected with the mimic action of the thymus to modulate the differentiation, maturation and function of prothymocytes and mature thymus dependent (T) cells. The studies were carried out on CFW male mice aged 3 months. The animals were infected per os with 200 larvae of Trichinella spiralis. TFX-Jelfa was administered i.p. at a dose of 10 mg/kg seven times at 24 hour intervals prior to infection. The percentage of CD4+ and CD8+ in suspension of splenocytes and mesenteric lymphonode cells by flow cytometry using monoclonal antibodies coupled with fluorescein isothiocyanate (FITC) or phycoerythrin (PE) were determined. At the same time, cryostat preparations, made from jejunum and muscle samples, were examined by the direct immunofluorescence method using FITC-labeled antibody to mouse CD4+ and CD8+. It has been found that infection with T. spiralis in mice decreases the percentage of CD8+ splenocytes, while the percentage of CD8+ mesenteric lymphonode cells does not change. However, in infected mice the percentage of CD4+ spleen cells and mesenteric lymphonode cells is increased. It has been also found that during the course of infection an increase in the number of CD8+ and CD4+ cells in the basal lamina propria of the intestines was observed. In infected mice, CD4+ lymphocytes were visible in the inflammatory infiltrates of the muscle tissue on the 14th day, whereas CD8+ lymphocytes were first observed a week later. Pretreatment with TFX does not change the inhibitory effect of infection on the percentage of CD8+ splenocytes, but potentiates the percentage of CD4+ spleen cells and mesenteric lymphonode cells increased by infection. Furthermore, administration of TFX prior to infection also potentiates the stimulatory effect of T. spiralis on the number of CD8+ and CD4+ in the basal lamina propria of the jejunum, and on the number of CD8+ cells in the inflammatory infiltrates of the muscle tissue.",M1
11254741,"Reactivity of anti-proliferating cell nuclear antigen (PCNA) murine monoclonal antibodies and human autoantibodies to the PCNA multiprotein complexes involved in cell proliferation.Proliferating cell nuclear Ag (PCNA) occurs as a component of multiprotein complexes during cell proliferation. We found the complexes to react with murine anti-PCNA mAbs, but not with anti-PCNA Abs in lupus sera. The complexes were purified from rabbit <e>thymus</e> extract by affinity chromatography using anti-PCNA mAbs (TOB7, TO17, and TO30) and analyzed by ELISA, immunoprecipitation, immunoblotting, and HPLC gel filtration. That PCNA was complexed with other proteins was demonstrated by its copurification with a group of proteins excluded by an HPLC G3000 SW column. Although immunoblot analysis showed the mAbs to react exclusively with the 34-kDa PCNA polypeptide, they nonetheless immunoprecipitated the same group of proteins, confirming the interaction of the isolated PCNA with other proteins. Anti-PCNA sera, including AK, which reacts with biologically functional sites on PCNA, did not react with complexed PCNA, but did react with it once it was dissociated from the complexes. PCNA complexes in turn reacted with murine anti-DNA mAbs, as well as with Abs against p21, replication protein A, DNA helicase II, cyclin-dependent kinases 4 and 5, and topoisomerase I. These findings suggest that the PCNA complexes purified using anti-PCNA mAbs comprise the  protein machinery  for DNA replication and cell cycle regulation. They also suggest that anti-PCNA mAbs are useful tools with which to characterize the protein-protein interactions within PCNA complexes, as well as the autoimmune responses to proteins interacting with PCNA, which may shed light on the mechanisms of autoantibody production in lupus patients.",M1
10554540,"[Immunomodulating therapy of psoriasis vulgaris]BACKGROUND: Newest studies have shown that psoriasis is not primarily a skin disorder but an immunological disturbance under the skin. The skin manifestations are a result of overstimulation of superficial skin cells (Langerhans cells) due to increased production of interleukin 2, 6 and 8 as well as transforming growth-factor-alpha. Interleucin-10 production is diminished. In a recent study (11 German University Skin Clinics) fumaric acid was shown to improve the skin leasons in 80% of treated patients. OWN EXPERIENCES: Our own studies on 54 patients which where treated in addition with intravenous <e>thymus</e> extract (Thymoject) and selenium (Selenase) showed a faster healing rate with fumaric acid alone. From these results one can postulate that the above treatments (fumaric acid, thymus and selenium) have a synergystic effect. CONCLUSIONS: Internal immunmodulating treatments should therefore have preference over external symptomatic treatments like UV-light, ointments, salt water bath, etc.",M1
10542874,"[Stress in the etiology of radiation injury. Role of regulatory mechanisms]Radiation damage as stress is regarded in the review. The place of lipid peroxidation in the starting of stress reaction and the possibility of the application of antioxidants and <e>thymus</e> preparations as factors which lower the hardness of radiation damage are considered.",M1
10460987,"Modulation of mouse brain cortex adrenoceptor in old mice by supplementation of zinc and thymomodulin.BACKGROUND: Previous experiments have shown that the age-related decrease of mouse brain cortex adrenoceptor density can be recovered by grafting a neonatal <e>thymus</e> into old recipients. The question arises whether similar results can also be obtained in the presence of a single thymic factor such as thymomodulin (TMD). It is worth noting that the activity of some thymic factors is strictly zinc (Zn) dependent and that their age-related decreased production is recovered in old mice supplemented with Zn. OBJECTIVE: The above-mentioned evidences prompted us to verify whether Zn and TMD, either alone or combined, are able to induce some corrective effects on age-dependent alterations of adrenoceptor characteristics of the mouse brain cortex. METHODS: Thus, we performed experiments on four groups of Balb/c mice treated with saline, Zn, TMD, or both Zn and TMD. Treatments started when animals were 18 months old and ran for 6 months. The alpha(1)- and beta-Adrenoceptor characteristics were assayed by steady state binding analysis using labelled prazosine and iodocyanopindolol, respectively. Data were analyzed using one-way analysis of variance, followed, when appropriate, by multiple-comparison analysis. RESULTS: Results show an increase of beta-adrenoceptor density and a decrease of alpha(1)-adrenoceptor density in both Zn- and Zn+TMD-treated animals when compared to saline-treated controls, while receptor affinities did not change significantly. CONCLUSIONS: The lack of action of TMD suggests that this type of treatment cannot mimic the effects of grafting the whole gland; it cannot be excluded that different time-dose schedule could be more effective. Zn treatment, on the other hand, does modulate adrenoceptors; however, it shows a corrective action on the age-related decreased density of beta-adrenoceptors, but further decreases that of alpha(1)-adrenoceptors. This differential action could be due to their differential physiological role.",M1
10458105,"Effect of <e>thymus</e> extract on immunologic reactivity of chicken vaccinated with infectious bursal disease virus.The effects of crude thymus extract on the immune response and protection against challenge with virulent infectious bursal disease virus (IBDV) were studied in one-day-old chick. Oral administration of thymus extract (1 ml/kg) markedly and significantly increased the total protein, albumin, globulin, Tri-iodothyronine (T3), Thyroxine (T4) and the body weight gain in one-day-old chick. In addition, it increased the total lymphocytic count over four weeks after administration. Although vaccination also increased total protein, globulin, T4 and the total lymphocytic count but it significantly decreased the body weight gain of the chick and administration of thymus extract, before, during or after vaccination markedly improved the vaccination effectiveness with significant elevation of the globulin level and body weight gain of the chick. It also prevented the decrease in the relative weights of bursa, spleen and thyroid gland which commonly prevailed during vaccination. Chicken administered thymus extract and vaccinated with infectious bursal disease (IBD) vaccine showed 100% protection against challenge with IBDV. Meanwhile the vaccinated non-thymus treated group exhibited 80% protection against IBDV challenge. These results indicate a potentiating effect of thymus extract on the immune system in baby chick. These findings are supported by ELISA results that showed a marked increase in antibody titers in thymus treated groups. Additionally, microscopical examination of the bursa and the existent lymphoid hyperplasia in thymus treated groups but not vaccinated group support our findings.",M1
9274431,"<e>Thymus</e> therapy for cancer? A criteria-based, systematic review.",M1
9274427,"<e>Thymus</e> therapy for cancer.",M1
9273208,"[A trial of treatment with <e>thymus</e> factor (TFX) for chronic autoimmune hemolytic anemias]30 days treatment TFX was performed in 8 cases AIHA (autoimmune hemolytic anemia) with presence of warm antibodies refractory after routine treatment (glucocorticosteroids, azathioprine, splenectomy): After TFX treatment in 2 cases autoantibodies were not detectable, in 5 cases reaction DAT (direct antiglobulin test) was decreased. Eluate antibody level and serum antibody level were decreased, too. Decreasing amount of red cells autoantibodies was confirmed by enzyme-linked antiglobulin test (ELAT) in 2 cases. Autoantibody level measured by semiquantitative and quantitative methods did not increase in any other case. Adverse effects of TFX treatment were not observed.",M1
