@RELATION C0039496_C0039493

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20303917,"Treatment of the obstructive sleep apnea syndrome in adults by mandibular advancement device: the state of the art.The obstructive sleep apnea syndrome (OSAS) constitutes a non-negligible risk which requires management by specialists of the upper airways. When OSAS is diagnosed, it needs to be treated and different resources are listed. Different forms of treatment can be envisaged: positive pressure ventilation (VCPP), mandibular advancement devices (MAD), and surgery (soft and hard tissues). The authors focus especially the treatments for MAD, outlining their positive and negative impact on ventilation, <e>TMJ</e>, the bony base and interarch relationships.",M1
20213034,"Use of a structural equation model for prediction of pain symptoms in patients with orofacial pain and temporomandibular disorders.AIMS: To develop and test a biopsychosocial model using structural equation modeling for predicting orofacial pain symptoms in a sample of patients with masticatory muscle pain (MMP). METHODS: Data were collected from clinic records of 251 adult patients who presented for initial evaluation to the Orofacial Pain Center at the University of Kentucky College of Dentistry and were subsequently diagnosed with MMP. Data were used to fit a model relating stressors, psychological distress, arousal, sleep problems, oral parafunction, and pain symptoms. Items from the Multidimensional Pain Inventory (MPI) and the IMPATH:<e>TMJ</e>, a comprehensive biopsychosocial assessment of patients with temporomandibular disorders (TMD), were used to construct a measurement model of five latent variables. RESULTS: Estimation of the model indicated a good fit to the data and significant associations between stressors, psychological distress, arousal, sleep problems, and pain symptoms. Sleep problems partially mediated the relation between arousal and pain symptoms. Contrary to hypotheses, no association occurred between oral parafunction and pain symptoms, possibly indicating that any relationship between oral parafunction and pain symptoms may not exist. CONCLUSION: Results from the model tested in the present study are an additional step toward developing a more comprehensive biopsychosocial model explaining the nature and etiology of MMP in orofacial pain and TMD. With additional development and testing, it may also serve as an aid to planning interventions, especially psychosocial interventions targeting stress management, psychophysiological regulation, psychological distress, and sleep problems.",M1
19767710,"Electromyographic study of activity of the masseter and anterior temporalis muscles in patients with temporomandibular joint (<e>TMJ</e>) dysfunction: comparison with the clinical dysfunction index.OBJECTIVES: A comparison was made between the electromyographic patterns specific to patient with temporomandibular disorders and that of normal healthy patients. STUDY DESIgn: Electromyographic tests were carried out during rest and function of the masseter muscles and anterior temporalis muscles in a homogeneous group consisting of 95 patients for whom such pathology and its different degree of severity had been previously studied by means of a Helkimo Test. The electromyographic exploration results were compared to those of a control group consisting of 31 healthy subjects. RESULTS: There were significant differences among patients with a different degree of clinical dysfunction, as well as between these and the control group. These differences were more important during maximum effort clenching and mastication. During maximum effort clenching, differences in masseteric activity were observed between control group and group III, between groups I and II and between groups I and III. Meanwhile, differences in temporalis activity were significant among all groups except between groups I and II. The multiple comparison analysis demonstrated the existence of significant statistical differences between healthy subjects and patients with severe TMD. However, the linear combination of these electromyographic (EMG) variables led us to elaborate four linear functions that classify all subjects into four well defined groups. Once extreme cases were eliminated, our EMG classification revealed an 80% match with that of the Helkimo Test. We thus conclude that in many cases, classification using electromyographic criteria matches that established by the Helkimo Test.",M1
19592309,"Bilateral widespread mechanical pain sensitivity in women with myofascial temporomandibular disorder: evidence of impairment in central nociceptive processing.Our aim was to investigate bilateral, widespread pressure-pain hypersensitivity in nerve, muscle, and joint tissues in women with myofascial temporomandibular disorders (TMD) without concomitant comorbid conditions. Twenty women with myofascial TMD (aged 20 to 28 years old), and 20 healthy matched women (aged 20 to 29 years), were recruited. Pressure-pain thresholds (PPT) were bilaterally assessed over supra-orbital (V1), infra-orbital (V2), mental (V3) nerves, median (C5), radial (C6) and ulnar (C7) nerve trunks, the C5-C6 zygapophyseal joint, the lateral pole of the temporo mandibular joint (<e>TMJ</e>), and the tibialis anterior muscle in a blinded design. The results showed that PPTs were significantly decreased bilaterally over the supra-orbital, infra-orbital, and mental nerves, median, ulnar, and radial nerve trunks, the lateral pole of the TMJ, the C5-C6 zygapophyseal joint, and the tibialis anterior muscle in patients with myofascial TMD as compared to healthy controls (all sites: P &lt; .001). There were no significant differences in the magnitude of PPT decreases between the trigeminal and extratrigeminal test sites. PPT over the mental nerve, the TMJ, C5-C6 zygapophyseal joint and tibialis anterior muscle were negatively correlated to both duration of pain symptoms and TMD pain intensity (P &lt; .05). Our findings revealed bilateral, widespread pressure hypersensitivity in women presenting with myofascial TMD, suggesting that widespread central sensitization is involved in myofascial TMD women. PERSPECTIVE: This article reveals the presence of bilateral and widespread pressure-pain hypersensitivity in women with myofascial TMD, suggesting that widespread central sensitization is involved in myofascial TMD. This finding has implications for development of management strategies.",M1
19492539,"Association of sense of coherence and clinical signs of temporomandibular disorders.AIMS: To investigate the association of sense of coherence (SOC) with clinical findings of temporomandibular disorders (TMD) among 30- to 64-year-old subjects. METHODS: A nationally representative health examination survey called the Health 2000 Survey was carried out from 2000 to 2001. The data for this study were obtained from 4859 subjects aged 30 to 64 years who had participated in an interview, been clinically examined, and returned a self-administered questionnaire. The questionnaire included a SOC scale which was a 12-item version of the SOC-13 scale. Based on a clinical examination for TMD, the following variables were formed: maximum interincisal distance &lt;40 mm, clicking, crepitation, pain in the temporomandibular joints (<e>TMJs</e>), and pain in the masticatory muscles. Odds ratios (OR) and 95% confidence intervals (CI) were estimated using logistic regression models. RESULTS: Subjects with low SOC had higher odds to have distinct TMD findings, especially masticatory muscle pain, than those with high SOC. After adjustment for confounders, those with low SOC had more than twofold odds to have masticatory muscle pain (in at least one painful site) compared to those with high SOC (OR 2.2, 95% CI 1.4-3.6). Low SOC was also associated with TMJ pain on palpation (OR 3.2, 95% CI 1.5-6.6). CONCLUSION: Low SOC associates with myogenous TMD findings. SOC as a psychosocial aspect has a role in the background of TMD.",M1
19207446,"Psychosocial profiles of painful TMD patients.The aim of the present investigation is to test the null hypothesis that the presence of psychopathology in patients with temporomandibular disorders (TMD) is related to the presence of pain, independent of its location [(i.e. myofascial and/or temporomandibular joint (<e>TMJ</e>) pain]. Ninety-six (n = 96) patients affected by painful TMD underwent a clinical assessment in accordance with the research diagnostic criteria for TMD (RDC/TMD) guidelines and filled out the Symptoms Check List - Revised (SCL-90-R) instrument to investigate the presence of symptoms of psychopathology. Patients with myofascial pain, alone or combined with TMJ pain, endorsed the highest scores in all SCL-90-R scales and showed the highest percentage of abnormal values in the depression (DEP) and somatization (SOM) scales for the assessment of depressive and somatization symptoms. Nonetheless, anova revealed no significant differences between groups in any of the SCL-90-R scales, except than in the Positive Symptom Total Index (F = 3.463; P = 0.035), and the chi-squared test did not detect any significant differences between groups for the prevalence of abnormal scores in the DEP and SOM scales. The existence of a close association between pain and psychosocial disorders in TMD patients was supported by the present study. The null hypothesis is that no differences exist between patients with different painful TMD cannot be fully accepted for the presence of psychosocial disorders because of the trend evidencing higher SCL-90-R scores for myofascial pain patients, alone or combined with TMJ pain, with respect to TMJ pain alone.",M1
19162287,"[Massage of the lateral pterygoid muscle in acute <e>TMJ</e> dysfunction syndrome]INTRODUCTION: Massage of the lateral pterygoid muscle according to Cyriax's principles is an unrecognized procedure. This procedure was tried on patients presenting with temporomandibular joint dysfunction syndrome. MATERIAL AND METHODS: Fifteen patients were treated. Pain, joint clicking, measurement of mouth opening, lateral excursion and propulsion were recorded. Assessment was made before and after the massage in the same consultation. RESULTS: Joint clicking was solved in 80% and pain in 50% of the cases. Mouth opening increased by 12.8%, propulsion by 11.6% and lateral excursion by 41.3%. DISCUSSION: Massage of the lateral pterygoid muscle according to Cyriax's principles is a simple and efficient method that can be recommended for patients presenting with temporomandibular joint dysfunction syndrome. We performed a brief anatomical and radiological MRI study supporting the feasibility of lateral pterygoid muscle palpation.",M1
18990679,"Surface electromyographic patterns of masticatory, neck, and trunk muscles in temporomandibular joint dysfunction patients undergoing anterior repositioning splint therapy.The aim of this study was to investigate the surface electromyographic (sEMG) activity of neck, trunk, and masticatory muscles in subjects with temporomandibular joint (<e>TMJ</e>) internal derangement treated with anterior mandibular repositioning splints. sEMG activities of the muscles in 34 adult subjects (22 females and 12 males; mean age 30.4 years) with TMJ internal derangement were compared with a control group of 34 untreated adults (20 females and 14 males; mean age 31.8 years). sEMG activities of seven muscles (anterior and posterior temporalis, masseter, posterior cervicals, sternocleidomastoid, and upper and lower trapezius) were studied bilaterally, with the mandible in the rest position and during maximal voluntary clenching (MVC), at the beginning of therapy (T0) and after 10 weeks of treatment (T1). Paired and Student's t-tests were undertaken to determine differences between the T0 and T1 data and in sEMG activity between the study and control groups. At T0, paired masseter, sternocleidomastoid, and cervical muscles, in addition to the left anterior temporal and right lower trapezius, showed significantly greater sEMG activity (P = 0.0001; P = 0.0001; for left cervical, P = 0.03; for right cervical, P = 0.0001; P = 0.006 and P = 0.007 muscles, respectively) compared with the control group. This decreased over the remaining study period, such that after treatment, sEMG activity revealed no statistically significant difference when compared with the control group. During MVC at T0, paired masseter and anterior and posterior temporalis muscles showed significantly lower sEMG activity (P = 0.03; P = 0.005 and P = 0.04, respectively) compared with the control group. In contrast, at T1 sEMG activity significantly increased (P = 0.02; P = 0.004 and P = 0.04, respectively), but no difference was observed in relation to the control group. Splint therapy in subjects with internal disk derangement seems to affect sEMG activity of the masticatory, neck, and trunk muscles.",M1
18946571,"Magnetic resonance imaging evaluation of temporomandibular joint derangement in symptomatic and asymptomatic patients.OBJECTIVE: To highlight the importance of MRI in evaluation of the tempromandibular joint (<e>TMJ</e>). METHODS: The MRI examination was performed at King Khalid University Hospital, Riyadh, Saudi Arabia with the approval from the local ethics committee, on 34 patients (68 joints) between January 2006 and November 2007, in which 10 were considered asymptomatic subjects (control). The remaining had symptoms and signs of TMJ pain or dysfunction, including limitation of movement and clicking. All our subjects were examined in both closed and open mouth position. Images were obtained by 1.5-T MRI system, in oblique sagittal plane utilizing 3 pulse sequences including T1 and T2 spin-echo, and spoiled gradient recall sequences. The evaluation of the meniscal disc configuration and position was carried out by 2 radiologists. RESULTS: Sixteen out of 20 joints of asymptomatic subjects were normal. In the other 2 asymptomatic subjects, the MRI showed anterior disc displacement with reduction in 3 joints, and degenerative changes in 2 joints. Out of the 48 symptomatic joints, 26 (45%) joints were considered normal, while the other 22 joints showed anterior dislocation without reduction. Degenerative joint disease was also seen in 18 joints. CONCLUSION: The MRI with the use of surface coils markedly improves the delineation of internal derangement of the TMJ, therefore, it enhanced the capability of detecting certain abnormalities, which proved to have a statistical significance in symptomatic patients.",M1
18835127,"[Delayed diagnosis of a postanaesthesia temporomandibular joint dislocation]Temporomandibular joint (<e>TMJ</e>) dislocation during anaesthesia is a rare occurrence. Patients with a history of prior dislocations or TMJ dysfunction, and patients with mandibular retrognathism are at risk of this complication. This is a case report of delayed diagnosis of TMJ dislocation after a general anaesthesia for aortic valvular replacement surgery in a predisposed patient. Considering this unusual presentation, TMJ evaluation should be performed during preoperative anaesthetic assessment. In at-risk patients, one should not worry about TMJ dislocation during intubation but concentrate on glottic exposure. However, afterwards, one should be highly aware of this possible complication in order to detect it early, allowing an immediate simple manual reduction. This manoeuver may be performed with or without sedation by a practitioner, familiar with this way of resetting a dislocated jaw.",M1
