@RELATION C0144576_C0039371

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
19827270,"Alleviating effect of active hexose correlated compound (AHCC) for anticancer drug-induced side effects in non-tumor-bearing mice.Active hexose correlated compound (AHCC) is an extract of a basidiomycete mushroom that is used as a supplement by some cancer patients undergoing chemotherapy; it is thought to enhance the therapeutic effects and reduce the side effects of select anticarcinogenic agents. AHCC has been reported to strengthen the anticancer effects of cisplatin (CDDP) and ameliorate its side effects in female BALB/cA mice inoculated with Colon-26 tumor cells. In this study, the role of AHCC in alleviating the side effects induced by several other anticancer drugs was explored in non-tumor-bearing mice receiving monotherapy with paclitaxel (<e>TAX</e>), or multi-drug chemotherapy with TAX plus CDDP, 5-fluorouracil (5FU) plus irinotecan, CDDP plus 5FU, or doxorubicin plus cyclophosphamide. Outcomes from the drug treatment groups with and without AHCC supplementation were compared to controls that received vehicle alone. The multi-drug treatments significantly reduced bone marrow cell viability in all groups and leukocyte count in all groups except for TAX+CDDP; these myelosuppresive effects were generally alleviated by AHCC. Hepatotoxicity and nephrotoxicity caused by the treatments that included TAX and CDDP were also significantly improved by AHCC. The death rate was 20 to 30 percent in all treatment groups except TAX+CDDP, and supplementation with AHCC greatly reduced or eliminated mortality. These results support the concept that AHCC can be beneficial for cancer patients receiving chemotherapy.",M1
19703346,"Organic anion transporting polypeptide 2-mediated uptake of paclitaxel and 2'-ethylcarbonate-linked paclitaxel in freshly isolated rat hepatocytes.OBJECTIVES: The P-glycoprotein (P-gp) efflux pump plays an important role in paclitaxel detoxification. However, hepatic uptake of paclitaxel mediated by a solute-linked carrier transporter family is still poorly understood in animals and humans. Freshly isolated hepatocyte suspensions are a well established in-vitro model for studying drug transport and xenobiotic metabolism. Therefore, the hepatic uptake of paclitaxel and its P-gp-insensitive prodrug, 2'-ethylcarbonate-linked paclitaxel (<e>TAX</e>-2'-Et), has been characterized using freshly isolated and pregnenolone-16-alpha-carbonitrile (PCN)-treated hepatocytes in rats. METHODS: Paclitaxel and TAX-2'-Et were incubated with rat hepatocyte suspensions in the presence or absence of inhibitors. KEY FINDINGS: Paclitaxel and TAX-2'-Et showed concentration-dependent uptake in rat hepatocytes. The intrinsic transport capacity was two-fold higher for paclitaxel uptake than for TAX-2'-Et uptake. Rifampicin (a potent inhibitor of organic anion transporting polypeptide (Oatp) 2), but not indometacin (a representative inhibitor of organic anion transporter (Oat) 2 and Oatp1) treatment, significantly inhibited the uptake of paclitaxel and TAX-2'-Et. We characterized the rifampicin-sensitive uptake of paclitaxel and TAX-2'-Et using rat hepatocytes treated with PCN, which dramatically enhances hepatic Oatp2 protein levels. PCN-treated hepatocytes displayed a 1.6-fold greater uptake of paclitaxel and TAX-2'-Et than the vehicle-treated hepatocytes. The uptake of the two compounds was significantly reduced by rifampicin but not by indometacin treatment. These findings demonstrated that the rat Oatp2, but not Oatp1 or Oat2, was a candidate transporter for the hepatic uptake of paclitaxel and TAX-2'-Et. CONCLUSIONS: The findings have provided an important step towards identifying a key transporter in hepatic detoxification of paclitaxel and TAX-2'-Et in small animals.",M1
19604626,"Enhanced cytotoxicity with a novel system combining the paclitaxel-2'-ethylcarbonate prodrug and an HSV amplicon with an attenuated replication-competent virus, HF10 as a helper virus.We previously demonstrated that HF10, which is a natural, non-engineered HSV-1, has potent oncolytic activity in the treatment of solid malignant tumors in vitro and in vivo [H. Takakuwa, F. Goshima, N. Nozawa, T. Yoshikawa, H. Kimata, A. Nakao, et al., Oncolytic viral therapy using a spontaneously generated herpes simplex virus type 1 variant for disseminated peritoneal tumor in immunocompetent mice, Arch. Virol. 148 (2003) 813-825; S. Kohno, C. Lou, F. Goshima, Y. Nishiyama, T. Sata, Y. Ono, Herpes simplex virus type 1 mutant HF10 oncolytic viral therapy for bladder cancer, Urology 66 (2005) 1116-1121; D. Watanabe, F. Goshima, I. Mori, Y. Tamada, Y. Matsumoto, Y. Nishiyama, Oncolytic virotherapy for malignant melanoma with herpes simplex virus type 1 mutant HF10, J. Dermatol. Sci. 50 (2008) 185-196; A. Nawa, C. Luo, L. Zhang, Y. Ushijima, D. Ishida, M. Kamakura, et al., Non-engineered, naturally oncolytic herpes simplex virus HSV1 HF10: applications for cancer gene therapy, Curr. Gene. Ther. 8 (2008) 208-221]. Previous reports have also shown that a combination of HF10 and paclitaxel (<e>TAX</e>) was more efficacious than either regimen alone for some types of malignant tumors [S. Shimoyama, F. Goshima, O. Teshigahara, H. Kasuya, Y. Kodera, A. Nakao, et al., Enhanced efficacy of herpes simplex virus mutant HF10 combined with paclitaxel in peritoneal cancer dissemination models, Hepatogastroenterology 54 (2007) 1038-1042]. In this study, we investigated the efficacy of gene-directed enzyme prodrug therapy (GDEPT) using a novel system that combines the paclitaxel-2'-ethylcarbonate prodrug (TAX-2'-Et) and an HSV amplicon expressing rabbit-carboxylesterase (CES) with HF10 as a helper virus. This GDEPT system aims to produce high level of CES at the tumor site, resulting in efficient local conversion of the TAX-2'-Et prodrug into the active drug TAX [A. Nawa, T. Tanino, C. Lou, M. Iwaki, H. Kajiyama, K. Shibata, et al., Gene directed enzyme prodrug therapy for ovarian cancer: could GDEPT become a promising treatment against ovarian cancer?, Anti-Cancer Agents Med Chem 8 (2008) 232-239]. We demonstrated that the green fluorescent protein (GFP) gene, as a trace maker, was more efficiently introduced by the HSV amplicon compared to the expression vector, pHGCX, and that the HSV amplicon system expressed an active CES enzyme that could convert TAX-2'-Et to TAX in Cos7 cells. Furthermore, although the cytotoxicity of this amplicon system was not enhanced in virus-sensitive tumor cells, it was significantly enhanced in low virus-sensitive tumor cells in the presence of the prodrug in a concentration-dependent manner, compared to the control virus alone (p&lt;0.05). These results indicate that the addition of a prodrug converting enzyme may be a feasible approach to further enhance the efficacy of HF10 as a cancer therapeutics in low HF10-sensitive malignancies.",M1
19501040,"Taxol biosynthesis: Identification and characterization of two acetyl CoA:taxoid-O-acetyl transferases that divert pathway flux away from Taxol production.Two cDNAs encoding taxoid-O-acetyl transferases (<e>TAX</e> 9 and TAX 14) were obtained from a previously isolated family of Taxus acyl/aroyl transferase cDNA clones. The recombinant enzymes catalyze the acetylation of taxadien-5alpha,13alpha-diacetoxy-9alpha,10beta-diol to generate taxadien-5alpha,10beta,13alpha-tri-acetoxy-9alpha-ol and taxadien-5alpha,9alpha,13alpha-triacetoxy-10beta-ol, respectively, both of which then serve as substrates for a final acetylation step to yield taxusin, a prominent side-route metabolite of Taxus. Neither enzyme acetylate the 5alpha- or the 13alpha-hydroxyls of taxoid polyols, indicating that prior acylations is required for efficient peracetylation to taxusin. Both enzymes were kinetically characterized, and the regioselectivity of acetylation was shown to vary with pH. Sequence comparison with other taxoid acyl transferases confirmed that primary structure of this enzyme type reveals little about function in taxoid metabolism. Unlike previously identified acetyl transferases involved in Taxol production, these two enzymes appear to act exclusively on partially acetylated taxoid polyols to divert the Taxol pathway to side-route metabolites.",M1
19249859,"Flexible filaments for in vivo imaging and delivery: persistent circulation of filomicelles opens the dosage window for sustained tumor shrinkage.Shape effects of synthetic carriers are largely unexplored in vivo, although recent findings suggest that flexible filaments can persist in the circulation even if microns in length. Here, to better assess biodistribution, a near-infrared fluorophore (NIRF) was incorporated into such block copolymer  filomicelles , and both in vivo and ex vivo imaging show that the majority of these wormlike micelles remain in the circulation for at least a day after intravenous injection. NIRF imaging further suggests that filomicelles convect into a tumor and some fragments can penetrate into the tumor stroma. To assess a functional effect, the hydrophobic drug paclitaxel (<e>tax</e>) was loaded into both filomicelles and sonication-generated spherical micelles of the same copolymer. Intravenous injection of tax-loaded filomicelles nearly doubles the maximum tolerated dose of tax in normal mice compared to tax-loaded spherical micelles. In tumor-bearing mice, the higher dose of tax produces greater and more sustained tumor shrinkage and tumor cell apoptosis. These results thus begin to address mechanisms for how nonspherical carriers deliver both imaging agents and anticancer therapeutics to solid tumors.",M1
19243757,"Mitochondrial behaviors in the vitrified mouse oocyte and its parthenogenetic embryo: effect of Taxol pretreatment and relationship to competence.OBJECTIVE: To investigate the effect of Taxol pretreatment on mitochondrial behaviors in vitrified mouse mature oocytes and their parthenogenetic embryos. DESIGN: Experimental animal study. SETTING: University research laboratory and state key laboratory. ANIMAL(S): Sexually mature female Kunming white strain mice. INTERVENTION(S): Taxol before vitrification group (<e>Tax</e>). Oocytes were pretreated with M(2) containing 1 mmol/L Taxol for 2 minutes at 37C and then vitrified-warmed using the OPS vitrification procedure. Both ED solution and EDFS30 solution contained 1 mmol/L Taxol. MAIN OUTCOME MEASURE(S): Mitochondrial behaviors examined by fluorescence microscopy technology and fluorescence recovery after photobleaching (FRAP) technology. RESULT(S): In the control group, mitochondria were homogeneously distributed, in slow movement in oocytes, and perinuclearly distributed in 42.6% (n = 115) of their parthenogenetic two-cell embryos. Mitochondria from the toxicity group showed similar localization and movement to those of the control group, but not in the vitrification group. The perinuclear mitochondrial localization pattern of two-cell embryos was statistically significantly lower in both the toxicity (27.2%) and vitrification groups (19.8%) than in the control group. After parthenogenetic activation, the blastocyst formation rate of oocytes in the treated groups (28.1 to 48.6%) was statistically significantly lower than that of control (61.2%), but the rate of Taxol group (47.9%) was statistically significantly higher than that in the vitrification group (28.1%). CONCLUSION(S): Taxol pretreatment before vitrification helps to reduce the mitochondrial disturbance induced by vitrification in oocytes and their parthenogenetic early-stage embryo.",M1
19157226,"[Influence of SNCG transfection on the effectiveness of anti-tumor drugs in PC-3 cell lines]OBJECTIVE: To observe the sensitivity of the PC-3 cell lines transfected with the PCI-NEO-SNCG plasmid to Cisplatin (DDP), 5-Fluorouracil (5-FU), Adriamycin (ADM), Vincristine (VCR) and Paclitaxel (<e>TAX</e>), and to explore the influence of the SNCG expression on the effectiveness of anti-tumor drugs. METHODS: The plasmids PCI-NEO and PCI-NEO-SNCG were transfected into the hormone-independent prostate cancer cell lines PC-3. RT-PCR was adopted to examine the expression of SNCG in the PC-3 cell lines. The MTT method was employed to detect the suppressive effects of different anti-tumor drugs (DDP, ADM, 5-FU, VCR and TAX) on the cell lines transfected with PCI-NEO and PCI-NEO-SNCG. Flow cytometry was used to analyze the cell cycles and apoptosis of the transfected cells treated with TAX. RESULTS: The 5 anti-tumor drugs suppressed the growth of the cell lines transfected with the plasmids PCI-NEO and PCI-NEO-SNCG in a time-dependant manner. The comparison between the growth-suppressing effects of different anti-tumor drugs on the PC-3 cell lines showed no significant differences between the group transfected with PCI-NEO and that with PCI-NEO-SNCG in DDP, 5-FU, ADM and VCR (P &gt; 0.05), while the rate of suppression of TAX on the latter cell lines was significantly lower than that on the former (P &lt; 0.01). Compared with the PCI-NEO-SNCG plasmid transfected cell lines, after treated with TAX for 48 hours, those transfected with the PCI-NEO plasmid exhibited a significantly larger proportion of cells remaining in the G2-M stage (P &lt; 0.01), a smaller proportion in the G0-G1 and S stages (P &lt; 0.01) and a significantly higher expression of Caspase-3 (P &lt; 0.01). CONCLUSION: The significant reduction of the growth-suppressing effect of TAX in the SNCG-transfected PC-3 cell lines suggests that the expression of SNCG may restrain the effect of TAX. These findings have provided evidence and guide to the individual chemotherapy of prostate cancer.",M1
19151428,"Vernonia amygdalina: anticancer activity, authentication, and adulteration detection.Evidence suggests that most chemotherapeutic agents are less effective as treatment in patients with estrogen receptor-negative (ER-) breast carcinomas compared to those with estrogen receptor-positive (ER+) breast carcinomas. Moreover, African American Women (AAW) is disproportionately diagnosed with ER- breast cancer compared to their white counterparts. Novel therapies effective against ER- breast carcinomas are urgently needed to ameliorate the health disparity. Previous reports show that low concentrations (microgram/ml) of water-soluble leaf extracts of a Nigerian edible plant, V. amygdalina (VA), potently retards the proliferative activities of ER+ human breast cancerous cells (MCF-7) in vitro in a concentration-dependent fashion. However, the anti-proliferative activities of VA in either ductal or ER- carcinoma cells have not been characterized. The exposure of BT-549 to increasing concentrations of VA (10, 100, and 1000 microg/mL) inhibited cell growth by approximately 14 % (P&lt;0.05), 22 % (p&lt;0.05), and 50 % (p&lt;0.005) respectively. The cell count studies were corroborated by DNA synthesis studies. Treatments of BT-549 with 10, 100, and 1000 microg/mL VA inhibited DNA synthesis in a concentration dependent fashion by 22 %, 76 % (P&lt;0.05), and 86 % (p&lt;0.01) respectively. BT-549 cells were insensitive to 10 and 100 nM paclitaxel (<e>TAX</e>) treatments. Isolation of DNA from dried VA leaves yielded approximately 12.2 and 1 kbp genomic DNA that were Eco RI-insensitive but Hind III and Bam HI-sensitive. These pieces of information may be used to enhance the safety of medicinal botanical VA through authentication, and adulteration detection.",M1
18845169,"Quinoline derivative KB3-1 potentiates paclitaxel induced cytotoxicity and cycle arrest via multidrug resistance reversal in MES-SA/DX5 cancer cells.AIMS: The resistance to chemotherapeutic drugs is a major problem for successful cancer treatment. Multidrug resistance (MDR) phenotype is characterized by over-expression of P-glycoprotein (P-gp) on the cancer cell plasma membrane that extrudes drugs out of the cells. Therefore, novel MDR reversal agents are desirable for combination therapy to reduce MDR and enhance anti-tumor activity. Thus, the present study was aimed to evaluate the potent efficacy of novel quinoline derivative KB3-1 as a potent MDR-reversing agent for combined therapy with <e>TAX</e>. MAIN METHODS: MDR reversing effect and TAX combined therapy were examined by Rhodamine accumulation and efflux assay and Confocal immunofluorescence microscopy, Western blotting, TUNEL assay, and cell cycle analysis. KEY FINDINGS: The discovery of quinoline-3-carboxylic acid [4-(2-[benzyl-3[-(3,4-dimethoxy-phenyl)-propionyl]-amino]-ethyl)-phenyl]-amide (KB3-1) as a novel MDR-reversal agent. KB3-1 significantly enhanced the accumulation and retention of a P-gp substrate, rhodamine-123 in the P-gp-expressing MES-SA/DX5 uterine sarcoma cells but not in the P-gp-negative MES-SA cells at non-toxic concentrations of 1 microM and 3 microM. Similarly, fluorescence microscopy observation revealed that KB3-1 reduced the effluxed rhodamine-123 expression on the membrane of MES-SA/DX5 cells. Consistent with decreased P-gp pumping activity, confocal microscopic observation revealed that KB3-1 effectively diminished the expression of P-gp in paclitaxel (TAX)-treated MES-SA/DX-5 cells. Furthermore, Western blotting confirmed that KB3-1 reduced P-gp expression and enhanced cytochrome C release and Bax expression in TAX treated MES-SA/DX-5 cells. In addition, KB3-1 enhanced TAX-induced apoptotic bodies in MES-SA/DX5 cells by TdT-mediated-dUTP nick-end labeling (TUNEL) staining assay aswell as potentiated TAX- induced cytotoxicity, G2/M phase arrest and sub-G1 apoptosis in MES-SA/DX5 cells but not in MES-SA cells. Interestingly, KB3-1 at 3 microM had comparable MDR-reversal activity to 10 microM verapamil, a well-known MDR- reversal agent. SIGNIFICANCE: KB3-1 can be a MDR-reversal drug candidate for combination chemotherapy with TAX.",M1
18570892,"The paclitaxel site in tubulin probed by site-directed mutagenesis of Saccharomyces cerevisiae beta-tubulin.Previously, we created a paclitaxel-sensitive strain of Saccharomyces cerevisiae by mutating five amino acid residues in beta-tubulin in a strain that has a decreased level of the ABC multidrug transporters. We have used site-directed mutagenesis to examine the relative importance of the five residues in determining sensitivity of this strain to paclitaxel. We found that the change at position 19 from K (brain beta-tubulin) to A (yeast beta-tubulin) and at position 227 from H (brain beta-tubulin) to N (yeast beta-tubulin) had no effect on the activity of paclitaxel. On the other hand, the changes V23T, D26G and F270Y, drastically reduced sensitivity of AD1-8-<e>tax</e> to paclitaxel. Molecular modeling and computational studies were used to explain the results.",M1
18496885,"Enzymatic stability of 2'-ethylcarbonate-linked paclitaxel in serum and conversion to paclitaxel by rabbit liver carboxylesterase for use in prodrug/enzyme therapy.In prodrug/enzyme therapy for cancer, information on the sensitivity of hydrolytic enzymes to prodrug is required to reduce adverse effects of the parental drug and to find the activating enzyme. The aim of this study was to characterize the enzymatic stability of 2'-ethylcarbonate-linked paclitaxel (<e>TAX</e>-2'-Et) in the sera of several different species including humans. TAX-2'-Et disposition in serum was kinetically analysed using models with hydrolytic and/or degradation processes. To further evaluate the capability of liver carboxylesterases (CESs) in TAX-2'-Et hydrolysis, a CES isolated from rabbit liver (Ra-CES) was utilized as a model enzyme. Rat serum provided rapid enzymatic hydrolysis of TAX-2'-Et with a half-life of 4 min. The degradation of paclitaxel (TAX) (degradation rate constant, 0.16 h(-1)) was accompanied by the formation of an unknown compound. The conversion to TAX was almost completely inhibited by phenylmethyl sulfonylfluoride (PMSF) and bis(p-nitrophenyl) phosphate (BNPP). In human and rabbit sera, the degradation rate constant of TAX-2'-Et was 5.1 x 10(-2) and 0.15 h(-1), respectively, when excepting hydrolysis. The degradation products had the same molecular weight as TAX-2'-Et. The amount of TAX produced accounted for only 8-11% of the decrease in TAX-2'-Et after a 9 h exposure to rabbit or human serum. PMSF, but not BNPP, inhibited more than 90% of the TAX production in a 1.5 h incubation with human or rabbit serum. Ra-CES enzyme converted TAX-2'-Et to TAX with V(max) and K(m) of 74.7+/-13.8 nmol/min/mg protein and 8.8+/-2.8 microM, respectively. These results indicate that TAX-2'-Et is sensitive to serum CESs, but not cholinesterases. However, serum CESs show species-dependent hydrolysis of TAX-2'-Et. Although human serum allows the slow release of TAX, TAX-2'-Et is expected to reduce the side-effects of TAX. The Ra-CES enzyme is capable of hydrolysing TAX-2'-Et, which may be beneficial for the development of a TAX-2'-Et/enzyme therapy strategy for ovarian cancer.",M1
18478476,"[Anti-tumor effect of chemotherapeutic drugs on human gastric cancer cells in vitro and the relationship with Bcl-2 expression]OBJECTIVE: To evaluate in vitro anti-tumor effect of chemotherapeutic drugs on human gastric cancer cells, and investigate the relationship with Bcl-2 expression. METHODS: Single cell suspension was prepared from fresh gastric cancer tissue and exposed to taxol (<e>Tax</e>), 5-fluorouracil (5-FU), cisplatin (CDDP), adriamycin (ADM), mitomycin (MMC) respectively for 48 hours. Metabolic activity and inhibitory rate of cells were detected by MTT assay. Expression of Bcl-2 was examined with immunohistochemistry. RESULTS: The inhibitory rates of cancer cells exposed to chemotherapeutic drugs were different and Tax, 5-FU, CDDP had remarkably higher rates than ADM and MMC. The lower differentiated gastric cancer cells were more sensitive than the higher ones. Positive expression rate of Bcl-2 was 80% and the positive cells showed resistance to 5-FU, ADM and MMC. CONCLUSIONS: Chemosensitive testing by MTT assay can constitute the prediction for the application of chemotherapeutic drugs individually. Overexpression of Bcl-2 may contribute to multiple drug-resistance of tumors.",M1
