@RELATION C0013220_C0020963

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20518384,"[No evidence for <e>tolerance</e> in the treatment of anxiety with pregabalin (Lyrica)]",M1
20486469,"Comparison of vasorelaxant effect and <e>tolerance</e> profile of a novel isosorbide-5-mononitrate derivative with its stereoisomer and parent drug on rat mesenteric artery.BACKGROUND/AIMS: 5-Ketoximeisosorbide-2-mononitrate (50-IS-2-MN) was synthesized and its pharmacological and toxicological characteristics were examined and compared with its parent drug, isosorbide-5-mononitrate (IS-5-MN, CAS 16051-77-7), and its diastereoisomer 2-ketoximeisosorbide-5-mononitrate. METHODS: Vasorelaxation was studied on phenylephrine-precontracted rat superior mesenteric artery rings in organ bath procedure. In some rings, the endothelium was mechanically removed. In vitro tolerance was induced by treating the precontracted rings with maximal concentrations of the parent drug and the ketoximes, and after washing out, the procedure was repeated for two times. Furthermore, rats were treated with a single oral dose (1000 mg/kg) of 50-IS-2-MN and 20-IS-5-MN. RESULTS: After a phenylephrine-induced contraction, 50-IS-2-MN (10(-8)-10(-4) mol/l) caused a concentration-dependent relaxation of the rat superior mesenteric artery that was strongly potentiated after the removal of the vascular endothelium. In preparations with or without endothelium, 50-IS-2-MN was a more potent relaxant than either the parent compound or its isomer. The mechanism of the relaxant effect of 50-IS-2-MN involves the activated soluble guanylyl cyclase-cyclic GMP pathway. Hydralazine (10(-5) mol/l), a strong antioxidant, ameliorated tolerance to IS-5-MN, but did not affect the absence of tolerance to either ketoxime. The minimum lethal dose in rat for 5O-IS-2-MN and 20-IS-5-MN was greater than 1000 mg/kg. CONCLUSION: These results suggest that the modification of the configuration at the ester carbon of IS-5-MN contributes to more potent and tolerance-devoid activity on the rat superior mesenteric artery.",M1
20481538,"Identification and functional characterization of a stable, centrally active derivative of the neurotensin (8-13) fragment as a potential first-in-class analgesic.The neurotensin hexapapetide fragment NT(8-13) is a potent analgesic when administered directly to the central nervous system but does not cross the blood-brain barrier. A total of 43 novel derivatives of NT(8-13) were evaluated, with one, ABS212 (1), being most active in four rat models of pain when administered peripherally. Compound 1 binds to human neurotensin receptors 1 and 2 with IC(50) of 10.6 and 54.2 nM, respectively, and <e>tolerance</e> to the compound in a rat pain model did not develop after 12 days of daily administration. When it was administered peripherally, serum levels and neurotensin receptor binding potency of 1 peaked within 5 min and returned to baseline within 90-120 min; however, analgesic activity remained near maximum for &gt;240 min. This could be due to its metabolism into an active fragment; however, all 4- and 5-mer hydrolysis products were inactive. This pharmacokinetic/pharmacodynamic dichotomy is discussed. Compound 1 is a candidate for development as a first-in-class analgesic.",M1
20453604,"Use of thalidomide for severe recurrent aphthous stomatitis: a multicenter cohort analysis.Severe recurrent aphthous stomatitis (SRAS) is a rare, disabling disorder of unknown etiology. Thalidomide is an effective second-line therapy for SRAS, but is suppressive rather than curative, and adverse events limit its use. Few reports describe the efficacy, <e>tolerance</e>, and safety of thalidomide, and how it is actually used as long-term (maintenance) therapy for SRAS. Therefore, we conducted this study to describe thalidomide use in the real-life management of a cohort of patients with SRAS. This multicenter retrospective cohort study covered a period of 5 years and 5 months (January 2003-May 2008). Patients who had started thalidomide monotherapy for SRAS during the 2003-2006 period were eligible. Data were collected from patients' medical charts and supplemented by patients' responses during a targeted telephone interview. Ninety-two patients followed at 14 centers were included: 76 had oral or bipolar aphthosis, and 16 had Behçet disease. Thalidomide was rapidly effective: 85% (78/92) entered complete remission (CR) within a median of 14 days. Response time was independent of the initial thalidomide dose (r = 0.04). Thalidomide was continued for &gt; or =3 months (maintenance therapy) by 77/92 (84%) of the patients on 1 of 2 maintenance regimens: continuous therapy with regular intake (60/77) or intermittent therapy in response to attacks (17/77). Although intermittent therapy was less restrictive than continuous therapy, medical supervision under the former was less rigorous. The median maintenance dose was 100 mg/week, and did not reflect the initial dose (r = 0.18). The intermittent-treatment group's median dose was significantly lower and its median duration of thalidomide intake significantly longer than for patients on continuous therapy (19 vs. 150 mg/wk; p &lt; 0.0001, and 32 vs. 19 mo; p = 0.002, respectively). Adverse events were reported by 84% (77/92) of patients. They were mostly mild (78% of patients), but sometimes severe (21%). Nevertheless, after 40 months of follow-up, 60% of patients were still receiving continuous or intermittent maintenance therapy with favorable efficacy/tolerance ratios. Despite its retrospective nature, this detailed study provides novel information on the different ways thalidomide is used as SRAS maintenance therapy in a large and unselected cohort of patients. Low-dose maintenance regimens appear to be widely used, effective, and relatively well tolerated. These observations suggest the value of undertaking a randomized trial to assess various maintenance regimens.",M1
20437553,"How to design an opioid drug that causes reduced <e>tolerance</e> and dependence.Mu opioid receptor (MOR) agonists such as morphine are extremely effective treatments for acute pain. In the setting of chronic pain, however, their long-term utility is limited by the development of tolerance and physical dependence. Drug companies have tried to overcome these problems by simply  dialing up  signal transduction at the receptor, designing more potent and efficacious agonists and more long-lasting formulations. Neither of these strategies has proven to be successful, however, because the net amount of signal transduction, particularly over extended periods of drug use, is a product of much more than the pharmacokinetic properties of potency, efficacy, half-life, and bioavailability, the mainstays of traditional pharmaceutical screening. Both the quantity and quality of signal transduction are influenced by many regulated processes, including receptor desensitization, trafficking, and oligomerization. Importantly, the efficiency with which an agonist first stimulates signal transduction is not necessarily related to the efficiency with which it stimulates these other processes. Here we describe recent findings that suggest MOR agonists with diminished propensity to cause tolerance and dependence can be identified by screening drugs for the ability to induce MOR desensitization, endocytosis, and recycling. We also discuss preliminary evidence that heteromers of the delta opioid receptor and the MOR are pronociceptive, and that drugs that spare such heteromers may also induce reduced tolerance.",M1
20425198,"The effect of morphine on glial cells as a potential therapeutic target for pharmacological development of analgesic drugs.Opioids have played a critical role in achieving pain relief in both modern and ancient medicine. Yet, their clinical use can be limited secondary to unwanted side effects such as <e>tolerance</e>, dependence, reward, and behavioral changes. Identification of glial-mediated mechanisms inducing opioid side effects include cytokine receptors, kappa-opioid receptors, N-methyl-D-aspartate receptors, and the recently elucidated Toll-like receptors. Newer agents targeting these receptors such as AV411, MK-801, AV333, and SLC022, and older agents used outside the United States or for other disease conditions, such as minocycline, pentoxifylline, and UV50488H, all show varied but promising profiles for providing significant relief from opioid side effects, while simultaneously potentiating opioid analgesia.",M1
20413817,"<e>Tolerance</e> induced by non-opioid analgesic microinjections into rat's periaqueductal gray and nucleus raphe.Several lines of investigations have shown that the microinjection of non-opioid analgesics, non-steroidal anti-inflammatory drugs (NSAIDs) in the midbrain periaqueductal gray matter (PAG) induces antinociception with some effects of tolerance. Our recent findings also have shown the same effects of tolerance in intraperitoneal (i.p.) injections of analgin (metamizol), ketorolac, and xefocam. Moreover, just recently, we have shown that microinjection of three NSAIDs analgin, ketorolac and xefocam into the central nucleus of amygdala produces tolerance to these drugs and cross-tolerance to morphine. The present study was designed to examine whether together with analgin, microinjection of another type of NSAIDs clodifen, ketorolac and xefocam into the PAG and the nucleus raphe magnus (NRM) leads to the development of tolerance in male rats. The experiments were carried out on experimental and control (with saline) white male rats by the models of tail-flick (TF, to the stimulation of focusing light beam) and hot plate (HP, paw withdrawal) tests. For microinjections of NSAIDs stainless steel guide cannula was implanted into the PAG and NRM by the stereotaxic atlas. Latency increase of these reflexes indicated the degree of antinociception. Analysis of variance with post-hoc Dunnet Multiple Comparison Test were used for statistical evaluations. Our study showed that microinjection of NSAIDs into the PAG produced antinociception as revealed by a latency increase in TF and HP compared to the baseline control with saline microinjected into the same nucleus. However, when these drugs microinjection subsequent testing also took place in the following days the antinociceptive effects progressively diminished so that on the 4th and especially the 5th experimental days the TF and HP latencies were similar to the averaged control baseline for rats that received repeated (5 days) injections of only saline. On the 5th day, one hour after of NSAIDs testing, experimental groups of rats received i.p. injections of mu-opioid antagonist naloxone and we did not reveal significant alterations in TP and HP latencies in non-opioid tolerant rats as well as in control animals. Microinjections of NSAIDs into the NRM also produced antinociception as revealed by a latency increase in TF and HP compared to the baseline control of as in intact rats so with saline microinjected ones into the same nucleus. Subsequent NSAIDs microinjections caused progressively less antinociception, so by day 4 there was no effect, similar to saline microinjections (baseline control) for both the TF and the HP tests, except analgin. The later did not show complete tolerance even on the 5th experimental day. Special control experiments showed that post-treatment with naloxone in RVM diminished NSAID-induced antinociception on the first and second experimental days and impeded the development of tolerance to the antinociceptive effect of NSAIDs. Obtained results underscore the strong convergence of antinociceptive mechanisms of opioids and non-opioids, particularly NSAIDs in the PAG-RVM downstream circuit in the acute effect of and the development of tolerance to both types of analgesics. On the other hand, our data confirm the results of other authors that NSAIDs are in close relation with endogenous opioids and the tolerance to these non-opioid drugs probably depends on opioid tolerance.",M1
20403936,"<e>Tolerance</e> and withdrawal from prolonged opioid use in critically ill children.OBJECTIVE: After prolonged opioid exposure, children develop opioid-induced hyperalgesia, tolerance, and withdrawal. Strategies for prevention and management should be based on the mechanisms of opioid tolerance and withdrawal. PATIENTS AND METHODS: Relevant manuscripts published in the English language were searched in Medline by using search terms  opioid,   opiate,   sedation,   analgesia,   child,   infant-newborn,   tolerance,   dependency,   withdrawal,   analgesic,   receptor,  and  individual opioid drugs.  Clinical and preclinical studies were reviewed for data synthesis. RESULTS: Mechanisms of opioid-induced hyperalgesia and tolerance suggest important drug- and patient-related risk factors that lead to tolerance and withdrawal. Opioid tolerance occurs earlier in the younger age groups, develops commonly during critical illness, and results more frequently from prolonged intravenous infusions of short-acting opioids. Treatment options include slowly tapering opioid doses, switching to longer-acting opioids, or specifically treating the symptoms of opioid withdrawal. Novel therapies may also include blocking the mechanisms of opioid tolerance, which would enhance the safety and effectiveness of opioid analgesia. CONCLUSIONS: Opioid tolerance and withdrawal occur frequently in critically ill children. Novel insights into opioid receptor physiology and cellular biochemical changes will inform scientific approaches for the use of opioid analgesia and the prevention of opioid tolerance and withdrawal.",M1
20400730,"The role of injection cues in the production of the morphine preexposure effect in taste aversion learning.The attenuation of an LiCl-induced conditioned taste aversion (CTA) by LiCl preexposure is mediated primarily by associative blocking via injection-related cues. Given that preexposure to morphine attenuates morphine-induced CTAs, it was of interest to determine whether injection cues also mediate this effect. Certain morphine-induced behaviors such as analgesic <e>tolerance</e> are controlled associatively, via injection-related cues. Accordingly, animals in the present experiments were preexposed to morphine (or vehicle) every other day for five total exposures, followed by an extinction phase, in which the subjects were given saline injections (or no treatment) for 8 (Experiment 1) or 16 (Experiment 2) consecutive days. All of the animals then received five CTA trials with morphine (or vehicle). The morphine-preexposed animals in Experiment 1 displayed an attenuation of the morphine CTA that was unaffected by extinction saline injections, suggesting that blocking by injection cues during morphine preexposure does not mediate this effect. All of the morphine-preexposed subjects in Experiment 2 displayed a weakened preexposure effect, an effect inconsistent with a selective extinction of drug-associated stimuli. The attenuating effects of morphine preexposure in aversion learning are most likely controlled by nonassociative mechanisms, like drug tolerance.",M1
20397799,"The abuse potential of propofol.CONTEXT: Propofol is a sedative-hypnotic prescription medication that is widely used in anesthesia, long-term sedation, and conscious sedation. It is short acting, effective, and, when used appropriately, safe. It is not a controlled substance by the U.S. Drug Enforcement Administration, suggesting that it has little potential for abuse. The objective of this review was to evaluate the evidence for the abuse potential of propofol. METHODS: A systematic review of the medical literature was performed using the search terms: propofol, Diprivan, abuse, addiction, <e>tolerance</e>, misuse, and withdrawal. Six online literature citation databases and relevant bibliographies were searched for articles. RESULTS: Seventy-two articles were identified for review and 45 were relevant to the topic. These articles described propofol's biochemical and pharmacokinetic mechanisms of action that lend themselves to its abuse, propofol's physical and psychological effects that make it alluring as a recreational drug, the current evidence supporting the possibility of tolerance to and withdrawal from propofol, the risk involved in recreational propofol use, and the evidence supporting current abuse of this medication. We found evidence to support propofol's abuse potential from a pharmacological and experiential standpoint with multiple reports describing tolerance, dependence, withdrawal phenomena, abuse, and death from recreational use. CONCLUSIONS: Propofol has alluring and addictive properties that lend itself to potential recreational abuse and dependence. We recommend that the U.S. Drug Enforcement Administration and other international agencies should consider regulating propofol as a controlled substance.",M1
