@RELATION C0010414_C0010415

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
4075717,"Cerebral torulosis: clinical features and correlation with computed tomography.Cryptococcus neoformans (<e>Torula</e> histolytica) is an uncommon cause of infection in the central nervous system. We review 15 cases from all over Queensland which have presented in the last 6 years. Computed tomography (CT) studies were abnormal in 73.5%, with mass lesions and hydrocephalus being the commonest findings. Notable findings were: the disproportionate severity of clinical signs and symptoms as compared with the CT findings, which often were either normal or demonstrated only small granulomas without significant mass effect, absence of enhancement in granulomas in two cases and observation of calcification during treatment in one patient.",M1
7217419,"Cerebral mass lesions in torulosis demonstrated by computed tomography.Cryptococcus neoformans is an ubiquitous yeast. As a budding type of fungus, it is also known as <e>Torula</e> histolytica and is a common cause of infection of the central nervous system (CNS), particularly in debilitated and immunodeficient patients. We have examined 12 patients with computed tomography who had well documented cryptococcal CNS infection and will review our findings in this paper. Three of these patients had mass lesions, while nine others had a variety of changes such as ventricular dilatation, cortical atrophy, and focal ischemic changes.",M1
6028872,"Cryptococcic (<e>torula</e>) granuloma of the skull. Case report.",M1
5883592,"[On 2 cases of cerebral mycosis caused by <e>Torula</e> hystolitica (Cryptococcus neoformans)]",M1
5837071,"[On 2 cases of encephalic mycosis due to <e>Torula</e> hystolitica (Cryptococcus neoformans)]",M1
5860299,"[On a case of meningo-encephalitis due to Cryptococcus neoformans (<e>Torula</e> histolytica)]",M1
14172402,"THE ISOLATION OF CRYPTOCOCCUS NEOFORMANS (<e>TORULA</e> HISTOLYTICA) FROM SOIL IN NEW GUINEA AND PIGEON DROPPINGS IN SYDNEY, NEW SOUTH WALES.",M1
14064333,"A TEST FOR SPINAL-FLUID ALCOHOL IN <e>TORULA</e> MENINGITIS.",M1
13992597,"All-vegetable protein mixtures for human feeding. X. Effect of <e>Torula</e> yeast on the protein quality of INCAP Vegetable Mixture 9.",M1
13724404,"Granulomatous prostatitis due to Cryptococcus neoformans (<e>Torula</e>) with disseminated cryptococcosis and meningitis.",M1
13797035,"Amphotericin B therapy in <e>torula</e> meningitis.",M1
14436095,"Cryptococcal (<e>torula</e>) meningitis: case report.",M1
13857304,"<e>TORULA</e> meningitis treated with amphotericin B.",M1
13645433,"[Blastomycosis due to Cryptococcus neoformans (<e>Torula</e> histolytica) in Argentina.]",M1
13542318,"<e>Torula</e> histolytica (Cryptococcus neoformans) granuloma of the lung treated by pulmonary resection.",M1
13598162,"[Observations on cerebral granuloma caused by blastomycetes (<e>Torula</e> or Cryptococcus de-formans).]",M1
13528363,"[Histopathological study of <e>Torula</e> histolytica (Cryptococcus neoformans) infection of nerve centers &amp; viscera.]",M1
13430963,"Cryptococcal (<e>Torula</e>) meningitis in New Zealand; a report of four cases.",M1
13453216,"[Meningitis caused by <e>Torula</e> histolytica.]",M1
13330132,"<e>Torula</e> meningitis; report of a case.",M1
14382725,"[Meningo-encephalitis caused by <e>Torula</e> in an infant.]",M1
13254159,"[Case of meningoencephalitis caused by <e>Torula</e> histolytica.]",M1
13175273,"A case of cryptococcus (<e>torula</e>) meningitis treated with ethyl vanillate.",M1
14381937,"Intraventricular <e>Torula</e> granuloma.",M1
13145519,"[Meningitis due to Cryptococcus neoformans (<e>Torula</e> histolytica); a new case with rapid development.]",M1
13186497,"[A case of osseous <e>Torula</e> mycosis.]",M1
12994188,"[Cerebral <e>Torula</e> histolytica.]",M1
14933735,"Cryptococcic (<e>torula</e>) meningoencephalitis.",M1
14841084,"Cryptococcus (<e>torula</e>) meningitis; report of two cases.",M1
14890231,"<e>Torula</e> granuloma of the lung.",M1
12988920,"[Pathology of the <e>torula</e> infection.]",M1
14905860,"<e>Torula</e> infection of the central nervous system; report of two cases with a brief review of the literature.",M1
14854413,"[<e>Torula</e> meningo-encephalitis (Cryptococcus neoformans).]",M1
15420550,"The clinical picture associated with infections due to Cryptococcus neoformans (<e>Torula</e> histolytica); report of 3 cases with some experimental studies.",M1
