@RELATION C0041703_C0041618

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20627988,"<e>US</e> presidential ethics commission grapples with synthetic biology.",M1
20624829,"<e>US</e> puts hospital comparison data on website to help patients.",M1
20614645,"Setting the time and place for a hearing before an administrative law judge. Final rules.We are amending our rules to state that our agency is responsible for setting the time and place for a hearing before an administrative law judge (ALJ). This change creates a 3-year pilot program that will allow <e>us</e> to test this new authority. Our use of this authority, consistent with due process rights of claimants, may provide us with greater flexibility in scheduling both in-person and video hearings, lead to improved efficiency in our hearing process, and reduce the number of pending hearing requests. This change is a part of our broader commitment to maintaining a hearing process that results in accurate, high-quality decisions for claimants.",M1
20606150,"Tight blood pressure control and cardiovascular outcomes among hypertensive patients with diabetes and coronary artery disease.CONTEXT: Hypertension guidelines advocate treating systolic blood pressure (BP) to less than 130 mm Hg for patients with diabetes mellitus; however, data are lacking for the growing population who also have coronary artery disease (CAD). OBJECTIVE: To determine the association of systolic BP control achieved and adverse cardiovascular outcomes in a cohort of patients with diabetes and CAD. DESIGN, SETTING, AND PATIENTS: Observational subgroup analysis of 6400 of the 22,576 participants in the International Verapamil SR-Trandolapril Study (INVEST). For this analysis, participants were at least 50 years old and had diabetes and CAD. Participants were recruited between September 1997 and December 2000 from 862 sites in 14 countries and were followed up through March 2003 with an extended follow-up through August 2008 through the National Death Index for <e>US</e> participants. INTERVENTION: Patients received first-line treatment of either a calcium antagonist or beta-blocker followed by angiotensin-converting enzyme inhibitor, a diuretic, or both to achieve systolic BP of less than 130 and diastolic BP of less than 85 mm Hg. Patients were categorized as having tight control if they could maintain their systolic BP at less than 130 mm Hg; usual control if it ranged from 130 mm Hg to less than 140 mm Hg; and uncontrolled if it was 140 mm Hg or higher. MAIN OUTCOME MEASURES: Adverse cardiovascular outcomes, including the primary outcomes which was the first occurrence of all-cause death, nonfatal myocardial infarction, or nonfatal stroke. RESULTS: During 16,893 patient-years of follow-up, 286 patients (12.7%) who maintained tight control, 249 (12.6%) who had usual control, and 431 (19.8%) who had uncontrolled systolic BP experienced a primary outcome event. Patients in the usual-control group had a cardiovascular event rate of 12.6% vs a 19.8% event rate for those in the uncontrolled group (adjusted hazard ratio [HR], 1.46; 95% confidence interval [CI], 1.25-1.71; P &lt; .001). However, little difference existed between those with usual control and those with tight control. Their respective event rates were 12.6% vs 12.7% (adjusted HR, 1.11; 95% CI, 0.93-1.32; P = .24). The all-cause mortality rate was 11.0% in the tight-control group vs 10.2% in the usual-control group (adjusted HR, 1.20; 95% CI, 0.99-1.45; P = .06); however, when extended follow-up was included, risk of all-cause mortality was 22.8% in the tight control vs 21.8% in the usual control group (adjusted HR, 1.15; 95% CI, 1.01-1.32; P = .04). CONCLUSION: Tight control of systolic BP among patients with diabetes and CAD was not associated with improved cardiovascular outcomes compared with usual control. TRIAL REGISTRATION: clinicaltrials.gov Identifier: NCT00133692.",M1
20606149,"Survival differences following lung transplantation among <e>US</e> transplant centers.CONTEXT: Although case loads vary substantially among US lung transplant centers, the impact of center effects on patient outcomes following lung transplantation is unknown. OBJECTIVE: To assess variability in long-term survival following lung transplantation among US lung transplant centers. DESIGN, SETTING, AND PATIENTS: Analysis of data from the United Network for Organ Sharing registry for 15,642 adult patients undergoing lung transplantation between 1987 and 2009 in 61 US transplantation centers still active in 2008. MAIN OUTCOME MEASURES: Mixed-effect Cox models were fitted to assess survival following lung transplantation at individual centers. RESULTS: In 2008, 19 centers (31.1%) performed between 1 and 10 lung transplantations; 18 centers (29.5%), from 11 to 25 transplantations; 20 centers (32.8%), from 26 to 50 transplantations; and 4 centers (6.6%), more than 50 transplantations. One-month, 1-year, 3-year, and 5-year survival rates among all 61 centers were 93.4% (95% confidence interval [CI], 93.0% to 93.8%), 79.7% (95% CI, 79.1% to 80.4%), 63.0% (95% CI, 62.2% to 63.8%), and 49.5% (95% CI, 48.6% to 50.5%), respectively. Characteristics of donors, recipients, and surgical techniques varied substantially among centers. After adjustment for these factors, marked variability remained among centers, with hazard ratios for death ranging from 0.70 (95% CI, 0.59 to 0.82) to 1.71 (95% CI, 1.36 to 2.14) for low- vs high-risk centers, for 5-year survival rates of 30.0% to 61.1%. Higher lung transplantation volumes were associated with improved long-term survival and accounted for 15% of among-center variability; however, variability in center performance remained significant after controlling for procedural volume (P &lt; .001). CONCLUSIONS: Center-specific variation in survival following lung transplantation was only partly associated with procedural volume. However, other statistically significant sources of variability remain to be identified.",M1
20605887,"<e>US</e> new drug applications increasingly rely on trials conducted abroad.",M1
20605883,"<e>US</e> teaching hospitals must address conflicts of interest, leadership group says.",M1
20596042,"Human embryonic stem cell research in the <e>US</e>: time for change?",M1
20595532,"Two countries divided by a common language: health systems in the UK and USA.Despite the historic significance of the healthcare reform bill that was passed into law by President Obama in March 2010, the debate still rages. The UK National Health Service (NHS) has featured prominently in the current American debate on healthcare reform, with critics calling attention to its perceived shortcomings. Some of these, such as the existence of 'death panels', can easily be dismissed, but others, such as the cancer survival deficit, cannot. This paper reviews the evidence on outcomes from cancer and other chronic non-communicable diseases, the two leading causes of death in both countries. The headline figures showing better cancer survival in the USA are exaggerated by methodological issues, but a gap remains, due in large part to better outcomes among older people. Outcomes among younger people with chronic disease are, however, much worse in the USA. Paradoxically, given the nature of the debate in the USA so far, those parts of the <e>US</e> health system that get the best results, such as the Veterans' Administration, or the elderly on Medicare, are those that most closely resemble the British NHS - but which are funded somewhat more generously.",M1
20587559,"More <e>US</e> doctors are refusing to accept government insured patients.",M1
