@RELATION C0018827_C0007799

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20464819,"Ventricular chamber sphericity during spaceflight and parabolic flight intervals of less than 1 G.INTRODUCTION: Pathology driven alterations in the geometric shape of the heart have been found to result in regional changes in ventricular wall stress and a remodeling of the myocardium. If reductions in the gravitational forces acting on the heart produce similar changes in the overall contour of the <e>ventricles</e>, this modification might also induce adaptations in the cardiac structure during long-term spaceflight. In this study we examined the changes in left ventricle (LV) shape in spaceflight and during parabolic flights. METHODS: The diastole dimensions of the human LV were assessed with echocardiography during spaceflight and in parabolic flights which replicated the gravity of the Moon, Mars, and spaceflight and were compared to findings in Earth's gravity. LV dimensions were translated into circularity indices and geometric aspect ratios and correlated with their corresponding gravitational conditions. RESULTS: During parabolic flight, a linear relationship (r = 0.99) was found between both the circularity index and geometric aspect ratio values and the respective gravitational fields in which they were measured. During spaceflight (N = 4) and parabolic flights (N = 3), there was an average 4.1 and 4.4% higher circularity index and a 5.3 and 8.1% lower geometric aspect ratio, respectively. CONCLUSIONS: A correlative trend was found between the degree of LV sphericity and the amount of gravitational force directed caudal to the longitudinal orientation of the body. The importance of this finding is uncertain, but may have implications regarding physiologic adaptations in the myocardial structure secondary to changes in LV wall stress upon prolonged exposure to microgravity.",M1
20459418,"[Changes of repolarization properties of the right ventricle in hypertensive left ventricular hypertrophy]Repolarization properties of left ventricular (LV) myocardium change during its hypertrophy of various genesis. Aim of this work was to study repolarization of epicardial surface of the right ventricle (RV) in experimental model of LV hypertrophy caused by renovascular hypertension in rats. We registered 32 unipolar electrograms on the surface of cardiac <e>ventricles</e> and calculated duration of activation recovery intervals for assessment of repolarization. In hypertensive rats relative LV mass was 26% greater than in control rats, while relative mass of RV was similar in both groups. Length of activation recovery intervals in hypertension was 1.7 times greater than in control group on both LV and RV surfaces. Dispersion of activation recovery intervals did not differ significantly between groups. Thus in LV hypertrophy in rats caused by renovascular hypertension electrical remodeling of myocardium occurs not only in left but also in right ventricle.",M1
20459400,"[Right ventricular remodeling after myocardial infarctions of different location]AIM: To study dynamic dimensional and functional changes of both <e>ventricles</e> after myocardial infarctions (MI) of different locations. MATERIAL AND METHODS: Patients with first acute ST elevation MI (n=180) were distribution to 3 groups: anterior (AMI), inferior (IMI), and posterolateral (PLMI). EchoCG dimensional parameters of LV and RV as well as functional two dimensional EchoCG, flow and tissue doppler parameters were measured on days 7, 90 and after 1 year of follow up to reveal systolic or diastolic dysfunction of both chambers. RESULTS: After 1 year of follow up significant LV remodeling with systolic and diastolic dysfunction was observed in AMI compared with IMI and PLMI. Pronounced RV remodeling was revealed in acute stage of IMI, compared with AMI and PLMI. Dynamic follow up showed reversed RV remodeling in IMI with relative restoration of systolic and diastolic parameters, and progressive RV remodeling in AMI with significant systolic and diastolic dysfunction compared with IMI and PLMI. CONCLUSION: Thus, dynamic structural and functional changes occurr in both ventricles and depend on Ml site, with most ventricular compromise in AMI due to asynergy of the septum, as common ventricular wall plays major role in RV performance.",M1
20451696,"Significance of mechanical alterations in single ventricle patients on twisting and circumferential strain as determined by analysis of strain from gradient cine magnetic resonance imaging sequences.Preliminary speckle-tracking echocardiographic studies show that patients with single <e>ventricles</e> (SVs) have significantly decreased twisting and dyssynchrony of twisting. This could be related to abnormal cardiac looping, which leads to hearts that lack helical fiber patterns. The aim of this study was to analyze gradient cine magnetic resonance imaging (MRI) using Velocity Vector Imaging to assess cardiac mechanics. Subjects were 38 patients (aged 8 to 37 years) with SVs of left ventricular (n = 30) and indeterminate (n = 8) type who underwent cardiac MRI. Controls were 14 normal children and adults. Gradient cine MRI sequences close to the apex were subjected to a Velocity Vector Imaging analysis program adapted for MRI. In the control group, mean circumferential strain was -18.02 +/- 7.31%, mean dispersion of peak circumferential strain was 44.23 +/- 37.14 ms, and average rotation was -7.7 +/- 1.38 degrees . The rotation values were negative, or counterclockwise. In patients with SVs, mean circumferential strain was -8.87 +/- 7.30%, mean dispersion of peak circumferential strain was 181.55 +/- 76.07 ms, and average rotation was -2.6 +/- 1.24 degrees (p &lt;0.001). Mean dispersion of the peak of rotation in the control group was 39.6 +/- 22.8 ms, compared to 166.5 +/- 72.4 ms in patients with SVs. In conclusion, this study showed a dramatic decrease in apical rotation and circumferential strain in the SV group compared to the control group. Strain and rotation mechanics at the apex in patients with SVs showed marked dyssynchrony.",M1
20412480,"Neurodevelopmental outcomes in infants after surgery for congenital heart disease: a comparison of single-ventricle vs. two-ventricle physiology.INTRODUCTION: The neurodevelopmental outcome of children with repaired congenital heart defect has risen in importance with improved survival. This study compares neurodevelopmental outcomes of children who had CHD with single ventricle physiology with those who had CHD with two-ventricle physiology. PATIENTS AND METHODS: Participants included 112 infants discharged from the NICU between February 1999 to August 2006. The 12 infants who had a known genetic defect were excluded. Of the 100 infants 26 had single ventricle physiology and 74 had CHD with two-ventricle physiology. The children were seen in a follow-up clinic and growth parameters and standardized instruments were used to evaluate development. The referral rate to early intervention services was also compared. RESULTS: The number of functional <e>ventricles</e> did not significantly differentiate growth parameters at 6-8 months of age. Early cognitive outcomes were relatively unimpaired in both the groups (single ventricle vs. two ventricle physiology). Early motor outcomes were worse in (p &lt; 0.05) CHD with single ventricle physiology. The rate of referral for early intervention services was high in both groups compared to the average rate of referral in the state, but there was not a significant difference between the CHD groups. CONCLUSION: Significant differences noted on motor outcomes at the 6-8 month visit were no longer apparent in later visits. Referral to early intervention services is high in both the groups. These findings are important to those caring for infants with CHD because many of these patients may need referral for early intervention.",M1
20379051,"Manageability of acute severe heart failure complicated with left ventricular thrombosis during therapy for breast cancer.Trastuzumab-related cardiac dysfunction may be manageable and completely reversible with suitable cardiac medication, allowing optimal breast cancer treatment to continue. We present the case of a 42-year-old woman who developed severe systolic left ventricular failure with impaired contractility of the right ventricle, pulmonary hypertension, and clots in the left ventricular cavity during adjuvant treatment for breast cancer. The patient was initially diagnosed with early breast cancer and underwent surgery on her left breast. She received 6 cycles of anthracycline chemotherapy followed by radiation therapy in the left breast area, then 5 cycles of trastuzumab. After the fifth cycle of trastuzumab, she experienced dyspnoea and leg edema. Fluid was detected in the pleural cavities but no lung metastases were identified. Echocardiography was performed, revealing a severely reduced left ventricular ejection fraction (10%) with impaired contractility of the right ventricle and pulmonary hypertension. Standard medication for heart failure resulted in complete recovery of normal systolic and diastolic function of the left and right <e>ventricles</e>. The combination of low molecular weight heparin and acetylsalicylic acid completely resolved the thrombotic complications. The patient regained her full range of social, occupational, and family activities. This case study is the first to demonstrate the manageability and reversibility of trastuzumab-related cardiac complications in a patient who had developed severe heart failure complicated with left ventricular thrombosis during sequential anthracycline and trastuzumab therapy for breast cancer. The findings contradict other opinions that trastuzumab-related acute heart failure is analogous to stunning or hibernation and recovers without specific cardiac treatment.",M1
20304145,"Ventricular restraint therapy for heart failure: the right ventricle is different from the left ventricle.OBJECTIVE: Effects of ventricular restraint on the left ventricle are well documented, but effects on the right ventricle are not. We hypothesized that restraint affects the right and left <e>ventricles</e> differently. METHODS: We studied acute effects of restraint on left and right ventricular mechanics in healthy sheep (n = 14) with our previously described technique of adjustable and measurable restraint. Transmural pressure, myocardial oxygen consumption indices, diastolic compliance, and end-systolic elastance were assessed at 4 restraint levels for both ventricles. We then studied long-term effects of restraint for 4 months in an ovine model of ischemic dilated cardiomyopathy (n = 6). Heart failure was induced by coronary artery ligation, and polypropylene mesh was wrapped around the heart to simulate clinical restraint therapy. All subjects were followed up with serial cardiac magnetic resonance imaging to assess left and right ventricular volumes and function. RESULTS: Restraint decreased left ventricular transmural pressure (P &lt; .03) and myocardial oxygen consumption indices (P &lt; .05) but not left ventricular diastolic compliance (P = .52). Restraint had no effect on right ventricular transmural pressure (P = .82) or myocardial oxygen consumption indices (P = .72) but reduced right ventricular diastolic compliance (P &lt; .01). In long-term studies, restraint led to reverse left ventricular remodeling with decreased left ventricular end-diastolic volume (P &lt; .006) but did not affect right ventricular end-diastolic volume (P = .82). CONCLUSIONS: Ventricular restraint affects the left and right ventricles differently. Benefits of restraint for right ventricular function are unclear. The left ventricle can tolerate more restraint than the right ventricle. With current devices, the right ventricle may limit overall therapeutic efficacy.",M1
20228258,"Effects of mechanical loading on early conduction system differentiation in the chick.The primary ring, a horseshoe-shaped structure situated between the left and right ventricle and connected superiorly to the atrioventricular canal, is the first specialized fast ventricular conduction pathway in the embryonic heart. It has been first defined immunohistochemically and is characterized as a region of slow myocyte proliferation. Recent studies have shown that it participates in spreading the ventricular electrical activation during stages preceding ventricular septation in the mouse, chick, and rat. Here we demonstrate its presence using optical mapping in chicks between embryonic days (ED) 3-5. We then tested the effects of hemodynamic unloading in the organ culture system upon its functionality. In ED3 hearts cultured without hemodynamic loading for 24 h, we observed a significant decrease in the percentage activated through the primary ring conduction pathway. A morphological examination revealed arrested growth, collapse, and elongation of the outflow tract and disorganized trabeculation. A similar reversal toward more primitive activation patterns was observed with culture between ED4 and ED5. This phenotype was completely rescued with the artificial loading of the <e>ventricles</e> with a droplet of silicone oil. We conclude that an appropriate loading is required during the early phases of the conduction system formation and maturation.",M1
20197490,"Self-beating atypically shaped cardiomyocytes survive a long-term postnatal development while preserving the expression of fetal cardiac genes in mice.The present study was designed to examine the postnatal developmental changes of atypically shaped cardiomyocytes (ACMs) prepared from the heart of newborn [postnatal day 1 (day-1)] through aged (12-month-old) mice. ACMs were identified as a novel type of self-beating cardiomyocyte with a peculiar morphology in mouse cardiac <e>ventricles</e>. The cell length of ACMs significantly increased during the first three postnatal months and further increased over the following 9 months. In contrast, the population of ACMs was significantly decreased within the first 5 weeks and reached a plateau in the adult stage. ACMs obtained from newborn and adult mice exhibited similar spontaneous action potentials. The expression of the fetal cardiac gene products atrial natriuretic peptide and voltage-gated T-type Ca(2+) channel Ca(V)3.2 was confirmed by immunostaining in ACMs obtained from both newborn and aged mice. These observations provide evidence that ACMs that exhibit spontaneous beating survive the long-term postnatal development of cardiac ventricles while preserving the expression of fetal cardiac genes. This manuscript contains online supplemental material at http://www.jhc.org. Please visit this article online to view these materials.",M1
20190098,"Heterogeneous ventricular sympathetic innervation, altered beta-adrenergic receptor expression, and rhythm instability in mice lacking the p75 neurotrophin receptor.Sympathetic nerves stimulate cardiac function through the release of norepinephrine and the activation of cardiac beta(1)-adrenergic receptors. The sympathetic innervation of the heart is sculpted during development by chemoattractive factors including nerve growth factor (NGF) and the chemorepulsive factor semaphorin 3a. NGF acts through the TrkA receptor and the p75 neurotrophin receptor (p75(NTR)) in sympathetic neurons. NGF stimulates sympathetic axon extension into the heart through TrkA, but p75(NTR) modulates multiple coreceptors that can either stimulate or inhibit axon outgrowth. In mice lacking p75(NTR), the sympathetic innervation density in target tissues ranges from denervation to hyperinnervation. Recent studies have revealed significant changes in the sympathetic innervation density of p75NTR-deficient (p75(NTR-/-)) atria between early postnatal development and adulthood. We examined the innervation of adult p75(NTR-/-) <e>ventricles</e> and discovered that the subendocardium of the p75(NTR-/-) left ventricle was essentially devoid of sympathetic nerve fibers, whereas the innervation density of the subepicardium was normal. This phenotype is similar to that seen in mice overexpressing semaphorin 3a, and we found that sympathetic axons lacking p75(NTR) are more sensitive to semaphorin 3a in vitro than control neurons. The lack of subendocardial innervation was associated with decreased dP/dt, altered cardiac beta(1)-adrenergic receptor expression and sensitivity, and a significant increase in spontaneous ventricular arrhythmias. The lack of p75(NTR) also resulted in increased tyrosine hydroxylase content in cardiac sympathetic neurons and elevated norepinephrine in the right ventricle, where innervation density was normal.",M1
