@RELATION C0258432_C0043041

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20182458,"<e>WASP</e>: a key immunological multitasker.The Wiskott-Aldrich syndrome protein (WASP) is an important regulator of the actin cytoskeleton that is required for many haematopoietic and immune cell functions, including effective migration, phagocytosis and immune synapse formation. Loss of WASP activity leads to Wiskott-Aldrich syndrome, an X-linked disease that is associated with defects in a broad range of cellular processes, resulting in complex immunodeficiency, autoimmunity and microthrombocytopenia. Intriguingly, gain of function mutations cause a separate disease that is mainly characterized by neutropenia. Here, we describe recent insights into the cellular mechanisms of these two related, but distinct, human diseases and discuss their wider implications for haematopoiesis, immune function and autoimmunity.",M1
20159256,"Revertant T lymphocytes in a patient with Wiskott-Aldrich syndrome: analysis of function and distribution in lymphoid organs.BACKGROUND: The Wiskott-Aldrich syndrome (WAS) is a rare genetic disease characterized by thrombocytopenia, immunodeficiency, autoimmunity, and hematologic malignancies. Secondary mutations leading to re-expression of WAS protein (<e>WASP</e>) are relatively frequent in patients with WAS. OBJECTIVE: The tissue distribution and function of revertant cells were investigated in a novel case of WAS gene secondary mutation. METHODS: A vast combination of approaches was used to characterize the second-site mutation, to investigate revertant cell function, and to track their distribution over a 18-year clinical follow-up. RESULTS: The WAS gene secondary mutation was a 4-nucleotide insertion, 4 nucleotides downstream of the original deletion. This somatic mutation allowed the T-cell-restricted expression of a stable, full-length WASP with a 3-amino acid change compared with the wild-type protein. WASP(+) T cells appeared early in the spleen (age 10 years) and were highly enriched in a mesenteric lymph node at a later time (age 23 years). Revertant T cells had a diversified T-cell-receptor repertoire and displayed in vitro and in vivo selective advantage. They proliferated and produced cytokines normally on T-cell-receptor stimulation. Consistently, the revertant WASP correctly localized to the immunologic synapse and to the leading edge of migrating T cells. CONCLUSION: Despite the high proportion of functional revertant T cells, the patient still has severe infections and autoimmune disorders, suggesting that re-expression of WASP in T cells is not sufficient to normalize immune functions fully in patients with WAS.",M1
20130240,"Impaired NK-cell migration in WAS/XLT patients: role of Cdc42/<e>WASp</e> pathway in the control of chemokine-induced beta2 integrin high-affinity state.We analyzed the involvement of Wiskott-Aldrich syndrome protein (WASp), a critical regulator of actin cytoskeleton remodeling, in the control of natural killer (NK)-cell migration. NK cells derived from patients with Wiskott-Aldrich syndrome/X-linked thrombocytopenia (WAS/XLT), carrying different mutations in the WASP coding gene, displayed reduced migration through intercellular adhesion molecule-1 (ICAM-1), vascular cell adhesion molecule-1 (VCAM-1), or endothelial cells in response to CXCL12/stromal cell-derived factor-1 and CX3CL1/fractalkine. Inhibition of WAS/XLT NK-cell migration was associated with reduced ability of these cells to up-regulate the expression of CD18 activation neoepitope and to adhere to ICAM-1 or VCAM-1 following chemokine stimulation. Moreover, chemokine receptor or beta1 or beta2 integrin engagement on NK cells rapidly resulted in Cdc42 activation and WASp tyrosine phosphorylation as well as in WASp association with Fyn and Pyk-2 tyrosine kinases. NK-cell pretreatment with wiskostatin, to prevent Cdc42/WASp association, impaired chemokine-induced NK-cell migration through ICAM-1 and beta2 integrin activation-dependent neoepitope expression. These results show that the Cdc42/WASp pathway plays a crucial role in the regulation of NK-cell migration by acting as a critical component of the chemokine-induced inside-out signaling that regulates lymphocyte function-associated antigen-1 function and suggest that after integrin or chemokine receptor engagement WASp function is regulated by the coordinate action of both Cdc42 and tyrosine kinases.",M1
20129922,"Mechanism of aldolase control of sorting nexin 9 function in endocytosis.Sorting nexin 9 (SNX9) functions in a complex with the GTPase dynamin-2 at clathrin-coated pits, where it provokes fission of vesicles to complete endocytosis. Here the SNX9.dynamin-2 complex binds to clathrin and adapter protein complex 2 (AP-2) that line these pits, and this occurs through interactions of the low complexity domain (LC4) of SNX9 with AP-2. Intriguingly, localization of the SNX9.dynamin-2 complex to clathrin-coated pits is blocked by interactions with the abundant glycolytic enzyme aldolase, which also binds to the LC4 domain of SNX9. The crystal structure of the LC4 motif of human SNX9 in complex with aldolase explains the biochemistry and biology of this interaction, where SNX9 binds near the active site of aldolase via residues 165-171 that are also required for the interactions of SNX9 with AP-2. Accordingly, SNX9 binding to aldolase is structurally precluded by the binding of substrate to the active site. Interactions of SNX9 with aldolase are far more extensive and differ from those of the actin-nucleating factor <e>WASP</e> with aldolase, indicating considerable plasticity in mechanisms that direct the functions of the aldolase as a scaffold protein.",M1
20123155,"Somatic mosaicism in the Wiskott-Aldrich syndrome: molecular and functional characterization of genotypic revertants.The reasons underlying the occurrence of multiple revertant genotypes in Wiskott-Aldrich syndrome (WAS) patients remain unclear. We have identified more than 30 revertant genotypes in a C995T WAS patient having 10-15% revertant, WAS protein (<e>WASp</e>)-expressing circulating lymphocytes. Of 497 allospecific T-cell clones generated from the peripheral blood, 47.1% carried a revertant sequence. All revertant T-cell clones exhibited restoration of WASp expression. However, anti-CD3-induced proliferative responses varied greatly amongst revertants. Several revertant T-cell clones expressed an internally deleted WASp mutant lacking much of the proline-rich region. This potentially accounts for the reduced anti-CD3 proliferative responses of these T-cell clones. We found no evidence for an increased DNA mutation rate in this patient. We conclude that the diversity of revertant genotypes in our patient does not result from an extraordinary mutation rate and that the amino acid sequence space explored by WASp in revertant T-cells is significantly smaller than might have been predicted from the diversity of revertant genotypes.",M1
20071778,"Neural Wiskott-Aldrich syndrome protein modulates Wnt signaling and is required for hair follicle cycling in mice.The Rho family GTPases Cdc42 and Rac1 are critical regulators of the actin cytoskeleton and are essential for skin and hair function. Wiskott-Aldrich syndrome family proteins act downstream of these GTPases, controlling actin assembly and cytoskeletal reorganization, but their role in epithelial cells has not been characterized in vivo. Here, we used a conditional knockout approach to assess the role of neural Wiskott-Aldrich syndrome protein (N-<e>WASP</e>), the ubiquitously expressed Wiskott-Aldrich syndrome-like (WASL) protein, in mouse skin. We found that N-WASP deficiency in mouse skin led to severe alopecia, epidermal hyperproliferation, and ulceration, without obvious effects on epidermal differentiation and wound healing. Further analysis revealed that the observed alopecia was likely the result of a progressive and ultimately nearly complete block in hair follicle (HF) cycling by 5 months of age. N-WASP deficiency also led to abnormal proliferation of skin progenitor cells, resulting in their depletion over time. Furthermore, N-WASP deficiency in vitro and in vivo correlated with decreased GSK-3beta phosphorylation, decreased nuclear localization of beta-catenin in follicular keratinocytes, and decreased Wnt-dependent transcription. Our results indicate a critical role for N-WASP in skin function and HF cycling and identify a link between N-WASP and Wnt signaling. We therefore propose that N-WASP acts as a positive regulator of beta-catenin-dependent transcription, modulating differentiation of HF progenitor cells.",M1
20071330,"The p40/ARPC1 subunit of Arp2/3 complex performs multiple essential roles in <e>WASp</e>-regulated actin nucleation.The Arp2/3 complex is a conserved seven-subunit actin-nucleating machine activated by WASp (Wiskott Aldrich syndrome protein). Despite its central importance in a broad range of cellular processes, many critical aspects of the mechanism of the Arp2/3 complex have yet to be resolved. In particular, some of the individual subunits in the complex have not been assigned clear functional roles, including p40/ARPC1. Here, we dissected the structure and function of Saccharomyces cerevisiae p40/ARPC1, which is encoded by the essential ARC40 gene, by analyzing 39 integrated alleles that target its conserved surfaces. We identified three distinct sites on p40/ARPC1 required for function in vivo: one site contacts p19/ARPC4, one contacts p15/ARPC5, and one site resides in an extended structural  arm  of p40/ARPC1. Using a novel strategy, we purified the corresponding lethal mutant Arp2/3 complexes from yeast and compared their actin nucleation activities. Lethal mutations at the contact with p19/ARPC4 specifically impaired WASp-induced nucleation. In contrast, lethal mutations at the contact with p15/ARPC5 led to unregulated ( leaky ) nucleation in the absence of WASp. Lethal mutations in the extended arm drastically reduced nucleation, and the same mutations disrupted the ability of the purified p40/ARPC1 arm domain to bind the VCA domain of WASp. Together, these data indicate that p40/ARPC1 performs at least three distinct, essential functions in regulating Arp2/3 complex-mediated actin assembly: 1) suppression of spontaneous nucleation by the Arp2/3 complex, which requires proper contacts with p15/ARPC5; 2) propagation of WASp activation signals via contacts with p19/ARPC2; and 3) direct facilitation of actin nucleation through interactions of the extended arm with the VCA domain of WASp.",M1
20032499,"Critical requirement for the Wiskott-Aldrich syndrome protein in Th2 effector function.Patients with Wiskott-Aldrich syndrome (WAS) have numerous immune cell deficiencies, but it remains unclear how abnormalities in individual cell types contribute to the pathologies of WAS. In T cells, the WAS protein (<e>WASp</e>) regulates actin polymerization and transcription, and plays a role in the dynamics of the immunologic synapse. To examine how these events influence CD4 function, we isolated the WASp deficiency to CD4(+) T cells by adoptive transfer into wild-type mice to study T-cell priming and effector function. WAS(-/-) CD4(+) T cells mediated protective T-helper 1 (Th1) responses to Leishmania major in vivo, but were unable to support Th2 immunity to Nippostrongylus brasiliensis or L major. Mechanistically, WASp was not required for Th2 programming but was required for Th2 effector function. WAS(-/-) CD4(+) T cells up-regulated IL-4 and GATA3 mRNA and secreted IL-4 protein during Th2 differentiation. In contrast, cytokine transcription was uncoupled from protein production in WAS(-/-) Th2-primed effectors. WAS(-/-) Th2s failed to produce IL-4 protein on restimulation despite elevated IL-4/GATA3 mRNA. Moreover, dominant-negative WASp expression in WT effector T cells blocked IL-4 production, but had no effect on IFNgamma. Thus WASp plays a selective, posttranscriptional role in Th2 effector function.",M1
20008191,"New insights into the biology of Wiskott-Aldrich syndrome (WAS).The Wiskott-Aldrich syndrome (WAS) is an X-linked immunodeficiency disease with a characteristic clinical phenotype that includes thrombocytopenia with small platelets, eczema, recurrent infections due to immunodeficiency, and an increased incidence of autoimmune manifestations and malignancies. The identification of the molecular defect in the WAS gene has broadened the clinical spectrum of disease to include chronic or intermittent X-linked thrombocytopenia (XLT), a relatively mild form of WAS, and X-linked neutropenia (XLN) due to an arrest of myelopoiesis. The pathophysiological mechanisms relate to defective actin polymerization in hematopoietic cells as a result of deficient or dysregulated activity of the WAS protein (<e>WASp</e>). The severity of disease is variable and somewhat predictable from genotype. Treatment strategies therefore range from conservative through to early definitive intervention by using allogeneic hematopoietic stem cell transplantation and potentially somatic gene therapy. All aspects of the condition from clinical presentation to molecular pathology and basic cellular mechanisms have been reviewed recently.",M1
19962315,"The F-BAR protein Syp1 negatively regulates <e>WASp</e>-Arp2/3 complex activity during endocytic patch formation.BACKGROUND: Actin polymerization by Arp2/3 complex must be tightly regulated to promote clathrin-mediated endocytosis. Although many Arp2/3 complex activators have been identified, mechanisms for its negative regulation have remained more elusive. To address this, we analyzed the yeast arp2-7 allele, which is biochemically unique in causing unregulated actin assembly in vitro in the absence of Arp2/3 activators. RESULTS: We examined endocytosis in arp2-7 mutants by live-cell imaging of Sla1-GFP, a coat marker, and Abp1-RFP, which marks the later actin phase of endocytosis. Sla1-GFP and Abp1-RFP lifetimes were accelerated in arp2-7 mutants, which is opposite to actin nucleation-impaired arp2 alleles or deletions of Arp2/3 activators. We performed a screen for multicopy suppressors of arp2-7 and identified SYP1, an FCHO1 homolog, which contains F-BAR and AP-2micro homology domains. Overexpression of SYP1 in arp2-7 cells slowed Sla1-GFP lifetimes closer to wild-type cells. Further, purified Syp1 directly inhibited Las17/WASp stimulation of Arp2/3 complex-mediated actin assembly in vitro. This activity was mapped to a fragment of Syp1 located between its F-BAR and AP-2micro homology domains and depends on sequences in Las17/WASp outside of the VCA domain. CONCLUSIONS: Together, these data identify Syp1 as a novel negative regulator of WASp-Arp2/3 complex that helps choreograph the precise timing of actin assembly during endocytosis.",M1
