@RELATION C1321571_C0056208

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
19700278,"What is an anesthesiology resident worth?STUDY OBJECTIVE: To determine the cost of replacing an anesthesiology resident with a certified registered nurse anesthetist (<e>CRNA</e>) for equal operating room (OR) work. DESIGN: Retrospective financial analysis. SETTING: Academic anesthesiology department. PARTICIPANTS: Clinical anesthesia (CA)-1 through CA-3 residents. MEASUREMENTS: Cost of replacing anesthesiology residents with CRNAs for equal OR work was determined. MAIN RESULTS: The cost of replacing one anesthesiology resident with a CRNA for the same number of OR hours ranged from $9,940.32 to $43,300 per month ($106,241.68 to $432,937.50 per yr). Numbers varied depending on the CRNA pay scale and whether the calculations were based on the number of OR hours worked at our residency program or OR hours worked in a maximum duty hour model. CONCLUSIONS: A CRNA is paid substantially more per OR hour worked, at all pay levels, than an anesthesiology resident.",M1
19645166,"Betty Lank: a kind and gentle anesthetist devoted to children.Many noted clinicians and educators led the development of nurse anesthesia as a profession during the first half of the 20th century. Betty E. Lank, <e>CRNA</e>, a nurse anesthetist at Children's Hospital Boston, Massachusetts, for 34 years, devoted her professional life to the delivery and advancement of pediatric anesthesia. She is credited with many contributions including the first use of cyclopropane for infant anesthesia, developing pediatric-sized anesthesia masks and ventilation bags, and instituting standards for specialized postanesthesia recovery areas. Lank recorded her anesthesia experiences in various nursing publications and shared her knowledge with colleagues at professional meetings. Her accomplishments make her a notable figure in the early history of pediatric anesthesia, and her dedication helped forge the foundation for anesthesia at Children's Hospital Boston.",M1
19450789,"Demographic profiles of certified nurse-midwives, certified registered nurse anesthetists, and nurse practitioners: reflections on implications for uniform education and regulation.TOPIC: There is wide variability in regulatory authority, basic education requirements, and titling for nurses in advanced practice roles, that is, certified nurse-midwives (CNMs), certified registered nurse anesthetists (<e>CRNAs</e>), and nurse practitioners (NPs). There is current advocacy for a common identity for advanced practice nurses (APNs), including uniform entry into practice requirements (the doctor of nursing practice [DNP]). METHODS: Membership survey data were extracted to generate a contemporary profile of characteristics of these categories of practitioners. RESULTS: The APN groups are similar in age (M = 47-48 years) and race (predominantly Caucasian), with the largest proportions of all groups clustering in the age range of 51-54 years. There are more men in the CRNA group (45%). CNMs have the highest proportion of doctoral degrees (4.7%). CRNAs command the highest annual average salary ($140,000). CONCLUSIONS: Membership survey data can monitor progress toward implementation of proposed educational and regulatory changes. The effect of these proposals on the availability of an experienced APN mentor workforce for DPN students and the availability of an APN workforce for clients remains largely unknown. Standardized indicators of performance and client outcomes may enhance current data collection of membership demographics and enable precise evaluation of outcomes and impact of APN care.",M1
19388507,"New estimates for <e>CRNA</e> vacancies.A national survey to estimate vacancy rates of Certified Registered Nurse Anesthetists (CRNAs) in hospitals and ambulatory surgical centers was conducted in 2007. Poisson regression methods were used to improve the precision of the estimates. A significant increase in the estimated vacancy rate was reported for hospitals relative to an earlier study from 2002, although it is important to note that there were some methodological differences between the 2 surveys explaining part of the increase. Results from this study found the vacancy rate was higher in rural hospitals than in nonrural hospitals, and it was lower in ambulatory surgical centers. A number of simulations were run to predict the effects of relevant changes in the market for surgeries and number of CRNAs, which were compared to the predictions from the previous survey. The remarkable factor since the last survey was the unusually large rate of new CRNAs entering the market, yet the vacancy rates remain relatively high.",M1
19263828,"Perceived deprivation in active duty military nurse anesthetists.There is a shortage of military Certified Registered Nurse Anesthetists (<e>CRNAs</e>). Relative deprivation is a perception of unfairness due to discrepancies between what one has and what one could or should have that is dependent on feelings (subjective data) and facts (objective data). Feelings of relative deprivation could contribute to the military CRNA shortage. The purposes of this study were to measure relative deprivation in active-duty military CRNAs and explore variables that correlate with relative deprivation. The descriptive, correlational study was conducted using a self-administered survey sent to 435 active-duty Army, Navy, and Air Force CRNAs. Surveys were distributed to subjects by mail and could be answered by mail or by secured website. Data were analyzed using descriptive and inferential statistics. Analysis of the data revealed a calculated response rate of 57.7%. There was no significant correlation (P &lt; .05) between years as a CRNA, military pay, promotion opportunity, or scope of practice/autonomy and relative deprivation. Correlations of the psychological factors  wanting  and  deserving  with relative deprivation were significant (P &lt; .001). Further research is indicated to identify definitive factors that can be modified to improve feelings of deprivation as they relate to retention and recruitment of military CRNAs.",M1
18777812,"Attrition in nurse anesthesia educational programs as reported by program directors: the class of 2005.The attrition rate in nurse anesthesia educational programs is of interest to educators and the <e>CRNA</e> profession as an important outcome of the educational process. This study reports the beliefs of program directors about the rate of and reasons for attrition in the cohort graduating in 2005. A survey tool was distributed online to all 101 nurse anesthesia educational program directors. Eight programs were excluded because they had no graduates in 2005. Of the remaining 93 programs, 62 (67%) responded. Of 1,499 students enrolled with a projected graduation in 2005, 135 (9%) did not complete the program. The most common reason for attrition was withdrawal (n = 48), followed by academic dismissal (n = 41), and clinical dismissal (n = 21). The attrition rate for individual programs was 7% +/- 9.1 % (mean +/- 1 SD), ranging from 0% to 41.3%. The median value for program attrition rate was 5.41%. The rate for individual programs was not related to the size of the program or to the length of experience of the program director. Attrition rate was higher in programs of longer duration (r = .27). It was concluded that the attrition rate is low and comparable to that previously reported.",M1
18481374,"MI: Spark ignited oxygen fire during surgery: <e>CRNA</e> settled--anesthesiologist prevailed.",M1
18478811,"Salaries, recruitment, and retention for <e>CRNA</e> faculty--Part 1.",M1
18323317,"<e>CRNA</e> performance using a handheld, computerized, decision-making aid during critical events in a simulated environment: a methodologic inquiry.Directives to improve patient outcomes and enhance safety within the healthcare system have led to development of technologies to assist practitioners in a variety of activities. The purpose of this study was to explore and evaluate a method for examining the effect of computer-assisted decision making (CADM) using a handheld device on the accuracy (ie, correct diagnosis and treatment) and speed of problem solving by Certified Registered Nurse Anesthetists (CRNAs) during simulated critical patient-care events. A randomized crossover design with matched-pair sampling was used. In a high-fidelity human simulation environment, 4 CRNAs participated in 2 plausible critical anesthesia case scenarios. CRNA performance with and without CADM technology, environmental authenticity, and reliability and validity of data collection tools and simulated case scenarios were evaluated. Time to correct diagnosis and treatment varied by scenario, taking less time with CADM for one but more with CADM for the other, likely due to differences in pace, intensity, and conduct of the 2 scenarios. We believe this study supports further exploration and application of CADM in complex patient scenarios involving anesthesia practitioners. Affirmation of environmental authenticity also validates the high-fidelity human simulation environment as an appropriate setting to conduct research in this area.",M1
18323316,"Asystole during laryngoscopy of a patient with pleural and pericardial effusions: a case report.A 53-year-old woman presented to the operating room for surgical correction of pericardial and pleural effusions. Her history included stage IV breast cancer, well-controlled hypertension, and diverticulitis. Although her baseline blood pressure, heart rate, and respirations were normal, she was short of breath with diminished breath sounds on the left side of the lungs and required oxygen, 2 L/min via nasal cannula. The nurse anesthesia student, under the direction of the Certified Registered Nurse Anesthetist (<e>CRNA</e>) and anesthesiologist, induced general anesthesia with etomidate, fentanyl, lidocaine, and succinylcholine. During placement of a double-lumen endotracheal tube, the patient became asystolic. The nurse anesthesia student immediately withdrew the laryngoscope, and the patient returned to normal sinus rhythm. A second attempt at laryngoscopy produced asystole as well. Again, the laryngoscope was withdrawn, and the patient returned to normal sinus rhythm. After resuming ventilation with 100% oxygen and administering atropine, 0.4 mg, the next intubation was successful, producing no untoward effects. Reintubation at the end of the case with a single lumen endotracheal tube was uneventful. The patient was transported to the intensive care unit and mechanically ventilated overnight. The next morning, she was extubated with no further anesthetic complications.",M1
