@RELATION C0684271_C0001948

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20484944,"Feasibility and impact of placing water coolers on sales of sugar-sweetened beverages in Dutch secondary school canteens.AIMS: The aim of this pilot study was to investigate the feasibility and effectiveness of placing water coolers on sugar-sweetened beverage sales at secondary schools (age 12-18 years) in the city of Zwolle, the Netherlands. METHODS: Six schools, hosting 5,866 pupils, were divided in three intervention and three control schools. In the intervention schools, water coolers were placed in the canteen. Hidden observations were performed in one school to study the intervention's feasibility, and school personnel was interviewed. Beverage sales were monitored before and during the intervention. After the intervention period, 366 class 1 and 2 pupils completed a questionnaire about their <e>drinking</e> habits (response rate 81%). RESULTS: Placement of water coolers appeared to be a feasible intervention at secondary schools. However, it did not affect sales of sugar-sweetened beverages at schools. Although mean intake of sugar-sweetened beverages at school was high, more than 500 ml/day for boys, and more than 250 ml/day for girls, only a minority of these quantities was purchased at school. CONCLUSION: We conclude that placing water coolers as a single-issue intervention in secondary school canteens should not be prioritized in the combat against obesity.",M1
20447094,"Understanding the mechanism of the water <e>drinking</e> test: the role of fluid challenge volume in patients with medically controlled primary open angle glaucoma.BACKGROUND: To determine whether a 500-mL fluid challenge produces a different intraocular pressure (IOP) response profile compared with a 1000-mL water drinking test (WDT). METHODS: Prospective, observer-masked, cross-over, observational study. Patients with primary open angle glaucoma were recruited from a private specialist glaucoma practice. One eye of each patient was included. Subjects were randomized to receive either a 500-mL or 1000-mL fluid challenge. Baseline IOP was recorded with a Goldmann applanation tonometer and then every 15 min for 1 h. A second WDT with the alternate volume of water was performed after a minimum washout period of 24 h. Primary statistical analysis was performed using a two-way anova repeated measures of variance with a Bonferroni post-hoc test. RESULTS: Fifteen patients were included in this study. The mean patient age was 67.0 +/- 10.2 (SD) years, and 60% of patients were female. There was no statistically significant difference in baseline IOP between the 500-mL and 1000-mL WDTs (P = 0.11). Both fluid challenge volumes produced a statistically significant rise in IOP from baseline at 15, 30 and 45 min after water ingestion. However the mean maximum increase in IOP was less in the 500-mL WDT (3.3 +/- 1.8 mmHg [23.9%]) compared with the 1000-mL WDT (4.9 +/- 2.3 mmHg [32.5%]; P = 0.0095). CONCLUSION: The 500-mL WDT may provide an alternative for patients who are unable to tolerate drinking 1000 mL of water. However, because the maximum IOP obtained is less, a 500-mL WDT cannot be used to directly estimate peak diurnal pressure.",M1
20429153,"Carcinogens in <e>drinking</e> water: the epidemiologic evidence.",M1
20418637,"Child-education program for the reduction of health risks due to fluoride in water sources in the Chiang Mai Basin, Thailand.Groundwater is the major source of <e>drinking</e> water in Lamphun Province in the Chiang Mai Basin, Thailand. However, groundwater contains high fluoride up to 16 mg F/L, which has caused dental and skeletal fluorosis. Although Thai Government installed RO membrane plants for the removal of fluoride from groundwater; and delivers RO-filtered bottled water that contains less fluoride than the Thai Standard of 0.7 mg F/L, it was found that the urinary fluoride levels are still high among the residents. To find the major sources of fluoride intake, fluoride contents in various water sources, such as village water supply, shallow and deep groundwaters, rain water and bottled water, were measured, and the local people's behavior on water uses was recorded by interview and questionnaire study. As a result, it was found that the highest risk of fluoride ingestion comes from cooking rice with fluoride-containing water because of a lack of knowledge on fluoride sources and fluoride chemistry. To reduce the health risks arising from fluoride intake, a hands-on educational program on the sources and risks of fluoride in water was developed and implemented in the local schools. The participatory educational program promoted active involvement of schoolchildren, but it was found that the effectiveness of education varied depending on the questions we asked. Therefore, it needs to be improved by an iterative and interactive educational program. In conclusion, it was found that the benefits of providing safe drinking water using such advanced technology as RO membrane can be maximized only when it comes along with a participatory educational program on fluoride sources and health risks.",M1
20393621,"[The Bahía 2008 Study: hydration barometer in the Spanish population]BACKGROUND: Vital functions require a balance between the loss and ingestion of liquids. There are no studies about hydration on Spanish population. MATERIAL AND METHODS: 6,508 questionnaires were applied to a randomly selected Spanish population, together with a 24-hour recall in order to measure liquid consumption and variables related to it. RESULTS: The average consumption of liquids was 2,089.5 +/- 771.4 and 6.05 <e>drinking</e> times/day. 3,423 persons (52.6% of the studied people, CI 95% 51.3%-53.8%) were well-hydrated when considering their individual intake. The frequency and volume of drinking decreased with age. 61% (CI 95% 58.64%-64.01%) of the population older than 65 years were badly hydrated. The greatest bottled water consumption corresponded to the youngest population (18-29 years). The greater the physical activity, the greater the beverages consumption (1,987.6 +/- 705.5 ml vs 2,345.8 +/- 928.1 ml, low vs. intense physical activity, respectively). With regard to the intake frequency and volume, mineral and tap water were the most consumed. Those who drank mineral water exceeded the 2 l-recommendation in order to maintain a good hydration status. 59.8% (CI 95% 57.83%-61.76%) of those who preferred mineral water drank more than 2 l/day and drank more times/day and in greater amounts. There was a greater frequency and amount of beverage consumption when people lived in the same house, and particularly more in houses where children were living (2,197.4 +/- 767.8 ml vs 2,055.7 +/- 769.86 ml and 6.4 +/- 2.2 times vs 5.9 +/- 1,9 times, in homes with or without children, respectively). Bottled water was preferred at home (79.07%) and at work (15.61%). CONCLUSIONS: Only half of the Spanish population is well hydrated. Sixty-one percent of people over the age of 65 years were poorly hydrated, consequence it is imperative to promote its consumption.",M1
20391122,"Trihalomethanes in <e>drinking</e> water and the risk of death from rectal cancer: does hardness in drinking water matter?The objectives of this study were (1) to examine the relationship between total trihalomethanes (TTHM) levels in public water supplies and risk of rectal cancer development and (2) to determine whether calcium (Ca) and magnesium (Mg) levels in drinking water might modify the effects of TTHM on risk of developing rectal cancer. A matched cancer case-control study was used to investigate the relationship between the risk of death attributed to rectal cancer and exposure to TTHM in drinking water in 53 municipalities in Taiwan. All rectal cancer deaths in the 53 municipalities from 1998 through 2007 were obtained from the Bureau of Vital Statistics of the Taiwan Provincial Department of Health. Controls were deaths from other causes and were pair-matched to cancer cases by gender, year of birth, and year of death. Each matched control was selected randomly from the set of possible controls for each cancer case. Data on TTHM levels in drinking water were collected from the Taiwan Environmental Protection Administration. Information on the levels of Ca and Mg in drinking water was obtained from the Taiwan Water Supply Corporation. The municipality of residence for cancer cases and controls was presumed to be the source of the subject's TTHM, Ca, and Mg exposure via drinking water. Relative to individuals whose TTHM exposure level was &lt;4.9 ppb, the adjusted OR (95% CI) for rectal cancer occurrence was 1.04 (0.88-1.22) for individuals who resided in municipalities served by drinking water with a TTHM exposure &gt;or=4.9 ppb. There was no evidence of an interaction of drinking-water TTHM levels with low Ca intake via drinking water. However, evidence of an interaction was noted between drinking-water TTHM concentrations and Mg intake via drinking water. Our findings showed that the correlation between TTHM exposure and risk of rectal cancer is influenced by Mg in drinking water. Increased knowledge of the interaction between Mg and TTHM in reducing rectal cancer risk will aid in public policymaking and standard setting.",M1
20382380,"Sub-chronic effects of nitrate in <e>drinking</e> water on red-legged partridge (Alectoris rufa): oxidative stress and T-cell mediated immune function.In order to evaluate the effects of nitrates on birds, we have exposed captive red-legged partridges to nitrates concentrations of 0 (control), 100 (dwell water in farming areas) or 500 mg/l (fertirrigation level). The cellular immune response, plasma biochemistry, methemoglobin concentration (metHb), and oxidative stress biomarkers in blood and tissues were studied after two weeks of exposure. Several blood parameters such as aspartate aminotransferase, creatinine phosphokinase and lactate dehydrogenase activities and magnesium level decreased with nitrate exposure, whereas alkaline phosphatase activity and creatinine level increased. The oxidant effect of nitrates was evidenced by the increase in blood metHb, accompanied by the lipid peroxidation of red blood cells, the increased levels of oxidized glutathione (GSH) in liver, and the generation of oxidative DNA damage in plasma lymphocytes. GSH in erythrocytes was negatively correlated with blood metHb. The cellular immune function was slightly lower at partridges exposed to nitrates. These results suggest that adverse effects of nitrates on birds occur at concentrations potentially present in the field.",M1
20382379,"Effect modification of the association between trihalomethanes and pancreatic cancer by <e>drinking</e> water hardness: evidence from an ecological study.The objective of this study was to examine the relationship between total trihalomethanes (TTHM) levels in public water supplies and risk of pancreatic cancer and to determine whether calcium (Ca) and magnesium (Mg) levels in drinking water modify the effects of TTHM on risk to develop pancreatic cancer. A matched case-control study was used to investigate the relationship between the risk of death attributed to pancreatic cancer and exposure to TTHM in drinking water in 53 municipalities in Taiwan. All pancreatic cancer deaths in the 53 municipalities from 1998 through 2007 were obtained from the Bureau of Vital Statistics of the Taiwan Provincial Department of Health. Controls were deaths from other causes and were pair matched to the cancer cases by gender, year of birth, and year of death. Each matched control was selected randomly from the set of possible controls for each cancer case. Data on TTHM levels in drinking water were collected from Taiwan Environmental Protection Administration. Information on the levels of Ca and Mg in drinking water was obtained from the Taiwan Water Supply Corporation. The municipality of residence for cancer cases and controls was presumed to be the source of the subject's TTHM, Ca, and Mg exposure via drinking water. Relative to individuals whose TTHM exposure level &lt; 4.9ppb, the adjusted OR (95% CI) for pancreatic cancer was 1.01 (0.85-1.21) for individuals who resided in municipalities served by drinking water with a TTHM exposure &gt; 4.9ppb. There was no evidence of an interaction of drinking water TTHM levels with low Ca intake via drinking water. However, we observed evidence of an interaction between drinking water TTHM concentrations and Mg intake via drinking water. Our findings showed that the correlation between TTHM exposure and risk of pancreatic cancer is influenced by Mg in drinking water. Increased knowledge of the interaction between Mg and TTHM in reducing pancreatic cancer risk will aid in public policy making and standard setting.",M1
20364123,"The molecular basis for water taste in Drosophila.The detection of water and the regulation of water intake are essential for animals to maintain proper osmotic homeostasis. Drosophila and other insects have gustatory sensory neurons that mediate the recognition of external water sources, but little is known about the underlying molecular mechanism for water taste detection. Here we identify a member of the degenerin/epithelial sodium channel family, PPK28, as an osmosensitive ion channel that mediates the cellular and behavioural response to water. We use molecular, cellular, calcium imaging and electrophysiological approaches to show that ppk28 is expressed in water-sensing neurons, and that loss of ppk28 abolishes water sensitivity. Moreover, ectopic expression of ppk28 confers water sensitivity to bitter-sensing gustatory neurons in the fly and sensitivity to hypo-osmotic solutions when expressed in heterologous cells. These studies link an osmosensitive ion channel to water taste detection and <e>drinking</e> behaviour, providing the framework for examining the molecular basis for water detection in other animals.",M1
20354657,"Mice <e>drinking</e> goji berry juice (Lycium barbarum) are protected from UV radiation-induced skin damage via antioxidant pathways.The goji berry, Lycium barbarum, has long been recognised in traditional Chinese medicine for various therapeutic properties based on its antioxidant and immune-modulating effects. This study describes the potential for orally consumed goji berry juice to alter the photodamage induced in the skin of mice by acute solar simulated UV (SSUV) irradiation. In Skh:hr-1 hairless mice, 5% goji berry juice significantly reduced the inflammatory oedema of the sunburn reaction. Dilutions of goji berry juice between 1% and 10% dose-dependently protected against SSUV-induced immunosuppression, and against suppression induced by the mediator, cis-urocanic acid, measured by the contact hypersensitivity reaction. The immune protection could not be ascribed to either the minor excipients in the goji juice, pear and apple juice, nor the vitamin C content, nor the preservative, and appeared to be a property of the goji berry itself. Antioxidant activity in the skin was demonstrated by the significant protection by 5% goji juice against lipid peroxidation induced by UVA radiation. Furthermore, two known inducible endogenous skin antioxidants, haem oxygenase-1 and metallothionein, were found to be involved in the photoimmune protection. The results suggest that consumption of this juice could provide additional photoprotection for susceptible humans.",M1
