@RELATION C0023318_C0023308_C0023317

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2, M3}

@DATA
20389592,"Passive mode-locking of a diode-pumped Nd:YVO(4) laser by intracavity SHG in PPKTP.Experimental results on passive mode-locking of a Nd:YVO(4) laser using intracavity frequency doubling in periodically poled KTP (PPKTP) crystal are reported. Both, negative cascaded chi((2)) lensing and frequency doubling nonlinear mirror (FDNLM) are exploited for the laser mode-locking. The FDNLM based on intensity dependent reflection in the laser cavity ensures self-starting and self-sustaining mode-locking while the cascaded chi((2)) <e>lens</e> process contributes to substantial pulse shortening. This hybrid technique enables generation of stable trains of pulses at high-average output power with several picoseconds pulse width. The pulse repetition rate of the laser is 117 MHz with average output power ranging from 0.5 to 3.1 W and pulse duration from 2.9 to 5.2 ps.",M1
20389577,"Far-field polarization-based sensitivity to sub-resolution displacements of a sub-resolution scatterer in tightly focused fields.We present a system built to perform measurements of scattering-angle-resolved polarization state distributions across the exit pupil of a high numerical aperture collector <e>lens</e>. These distributions contain information about the three-dimensional electromagnetic field that results from the interaction of a tightly focused field and a sub-resolution scatterer. Experimental evidence proving that the system allows for high polarization-dependent sensitivity to sub-resolution displacements of a sub-resolution scatterer is provided together with the corresponding numerical results.",M1
20389562,"Silver superlens using antisymmetric surface plasmon modes.Silver lenses having super-resolution are analyzed in terms of antisymmetric modes of surface plasmon which have the ability to amplify evanescent waves in UV region. Antisymmetric surface plasmon modes excited by subwavelength grating enhances the resolution and contrast of silver superlens. By using a 20 nm-thick silver superlens, the half-pitch resolution of approximately lambda(0)/8 can be achieved with good contrast at a free space wavelength of 435 nm. The resolution of silver superlens can also be improved using shorter illumination wavelength. We show that the thinner the <e>lens</e>, the better the imaging ability of the silver superlens due to the excitation of antisymmetric surface plasmon modes of higher propagation wave vectors. The thickness of lens is varied from 20 to 40 nm in a three layer system, SiO(2)-Ag-SiO(2). Obtained results illustrate that practical application for patterning periodic structures with good contrast and penetration depth can be achieved by using antisymmetric surface plasmon modes.",M1
20389373,"Gabor-based fusion technique for Optical Coherence Microscopy.We recently reported on an Optical Coherence Microscopy technique, whose innovation intrinsically builds on a recently reported - 2 microm invariant lateral resolution by design throughout a 2 mm cubic full-field of view - liquid-<e>lens</e>-based dynamic focusing optical probe [Murali et al., Optics Letters 34, 145-147, 2009]. We shall report in this paper on the image acquisition enabled by this optical probe when combined with an automatic data fusion method developed and described here to produce an in-focus high resolution image throughout the imaging depth of the sample. An African frog tadpole (Xenopus laevis) was imaged with the novel probe and the Gabor-based fusion technique, demonstrating subcellular resolution in a 0.5 mm (lateral) x 0.5 mm (axial) without the need, for the first time, for x-y translation stages, depth scanning, high-cost adaptive optics, or manual intervention. In vivo images of human skin are also presented.",M1
20389353,"Experimental investigation of superfocusing of plasmonic <e>lens</e> with chirped circular nanoslits.A plasmonic lens with metallic chirped circular nanoslits corrugated on Au film supported on quartz substrate for the purpose of superfocusing was put forth and fabricated by means of focused ion beam direct milling technique. Topography of the lens was imaged using an atomic force microscope. After that a near-field scanning optical microscope was employed for optical characterization of focusing performance of the lens. Our experimental results verify the focusing performance and further demonstrate that they are in agreement with the theoretical calculation results. Focusing performance is significantly improved in comparison to that of the non-chirped lens. The lenses are possible to be used for the applications of bioimaging, detection, and inspection in submicron scale resolution.",M1
20368461,"Generation and control of sound bullets with a nonlinear acoustic <e>lens</e>.Acoustic lenses are employed in a variety of applications, from biomedical imaging and surgery to defense systems and damage detection in materials. Focused acoustic signals, for example, enable ultrasonic transducers to image the interior of the human body. Currently however the performance of acoustic devices is limited by their linear operational envelope, which implies relatively inaccurate focusing and low focal power. Here we show a dramatic focusing effect and the generation of compact acoustic pulses (sound bullets) in solid and fluid media, with energies orders of magnitude greater than previously achievable. This focusing is made possible by a tunable, nonlinear acoustic lens, which consists of ordered arrays of granular chains. The amplitude, size, and location of the sound bullets can be controlled by varying the static precompression of the chains. Theory and numerical simulations demonstrate the focusing effect, and photoelasticity experiments corroborate it. Our nonlinear lens permits a qualitatively new way of generating high-energy acoustic pulses, which may improve imaging capabilities through increased accuracy and signal-to-noise ratios and may lead to more effective nonintrusive scalpels, for example, for cancer treatment.",M1
20356016,"Copolymer-based progressive addition <e>lens</e> with graded index designed for astigmatism and distortion correction.In this research, we propose to reduce astigmatism and distortion in a progressive addition lens (PAL) by employing a polymer-based graded-index (GRIN) material. We adopted the diffusion copolymerization method for the GRIN-PAL fabrication. The GRIN material was prepared by partial diffusion of methyl methacrylate (MMA) and 2,2,2-trifluoroethyl methacrylate (3FMA) monomers into the cross-linked benzyl methacrylate polymer gel. GRIN-PAL was prepared by polymerization of the GRIN material in a mold of commercially available PAL. As a result, methods to control Deltan, the diffusion length, and the order of the GRIN profile in polymeric GRIN materials were demonstrated. In a combination of the PBzMA gel and the MMA/3FMA diffusion monomer, 50/50 in volume provides the highest Deltan. The diffusion period mainly affects the diffusion length. These two parameters consequently determine the order of the GRIN profile and the focusing power that the GRIN provides. The difference in the ease of diffusion caused by the difference in the cross-linking density provides a method for positional control of the GRIN profile. Furthermore, GRIN-PAL using a polymeric material was successfully fabricated. Improvement in astigmatism and distortion was demonstrated using GRIN. Therefore, the GRIN material is suggested to be applicable for the further modification of the PAL with low astigmatism and distortion.",M1
20224140,"Representation-independent in-place magnification with sigma lenses.Focus+context interaction techniques based on the metaphor of lenses are used to navigate and interact with objects in large information spaces. They provide in-place magnification of a region of the display without requiring users to zoom into the representation and consequently lose context. In order to avoid occlusion of its immediate surroundings, the magnified region is often integrated in the context using smooth transitions based on spatial distortion. Such lenses have been developed for various types of representations using techniques often tightly coupled with the underlying graphics framework. We describe a representation-independent solution that can be implemented with minimal effort in different graphics frameworks, ranging from 3D graphics to rich multiscale 2D graphics combining text, bitmaps, and vector graphics. Our solution is not limited to spatial distortion and provides a unified model that makes it possible to define new focus+context interaction techniques based on lenses whose transition is defined by a combination of dynamic displacement and compositing functions. We present the results of a series of user evaluations that show that one such new <e>lens</e>, the speed-coupled blending lens, significantly outperforms all others.",M1
20224135,"Real-time rendering method and performance evaluation of composable 3D lenses for interactive VR.We present and evaluate a new approach for real-time rendering of composable 3D lenses for polygonal scenes. Such lenses, usually called  volumetric lenses,  are an extension of 2D Magic Lenses to 3D volumes in which effects are applied to scene elements. Although the composition of 2D lenses is well known, 3D composition was long considered infeasible due to both geometric and semantic complexity. Nonetheless, for a scene with multiple interactive 3D lenses, the problem of intersecting lenses must be considered. Intersecting 3D lenses in meaningful ways supports new interfaces such as hierarchical 3D windows, 3D lenses for managing and composing visualization options, or interactive shader development by direct manipulation of lenses providing component effects. Our 3D volumetric <e>lens</e> approach differs from other approaches and is one of the first to address efficient composition of multiple lenses. It is well-suited to head-tracked VR environments because it requires no view-dependent generation of major data structures, allowing caching and reuse of full or partial results. A Composite Shader Factory module composes shader programs for rendering composite visual styles and geometry of intersection regions. Geometry is handled by Boolean combinations of region tests in fragment shaders, which allows both convex and nonconvex CSG volumes for lens shape. Efficiency is further addressed by a Region Analyzer module and by broad-phase culling. Finally, we consider the handling of order effects for composed 3D lenses.",M1
20188934,"Comparison of optoacoustic and photothermal-<e>lens</e> determination of lipopolysaccharides.As a primary aim, several approaches to photothermal (thermal-lens) and optoacoustic determination of exogenous pyrogens (lipopolysaccharides) based on photometric procedures for their determination at the microgram level and below are compared. The limits of detection of lipopolysaccharides by thermal-lens spectrometry and optoacoustic spectroscopy are at a level of 2-100 ng/mL, and the conditions of optoacoustic and photothermal procedures are the same. Optoacoustic spectroscopy is advantageous in determining suspensions, while thermal lensing is superior in determining lipopolysaccharides from homogenous aqueous solutions. As a secondary aim, photometric procedures for lipopolysaccharides by the formation of their ion pairs with several dyes and by the reaction of 2-keto-3-deoxyoctulosonic acid as a part of a lipopolysaccharide molecule with thiobarbituric acid are optimized. In the case of the 2-keto-3-deoxyoctulosonic acid reaction, the sampling stage time is decreased twofold, and the possibility of substitution of the toxic metaarsenite for sulfite with better sensitivity is shown.",M1
