@RELATION C0036202_C0019829

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
5138106,"[Occurrence of benign <e>lymphogranulomatosis</e> (Boeck) in the district of Rinko/bing 1960-1969]",M1
5668397,"[Besnier-Boeck-Schaumann disease in ophthalmology (sarcoidosis, <e>lymphogranulomatosis</e> benigna)]",M1
13861382,"[Myopathic form of benign <e>lymphogranulomatosis</e> (Besnier-Boeck-Schauman).]",M1
13723753,"[Besnier-Boeck-Schaumann benign <e>lymphogranulomatosis</e> (clinico-histopathological contribution).]",M1
14437555,"[Neurological forms of benign <e>lymphogranulomatosis</e>. Besnier-Boeck-Schaumann disease (sarcoidosis)]",M1
13596346,"<e>Lymphogranulomatosis</e> benigna (morbus Boeck-Schaumann) and atypical tuberculosis (Ziegler); a study of their relationship.",M1
13478458,"Benign <e>lymphogranulomatosis</e> (sarcoidosis) in the nasopharynx with destruction of the base of the skull; report of a case.",M1
13443746,"<e>Lymphogranulomatosis</e> benigna; a contribution to the problem of its treatment.",M1
13392074,"[Daniel's biopsy in lung diseases, with special reference to benign <e>lymphogranulomatosis</e> (sarcoidosis).]",M1
13331887,"[Cavity formation in Besnier-Boeck-Schaumann disease; benign <e>lymphogranulomatosis</e> or sarcoidosis.]",M1
13196203,"[Diagnosis of benign <e>lymphogranulomatosis</e> (Boeck's sarcoid) with special consideration of localization in the lungs.]",M1
13051012,"[Benign <e>lymphogranulomatosis</e> with small nodules (Besnier-Boeck-Schaumann disease).]",M1
13025099,"[Typical and atypical pictures of benign skeletal <e>lymphogranulomatosis</e>.]",M1
14941453,"[Diabetes insipidus in benign <e>lymphogranulomatosis</e>.]",M1
14901556,"[Kveim's reaction in diagnosis of the pulmonal form of Schaumann's benign <e>lymphogranulomatosis</e>.]",M1
14857735,"[Cutaneous reactions in benign <e>lymphogranulomatosis</e> (Besnier-Boeck-Schaumann disease).]",M1
15443160,"[Diagnostic and therapeutic possibilities in <e>lymphogranulomatosis</e> benigna.]",M1
14914393,"Studies on the in vitro lysis of leucocytes by tuberculin in pulmonary tuberculosis, erythema induratum and <e>lymphogranulomatosis</e> benigna.",M1
18522223,"[Cystatins: cysteine proteases regulation and disturbances in tumors and inflammation]Cystatin C belongs to the group of wide spread extracellular cysteine protease inhibitors. Using ELISA kits it was shown that the highest cystatin C concentration was in human cerebrospinal fluid and low cystatin C concentration was in human urine. In healthy young persons serum cystatin C concentration was lower than in elder patients (50-65 year old). In patients with hemoblastoses (lymphoma, <e>lymphogranulomatosis</e>) increased serum cystatin C concentration was normalized after effective antitumor therapy. According to these data one can conclude that serum cystatin C concentration can be used as one of the prognostic criteria in patients with several kinds of hemoblastoses.",M2
14856576,"Tuberculin sensitivity in <e>lymphogranulomatosis</e> benigna, studied with depot tuberculin.",M1
17078219,"[Ten-year outcomes of <e>lymphogranulomatosis</e> treatment according to the protocol MOPP-ABVD+radiotherapy]AIM: To analyse overall recurrence-free survival of lymphogranulomatosis (LGM) patients given polychemotherapy (PCT) MOPP (mustargen-caryolisin, vincristine, natulan, prednisolone) - ABVD (adriamycin, bleomycin, vinblastin, dacarbasin) in combination with radiotherapy (RT) for 10 years. MATERIAL AND METHODS: The trial included 211 LGM patients admitted to Hematological Research Center in 1990-1996 from other hospitals without random selection. The patients were examined by the standard program including biopsy of the affected organ or lymph node, bilateral trephine biopsy. Splenectomy was performed in 17 patients, 83 patients received PCT in other hospitals, 128 untreated patients received MOPP-ABVD therapy (3 courses of MOPP and 3 courses of ABVD). Forty one patients had defects in PCT, 16 of them rejected PCT and RT. The latter was performed 4 weeks after the 6th course, contraceptives were not prescribed to women. At LGM stage II-III RT was performed by the subradical program (no radiation to ilioinguinal lymph nodes) in doses 40-44 Gy on the foci and 32-36 Gy preventively, on massive and residual foci after PCT - 5-10 Gy additionally. RESULTS: Ten-year overall and recurrence-free survival in the untreated group reached 83 and 80%, respectively, for pretreated patients - 46 and 36%, respectively. Causes of death of 26 patients were LGM progression, infection (tuberculosis, as a rule), secondary tumors and acute myeloblastic leukemia (AML). After remission 25 women gave birth to a healthy child and 12 healthy children were born to 9 males. CONCLUSION: MOPP-ABVD plus radiotherapy program according to subradical and radical variants was in the past effective but invalidating rescue therapy. Present-day programs consider the histological variant, stage and prognostic factors allowing an individual therapeutic approach with step-by-step reduction of RT in the treatment of LGM patients. Involvement of the bone marrow in primary patients had no influence on the treatment results. This refers this affection not to a generalized stage IV, but to stage III along with involvement of the lymph nodes and the spleen.",M2
15432144,"Isolation of a virus from six cases of sarcoidosis, <e>lymphogranulomatosis</e> benigna Schaumann.",M1
16279522,"[A case of misdiagnosis of tuberculosis in a patient with pulmonary <e>lymphogranulomatosis</e> and destructive pneumonia in the presence of AIDS]",M2
