@RELATION C0032017_C0032009

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
11557633,"Plasma hormone levels and central c-Fos expression in ferrets after systemic administration of cholecystokinin.<e>Posterior pituitary</e> hormone secretion and central neural expression of the immediate-early gene product c-Fos was examined in adult ferrets after intravenous administration of CCK octapeptide. Pharmacological doses of CCK (1, 5, 10, or 50 microg/kg) did not induce emesis, but elicited behavioral signs of nausea and dose-related increases in plasma vasopressin (AVP) levels without significant increases in plasma oxytocin (OT) levels. CCK activated neuronal c-Fos expression in several brain stem viscerosensory regions, including a dose-related activation of neurons in the dorsal vagal complex (DVC). Activated brain stem neurons included catecholaminergic and glucagon-like peptide-1-positive cells in the DVC and ventrolateral medulla. In the forebrain, activated neurons were prevalent in the paraventricular and supraoptic nuclei of the hypothalamus and also were observed in the central nucleus of the amygdala and bed nucleus of the stria terminalis. Activated hypothalamic neurons included cells that were immunoreactive for AVP, OT, and corticotropin-releasing factor. Comparable patterns of brain stem and forebrain c-Fos activation were observed in ferrets after intraperitoneal injection of lithium chloride (LiCl; 86 mg/kg), a classic emetic agent. However, LiCl activated more neurons in the area postrema and fewer neurons in the nucleus of the solitary tract compared with CCK. Together with results from previous studies in rodents, our findings support the view that nauseogenic treatments activate similar central neural circuits in emetic and nonemetic species, despite differences in treatment-induced emesis and pituitary hormone secretion.",M1
9863366,"[Hormones of the posterior region of the hypophyseal gland]Arginine vasopressin is the main hormone involved in the regulation of body fluid osmolality. The hormone is released by the <e>posterior pituitary</e> whenever water deprivation causes an increased plasma osmolality or whenever the cardiovascular system is challenged by hypovolaemia and/or hypotension. The main site of action of this hormone is the renal collecting duct, but vasopressin is also a potent vasopressor and neurotransmitter, it has a role in the secretion of corticotrophin, in the regulation of the cardiovascular system, temperature and other visceral functions. Vasopressin also promotes the release of coagulation factors by vascular endothelium and increases platelet aggregability. In addition to its classical contractile effect on uterine myometrial and mammary glandular myoepithelial cells, oxytocin acts as neurotransmitter, stimulates endometrial prostaglandin production, pituitary prolactin secretion, luteolysis, sperm transport and natriuresis, and may play a role in immune function. Sensorial stimuli arising from the cervix and vagina as well as stimulation of the breast can induce secretion of oxytocin from the posterior pituitary. There are many vasopressin and oxytocin analogues (agonists and antagonists) that are synthetized with the goal of increasing duration of action and selectivity for the receptor subtypes, while non-peptide antagonists are orally active. The oxytocin and the vasopressin V1a, V1b and V2 receptors have recently been cloned and shown to form a sub-family within the large superfamily of G-protein-linked receptors. Renal V2 receptors mediate vasopressin-induced water reabsorption via induction of intracellular cAMP production in collecting duct cells. Most remaining actions of vasopressin on blood vessel constriction, liver glycogenolysis, platelet adhesion, adrenal angiotensin II secretion and certain brain functions are mediated via V1a-type receptors that are coupled to a Gq/11 protein. V1 receptor activation leads to stimulation of phospholipases C, D and A2, and an increase in intracellular calcium. Vasopressin stimulates pituitary corticotrophin release via a third vasopressin receptor type (V1b) which is present in corticotrophs. Oxytocin induces myometrial contraction, endometrial prostaglandin F2a production, mammary gland milk ejection, renal natriuresis and specific sexual, affilitative and maternal behaviours via oxytocin receptors which are also coupled to a G1/11 protein. Although only one oxytocin receptor type has been cloned so far, recent binding studies indicate that uterine endometrial oxytocin receptors may constitute a distinct receptor subtype. Expression of oxytocin receptors have relevant up- and down-regulation by oestrogens and progesterone.",M1
8771561,"Different effects of the serotonergic agonists buspirone and sumatriptan on the <e>posterior pituitary</e> hormonal responses to hypoglycemia in humans.The responses of serum oxytocin (OT) and vasopressin (AVP) to the serotonergic HT1A agonist buspirone (15 mg p.o.) or the HTD1 agonist sumatriptan (6 mg injected subcutaneously) were evaluated in 7 normal men either in basal conditions or during an insulin (0.15 iu/kg as an i.v. bolus) tolerance test (ITT). Neither buspirone nor sumatriptan administration modified the basal secretion of AVP and OT. Stimulation of 5HT-1D receptors with sumatriptan was unable to change neither AVP nor OT response to insulin-induced hypoglycemia. On the other hand, the pretreatment with the 5HT1A agonist buspirone significantly enhanced the OT response during hypoglycemia, without modifying the AVP rise. The results of this study suggest that serotonergic 5HT1A receptors may interact with hypoglycemia in the stimulation of OT, but not AVP secretion.",M1
8511335,"Neurohypophyseal peptides and psychiatric diseases.The study of neurohypophyseal function in various neuropsychiatric diseases is interesting because: (1) The main neurohypophyseal peptides vasopressin (AVP) and oxytocin (OT) share by themselves modulatory influence on behavior. (2) Hypothalamo-<e>posterior pituitary</e> axis is directly influenced by modifications of central neurotransmitter metabolism involved in behavior control.",M1
1795531,"Prolonged infusion of Panax ginseng saponins into the rat does not alter the chemical and kinetic profile of hormones from the <e>posterior pituitary</e>.The effect of prolonged administration (i.v.) of commercially available Panax ginseng extract (PGE) on the kinetic profile of the hormones from the posterior pituitary (PP) was studied in male Wistar rats. The rats were infused with 7.36 mg kg-1 h-1 of PGE for 8 days while the hormones from the PP were pulse-labeled at their place of translation in the hypothalamus. The concentration of labeled hormones was analyzed after increasing chase time intervals and compared to controls which were infused with the same volume of isotonic saline. The study revealed: (1) Prolonged administration of PGE prevents the drop in body weight during the 48-h period following stereotaxic surgery. At the end of the ginseng infusion period body weight increased as seen in controls. (2) The concentration of labeled oxytocin, oxytocin-neurophysin, the metabolically converted form of oxytocin-neurophysin and arginine-vasopressin-neurophysin per single PP did not change under prolonged ginseng administration. (3) The amino acid pattern from the ventromedial hypothalamus was not different from controls. From our results we conclude that the physiological effect of PGE in the rat is not based on changes in the translation, conversion rate or the chemical structure of hormones from the PP.",M1
1675505,"Feed intake and rumen motility in dwarf goats. Effects of some alpha 2-adrenergic agonists, prostaglandins and <e>posterior pituitary</e> hormones.The purpose of the present investigation was to test the hypothesis that drug-induced changes in rumen contractions influence feed intake in dwarf goats. Intravenous (i.v.) administration of clonidine (1 microgram kg-1 min-1 for 10 min), xylazine (1 microgram kg-1 min-1 for 10 min), and PGF-2 alpha (10 micrograms kg-1 min-1 for 15 min) caused bradycardia and inhibition of rumen contractions. However, no appetite-stimulating effect of these drugs was observed. Other clinical changes induced by the alpha-adrenergic agonists included slight sedation and a decrease in body temperature; all clinical effects of clonidine and xylazine were partly antagonized by tolazoline pretreatment (10 micrograms kg-1 min-1 for 30 min). These results suggest that the CNS control of feeding differs in ruminants and monogastric species. In dwarf goats fasted for 2 h, i.v. administration of oxytocin (0.01 IU kg-1 min-1 for 15 min), vasopressin (0.01 IU kg-1 min-1 for 15 min), octapressin (0.003 IU kg-1 min-1 for 15 min) or PGE1 (0.8 microgram kg-1 min-1 for 15 min) did not change feeding behaviour during the two observation periods (0-30 min and 180-210 min after drug infusion, respectively). In previous studies, similar doses of these drugs induced changes in heart rate and inhibition of rumen contraction in goats. These findings demonstrate that drug-induced changes in forestomach contractions do not simply cause changes in feeding behaviour. The i.v. infusion of the PGF 2 alpha analogues etiproston (10 micrograms kg-1 min-1 for 15 min), luprostiol (30 micrograms kg-1 min-1 for 15 min), cloprostenol (1 microgram kg-1 min-1 for 15 min) and tiaprost (1 microgram kg-1 min-1 for 15 min) induced hypophagic effects and stimulated intestinal propulsion.",M1
2333735,"Influence of neurohypophysectomy on the renal actions of aldosterone in the adrenalectomized rat.The influence of aldosterone administration on urine flow, Na+ and K+ excretion was examined in hypotonic saline infused, Inactin anesthetised rats following removal of the adrenals or adrenals and <e>posterior pituitary</e>. Plasma adrenal steroid levels were considerably depressed but still detectable 10-14 days after adrenalectomy. Removal of the posterior pituitary markedly reduced Na+ excretion in adrenalectomized animals implying that Na+ retention following neurohypophysectomy is not dependent on adrenal gland function. In adrenalectomized rats aldosterone administration at 42 pmol/min reduced Na+ excretion and urine flow without significantly changing K+ excretion, though plasma K+ was reduced. In adrenalectomized/neurohypophysectomized rats aldosterone further reduced the already low rate of Na+ excretion and increased K+ excretion, though there was no observable effect on urine flow. The results obtained indicate that the Na(+)-retaining actions of aldosterone are largely independent of posterior pituitary influence. The K(+)-losing action of aldosterone was, however, only observed in animals in which the posterior pituitary was absent.",M1
2735459,"Anterior and <e>posterior pituitary</e> hormone release induced in sheep by cholecystokinin.The effect of an intravenous bolus injection of cholecystokinin octapeptide (CCK-8; 0.85 micrograms/kg) on the release of cortisol, prolactin, vasopressin, and oxytocin was studied in sheep (n = 10). Concentrations of these hormones were measured in blood samples taken before (-10, 0 min) and after (5, 10, 20 min) administration of a saline vehicle or vehicle + CCK. Following CCK treatment, levels of cortisol were raised after 10 and 20 min, prolactin and vasopressin concentrations were increased after 5 min, and oxytocin secretion was unaffected.",M1
3149733,"Identification of neurohypophysial peptides in the ovaries of several mammalian and nonmammalian species.Ovarian tissue from a variety of mammalian and nonmammalian species were extracted in acid. All extracts contained both oxytocin- and vasopressin-like immunoreactivites as determined by radioimmunoassay. Analysis by high performance liquid chromatography revealed the presence of oxytocin in all ovarian extracts examined. This was in contrast to the corresponding <e>posterior pituitary</e> gland which other workers have shown do not necessarily contain the oxytocin peptide. It is suggested that oxytocin may play an important role in ovarian function in species of differing phylogeny.",M1
2450457,"Hormonal and metabolic effects of calcium channel antagonists in man.Calcium is a component of many metabolic reactions. By blocking calcium transport across cell membranes, calcium channel antagonists can therefore theoretically affect numerous metabolic and hormonal processes. In vitro studies have often documented just such an effect. Because of the expanding use and prevalence of calcium antagonists in clinical practice, a review of their in vivo effects on hormones and metabolism is warranted. The effect on glucoregulatory hormones, calcium regulatory hormones, anterior and <e>posterior pituitary</e> secretion, the renin-angiotensin axis, plasma catecholamines, and plasma lipids and lipoproteins is herein reviewed. The various calcium antagonists, by virtue of their distinct chemical structures, influence metabolism in their own unique manner. Despite the widespread involvement of calcium in hormone action, however, calcium channel antagonists have little dramatic impact on hormone regulation. This is, in part, due to the drug dosage used in clinical practice and to the inherent compensatory mechanisms built into normal endocrine function. The development of agents with greater and more potent metabolic specificity, however, coupled with the ability to target drug action, holds promise for expanded therapeutic application in the future.",M1
