@RELATION C0012931_C0012933

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
18631311,"Nested PCRs and sequencing of nuclear ITS-<e>rDNA</e> fragments detect three Leishmania species of gerbils in sandflies from Iranian foci of zoonotic cutaneous leishmaniasis.OBJECTIVE: To identify and understand the natural transmission cycles of Leishmania in Iranian sandflies. METHOD: Nested PCR protocols were developed to amplify two regions of the ribosomal RNA amplicon of Leishmania (ITS1-5.8S rRNA gene, and a microsatellite DNA region of ITS2), which were species-specific by DNA sequence or fragment size. RESULTS: The PCR assays detected in Iranian sandflies not only Leishmania major but also for the first time L. turanica and L. gerbilli sensu lato, two other parasites of the great gerbil. All three parasites were found in the northeast and centre of Iran, in two foci of rural Zoonotic Cutaneous Leishmaniasis (ZCL) caused by L. major. Fifty infections were detected in common sandfly species: at least six geographically differentiated haplotypes of L. major in four to five sandfly species; one strain of L. gerbilli s.l. in five to six sandfly species and one strain of L. turanica in one sandfly species. CONCLUSION: Past conclusions about the transmission cycles of L. major in Iran should be treated with caution. Careful molecular eco-epidemiological investigations are essential for modelling the roles of different sandfly species in maintaining and spreading ZCL foci. Even if non-pathogenic to humans, frequent inoculations of L. turanica by sandflies might alter the efficacy of vaccines against L. major. Phlebotomus papatasi is probably the key vector in many ZCL foci because of its abundance and high infection rates with both L. major and L. turanica.",M1
17976983,"Simultaneous saccharification and fermentation of acid-pretreated corncobs with a recombinant Saccharomyces cerevisiae expressing beta-glucosidase.To reduce the cellobiose inhibition of exoglucanase and endogulcanase and enhance cellulose hydrolysis during simultaneous saccharification and fermentation (SSF), a beta-glucosidase encoding gene named BGL1 was cloned from Saccharomycopsis fibuligera and integrated into the chromosomal <e>rDNA</e> region of the Saccharomyces cerevisiae industrial strain NAN-27 producing NAN-227. Compared with the parental strain, which had no detectable activity, the beta-glucosidase specific activity in NAN-227 was 1.02 IU/mg of protein. When cellobiose was used as the sole carbon source in a shake-flask, NAN-227 consumed 6.2g/L of cellobiose and produced 3.3g/L of ethanol in 48 h. The yield was 0.532 g/g. The parent strain only consumed 1.92 g/L of cellobiose and no ethanol was detected. During the SSF of acid-pretreated corncobs NAN-227 produced 20 g/L of ethanol at 72 h, which was similar to the parent strain when 20IU of beta-glucosidase/g of substrate was added.",M1
17854485,"DNA evidence for global dispersal and probable endemicity of protozoa.BACKGROUND: It is much debated whether microbes are easily dispersed globally or whether they, like many macro-organisms, have historical biogeographies. The ubiquitous dispersal hypothesis states that microbes are so numerous and so easily dispersed worldwide that all should be globally distributed and found wherever growing conditions suit them. This has been broadly upheld for protists (microbial eukaryotes) by most morphological and some molecular analyses. However, morphology and most previously used evolutionary markers evolve too slowly to test this important hypothesis adequately. RESULTS: Here we use a fast-evolving marker (ITS1 <e>rDNA</e>) to map global diversity and distribution of three different clades of cercomonad Protozoa (Eocercomonas and Paracercomonas: phylum Cercozoa) by sequencing multiple environmental gene libraries constructed from 47-80 globally-dispersed samples per group. Even with this enhanced resolution, identical ITS sequences (ITS-types) were retrieved from widely separated sites and on all continents for several genotypes, implying relatively rapid global dispersal. Some identical ITS-types were even recovered from both marine and non-marine samples, habitats that generally harbour significantly different protist communities. Conversely, other ITS-types had either patchy or restricted distributions. CONCLUSION: Our results strongly suggest that geographic dispersal in macro-organisms and microbes is not fundamentally different: some taxa show restricted and/or patchy distributions while others are clearly cosmopolitan. These results are concordant with the 'moderate endemicity model' of microbial biogeography. Rare or continentally endemic microbes may be ecologically significant and potentially of conservational concern. We also demonstrate that strains with identical 18S but different ITS1 rDNA sequences can differ significantly in terms of morphological and important physiological characteristics, providing strong additional support for global protist biodiversity being significantly higher than previously thought.",M1
17005783,"PCR fingerprinting of Trichophyton mentagrophytes var. interdigitale using polymorphic subrepeat loci in the <e>rDNA</e> nontranscribed spacer.The sequence of the nontranscribed spacer (NTS) region of the rDNA of Trichophyton mentagrophytes var. interdigitale strain 2111 was determined, and three individual subrepeat loci identified. The first repeat region contained eight tandem copies of a degenerate 33-43 bp sequence, whilst the second had two complete and two partial 300 bp repeats. The third locus contained six tandemly repetitive elements of between 67 and 89 bp, which showed sequence identity to the TrS2 repeats of Trichophyton rubrum. PCR amplification of the individual repetitive regions from 42 random isolates of T. mentagrophytes var. interdigitale identified fragment length polymorphisms at each locus. Sequence analysis of the PCR products revealed that the size variations resulted from differences in the copy number of each of the three sets of subrepeat elements, TmiS0, TmiS1 and TmiS2. In addition, some indels were present in the flanking regions of the TmiS1 repeats. Combining PCR fingerprints from each of the three polymorphic loci produced a total of 19 individual strain profiles. The method was rapid, reproducible and discriminatory, and the fragment patterns simple to interpret. PCR fingerprint analysis of variable tandem repeat loci in the T. mentagrophytes var. interdigitale NTS represents a valuable molecular typing method for future epidemiological investigations in this species.",M1
16614998,"Identification of dominant bacteria in feces and colonic mucosa from healthy Spanish adults by culturing and by 16S <e>rDNA</e> sequence analysis.The aim of this work was to examine by culturing the changes in the total and indicator populations of the feces of two individuals over 1 year and to identify the dominant microbial components of a single sample of feces from each donor. Populations and dominant bacteria from a sample of colonic mucosa from a further individual were also assessed. The culture results were then compared to those obtained with the same samples by 16S rDNA cloning and sequencing. High interindividual variation in representative microbial populations of the gastrointestinal tract (GIT) was revealed by both the culture and the culture-independent techniques. Species belonging to Clostridium clusters (XIVa, IV, and XVIII) predominated in both the fecal and the mucosal samples (except in the mucose cultured isolates), members of Clostridium coccoides cluster XIVa being the most numerous microorganisms. Species of gamma-proteobacteria (Escherichia coli and Shigella spp.), bifidobacteria, and actinobacteria appeared in lower numbers than those of clostridia. From the mucosal cultured sample, only facultative anaerobes and bifidobacteria were recovered, suggesting destruction of the anaerobe population during processing. In accordance with this, the microbial diversity revealed by 16S rDNA sequence analysis was greater than that revealed by culturing. Despite large interindividual differences, distinct human communities may have group-associated GIT microbiota characteristics, such as the low number of Bacteroides seen in the subjects in this study.",M1
16522541,"Population diversity in model potable water biofilms receiving chlorine or chloramine residual.Most water utilities use chlorine or chloramine to produce potable water. These disinfecting agents react with water to produce residual oxidants within a water distribution system (WDS) to control bacterial growth. While monochloramine is considered more stable than chlorine, little is known about the effect it has on WDS biofilms. Community structure of 10-week old WDS biofilms exposed to disinfectants was assessed after developing model biofilms from unamended distribution water. Four biofilm types were developed on polycarbonate slides within annular reactors while receiving chlorine, chloramine, or inactivated disinfectant residual. Eubacteria were identified through 16S <e>rDNA</e> sequence analysis. The model WDS biofilm exposed to chloramine mainly contained Mycobacterium and Dechloromonas sequences, while a variety of alpha- and additional beta-proteobacteria dominated the 16S rDNA clone libraries in the other three biofilms. Additionally, bacterial clones distantly related to Legionella were found in one of the biofilms receiving water with inactivated chlorine residual. The biofilm reactor receiving chloraminated water required increasing amounts of disinfectant after 2 weeks to maintain chlorine residual. In contrast, free chlorine residual remained steady in the reactor that received chlorinated water. The differences in bacterial populations of potable water biofilms suggest that disinfecting agents can influence biofilm development. These results also suggest that biofilm communities in distribution systems are capable of changing in response to disinfection practices.",M1
16466607,"Cost-utility of somatropin (<e>rDNA</e> origin) in the treatment of growth hormone deficiency in children.OBJECTIVE: The objective of this study was to generate estimates of cost-effectiveness/utility of somatropin (rDNA origin) in the treatment of growth hormone deficiency (GHD) in children. METHODS: A decision-analytic model of the epidemiology and treatment of GHD in children was developed. Treatment of GHD was assessed in two hypothetical cohorts compared to no treatment--treatment with somatropin 0.030 mg/kg/day from ages 5 to 16 years, and treatment from ages 3 to 18 years. Costs (stated in 2005 US$) included those related to drug acquisition, endocrinologist consultations, and primary care office visits. Estimates of patient weight by age and sex were derived from published literature, as was the proportion of patients achieving normal height through somatropin treatment and pre/post-treatment patient utilities. Cost-effectiveness/utility was estimated over patients' expected lifetimes, and was stated alternatively as discounted (3% per annum) US dollars per normal height year (NHY) gained, and cost per quality adjusted life-year (QALY) gained. Multivariate sensitivity analyses were conducted to ensure robustness of the model. RESULTS: The cost-effectiveness and cost-utility of treating children from ages 5 to 16 years with somatropin was estimated at approximately $8,900 per NHY gained and $37,000 per QALY gained, respectively. Corresponding ratios pertaining to treatment of children from ages 3 to 18 years were $9,300 per NHY gained and $42,600 per QALY gained. Findings were relatively insensitive to variation in most model parameters. CONCLUSIONS: For both age cohorts, the cost-effectiveness/utility of somatropin in the treatment of GHD compares favorably to well-accepted threshold values. The use of somatropin represents reasonable value for money for the treatment of GHD in children.",M1
16286090,"Phylogenetic relationships and biodiversity in Hylids (Anura: Hylidae) from French Guiana.We evaluated two biodiversity criteria, higher taxonomic diversity and phylogenetic diversity in French Guiana. For this, we used a recent assessment of the knowledge accumulated since 30 years of study on the amphibian species currently known in French Guiana. We focused on two well-represented genera, Hyla and Scinax, belonging to the subfamily Hylinae. We used partial sequences of two mitochondrial genes (16S <e>rDNA</e> and 12S rDNA, 813 bp) and two nuclear genes (tyrosinase and 18S rRNA, 1590 bp) covering a total of 2403 bp. According to the high bootstrap support in phylogenetic analysis of the complete dataset, the genus Scinax is a homophyletic clade formed by two species groups (rubra and rostrata) in French Guiana. The genus Hyla was confirmed to be a paraphyletic group formed by two species groups as well (30 chromosomes and the 'gladiator frogs'). We confirmed that these genera should be taxonomically reconsidered. Moreover, at the genus, subfamily and family levels, the use of only morphological characters or only molecular DNA markers would hamper estimations of biodiversity. Thus, we strongly advise the combined use of both morphology and molecular data (nuclear and mitochondrial markers).",M1
16028966,"Quantitation of transgenic plant DNA in leachate water: real-time polymerase chain reaction analysis.Roundup Ready (RR) genetically modified (GM) corn and soybean comprise a large portion of the annual planted acreage of GM crops. Plant growth and subsequent plant decomposition introduce the recombinant DNA (<e>rDNA</e>) into the soil environment, where its fate has not been completely researched. Little is known of the temporal and spatial distribution of plant-derived rDNA in the soil environment and in situ transport of plant DNA by leachate water has not been studied before. The objectives of this study were to determine whether sufficient quantities of plant rDNA were released by roots during growth and early decomposition to be detected in water collected after percolating through a soil profile and to determine the influence of temperature on DNA persistence in the leachate water. Individual plants of RR corn and RR soybean were grown in modified cylinders in a growth room, and the cylinders were flushed with rain water weekly. Immediately after collection, the leachate was subjected to DNA purification followed by rDNA quantification using real-time Polymerase Chain Reaction (PCR) analysis. To test the effects of temperature on plant DNA persistence in leachate water, water samples were spiked with known quantities of RR soybean or RR corn genomic DNA and DNA persistence was examined at 5, 15, and 25 degrees C. Differences in the amounts and temporal distributions of root-derived rDNA were observed between corn and soybean plants. The results suggest that rainfall events may distribute plant DNA throughout the soil and into leachate water. Half-lives of plant DNA in leachate water ranged from 1.2 to 26.7 h, and persistence was greater at colder temperatures (5 and 15 degrees C).",M1
15964832,"Global loss of Set1-mediated H3 Lys4 trimethylation is associated with silencing defects in Saccharomyces cerevisiae.Post-translational histone modifications, such as acetylation, phosphorylation, ubiquitination, and methylation, have been correlated with regulation of gene expression. In Saccharomyces cerevisiae, Set1 has been identified as the sole histone methyltransferase required for histone H3 lysine 4 (Lys(4)) methylation. Yeast cells that do not express Set1 have several apparent phenotypes, including slow growth and defects in telomere, HML, and <e>rDNA</e> silencing. However, the mechanism by which the Set1 methyltransferase mediates differential histone H3 methylation (mono-, di-, and tri-) is still not understood, and the involvement of domains or regions in Set1 contributing to H3 Lys(4) methylation has not been well characterized. In this study, the N terminus of Set1 was shown to be important for global and gene specific histone H3 trimethylation. We show that Set1 trimethyl-defective mutants can rescue a set1Delta slow growth defect. In contrast, Set1 trimethyl mutants were defective in telomere, rDNA, HML, and HMR silencing. Taken together, these data suggest that histone H3 Lys(4) trimethylation is required for proper silencing, while mono- and/or dimethylation is sufficient for cell growth.",M1
