@RELATION C0036881_C0015435

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
18551208,"Effects of oral health behaviors and socioeconomic factors on a group of Turkish adolescents.OBJECTIVE: To investigate the effects of socioeconomic factors and oral health behaviors on adolescents in Turkey. METHOD AND MATERIALS: Data were collected through a self-administered questionnaire. The sample consisted of 582 randomly selected adolescents, 309 boys and 273 girls, who presented over a 3-month period with various complaints to the Hacettepe University Medical Faculty Adolescent Clinic. RESULTS: Halitosis complaints were higher in the 11-, 12-, and 13-year-old groups than in other age groups (P &lt; .05). When the <e>sex factor</e> was examined, prevalence of dental fear was found to be higher among girls, while irregular toothbrushing was seen more among boys. In parallel to the increase in the education levels of the parents, an increase was seen in the regular dental visits by the adolescents (P &lt; .05). As the socioeconomic status of the family increased, frequency of dental visits, rate of dental floss usage, and number of teeth with restorations increased. In parallel with the dental visit increase, the rate of restored teeth increased. Of those who did not have regular dental visits because of financial difficulties, however, the rate of teeth with restorations was low. CONCLUSION: A strong correlation exists between the oral health behaviors, socioeconomic and sociodemographic factors, and the oral health status of Turkish adolescents.",M1
15205702,"[Association of dopamine beta-hydroxylase polymorphism with attention deficit hyperactivity disorder in children]OBJECTIVE: To study the association of dopamine beta-hydroxylase gene 5' flanking region polymorphism-1021 C--&gt;T with attention deficit hyperactivity disorder (ADHD) in Han children. METHODS: ADHD was diagnosed according to the DSM-IV criteria. DNA was extracted and PCR was performed to examine the DBH-1021C--&gt;T polymorphism. HHRR was used to test the association of dopamine beta-hydroxylase gene with different subtypes of ADHD. RESULTS: HHRR results showed this polymorphism had a tendency to be associated with the inattention subtype (P=0.067) and the combined subtype (P=0.076). The T allele was the protective factor of the inattentive subtype (P=0.07), and the risk factor of the combined subtype (P=0.08). After dividing the 292 nuclear families according to sex, DBH-1021C--&gt;T polymorphism was found to be associated with the combined subtype (P=0.04) with the T allele as the risk factor (P=0.02). There were no positive findings among the girl nuclear families of ADHD. CONCLUSION: DBH gene is related to ADHD combined subtype and inattention subtype. The genetic basis of ADHD combined subtype and is inattention is different, and is influenced by <e>sex factor</e>.",M1
14625594,"Prediction of the size of un-erupted permanent cuspids and bicuspids in a Saudi sample: a pilot study.The purpose of this study was to produce an estimated equation for the prediction of unerupted cuspids and bicuspids for the Saudi population. In this study, dental casts of 65 Saudi subjects (37 males and 28 females) were used. The subjects' age ranged from 18 to 25 years. The mesiodistal width of all permanent teeth was measured. The data was subjected to regression analysis. Results showed the Tanaka and Johnston equations overestimate the predicted tooth width of the un-erupted cuspids and bicuspids in Saudis. Results showed the predicted tooth width of Saudis (males and females) is closer to the 50% level of confidence in Moyer's chart. Multiple regression equations were estimated including the <e>sex factor</e>. Accordingly, two equations were estimated for the prediction of the tooth width of the un-erupted cuspids and bicuspids for the Saudi males and females. Based on the results, it can be concluded the 50% data is more accurate than the commonly used percentage Moyer's table (75%) when both sexes are combined. Further studies are needed to confirm the findings of this study.",M1
9538985,"Fractional esterification rate of HDL particles in patients with type 2 diabetes. Relation to coronary heart disease risk factors.OBJECTIVE: To study the fractional esterification rate of cholesterol on HDL particles (FERHDL) in adults with type 2 diabetes and assess its correlation with serum lipids and other coronary heart disease (CHD) risk factors. RESEARCH DESIGN AND METHODS: FERHDL was measured in 90 adult (57 men, 33 women) patients by an isotopic assay method involving several steps, including preparation of VLDL- and LDL-depleted plasma, labeling of the sample with a trace amount of tritiated cholesterol, separation of free and esterified cholesterol fractions by chromatography post incubation, and subsequent counting of radioactivity in the individual fractions. RESULTS: Male patients have higher FERHDL values than their female counterparts. When HDL cholesterol was controlled for in a multivariate regression analysis, the <e>sex factor</e> was not significant. There was a significant positive correlation between FERHDL and plasma total cholesterol (r = 0.32), triglycerides (r = 0.82), apolipoprotein B (apo B; r = 0.48), insulin (r = 0.46), BMI (r = 0.31), and waist-to-hip ratio (WHR; r = 0.50). There was a negative correlation between FERHDL and HDL cholesterol (r = -0.76) and apolipoprotein AI (r = -0.60). When both HDL cholesterol and triglycerides were controlled for, the only significant correlation was between FERHDL and BMI. CONCLUSIONS: Non-insulin-requiring type 2 diabetic patients have FERHDL, which correlated positively with triglycerides and negatively with HDL cholesterol. The positive correlation of FERHDL with serum insulin, WHR, total cholesterol, and apo B, but not that with BMI, loses its significance when HDL cholesterol and triglycerides are controlled. The sex difference between men and women in FERHDL also loses its significance when HDL cholesterol is controlled.",M1
8986077,"[An investigation of the factors influencing serum pepsinogen levels--sex, age, smoking, drinking]BACKGROUND: Until now, the influence of sex, age, smoking, drinking on serum pepsinogen levels has been assessed by single regression analysis. However, the influence of those factors on pepsinogen levels should be assessed exactly by multiple regression analyses. SUBJECTS AND METHODS: 891 subjects were collected from by questionnaire and serum tests. Analyses were done with serum pepsinogen I (PG I), pepsinogen II (PG II) and pepsinogen I/II ratio (PG I/II) as a criterion variable and as categorized explanatory variables, sex, age, current or past smoking habit, and current drinking habit. And analyses are done by Mann-Whitney U test, correlation coefficient, single regression method, multiple regression method. RESULTS: PG I level is significantly higher in men than in women by Mann-Whitney U test. But the effect of <e>sex factor</e> is not remarkable by multiple regression analyses. PG II level increased and PG I/II level decreased with progression of age by all analyses methods. Current or past smoking elevates PG I level by Mann-Whitney U test, but current smoking dose and past smoking amount showed no dose-dependent associations with PG I level. Current drinking elevates PG I level by Mann-Whitney U test, but current drinking dose showed no dose-dependent associations with PG I. However, the effects of current smoking and current drinking to serum PG levels is not so large by multiple regression analyses. CONCLUSION: The effects of sex, current smoking and current drinking to serum PG levels are not remarkable by multiple regression analyses. Significantly, PG II level increased and PG I/II level decreased with progression of age. Therefore it may not be necessary to consider the effects of sex, smoking habit and drinking habit when serum pepsinogen levels are used as markers for gastric cancer.",M1
7861853,"[More women than men die because of myocardial infarction. Is it caused by a specific <e>sex factor</e> or inferior treatment?]",M1
8149343,"Influences of aging and sex on renal pelvic carcinogenesis by N-butyl-N-(4-hydroxybutyl)nitrosamine in NON/Shi mice.Influences of aging and sex on renal pelvic carcinogenesis induced by N-butyl-N-(4-hydroxybutyl)nitrosamine (BBN) were examined in 6-, 15 -and 45-week-old male and female NON/Shi mice. Histopathological examination revealed an age-related shortening of induction time for renal pelvic carcinomas in males, although actual incidences did not increase. The histological patterns of carcinomas induced in both renal pelvis and urinary bladder demonstrated male mice to be more prone to develop transitional cell carcinomas, while squamous cell carcinomas were more likely to arise in females. Moreover, the <e>sex factor</e> appeared to influence the progression of both renal pelvic and urinary bladder carcinomas.",M1
8108627,"Attitude of medical staff towards victims of violence and assaults--a tentative explanation.Crimes of violence have effects on health care, but have received insufficient attention as regards the questions of identifying hidden violence. What factors could be of relevance to the reception and help given to victims of violence? How much importance should be attributed to the <e>sex factor</e> in staff attitudes? The aim of the present study was to elucidate the attitudes of medical staff towards patients who were the victim of violence or assault. The study covered staff working in the emergency ward at the Central Hospital in Karlstad and at all the health care centres in Karlstad Police District. A questionnaire was sent out to all doctors and nurses at the units involved. In general, the results showed a great commitment and sense of responsibility, and a specific concentration of resources on female patients on the part of the female staff. The explanatory model revealed that attitudes of staff to victims of violence and assault are partly determined by the sex of the staff but that the place of work was definitely not without importance as an explanatory factor.",M1
3209240,"[The <e>sex factor</e> in the prognosis of stage I skin melanoma. A preliminary note]",M1
4023613,"Hypersecretion of gastric acid in a representative Finnish family sample.To evaluate the family behaviour of acid secretion and particularly of 'hypersecretion', we have examined by pentagastrin test and direct vision gastric biopsy 342 subjects with a normal mucosa or superficial gastritis of the body mucosa, collected from a large family sample of the Finnish population. Acid output (AO) was expressed in terms of fat-free body weight (FFB), which eliminates the <e>sex factor</e> found by other expressions of AO. Subjects with values above 1.0 mmol/h/FFB were considered 'hypersecretors' (14 subjects, or 4% of the whole sample). They differed from the whole sample with regard to a high prevalence of signs of duodenal ulcer disease, of high serum pepsinogen, and of blood group O and lack of gastric antibodies and of high serum gastrin levels. The Fisher distribution test showed a significant family aggregation of AO values. In addition, at low AO levels there were subgroups with distinct gaps between them. This finding suggests the effect of genetic variation rather than of a common family environment. The occurrence of higher AO values in sibs but not in children of 'hypersecretors' seems to rule out the possibility of a dominant Mendelian inheritance. These present results are considered to be best compatible with a multigenetic mode of inheritance of gastric hypersecretion.",M1
