@RELATION C0040395_C0040405

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20527557,"Refraction corrected transmission ultrasound computed <e>tomography</e> for application in breast imaging.PURPOSE: We present an iterative framework for CT reconstruction from transmission ultrasound data which accurately and efficiently models the strong refraction effects that occur in our target application: Imaging the female breast. METHODS: Our refractive ray tracing framework has its foundation in the fast marching method (FNMM) and it allows an accurate as well as efficient modeling of curved rays. We also describe a novel regularization scheme that yields further significant reconstruction quality improvements. A final contribution is the development of a realistic anthropomorphic digital breast phantom based on the NIH Visible Female data set. RESULTS: Our system is able to resolve very fine details even in the presence of significant noise, and it reconstructs both sound speed and attenuation data. Excellent correspondence with a traditional, but significantly more computationally expensive wave equation solver is achieved. CONCLUSIONS: Apart from the accurate modeling of curved rays, decisive factors have also been our regularization scheme and the high-quality interpolation filter we have used. An added benefit of our framework is that it accelerates well on GPUs where we have shown that clinical 3D reconstruction speeds on the order of minutes are possible.",M1
20443485,"Monitoring of hemodynamic changes induced in the healthy breast through inspired gas stimuli with MR-guided diffuse optical imaging.PURPOSE: The modulation of tissue hemodynamics has important clinical value in medicine for both tumor diagnosis and therapy. As an oncological tool, increasing tissue oxygenation via modulation of inspired gas has been proposed as a method to improve cancer therapy and determine radiation sensitivity. As a radiological tool, inducing changes in tissue total hemoglobin may provide a means to detect and characterize malignant tumors by providing information about tissue vascular function. The ability to change and measure tissue hemoglobin and oxygenation concentrations in the healthy breast during administration of three different types of modulated gas stimuli (oxygen/ carbogen, air/carbogen, and air/oxygen) was investigated. METHODS: Subjects breathed combinations of gases which were modulated in time. MR-guided diffuse optical <e>tomography</e> measured total hemoglobin and oxygen saturation in the breast every 30 s during the 16 min breathing stimulus. Metrics of maximum correlation and phase lag were calculated by cross correlating the measured hemodynamics with the stimulus. These results were compared to an air/air control to determine the hemodynamic changes compared to the baseline physiology. RESULTS: This study demonstrated that a gas stimulus consisting of alternating oxygen/carbogen induced the largest and most robust hemodynamic response in healthy breast parenchyma relative to the changes that occurred during the breathing of room air. This stimulus caused increases in total hemoglobin and oxygen saturation during the carbogen phase of gas inhalation, and decreases during the oxygen phase. These findings are consistent with the theory that oxygen acts as a vasoconstrictor, while carbogen acts as a vasodilator. However, difficulties in inducing a consistent change in tissue hemoglobin and oxygenation were observed because of variability in intersubject physiology, especially during the air/oxygen or air/carbogen modulated breathing protocols. CONCLUSIONS: MR-guided diffuse optical imaging is a unique tool that can measure tissue hemodynamics in the breast during modulated breathing. This technique may have utility in determining the therapeutic potential of pretreatment tissue oxygenation or in investigating vascular function. Future gas modulation studies in the breast should use a combination of oxygen and carbogen as the functional stimulus. Additionally, control measures of subject physiology during air breathing are critical for robust measurements.",M1
20420515,"Acute eosinophilic pneumonia secondary to daptomycin: a report of three cases.We describe 3 cases of daptomycin-induced pulmonary toxic effects that are consistent with drug-induced acute eosinophilic pneumonia. Patients presented similarly with dyspnea, cough, hypoxia, and diffuse ground-glass opacities at chest computed <e>tomography</e>. Clinical suspicion for this adverse drug event and cessation of daptomycin until definitive diagnosis can be made is crucial.",M1
20400810,"Optimization of multiply acquired magnetic flux density B(z) using ICNE-Multiecho train in MREIT.The aim of magnetic resonance electrical impedance <e>tomography</e> (MREIT) is to visualize the electrical properties, conductivity or current density of an object by injection of current. Recently, the prolonged data acquisition time when using the injected current nonlinear encoding (ICNE) method has been advantageous for measurement of magnetic flux density data, Bz, for MREIT in the signal-to-noise ratio (SNR). However, the ICNE method results in undesirable side artifacts, such as blurring, chemical shift and phase artifacts, due to the long data acquisition under an inhomogeneous static field. In this paper, we apply the ICNE method to a gradient and spin echo (GRASE) multi-echo train pulse sequence in order to provide the multiple k-space lines during a single RF pulse period. We analyze the SNR of the measured multiple B(z) data using the proposed ICNE-Multiecho MR pulse sequence. By determining a weighting factor for B(z) data in each of the echoes, an optimized inversion formula for the magnetic flux density data is proposed for the ICNE-Multiecho MR sequence. Using the ICNE-Multiecho method, the quality of the measured magnetic flux density is considerably increased by the injection of a long current through the echo train length and by optimization of the voxel-by-voxel noise level of the B(z) value. Agarose-gel phantom experiments have demonstrated fewer artifacts and a better SNR using the ICNE-Multiecho method. Experimenting with the brain of an anesthetized dog, we collected valuable echoes by taking into account the noise level of each of the echoes and determined B(z) data by determining optimized weighting factors for the multiply acquired magnetic flux density data.",M1
20389652,"Full field detection in photoacoustic <e>tomography</e>.Imaging the full acoustic field around an object by use of an optical phase contrast method is used to accelerate the data acquisition in photoacoustic tomography. Images obtained with a CCD-camera at a certain time show a projection of the instantaneous pressure field in a given direction. In this work a reconstruction method is presented to obtain the two-dimensional initial pressure distribution by back propagating the observed wave pattern in Radon space. Numerical simulations are used to prove the accuracy of the reconstruction algorithm and to demonstrate a method for correcting limited data artifacts. Finally, the overall performance is shown with experimentally obtained data.",M1
20364209,"Dual-mode optical projection <e>tomography</e> microscope using gold nanorods and hematoxylin-stained cancer cells.An optical projection tomography microscope (OPTM) can improve axial resolution by viewing a sample from different perspectives. Here, we report a dual-mode OPTM that can generate 3D images of single cancer cells in both absorption mode and polarization mode. Cancer cells were labeled with hematoxylin for absorption imaging and nanorods for polarization imaging. Absorption images can provide morphologic information, and polarization images can provide molecular information. The combination of molecular detection and 3D cytological cell analysis may help with early cancer diagnosis.",M1
20334950,"[Schnyder's crystalline-like corneal dystrophy: a case report]Schnyder's crystalline corneal dystrophy is a rare bilateral hereditary disease with various clinical features. It typically presents as a central disc-like opacification with or without crystalline deposits. We report the case of a particular crystalline-free and ring-like pattern dystrophy resembling Schnyder's corneal dystrophy in an 82-year-old woman. In addition, we describe the aspects of this dystrophy with in vivo confocal microscopy using the Heidelberg Retina Tomograph II-Rostock Cornea Module and with anterior segment optical coherence <e>tomography</e> (OCT-Visante((R))). These techniques can be useful in the diagnosis or the therapeutic process, showing crystalline structures that are not clinically distinguishable or validating the histological localization of the corneal disease.",M1
20307012,"Amygdala lateralization at rest and during viewing of neutral faces in major depressive disorder using low-resolution brain electromagnetic <e>tomography</e>.Neuroimaging experiments of amygdala activity during rest have shown abnormal amygdalar lateralization in Major Depressive Disorder (MDD). The current study is an exploratory investigation of the use of the neuroimaging technique Low Resolution Electromagnetic Tomography (LORETA) to measure current source density (CSD) in the amygdala. We examined seven adults with MDD and nine healthy control subjects at rest, and while they viewed images of emotionally neutral faces. The primary purpose was to compare the findings of LORETA with published findings using other neuroimaging techniques. Four frequency bands were examined: delta (1-3 Hz), theta (3-7 Hz), alpha (7-11 Hz), and beta (11-29 Hz). Results showed that for both MDD and control groups, the right amygdala displayed higher overall activity (across frequencies) than the left, both at rest, and while viewing neutral faces. Results also showed that controls displayed significant differences between resting and viewing neutral images across all four bands in the right amygdala, with all four bands having higher CSD values in the right amygdala. There were no significant differences in CSD values between rest vs. viewing neutral images in the MDD group. Findings suggest a more pronounced lateralization effect in normal healthy controls than in MDD subjects when changing from a resting (eyes-closed) condition to viewing faces without emotional valence.",M1
20224160,"Transport-based quantitative photoacoustic <e>tomography</e>: simulations and experiments.In this paper we describe a method for quantitative photoacoustic tomography (qPAT) based on the photon radiative transfer equation (RTE) coupled with the Helmholtz photoacoustic wave equation. Considerable simulations and tissue-like phantom experiments are conducted to evaluate transport-based qPAT in comparison with diffusion-based qPAT. In these comparative simulations and experiments, we systematically examine the effects of the ratio of mu(a)/mu'(s) (absorption/reduced scattering coefficient), the anisotropy factor (g) and the imaging domain size on the transport- and diffusion-based photoacoustic image reconstruction. The results obtained show that transport-based qPAT allows for clearly more accurate recovery of the absolute absorption coefficient images of heterogeneous media over diffusion-based qPAT for all the cases examined and provides considerably improved image quality for cases where the photon diffusion approximation (DA) is invalid.",M1
20217605,"Photoacoustic <e>tomography</e> for imaging nanoparticles.Nanotechnology is the key to a new, noninvasive photoacoustic imaging technique that could detect early stages of disease tissues. The combination of photoacoustic imaging with nanotechnology holds promise for determining the structural and functional properties of tissues with enhanced sensitivity and specificity and for monitoring the treatment of diseases. In this chapter, we described in detail photoacoustic reconstruction methods and imaging systems. We also review the recent advances in nanoparticles and their in vivo applications in the field of photoacoustic imaging.",M1
