@RELATION C0206212_C0042615

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20210961,"Methicillin-resistant Staphylococcus aureus colonization in personnel attending a <e>veterinary</e> surgery conference.OBJECTIVE: To evaluate the prevalence of, and risk factors for, methicillin-resistant Staphylococcus aureus (MRSA) colonization in veterinary personnel. STUDY DESIGN: Cross-sectional study. SAMPLE POPULATION: Conference attendees (n=341) at the 2008 American College of Veterinary Surgeons Symposium in San Diego California. METHODS: Nasal swabs were collected and tested using selective culture for MRSA. Isolates were typed and risk factors were evaluated using questionnaire data. RESULTS: 17.3% of subjects (17% veterinarians and 18% technicians) were MRSA positive. Colonized individuals originated from 5 different countries, predominantly the United States and Canada. Contact with small ruminants in the preceding 30 days (odds ratio [OR] 2.2), living with a person diagnosed with MRSA in the preceding year (OR 19.8) and working in a clinic where there is a specific person in charge of the infection control program (OR 2.2) were associated with colonization using multivariable analysis. CONCLUSION: The high rate of colonization identified here provides more evidence that MRSA exposure is likely an occupational risk for veterinary personnel. The equal rates in small animal and large animal personnel were surprising and contradict earlier studies indicating greater rates among equine personnel. The association of MRSA and small ruminant contact has not been reported previously. CLINICAL RELEVANCE: MRSA is an important emerging pathogen in veterinary medicine and is a concern for both patients and veterinary personnel. The high colonization rate indicates the need to understand and control the spread of MRSA in veterinary clinics.",M1
19951098,"Labor market characteristics of <e>veterinary</e> technician specialists in 2007.OBJECTIVE: To determine labor market characteristics of veterinary technician specialists (VTSs) during 2007 and identify characteristics significantly related to pay. DESIGN: Survey. SAMPLE POPULATION: 163 VTSs. PROCEDURES: A 21-question, multiple-choice survey was sent in early May 2008 to all individuals (n = 345) who had been certified as VTSs and for whom an e-mail address could be identified. RESULTS: Weighted mean pay rate for respondents was $23.48/h. Pay rate was significantly associated with practice type, whether the respondent had a supervisory or management position, duration of experience as a VTS, duration of experience as a veterinary technician, and duration of employment with the current employer. Pay rate was not significantly associated with age, gender, highest academic degree, geographic region, area of practice (ie, urban vs suburban vs rural), or academy of which the respondent was a member. CONCLUSIONS AND CLINICAL RELEVANCE: Traditional human capital variables such as work experience and job tenure were significantly related to pay rate for VTSs.",M1
19769666,"The efficacy of chlorhexidine gluconate in canine skin preparation - practice survey and clinical trials.OBJECTIVES: To determine the use in practice and efficacy of different concentrations of chlorhexidine gluconate for canine pre-operative skin preparation. METHODS: Questionnaires were used to establish which antiseptics and techniques were used for patients undergoing elective neutering. In a clinical study, five different concentrations of chlorhexidine gluconate - 0 per cent (tap water, as a control) 1, 2, 3 and 4 per cent - were tested on 50 dogs undergoing elective ovariohysterectomies and orchidectomies. RESULTS: A variety of preparation practices occurred but only 21 per cent of the <e>veterinary</e> nurses surveyed were aware of the concentration and contact time they used whilst preparing animals. The clinical study revealed there was a significant difference (P&lt;0.001) between the different concentrations used. All concentrations of chlorhexidine were significantly more effective than the control tap water. There was a tendency towards increasing efficacy as concentration increased from 1 to 4 per cent but this was not statistically significant. CLINICAL SIGNIFICANCE: The lack of significant differences in efficacy between the different concentrations of chlorhexidine gluconate means that current practices may be adequate, although if the chlorhexidine gluconate concentrations and contact times used are unknown, they may be lower than those tested here and, possibly, ineffective, especially if contact times are short.",M1
19625675,"Demographics and employment destinations of a new group of <e>veterinary</e> technologists in Australia.This article provides a descriptive analysis of the demographics and employment destinations of the first three cohorts (2003-2005) of graduates (N=69) from a program that is unique in Australia: the Bachelor of Applied Science (Veterinary Technology) at the University of Queensland. Data for this study were collected in February 2006 via e-mail, telephone, or personal communication with graduates, and from university records. Ninety-three percent (64/69) of the graduates were female. The mean age was 23 years, and 58% (40/69) had entered university directly from high school. Employment destinations were determined for 96% of the graduates (N=66). Of those, 52% (34/66) were employed in veterinary practices. Government agencies and allied animal industries accounted for 15% (10/66). Another 14% (9/66) had enrolled in further undergraduate study. Three percent (2/66) had enrolled in a research honors year or a doctor of philosophy (PhD) degree program at the School of Veterinary Science. Eight percent (5/66) were employed in wildlife parks, zoos, or universities, and the remaining 9% (6/66) were traveling overseas, seeking employment, or employed outside the field. The study revealed that graduates were employed in diverse veterinary and allied animal health occupations. There appears to be a niche for Australian veterinary technology graduates educated in a university environment that complements the role of the veterinary profession in the twenty-first century. This reflects trends emerging in other countries, most notably the United States and the United Kingdom.",M1
19625672,"<e>Veterinary</e> professional associates: does the profession's foresight include a mid-tier professional similar to physician assistants?The projected shortage of veterinarians has created a need to explore alternatives designed to meet society's future demands. A veterinary professional health care provider, similar to the human medical profession's physician assistant (PA), is one such alternative. To explore this option, this paper provides background information on the development of PAs, including the motivations behind the initiative and the history of the role's development. Rather than aiming for a persuasive appeal, the authors have written this article with the intent of fostering discussion. It is suggested that perhaps veterinary professional associates, modeled after PAs, could be employed to handle routine veterinary care and thereby allow veterinarians additional time to focus on the more demanding and challenging aspects of veterinary medicine. Perhaps a team approach, similar to the physician/PA team, could help the field of veterinary medicine to better serve both clients and patients. As veterinary medicine directs its attention toward the new challenges on the horizon, creative solutions will be needed. Perhaps some variation of a veterinary professional associate is worthy of future discussion.",M1
19320810,"Prevalence and distribution of meticillin-resistant Staphylococcus aureus within the environment and staff of a university <e>veterinary</e> clinic.OBJECTIVES: To characterise the distribution of meticillin-resistant Staphylococcus aureus within the environment of a university small animal hospital and compare this with the distribution among staff. METHODS: Samples were collected from 140 environmental sites and the anterior nares of 64 staff members at the University of Glasgow Small Animal Hospital on a single day (d1). Sixty of the environmental sites were resampled 14 days later (d14). RESULTS: Meticillin-resistant S aureus was isolated from two of 140 (1.4 per cent; 95 per cent confidence interval: 1.7 to 5.1) environmental sites on d1 and one of 60 (1.7 per cent; 95 per cent confidence interval: 0.4 to 8.9) on d14. Two of the 64 staff sampled were positive for meticillin-resistant S aureus (3.1 per cent; 95 per cent confidence interval: 0.4 to 8.4). CLINICAL SIGNIFICANCE: A lower prevalence of meticillin-resistant S aureus was observed in the environment than previously reported. The location, relatedness between isolates and the presence of Panton-Valentine leucocidin indicates that the source of the environmental meticillin-resistant S aureus was most likely to have been human rather than animal in these cases. This study presents important information regarding the potential source and distribution of meticillin-resistant S aureus within veterinary hospital environments and highlights potential variability of prevalence of meticillin-resistant S aureus within and between veterinary institutions.",M1
19203407,"Carriage of methicillin-resistant Staphylococcus aureus in <e>veterinary</e> personnel.A survey of 280 attendees at a veterinary meeting in the Czech Republic in 2008 revealed a carriage rate of 0.7% for methicillin-resistant Staphylococcus aureus (MRSA). The two strains isolated were of distinct genetic lineages, carried type IV SCCmec determinants and were negative for Panton-Valentine leukocidin genes. The MRSA positivity rates for veterinarians in the Czech Republic is considerably lower than reported elsewhere.",M1
19168887,"<e>Veterinary</e> nurse training: review of standards.",M1
19122228,"<e>Veterinary</e> nurse training.",M1
19122228,"<e>Veterinary</e> nurse training.",M1
19066363,"Learning characteristics of <e>veterinary</e> technology students in a distance-education and an on-campus program.Distance-education programs have the potential to greatly increase the number of veterinary technicians. The demographic characteristics, readiness for independent and online learning, learning styles, and academic locus of control of a group of distance-education and on-campus veterinary technology students were examined. Distance-education students preferred independent learning and were more internally motivated to learn. Distance-education students with greater degrees of independence and internal motivation participated more fully, were more satisfied with their learning, and achieved higher grades. Students who preferred problem solving and active experimentation were particularly successful in distance education. These findings could have important implications for advising students interested in distance-education programs.",M1
19025385,"Clusters of infections in horses with MRSA ST1, ST254, and ST398 in a <e>veterinary</e> hospital.During 2006 and 2007 small clusters of methicillin-resistant Staphylococcus aureus (MRSA) infections in horses were recorded in different clinical departments of a veterinary university. The infections were caused by different MRSA clones (ST1, ST254, and ST398). In the same time, nasal colonization of veterinarians, veterinary personnel, and students was observed indicating transmission to humans.",M1
