@RELATION C0020202_C0028602

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20409350,"<e>Hybridization</e> and speciation in angiosperms: a role for pollinator shifts?The majority of convincingly documented cases of hybridization in angiosperms has involved genetic introgression between the parental species or formation of a hybrid species with increased ploidy; however, homoploid (diploid) hybridization may be just as common. Recent studies, including one in BMC Evolutionary Biology, show that pollinator shifts can play a role in both mechanisms of hybrid speciation.",M1
20374792,"Meat quality parameters of descendants by grading <e>hybridization</e> of Boer goat and Guanzhong Dairy goat.Chemical composition, cholesterol levels, fatty acid profile, meat taste, and quality parameters were evaluated in 48 buck kids from goats of the Guanzhong Dairy breed (Group G) and their crosses (Group F1: 1/2 Boermale symbolx1/2 Guanzhong Dairyfemale symbol; Group F2: 3/4 Boermale symbolx1/4 Guanzhong Dairyfemale symbol; Group F3: 7/8 Boermale symbolx1/8 Guanzhong Dairyfemale symbol) at different ages of slaughter (6, 8 and 10 months). Results indicated that grading hybridization (P&lt;0.05) affected meat nutritive value. The muscle of hybrid goats had lower crude fat and cholesterol, higher crude protein, and greater proportion of C18:2 and C18:3 than that of Group G at each age. Group F1 goats had better (P&lt;0.05) desirable fatty acid (DFA) and polyunsaturated fatty acid (PUFA) to saturated fatty acid (SFA) ratios and greater (C18:0+C18:1/C16:0) ratios (P&lt;0.01) than those of the other genotypes. Furthermore, the muscles of hybrid goats were tenderer and juicier compared to Group G. In all four groups, cholesterol levels increased (P&lt;0.01), muscle color became redder (P&lt;0.05) and tenderness decreased (P&lt;0.05) with increasing age. The low level of lipids and cholesterol, good meat quality, and the higher ratio of unsaturated to SFA in Group F1 indicate better quality for human consumption.",M1
20331778,"Nucleotide divergence vs. gene expression differentiation: comparative transcriptome sequencing in natural isolates from the carrion crow and its hybrid zone with the hooded crow.Recent advances in sequencing technology promise to provide new strategies for studying population differentiation and speciation phenomena in their earliest phases. We focus here on the black carrion crow (Corvus [corone] corone), which forms a zone of <e>hybridization</e> and overlap with the grey coated hooded crow (Corvus [corone] cornix). However, although these semispecies are taxonomically distinct, previous analyses based on several types of genetic markers did not reveal significant molecular differentiation between them. We here corroborate this result with sequence data obtained from a set of 25 nuclear intronic loci. Thus, the system represents a case of a very early phase of species divergence that requires new molecular approaches for its description. We have therefore generated RNAseq expression profiles using barcoded massively parallel pyrosequencing of brain mRNA from six individuals of the carrion crow and five individuals from a hybrid zone with the hooded crow. We obtained 856 675 reads from two runs, with average read length of 270 nt and coverage of 8.44. Reads were assembled de novo into 19 552 contigs, 70% of which could be assigned to annotated genes in chicken and zebra finch. This resulted in a total of 7637 orthologous genes and a core set of 1301 genes that could be compared across all individuals. We find a clear clustering of expression profiles for the pure carrion crow animals and disperse profiles for the animals from the hybrid zone. These results suggest that gene expression differences may indeed be a sensitive indicator of initial species divergence.",M1
20351771,"Reinforcement of gametic isolation in Drosophila.Reinforcement, a process by which natural selection increases reproductive isolation between populations, has been suggested to be an important force in the formation of new species. However, all existing cases of reinforcement involve an increase in mate discrimination between species. Here, I report the first case of reinforcement of postmating prezygotic isolation (i.e., barriers that act after mating but before fertilization) in animals. On the slopes of the African island of São Tomé, Drosophila yakuba and its endemic sister species D. santomea hybridize within a well-demarcated hybrid zone. I find that D. yakuba females from within this zone, but not from outside it, show an increase in gametic isolation from males of D. santomea, an apparent result of natural selection acting to reduce maladaptive <e>hybridization</e> between species. To determine whether such a barrier could evolve under laboratory conditions, I exposed D. yakuba lines derived from allopatric populations to experimental sympatry with D. santomea, and found that both behavioral and gametic isolation become stronger after only four generations. Reinforcement thus appears to be the best explanation for the heightened gametic isolation seen in sympatry. This appears to be the first example in animals in which natural selection has promoted the evolution of stronger interspecific genetic barriers that act after mating but before fertilization. This suggests that many other genetic barriers between species have been increased by natural selection but have been overlooked because they are difficult to study.",M1
20350300,"Genetic population structure of sympatric and allopatric populations of Baltic ciscoes (Coregonus albula complex, Teleostei, Coregonidae).BACKGROUND: Teleost fishes of the Coregonidae are good model systems for studying postglacial evolution, adaptive radiation and ecological speciation. Of particular interest is whether the repeated occurrence of sympatric species pairs results from in-situ divergence from a single lineage or from multiple invasions of one or more different lineages. Here, we analysed the genetic structure of Baltic ciscoes (Coregonus albula complex), examining 271 individuals from 8 lakes in northern Germany using 1244 polymorphic AFLP loci. Six lakes had only one population of C. albula while the remaining two lakes had C. albula as well as a sympatric species (C. lucinensis or C. fontanae). RESULTS: AFLP demonstrated a significant population structure (Bayesian thetaB = 0.22). Lower differentiation between allopatric (thetaB = 0.028) than sympatric (0.063-0.083) populations contradicts the hypothesis of a sympatric origin of taxa, and there was little evidence for stocking or ongoing <e>hybridization</e>. Genome scans found only three loci that appeared to be under selection in both sympatric population pairs, suggesting a low probability of similar mechanisms of ecological segregation. However, removal of all non-neutral loci decreased the genetic distance between sympatric pairs, suggesting recent adaptive divergence at a few loci. Sympatric pairs in the two lakes were genetically distinct from the six other C. albula populations, suggesting introgression from another lineage may have influenced these two lakes. This was supported by an analysis of isolation-by-distance, where the drift-gene flow equilibrium observed among allopatric populations was disrupted when the sympatric pairs were included. CONCLUSIONS: While the population genetic data alone can not unambiguously uncover the mode of speciation, our data indicate that multiple lineages may be responsible for the complex patterns typically observed in Coregonus. Relative differences within and among lakes raises the possibility that multiple lineages may be present in northern Germany, thus understanding the postglacial evolution and speciation in the C. albula complex requires a large-scale phylogenetic analysis of several potential founder lineages.",M1
20345692,"<e>Hybridization</e> and polyploidy as drivers of continuing evolution and speciation in Sorbus.Interspecific hybridization and polyploidy are pivotal processes in plant evolution and speciation. The fate of new hybrid and polyploid taxa is determined by their ability to reproduce either sexually or asexually. Hybrids and allopolyploids with odd chromosome numbers are frequently sterile but some establish themselves through asexual reproduction (vegetative or apomixis). This allows novel genotypes to become established by isolating them from gene flow and leads to complex patterns of variation. The genus Sorbus is a good example of taxonomic complexity arising from the combined effects of hybridization, polyploidy and apomixis. The Avon Gorge in South-west Britain contains the greatest diversity of Sorbus in Europe, with three endemic species and four putative endemic novel hybrids among its 15 native Sorbus taxa. We used a combination of nuclear microsatellite and chloroplast DNA markers to investigate the evolutionary relationships among these Sorbus taxa within the Avon Gorge. We confirm the genetic identity of putative novel taxa and show that hybridization involving sexual diploid species, primarily S. aria and S. torminalis and polyploid facultative apomictic species from subgenus Aria, has been responsible for generating this biodiversity. Importantly our data show that this creative evolutionary process is ongoing within the Avon Gorge. Conservation strategies for the rare endemic Sorbus taxa should therefore consider all Sorbus taxa within the Gorge and must strive to preserve this evolutionary process rather than simply the individual rare taxa that it produces.",M1
20309618,"Species by environment interactions affect pyrrolizidine alkaloid expression in Senecio jacobaea, Senecio aquaticus, and their hybrids.We examined the effects of water and nutrient availability on the expression of the defense pyrrolizidine alkaloids (PAs) in Senecio jacobaea and S. aquaticus. Senecio jacobaea, and S. aquaticus are adapted to different natural habitats, characterized by differing abiotic conditions and different selection pressures from natural enemies. We tested if PA concentration and diversity are plastic over a range of water and nutrient treatments, and also whether such plasticity is dependent on plant species. We also tested the hypothesis that <e>hybridization</e> may contribute to PA diversity within plants, by comparing PA expression in parental species to that in artificially generated F(1) hybrids, and also in later generation natural hybrids between S. jacobaea and S. aquaticus. We showed that total PA concentration in roots and shoots is not dependent on species, but that species determines the pattern of PA diversification. Pyrrolizidine alkaloid diversity and concentration are both dependent on environmental factors. Hybrids produce a putatively novel PA, and this PA is conserved in natural hybrids, that are backcrossed to S. jacobaea. Natural hybrids that are backcrossed several times to S. jacobaea are with regard to PA diversity significantly different from S. jacobaea but not from S. aquaticus, while F(1) hybrids are in all cases more similar to S. jacobaea. These results collectively suggest that PA diversity is under the influence of natural selection.",M1
20298473,"Historical male-mediated introgression in horseshoe bats revealed by multilocus DNA sequence data.Instances of <e>hybridization</e> between mammalian taxa in the wild are rarely documented. To test for introgression between sibling species of horseshoe bat (Rhinolophus yunanensis and R. pearsoni) and two subspecies of the latter (R. p. pearsoni and R. p. chinensis), we sequenced two mtDNA and two ncDNA markers in individuals sampled from multiple localities within their overlapping ranges. The interspecific mtDNA gene tree corresponded to the expected taxonomic divisions, and coalescent-based analyses suggested divergence occurred around 4 MYA. However, these relationships strongly conflicted with those recovered from two independent nuclear gene trees, in which R. yunanensis clustered with R. p. pearsoni to the exclusion of R. p. chinensis. This geographically widespread discordance is best explained by large-scale historical introgression of ncDNA from R. yunanensis to R. pearsoni by male-mediated exchange in mixed species colonies during Pleistocene glacial periods, when ranges may have contracted and overlapped more than at present. Further species tree-gene tree conflicts were detected between R. p. pearsoni and R. p. chinensis, also indicating past and/or current introgression in their overlapping regions. However, here the patterns point to asymmetric mtDNA introgression without ncDNA introgression. Analyses of coalescence times indicate this exchange has occurred subsequent to the divergence of these subspecies from their common ancestor. Our work highlights the importance of using multiple data sets for reconstructing phylogeographic histories and resolving taxonomic relationships.",M1
20298471,"Recurrent nuclear DNA introgression accompanies chloroplast DNA exchange between two eucalypt species.Numerous studies within plant genera have found geographically structured sharing of chloroplast (cp) DNA among sympatric species, consistent with introgressive <e>hybridization</e>. Current research is aimed at understanding the extent, direction and significance of nuclear (nr) DNA exchange that accompanies putative cpDNA exchange. Eucalyptus is a complex tree genus for which cpDNA sharing has been established between multiple species. Prior phylogeographic analysis has indicated cpDNA introgression into the widespread forest species Eucalyptus globulus from its rare congener E. cordata. In this study, we use AFLP markers to characterize corresponding nrDNA introgression, on both a broad and fine spatial scale. Using 388 samples we examine (i) the fine-scale spatial structure of cp and nrDNA introgression from E. cordata into E. globulus at a site in natural forest and (ii) broad-scale patterns of AFLP marker introgression at six additional mixed populations. We show that while E. globulus and E. cordata retain strongly differentiated nuclear gene pools overall, leakage of nrDNA occurs at mixed populations, with some AFLP markers being transferred to E. globulus recurrently at different sites. On the fine scale, different AFLP fragments show varying distances of introgression into E. globulus, while introgression of cpDNA is extensive. The frequency of E. cordata markers in E. globulus is correlated with spatial proximity to E. cordata, but departs from expectations based on AFLP marker frequency in E. cordata, indicating that selection may be governing the persistence of introgressed fragments in E. globulus.",M1
20231169,"Identification of genes associated with bud dormancy release in Prunus persica by suppression subtractive <e>hybridization</e>.To better understand the molecular and physiological mechanisms underlying maintenance and release of seasonal bud dormancy in perennial trees, we identified differentially expressed genes during dormancy progression in reproductive buds from peach (Prunus persica [L.] Batsch) by suppression subtractive hybridization (SSH) and microarray hybridization. Four SSH libraries were constructed, which were respectively enriched in cDNA highly expressed in dormant buds (named DR), in dormancy-released buds (RD) and in the cultivars with different chilling requirement, 'Zincal 5' (ZS) and 'Springlady' (SZ), sampled after dormancy release. About 2500 clones picked from the four libraries were loaded on a glass microarray. Hybridization of microarrays with the final products of SSH procedure was performed in order to validate the selected clones that were effectively enriched in their respective sample. Nearly 400 positive clones were sequenced, which corresponded to 101 different unigenes with diverse functional annotation. We obtained DAM4, 5 and 6 genes coding for MADS-box transcription factors previously related to growth cessation and terminal bud formation in the evergrowing mutant of peach. Several other cDNAs are similar to dormancy factors described in other species, and others have been related to bud dormancy for the first time in this study. Quantitative reverse transcription polymerase chain reaction analysis confirmed differential expression of cDNAs coding for a Zn-finger transcription factor, a GRAS-like regulator, a DNA-binding protein and proteins similar to forisome subunits involved in the reversible occlusion of sieve elements in Fabaceae, among others.",M1
